label,index,deu,eng,esp,fra,ita,nld,tur
Title_chapter01,0,Mein erstes Sushi,A Taste of Sushi,Sabor a sushi,Premiers sushis,Il gusto del sushi,Mijn eerste sushi,Suşinin Tadı
Title_chapter02,1,Der Heilige Hain,The Shrine Grove,La Isla del Templo,Le village sacré,Il Bosco sacro,Het heilige eiland,Tapınak Korusu
Title_chapter03,2,Celia greift an!,Celia Strikes!,¡Celia ataca!,Celia à l'attaque,Celia all'attacco!,Celia valt aan!,Celia Saldırıyor!
Title_chapter04,3,Ärger im Paradies,Battle in the Tropics,Batalla en el trópico,Bataille tropicale,Scontro ai tropici,Tropenstrijd,Tropiklerde Savaş
Title_chapter04_02,4,Feuriges Duell,Clash on the Volcano ,Lucha en el volcán,Lutte volcanique,Lotta sul vulcano,Vulkaanduel,Volkanda Çarpışma
Title_chapter05,5,Die große Festung,The Iron Fortress,La fortaleza de hierro,La forteresse,La rocca\ninespugnabile,Het ijzeren fort,Demir Kale
Title_chapter06,6,Feuriges Duell,Clash on the Volcano ,Lucha en el volcán,Lutte volcanique,Lotta sul vulcano,Vulkaanduel,Volkanda Çarpışma
Title_chapter06_02,7,Ärger im Paradies,Battle in the Tropics,Batalla en el trópico,Bataille tropicale,Scontro ai tropici,Tropenstrijd,Tropiklerde Savaş
Title_chapter07,8,Verschneites\nWiedersehen,Mountaintop Reunion,Reunión en la cima,Rencontre\nau sommet,Riunione sulla cima,Weerzien op de\nberg,Zirvede Buluşma
Title_chapter08,9,Vater und Kind,Father and Child,Dos generaciones,L'amour\nd'un père,Amore paterno,Vader en kind,Baba ve Çocuk
Title_chapter09,10,Das große Finale,Sushi Showdown,Duelo de sushi,L'ultime combat,Battaglia finale\nper il sushi,De grote finale,Suşi Hesaplaşması
