entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0005:}}Lalala{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0007:0000:14000000}} I'm excited!{{TAG:0007:0000:14000000}} I feel like I'm
going to a celebrity's house or
something! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}La, la, la, la{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0007:0000:14000000}} ¡Qué emoción!{{TAG:0007:0000:14000000}} ¡Es
como si fuese a ver la casa de
un famoso o algo así!","{{TAG:0003:0005:}}Youhou{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}!{{TAG:0007:0000:14000000}} J'ai l'impression d'me
rendre chez une vedette ou genre !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0005:}}La la la la{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0007:0000:14000000}} che emozione!{{TAG:0007:0000:14000000}} Mi sento
come se stessi andando a casa
di una celebrità, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Tralala{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ich bin aufgeregt!{{TAG:0007:0000:14000000}} Ich fühl
mich, als würde ich 'nen VIP oder so
besuchen! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Lalalaa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0007:0000:14000000}} Acayip heyecanlıyım!{{TAG:0007:0000:14000000}} Sanki
ünlü birinin evine gidiyormuşum
gibi! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
1,002,"{{TAG:0003:000F:}}What?!{{TAG:0007:0000:08000000}} Come on!{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}It's OK if your
place is messy!{{TAG:0007:0000:14000000}} I don't care!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡¿Qué?!{{TAG:0007:0000:08000000}} ¡Venga ya!{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}¡Que a mí me da
igual que esté todo patas arriba!{{TAG:0007:0000:14000000}} 
{{TAG:0003:0023:}}Total, así es como está mi casa...","{{TAG:0003:000F:}}De quoi ?!{{TAG:0007:0000:0F000000}} T'as pas fait l'ménage ?{{TAG:0007:0000:0F000000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}Hi hi, tant qu't'héberges pas une
colonie d'cafards, j'm'en fiche !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Cosa?!{{TAG:0007:0000:08000000}} Ma dai!{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Che problema c'è
se casa tua è in disordine?! Vedessi
la mia...{{TAG:0007:0000:14000000}} Tranquill{{TAG:000E:0006:02006F0002006100}}, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Wat?!{{TAG:0007:0000:14000000}} Komm schon!{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Is' nicht
schlimm, wenn's bei dir unordentlich
ist!{{TAG:0007:0000:14000000}} Ich räum für dich auf!","{{TAG:0003:000F:}}Ne?!{{TAG:0007:0000:08000000}} Hadi ama!{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Evin dağınıksa da sorun
değil!{{TAG:0007:0000:14000000}} Umurumda olmaz! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
2,003,"{{TAG:0003:0005:}}It's been a while since I went to a 
friend's place for a visit.{{TAG:0007:0000:14000000}} I should
maybe get out more. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Buf, ni recuerdo la última vez que
fui de visita a casa de un colega...{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0005:}}¡Es que tanto ir de fiesta
no me deja tiempo para nada!","{{TAG:0003:0005:}}Chuis toujours ravie d'aller traîner
chez les potes,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0005:}}È da un sacco di tempo che
non vado a casa di amici.{{TAG:0007:0000:14000000}} Dovrei
uscire più spesso, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0000:0003:0500}}({{TAG:0003:000B:}}Schon 'ne Weile her, dass ich bei
jemandem zu Besuch war. {{TAG:0007:0000:14000000}}Ich sollte
öfter mal raus. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!){{TAG:0000:0003:FFFF}}","{{TAG:0003:0005:}}Bir arkadaşın evine misafirliğe
gitmeyeli bayağı olmuş.{{TAG:0007:0000:14000000}} Galiba biraz
daha dışarı çıkmam lazım. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:000F:}}What's the matter?{{TAG:0007:0000:08000000}} You nervous?{{TAG:0000:0004:}}{{TAG:0003:0002:}}I promise I'll behave myself in your
house! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Oye, pero ¿qué pasa?{{TAG:0007:0000:08000000}} Te veo algo
alterad{{TAG:000E:0006:02006F0002006100}}... {{TAG:0003:0002:}}No te preocupes, ¡que sé
comportarme en casa de los demás!{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Qu'est-ce qui t'arrive ?{{TAG:0007:0000:08000000}} T'as pas
l'air trop {{TAG:000E:0006:0E00720061007300730075007200E9001000720061007300730075007200E9006500}}, d'un coup...{{TAG:0000:0004:}}{{TAG:0003:0002:}}J'te promets d'bien m'conduire
quand on s'ra chez toi, t'inquiète !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:0007:0000:0F000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Che c'è che non va?{{TAG:0007:0000:08000000}} Sei un po'
nervos{{TAG:000E:0006:02006F0002006100}}?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ti prometto che farò la brava
a casa tua, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0017:}}Was'n los?{{TAG:0007:0000:14000000}} Biste etwa nervös?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ich werd mich benehmen,
versprochen! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Ne oldu?{{TAG:0007:0000:08000000}} Gerildin mi?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Evinde uslu uslu
duracağıma söz veriyorum! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
4,005,"{{TAG:0003:0015:}}This might surprise you, but people
say I'm a good guest.{{TAG:0000:0004:}}{{TAG:0003:0025:}}I think it's just 'cause that's the
way I was raised! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","No te lo creerás, {{TAG:0003:0015:}}pero todo
el mundo dice que soy una
invitada alucinante.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Eso es porque siempre estoy
tan cansada que apenas abro
la boca. ¡Ji, ji, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Ça va t'surprendre, mais les gens
qui m'invitent me félicitent toujours
pour mes bonnes manières !
{{TAG:0003:0025:}}Faut dire qu'j'ai été élevée à la
dure, hi hi !{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Lo so che non ci credi, ma la gente
dice che sono un'ospite modello.{{TAG:0000:0004:}}{{TAG:0003:0025:}}In fondo, quando arriva il momento,
so fare la persona educata anche io,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Das wird dich sicher überraschen,{{TAG:0007:0000:08000000}}
aber man sagt, ich bin immer 'n
vorbildlicher Gast.
{{TAG:0003:0025:}}Ey, {{TAG:0007:0000:08000000}}ich bin eben total gut erzogen,{{TAG:0007:0000:08000000}}
weißte? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?","{{TAG:0003:0015:}}Şaşırabilirsin ama iyi misafirimdir
derler.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Herhâlde beni böyle
yetiştirdikleri içindir! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
5,006,"{{TAG:0003:0005:}}I'm finally gonna get to see the
inside of your place! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}No me puedo creer que por fin vaya
a ver cómo es tu casa. ¡Se acabó
el misterio, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}J'vais enfin avoir l'honneur de
mettre les pattes chez toi !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Finalmente vengo a casa tua! Sono
curiosa di sapere come l'hai
arredata, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Endlich seh ich dein Haus von innen!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!",{{TAG:0003:0005:}}Sonunda evinin içini göreceğim! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!
6,007,"{{TAG:0003:0015:}}You can learn a lot about someone
by seeing the inside of their house.{{TAG:0000:0004:}}{{TAG:0003:002B:}}So I wonder what I'm gonna learn
about you, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0015:}}Dicen que las casas reflejan la
personalidad de su dueño. {{TAG:0003:002B:}}Entonces,
¿para qué son los espejos?","{{TAG:0003:0015:}}L'intérieur d'une baraque en dit long
sur qui y vit.{{TAG:0000:0004:}}{{TAG:0003:002B:}}Je m'demande c'que j'vais bien
pouvoir apprendre sur toi,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}}...","{{TAG:0003:0015:}}Si riescono a capire un sacco
di cose su una persona, quando
si va a casa sua.{{TAG:0000:0004:}}{{TAG:0003:002B:}}Magari scoprirò qualcosa di nuovo
su di te, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0015:}}Du wärst überrascht, was man alles
über 'ne Person lernt, wenn man
ihre Hütte besucht.
{{TAG:0003:002B:}}Ich frag mich, was ich gleich alles
über dich rausfinde, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0015:}}İnsanın evini görünce onun hakkında
çok şey öğrenirsin.{{TAG:0000:0004:}}{{TAG:0003:002B:}}Bakalım senin hakkında
neler öğreneceğim, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}."
7,008,"{{TAG:0003:0015:}}Going to someone's house for the 
first time{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}makes me nervous!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Ay, siempre que voy a casa de
alguien por primera vez.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} ¡me
pongo supernerviosa, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0009:}}Chuis toujours un peu tendue quand
j'vais chez quelqu'un pour la
première fois{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Quando vado a casa di un{{TAG:000E:0006:0C00200061006D00690063006F000C00270061006D00690063006100}}
la prima volta{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}sono sempre
un po' nervosa, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Das erste Mal bei jemandem zu
Hause, bin ich immer ein bissel{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}
nervös! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Birinin evine ilk kez gitmek{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}beni
biraz geriyor! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:000D:}}If I have holes in my socks{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}I'll be
so embarrassed!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Oh, wait{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} I'm totally barefoot!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000D:}}Ay, no sé si me puse los calcetines
que no están rotos{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¡Qué corte!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Huy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} ¡pero si estoy descalza!
{{TAG:0007:0000:14000000}}¡Ji, ji, ji, {{TAG:0005:0007:}}!","{{TAG:0003:000D:}}Mince, j'espère qu'mes chaussettes
sont pas trouées{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ce s'rait trop la
tehon !{{TAG:0000:0004:}}{{TAG:0003:0000:}}Oh, mais c'est vrai{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Chuis pieds
nus,{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:000D:}}Spero di non avere le calze bucate{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Sarebbe troppo imbarazzante!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Oh, ma aspetta un attimo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Sono a zampe nude! Eh eh eh!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0000:0002:4B00}}{{TAG:0003:000D:}}Hoffentlich hab ich keine Löcher in den
Socken{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Das wär echt zu peinlich!{{TAG:0000:0004:}}{{TAG:0000:0002:6400}}{{TAG:0003:0000:}}Moment mal{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Ich bin ja barfuß!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000D:}}Çoraplarım delikse{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}rezil
olurum!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Bir saniye{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Ben zaten
yalınayakmışım! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:000F:}}Sweet!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} I'm glad I get to go to your
place again! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡Qué flipe!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} ¡Es la caña poder
volver a tu casa, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}C'était quand la dernière fois que
chuis venue chez toi, déjà ?!{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Ça m'a
presque manqué !{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Evvai!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Non mi dispiace per niente
venire di nuovo a casa tua, anzi...
sono felice, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Cool!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Endlich besuch ich dich
mal wieder! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Süper!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Evine bir kez daha gidecek olmama
sevindim! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
