label,index,deu,eng,esp,fra,ita,nld,tur
Telop_00_M,0,Und so kehrte Tiburon unter seinem alten\nNamen Jubay zur Befreiungsfront zurück.,Tiburon rejoined the SLF under his\nold name of Jubay.,Tiburón volvió al Frente de Liberación del\nSushi y recuperó su antiguo nombre: Jubay.,C'est ainsi que Tiburon intégra le FLS\nsous son ancien nom de Jubay.,"Tiburon si riunì al FLS, facendosi di nuovo\nchiamare Jubay.",Tiburon keerde terug naar het SVL onder zijn\noude naam Jubay.,"Tiburon, eski adı Jubay'la SLF'ye\nyeniden katıldı."
Telop_00_F,1,,,,,,,
Telop_01_M,2,Das Imperium war ins Chaos gestürzt und\ndas Glück schien der Befreiungsfront hold.,"His departure caused turmoil in the Empire,\nand the tide began to turn toward the SLF.","Sin él, el Imperio se sumió en el caos,\ny el FLS cosechó victoria tras victoria.","Son départ plongea l'Empire dans le chaos,\net le vent se mit à tourner en faveur du FLS.","Abbandonò l'Impero e ciò causò grande\nscompiglio, favorendo il FLS.",Zijn vertrek zaaide onrust in het Keizerrijk\nen het geluk lachte het verzetsleger toe.,Onun ayrılışı İmparatorluk'ta kargaşa yarattı\nve rüzgâr SLF'nin lehine dönmeye başladı.
Telop_01_F,3,,,,,,,
Telop_02_M,4,Diese entsandte für die entscheidende\nSchlacht Truppen zum Kaiserpalast.,"Meanwhile, the SLF moved their main force\nfor a final confrontation at the palace.","Finalmente, el grueso del FLS se dirigió\nal palacio imperial para la batalla definitiva.","Entre-temps, les forces du FLS se dirigèrent\nvers le palais pour l'ultime confrontation.","Nel frattempo, il grosso del FLS avanzò\nper lo scontro finale al palazzo imperiale.",Intussen verplaatsten de SVL-troepen zich\nnaar het paleis voor een laatste confrontatie.,"Bu sırada SLF, sarayda son bir hesaplaşma için\nana kuvvetini harekete geçirdi."
Telop_02_F,5,,,,,,,
Telop_04_M,6,Doch vor der Stunde der Wahrheit quälten\nden armen Musashi noch viele Fragen...,"But before the final battle began, Musashi\nstill had lingering questions...",Pero Musashi aún tenía ciertas dudas\nque resolver...,"Mais alors que l'heure de vérité allait sonner,\nMusashi se tourna vers son père...","Tuttavia, prima che la battaglia iniziasse,\nMusashi nutriva dei dubbi...","Maar voor de strijd weer begon, had Musashi\nnog een aantal prangende vragen...","Ama son savaş başlamadan önce, Musashi'nin\naklında hâlâ cevaplanmamış sorular vardı..."
Telop_04_F,7,Doch vor der Stunde der Wahrheit quälten\ndie arme Musashi noch viele Fragen...,,,,,,
CharaSerif_00_M,8,Papa... Kannst du mir von Mama erzählen?,Dad? Can you tell me about Mom?,Papá... cuéntame cosas de mamá.,Papa ? Tu pourrais me parler de maman ?,Papà? Mi parli di mamma?,Papa? Kun je me over mama vertellen?,Baba? Bana annemi anlatır mısın?
CharaSerif_00_F,9,,Dad? Can you tell me about Mom?,,,,,Baba? Bana annemi anlatır mısın?
CharaSerif_01_M,10,Was geschah mit ihr? Wo ist sie jetzt?\nOder ist sie...?,What happened to her? Where is she?\nIs she...,¿Qué le pasó? ¿Dónde está?\n¿Está...?,Qu'est-ce qui lui est arrivé ? Où elle est ?\nMe dis pas que...,Cosa le è successo? Dov'è adesso?\nÈ...?,Wat is er met haar gebeurd? Waar is ze?\nIs ze...,Ona ne oldu? Nerede o?\nO...
CharaSerif_01_F,11,,What happened to her? Where is she?\nIs she...,,,,,Ona ne oldu? Nerede o?\nO...
