index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	map_gr_opening_00	̃਀\n ...Humh?	[[TAG:0003:0001:0303000A]][[TAG:0002:0003:0D00]] Euh...	[[TAG:0003:0001:0303000A]][[TAG:0002:0003:0D00]] [[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]]Hmm?	[[TAG:0003:0001:0303000A]][[TAG:0002:0003:0D00]] [[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]] Eh?	[[TAG:0003:0001:0303000A]][[TAG:0002:0003:0D00]]¿Eh?[[TAG:0003:0002:1E00]][[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]].	[[TAG:0003:0001:0303000A]][[TAG:0002:0003:0A00]] [[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]].[[TAG:0003:0002:1E00]] Hım?	LONG_TR_LINE	CONTROL_STYLE_OUTLIER	Turkish control/tag pattern differs from at least 3 of 4 official EU localizations; may be intentional formatting.
1	map_gr_opening_01	 Wait...what is this place?	[[TAG:0002:0003:0F00]] C'est...[[TAG:0003:0002:0F00]] C'est quoi cet endroit ?	[[TAG:0002:0003:0F00]] Moment...[[TAG:0003:0002:0F00]] Wo bin ich hier?	[[TAG:0002:0003:0F00]] Aspetta un momento...\n[[TAG:0003:0002:0F00]]Dove sono finito?	[[TAG:0002:0003:0F00]]Un momento...\n[[TAG:0003:0002:0F00]]¿Dónde estoy?	[[TAG:0002:0003:0F00]] Dur...[[TAG:0003:0002:0F00]] burası neresi?	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
2	map_gr_opening_02	And who are you?!	Et vous... [[TAG:0003:0002:0F00]]Qui êtes-vous ?	Und wer bist du?!	E tu chi sei?!	¡¿Y tú quién eres?!	Ve sen kimsin?!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
3	map_gr_opening_03	My name is \nTibby.	Je m'appelle[[TAG:0003:0002:0F00]]\n[[TAG:0000:0003:E40000FF]]Tibby[[TAG:0000:0003:000000FF]].	Mein Name ist [[TAG:0003:0002:0F00]]\n[[TAG:0000:0003:E40000FF]]Fipsi[[TAG:0000:0003:000000FF]].	Io mi chiamo [[TAG:0003:0002:0F00]][[TAG:0000:0003:E40000FF]]Tibby[[TAG:0000:0003:000000FF]].	Yo soy [[TAG:0003:0002:0F00]][[TAG:0000:0003:E40000FF]]Tibby[[TAG:0000:0003:000000FF]].	Benim adım [[TAG:0003:0002:0F00]]\n[[TAG:0000:0003:E40000FF]]Tibby[[TAG:0000:0003:000000FF]].	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
4	map_gr_opening_04	 I guess I must have\nfallen down here...	[[TAG:0002:0003:0E00]] Je crois bien que j'ai\nfait une petite chute...	[[TAG:0002:0003:0E00]] Ich glaube, ich muss hier\nirgendwie runtergefallen sein...	[[TAG:0002:0003:0E00]] A quanto pare, sono\nprecipitato quaggiù...	[[TAG:0002:0003:0E00]]Supongo que he debido\nde caerme.	[[TAG:0002:0003:0E00]] Sanırım buraya\ndüşmüşüm...	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
5	map_gr_opening_05	*sniff*	[[TAG:0002:0004:09CD]]Snif... Snif...	[[TAG:0002:0004:09CD]]*schnüff*	[[TAG:0002:0004:09CD]]Sigh, sob...	[[TAG:0002:0004:09CD]]Snif, snif.	[[TAG:0002:0004:09CD]]*hıçk*		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
6	map_gr_opening_06	Waaaahhhh!	[[TAG:0002:0004:08CD]]Ooouuuiiin !	[[TAG:0002:0004:08CD]]Buhäää!	[[TAG:0002:0004:08CD]]Uaaahhh!	[[TAG:0002:0004:08CD]]¡Buaaaaaa!	[[TAG:0002:0004:08CD]]Vaaaaaah!	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
7	map_gr_opening_07	What's that? Where\ndid I fall from?	[[TAG:0002:0004:09CD]]Hein ? Quoi ? Comment ça\n« d'où je suis tombé ? »	[[TAG:0002:0004:09CD]]Wie bitte? Wo ich denn\nruntergefallen bin?	[[TAG:0002:0004:09CD]]Come dici? Vuoi sapere\nda dove sono precipitato?	[[TAG:0002:0004:09CD]]¿Cómo dices? ¿Que de\ndónde me he caído?	[[TAG:0002:0004:09CD]]Ne? Nereden mi\ndüştüm?	MANUAL_FIX_V13	MANUAL_FIX_V13	Direction/context error fixed: where from, not where to.
8	map_gr_opening_08	Heaven World. H-E-V-V-E-N. \nHeaven World!	[[TAG:0002:0004:01CD]]Eh bien... du monde paradis,\npardi ! [[TAG:0003:0002:1E00]]P [[TAG:0003:0002:0F00]]A [[TAG:0003:0002:0F00]]R [[TAG:0003:0002:0F00]]A [[TAG:0003:0002:0F00]]D [[TAG:0003:0002:0F00]]I [[TAG:0003:0002:0F00]]S[[TAG:0003:0002:0F00]].	[[TAG:0002:0004:01CD]]Aus dem [[TAG:0003:0002:1E00]]H-[[TAG:0003:0002:0F00]]I-[[TAG:0003:0002:0F00]]M-[[TAG:0003:0002:0F00]]M-[[TAG:0003:0002:0F00]]E-[[TAG:0003:0002:0F00]]L. Oder\neher: Aus der Himmelswelt!	[[TAG:0002:0004:01CD]]Ma che domande! Dal\nmondo celeste, ovviamente!	[[TAG:0002:0004:01CD]]¡Qué cosas tienes! Pues\nde Paradisia, ¡obviamente!	[[TAG:0002:0004:01CD]]Cennet Diyarı. [[TAG:0003:0002:1E00]]C-[[TAG:0003:0002:0F00]]E-[[TAG:0003:0002:0F00]]N-[[TAG:0003:0002:0F00]]N-[[TAG:0003:0002:0F00]]E-[[TAG:0003:0002:0F00]]T.\nCennet Diyarı!	MANUAL_FIX_V13	MANUAL_FIX_V13	Spelling gag localized while preserving six timing tags.
9	map_gr_opening_09	...What's wrong? You never\nheard of Heaven World?	[[TAG:0002:0004:07CD]]Ben quoi ? [[TAG:0003:0002:0F00]]Vous ne connaissez\npas le monde paradis ?!	[[TAG:0002:0004:07CD]].[[TAG:0003:0002:0F00]].[[TAG:0003:0002:0F00]].[[TAG:0003:0002:0F00]]Was? [[TAG:0003:0002:0F00]]Hast du noch nie\nvon der Himmelswelt gehört?	[[TAG:0002:0004:07CD]].[[TAG:0003:0002:0F00]].[[TAG:0003:0002:0F00]].[[TAG:0003:0002:0F00]] Che c'è? [[TAG:0003:0002:0F00]]Mai sentito\nparlare del mondo celeste?	[[TAG:0002:0004:07CD]][[TAG:0003:0002:0F00]][[TAG:0003:0002:0F00]][[TAG:0003:0002:0F00]]¿Qué pasa? [[TAG:0003:0002:0F00]]¿Nunca has\noído hablar de Paradisia?	[[TAG:0002:0004:07CD]].[[TAG:0003:0002:0F00]].[[TAG:0003:0002:0F00]].[[TAG:0003:0002:0F00]]Ne oldu? [[TAG:0003:0002:0F00]]Cennet Diyarı'nı\nhiç duymadın mı?	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
