entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:000A:001F:030B000B000800070008000700080007000800070008000D00CD}},{{TAG:000A:001F:030B000B000800070008000700080007000800070008000D00CD}},{{TAG:000A:001F:030B000B000800070008000700080007000800070008000D00CD}},{{TAG:000A:001F:030B000B000800070008000700080007000800070008000D00CD}},{{TAG:000A:001F:030B000B000800070008000700080007000800070008000D00CD}},{{TAG:000A:001F:030B000B000800070008000700080007000800070008000D00CD}}
2,003,{{TAG:000A:001F:030C000C000A0009000A0009000A0009000A0009000A000E00CD}},{{TAG:000A:001F:030C000C000A0009000A0009000A0009000A0009000A000E00CD}},{{TAG:000A:001F:030C000C000A0009000A0009000A0009000A0009000A000E00CD}},{{TAG:000A:001F:030C000C000A0009000A0009000A0009000A0009000A000E00CD}},{{TAG:000A:001F:030C000C000A0009000A0009000A0009000A0009000A000E00CD}},{{TAG:000A:001F:030C000C000A0009000A0009000A0009000A0009000A000E00CD}}
3,004,,,,,,
4,005,,,,,,
5,006,,,,,,
6,007,"{{TAG:0003:0001:}}Seeing art in person is so different
from seeing it in books!","{{TAG:0003:0001:}}¡Ver una obra de arte en persona
es muy diferente a verla impresa
en un libro!","{{TAG:0003:0001:}}Les livres d'art, c'est bien, mais rien
ne remplace la confrontation
directe avec l'œuvre !","{{TAG:0003:0001:}}L'arte va assaporata dal vivo.
Non serve a nulla studiarla
pedissequamente sui libri!","{{TAG:0003:0001:}}Es ist doch viel besser, Kunst in
echt zu sehen als nur immer in
Büchern!","{{TAG:0003:0001:}}Sanat eserlerini canlı görmek, kitapta
görmekten ne kadar farklı!"
7,008,"{{TAG:0003:0025:}}My favorite part of this exhibit is
seeing everyone else's expressions
of wonder.","{{TAG:0003:0025:}}Sin duda,{{TAG:0007:0000:0A000000}} lo que más me gusta de
la exposición es fijarme en la cara
de impresión que pone la gente.","{{TAG:0003:0025:}}Le plus beau des tableaux, c'est
encore l'émerveillement dans les
yeux des visiteurs...","{{TAG:0003:0025:}}Alle mostre d'arte, adoooro
osservare le facce dei visitatori.","{{TAG:0003:0025:}}Die Ausstellung ist toll.{{TAG:0007:0000:14000000}} Besonders,
wenn man die Gesichtsausdrücke
von anderen Besuchern beobachtet!","{{TAG:0003:0025:}}Bu sergide en sevdiğim şey, diğer
ziyaretçilerin hayranlıkla bakan
yüzlerini görmek."
8,009,"{{TAG:0003:0025:}}Isn't art fascinating?{{TAG:0007:0000:14000000}} You can tell a
whole story with just one painting!","{{TAG:0003:0025:}}¿Acaso no es fascinante el arte?{{TAG:0007:0000:14000000}}
¡Los cuadros te transportan a
mundos lejanos y fantásticos!","{{TAG:0003:0025:}}L'art, c'est fascinant.{{TAG:0007:0000:0A000000}} Dans chaque
tableau, il y a mille histoires à
découvrir !","{{TAG:0003:0025:}}L'arte è cooosì affascinante!{{TAG:0007:0000:14000000}}
Un quadro può raccontarti
una storia intera.","{{TAG:0003:0025:}}Kunst ist wirklich faszinierend.{{TAG:0007:0000:14000000}}
Es stimmt tatsächlich, dass ein Bild
mehr als tausend Worte sagt!","{{TAG:0003:0025:}}Sanat büyüleyici değil mi?{{TAG:0007:0000:14000000}} Tek
bir tabloyla koskoca
bir hikâye anlatılabiliyor!"
9,010,"{{TAG:0003:0025:}}Do you think the parents of famous
artists kept all their kids' drawings
displayed on the fridge?","{{TAG:0003:0025:}}¿Tú crees que los padres de los
artistas famosos pondrían en la
nevera los dibujitos de sus hijos?","{{TAG:0003:0025:}}Tu crois que les parents des grands
peintres accrochaient les dessins de
leurs bambins au mur ?","{{TAG:0003:0025:}}Secondo te il padre di Pitasso
attaccava i disegni del figlio
sul frigo quando era piccolo?","{{TAG:0003:0025:}}Meinst du, dass die Eltern von
berühmten Malern noch deren
Kinderzeichnungen haben?
Die haben doch bestimmt alle mit
Strichmännchen und schiefen
Häusern angefangen...","{{TAG:0003:0025:}}Sence ünlü ressamların anne babaları
da çocuklarının bütün resimlerini
buzdolabına asmış mıdır?"
