index,key,F,G,I,S,U,TR
0,MID_占_爺_人数不足,Il vous faut plus d'unités !,Du benötigst mehr Einheiten!,Devi prima reclutare più unità!,¡Necesitas más unidades!,You need more units first!,Önce daha fazla birime ihtiyacınız var!
1,MID_占_爺_イントロ,"Alors, on peut commencer ?",So! Legen wir los?,Bene! Iniziamo?,¿Y bien? ¿Empezamos ya?,So! Ready to get started?,Pekâlâ! Başlamaya hazır mısınız?
2,MID_占_爺_選択中,"Hmm, ça va être intéressant.
Choisissez-moi deux unités...","Oh, es geht ans Eingemachte.
Welche beiden soll ich prüfen?","Oh, ci divertiremo!
Quale coppia vuoi controllare?","Bueno, esto promete.
¿Quiénes van a participar?","Mmm, this oughta be juicy...
Which two should I examine?","Mmm, bu çok ilginç olmalı...
Hangi ikisini incelemeliyim?"
3,MID_占_爺_選択確認,"Ha ! Ces deux-là ?
","Aha! Sind das die beiden?
","Ah ah! Hai scelto loro?
","¡Ajá! ¿Esta pareja?
","Aha! Are these the two?
","Aha! Bunlar ikisi mi?
"
4,MID_占_爺_再度,"On essaie avec deux autres ?
","Vielleicht ein anderes Paar?
","Proviamo con un'altra coppia?
","¿Quieres utilizar otra pareja?
","Want to test another pair?
","Başka bir çifti test etmek ister misiniz?
"
5,MID_占_爺_さらば,À très bientôt !,Bis dann!,Arrivederci!,¡Hasta pronto!,So long!,Hoşça kal!
6,MID_占_愛_01,Attraction fatale,wird angezogen von,Attrazione fatale,le atrae muchísimo,Fatal attraction,Ölümcül çekim
7,MID_占_愛_02,Amourette,ist vernarrt in,Un'infatuazione,le obsesiona,Infatuated,Delicesine âşık
8,MID_占_愛_03,Amour fou,ist hingerissen von,Ha una cotta,ama con locura a,Smitten,Fena hâlde âşık
9,MID_占_愛_04,Câlinerie,will kuscheln mit,Vera passione,quiere abrazar a,Wants to snuggle,Sarılmak istiyor
10,MID_占_愛_05,Idolâtrie,zeigt Verehrung für,È adorazione,le encanta,Puts on a pedestal,El üstünde tutuyor
11,MID_占_愛_06,Admiration,bewundert,È la sua luce,admira mucho a,Carries a torch for,Ona gizliden âşık
12,MID_占_愛_07,Amour vache,zeigt Zuneigung für,Usa nomignoli,trata con cariño a,Uses pet names,Sevgi sözcükleri kullanır
13,MID_占_愛_08,Coup de foudre,hat Herzklopfen bei,Ha il batticuore,se enternece con,Heart aflutter,Kalbi pır pır
14,MID_占_愛_09,Obsession,hat nur Augen für,Ha un chiodo fisso,solo tiene ojos para,One-track mind,Aklında tek şey var
15,MID_占_愛_10,Amour absolu,gäbe sein Leben für,Darebbe la vita,daría su vida por,Lives and dies for,Uğrunda yaşar ve ölür
16,MID_占_愛_11,Attachement,bleibt immer bei,Sempre insieme,adora estar con,Never wants to part,Asla ayrılmak istemiyor
17,MID_占_愛_12,Adoration,gäbe alles für,Darebbe la vita,lo daría todo por,Would give anything,Her şeyini verir
18,MID_占_愛_13,Dévotion,fühlt Verehrung für,È fedele,se entrega a,Devoted,Adanmış
19,MID_占_愛_14,Amour infini,ist völlig verliebt in,Ama follemente,ama locamente a,Head over heels,Sırılsıklam âşık
20,MID_占_愛_15,Peur de la rupture,fürchtet Verlust von,Teme il distacco,no puede vivir sin,Separation anxiety,Ayrılık kaygısı
21,MID_占_愛_16,Premier amour,ist total verliebt in,Il primo amore,solo piensa en,First love,İlk aşk
22,MID_占_愛_17,Ravissement,starrt auf,Non guarda altro,no deja de mirar a,Always staring,Hep ona bakıyor
23,MID_占_愛_18,Désir d'attention,will Zuwendung von,Vuole attenzioni,quiere atraer a,Desires attention,Dikkat ister
24,MID_占_愛_19,Amour inévitable,passt perfekt zu,Era destino,se siente ideal para,Drawn by destiny,Kaderin birleştirdiği
25,MID_占_愛_20,Sens du sacrifice,opfert sich auf für,Farà mille sacrifici,se desvive por,True sacrificer,Fedakâr
26,MID_占_愛_21,Amour véritable,fühlt echte Liebe für,È vero amore,ama sin tapujos a,True love,Gerçek aşk
