index,label,English,French,German,Italian,Spanish,Turkish
0,Normal_man,Let's go out and then get married!,"Nous ferions un beau couple !
Veux-tu être ma petite amie ?","Lass uns mehr als nur Freunde sein... und
eines Tages zusammen unsere Hochzeit planen!","Dovremmo cominciare a frequentarci,
uscire insieme e in futuro... sposarci!",¡Salgamos juntos y luego casémonos!,"Hadi sevgili olalım, sonra da evleniriz!"
1,Normal_woman,"Would somebody like you go out with
somebody like me?","Dis, est-ce que tu accepterais
de sortir avec moi ?","Meinst du, jemand wie du könnte sich in
jemanden wie mich verlieben?","Una persona come te andrebbe mai
a un appuntamento con me?",¿Te gustaría salir con alguien como yo?,"Senin gibi biri...
benim gibi biriyle çıkar mı?"
2,Romantic_man,"I was like a regular coffee but you made my
life creamy...{TAG_1}Please go out with me.","Ma vie n'était qu'un café amer, mais grâce à toi,
elle est devenue douce et sucrée...{TAG_1}Sors avec moi !","Ich war bitter wie ein schwarzer Kaffee. Erst du
hast Milch und Zucker in mein Leben gebracht...{TAG_1}Bitte lass uns miteinander gehen.","Prima la mia vita era come un caffè amaro, 
ma tu hai aggiunto la panna e lo zucchero...{TAG_1}Usciamo insieme!","Mi vida era triste como el café solo, pero
ahora es cremosa como el café con leche.{TAG_1}¡Gracias a ti! ¿Quieres salir conmigo?","Hayatım sade, acı bir kahve gibiydi;
sen onu kremalı yaptın...{TAG_1}Lütfen benimle çık."
3,Romantic_woman,"Would you like to visit all the loveliest cafes
in the world with me?","Tu ne voudrais pas visiter les cafés les plus
romantiques du monde avec moi ?","Lass uns beide, dich und mich, zusammen
die schönsten Cafés der Welt besuchen!","Ti piacerebbe visitare i caffè più romantici
in giro per il mondo in mia compagnia?","¿Te gustaría visitar las cafeterías más
románticas del mundo conmigo?","Dünyanın en güzel kafelerini
benimle gezmek ister misin?"
4,Proudly_man,"Hold on... You're not going to say that we
are not going out already, are you?","On sort déjà ensemble, de toute façon, non ?
Il serait temps de l'officialiser !","Sag... Du kannst doch jetzt nicht sagen,
dass wir nicht schon längst ein Paar sind?!","Aspetta un attimo.... stai forse dicendo
che noi non usciamo già insieme?","Un momento... ¡Pensaba que ya estábamos saliendo
juntos! Bueno, te lo pregunto para que quede claro:{TAG_1}¿Quieres salir conmigo?","Bir saniye... Zaten sevgili sayılmıyor muyuz,
yoksa sen öyle düşünmüyor musun?"
5,Proudly_woman,"Well, somebody has to make the first move,
so...{TAG_1}Go out with me!","Il faut bien que quelqu'un fasse le premier pas,
alors voilà : tu veux sortir avec moi ?","Irgendjemand muss den ersten Schritt tun,
also...{TAG_1}Komm, lass uns als Paar durchs Leben gehen!","Beh, qualcuno dovrà pur fare il primo passo...{TAG_1}Ti va di uscire con me?","Bueno, uno de los dos tiene que dar el primer
paso, así que...{TAG_1}¿Quieres salir conmigo?","İlk adımı birimizin atması lazım, o yüzden...{TAG_1}Benimle çık!"
6,Desperate_man,"I'll buy you a chocolate sundae if you go 
out with me!","Si tu sors avec moi, je te paierai une glace !","Bitte, bitte, werde meine Freundin! Ich kauf
dir auch ein extragroßes Schokoladeneis!","Se accetti di uscire con me, ti offrirò una
bella coppa di gelato!","¡Si sales conmigo, te invito a un parfait
de chocolate!","Benimle çıkarsan sana çikolatalı
kup dondurma ısmarlarım!"
7,Desperate_woman,"I would change everything about me just to
get the chance to go out with you!","Je changerai tout ce que tu n'aimes pas
chez moi, si tu me laisses sortir avec toi !","Ich schwöre, ich kann alles an mir
ändern, wenn du nur mein Freund wirst!","Farei qualsiasi cosa per avere
un appuntamento con te!","Me enfrentaré a cualquier dificultad para que
estemos juntos. ¡Sal conmigo, te lo ruego!","Seninle çıkabilmek için kendimle ilgili
her şeyi değiştirmeye razıyım!"
8,Cute_both_00,Hey...,Dis...,Hör mal...,Ehi...,Oye...,Şey...
9,Cute_both_01,Why don't we start going out together?,"On pourrait sortir ensemble à partir
d'aujourd'hui, non ?",Wollen wir nicht einfach miteinander gehen?,Che ne diresti di cominciare a uscire insieme?,"¿Te gustaría que a partir de hoy
saliéramos juntos?",Birlikte çıkmaya ne dersin?
