entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Hey!{{TAG:0007:0000:14000000}} Way to make it here, guys.{{TAG:000C:0009:}}",{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}¡Hola!{{TAG:0007:0000:14000000}} ¡Habéis llegado!{{TAG:000C:0009:}},{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Yo !{{TAG:0007:0000:14000000}} Vous voilà enfin !{{TAG:000C:0009:}},{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Ehi!{{TAG:0007:0000:14000000}} Eccovi qua!{{TAG:000C:0009:}},"{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Hey!{{TAG:0007:0000:14000000}} Endlich seid ihr hier, Leute!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Hey!{{TAG:0007:0000:14000000}} Sonunda geldiniz, millet.{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0002:}}Ha ha!{{TAG:0007:0000:08000000}} You actually made it back!{{TAG:0007:0000:14000000}}
Thanks for the effort, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0002:}}¡Ja, ja!{{TAG:0007:0000:08000000}} ¡Ya pensaba que no veníais!{{TAG:0007:0000:14000000}}
¡Gracias por el favor, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0002:}}Oh !{{TAG:0007:0000:0F000000}} Te revoilà, {{TAG:0005:0008:}} !{{TAG:0007:0000:0F000000}} Merci
de m'avoir rendu ce service !{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0002:}}Ah ah!{{TAG:0007:0000:08000000}} Ce l'hai fatta!{{TAG:0007:0000:14000000}}
Grazie per avermi aiutato,
{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0002:}}Haha!{{TAG:0007:0000:08000000}} Endlich bist du zurück!{{TAG:0007:0000:14000000}}
Danke für deine Hilfe, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0002:}}Ha ha!{{TAG:0007:0000:08000000}} Gerçekten geri döndün!{{TAG:0007:0000:14000000}} Zahmetin
için sağ ol, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}{{TAG:000C:0009:}}"
2,003,{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0026:}}Yo!{{TAG:0007:0000:08000000}} Welcome back!{{TAG:000C:0009:}},{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0026:}}¡Hola!{{TAG:0007:0000:08000000}} ¡Bienvenid{{TAG:000E:0006:02006F0002006100}}s!{{TAG:000C:0009:}},{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0026:}}Ha ha !{{TAG:0007:0000:08000000}} Content de vous voir !{{TAG:000C:0009:}},{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0026:}}Ehi!{{TAG:0007:0000:08000000}} Che bello rivederti!{{TAG:000C:0009:}},{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0026:}}Hey ho!{{TAG:0007:0000:08000000}} Willkommen zurück!{{TAG:000C:0009:}},{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0026:}}Hey!{{TAG:0007:0000:08000000}} Tekrar hoş geldin!{{TAG:000C:0009:}}
3,004,"{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:001B:}}Hey!{{TAG:0007:0000:14000000}} You two are late!{{TAG:0000:0004:}}I got tired of waiting, so I was going
to go get you, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:001B:}}¡Hola!{{TAG:0007:0000:14000000}} ¡A buenas horas! ¡Habéis
llegado tarde!{{TAG:0000:0004:}}¡Ya me había cansado de esperar e
iba a salir a buscaros, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:001B:}}Bah alors ?!{{TAG:0007:0000:14000000}} Fallait surtout pas vous
presser, hein...{{TAG:0000:0004:}}Encore un peu, et je venais vous
chercher en personne,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:001B:}}Ehi!{{TAG:0007:0000:14000000}} Siete in ritardo!{{TAG:0000:0004:}}Ero stanco di aspettare e stavo
per venire a cercarvi, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:001B:}}Hey!{{TAG:0007:0000:14000000}} Ihr seid spät dran, ihr zwei!{{TAG:0000:0004:}}Ich wollt schon die Laufschuhe
schnüren und nach euch sehen,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:001B:}}Hey!{{TAG:0007:0000:14000000}} İkiniz de geç kaldınız!{{TAG:0000:0004:}}Beklemekten
sıkıldım, sizi almaya
geliyordum, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}So tell me, {{TAG:0011:0001:0000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}What am I doing here?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}A ver, {{TAG:0011:0001:0000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}¿De qué se trata?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Kikou, {{TAG:0011:0001:0000}} !{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}Pourquoi tu
m'as... invoquée...?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Cioè, dimmi, {{TAG:0011:0001:0000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Che ci faccio qui?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Dann erzähl mal, {{TAG:0011:0001:0000}}!
{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Warum hast du mich extra holen
lassen, {{TAG:0007:0000:0A000000}}hm?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Söylesene, {{TAG:0011:0001:0000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Ben niye buradayım?{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Whew! Made it here!{{TAG:0007:0000:08000000}}{{TAG:0003:0017:}} So what do
you need, {{TAG:0011:0001:0000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}¡Hemos venido superrápido!{{TAG:0007:0000:08000000}}{{TAG:0003:0017:}}
¿Para qué me has llamado?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Pfiou ! Voilà la plus belle, lol !{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}Tu
voulais quoi, {{TAG:0011:0001:0000}} ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Ciaaao! Eccomi qui, trendy come
sempre!{{TAG:0007:0000:08000000}}{{TAG:0003:0017:}} Posso fare qualcosa
per te, {{TAG:0011:0001:0000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Puh! {{TAG:0007:0000:14000000}}Ich hab's hergeschafft!
{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Also, {{TAG:0007:0000:0A000000}}was willst du von mir,
{{TAG:0011:0001:0000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Oh be! Geldim!{{TAG:0007:0000:08000000}}{{TAG:0003:0017:}} Ee, ne lazımdı,
{{TAG:0011:0001:0000}}?{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}So what's going on, {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Why am I here?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Bueno,{{TAG:0007:0000:08000000}} ¿cuál es el problema,{{TAG:0007:0000:08000000}}
{{TAG:0011:0001:0000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0017:}}Qu'est-ce qui se passe,
{{TAG:0011:0001:0000}} ?{{TAG:0007:0000:14000000}} Je te manquais à ce
point, lol ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Allora, che succede, {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Perché sono qui?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Was liegt an, {{TAG:0011:0001:0000}}?
{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Warum bin ich hier?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}Neler oluyor, {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Beni niye çağırdın?{{TAG:000C:0009:}}"
7,008,,,,,,
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:001A:}}Umm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} I just{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} It's about time I gave
this back to you.{{TAG:0007:0000:14000000}} I borrowed it a
long time ago!{{TAG:0000:0004:}}{{TAG:0003:0026:}}So here!{{TAG:0007:0000:14000000}} Thanks, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:001A:}}Hum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Es que{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ya era hora de
que te devolviese esto.{{TAG:0007:0000:14000000}} ¡Me lo
prestaste hace mucho tiempo!
{{TAG:0003:0026:}}Pues nada, ¡aquí lo tienes!{{TAG:0007:0000:14000000}}
¡Gracias, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:001A:}}Bah{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Je voulais juste te rendre ce
truc que tu m'avais prêté il y a un
bail{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.!
{{TAG:0003:0026:}}Donc, tiens !{{TAG:0007:0000:14000000}} Et merci,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}} !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:001A:}}Ummmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Io{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} volevo ridarti
una cosa che mi hai prestato
tantissimo tempo fa!
{{TAG:0003:0026:}}Prendi!{{TAG:0007:0000:14000000}} Grazie, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:001A:}}Ähm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ich wollte dir...{{TAG:0007:0000:28000000}} Ich wollte dir
nur das hier zurückgeben.{{TAG:0007:0000:14000000}} Du hast es
mir vor Ewigkeiten ausgeliehen.{{TAG:0000:0004:}}{{TAG:0003:0026:}}Hier ist es!{{TAG:0007:0000:14000000}} Danke, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:001A:}}Şey{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ben de{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Bunu artık sana geri
vermeliyim.{{TAG:0007:0000:14000000}} Çok uzun zaman önce ödünç
almıştım!{{TAG:0000:0004:}}{{TAG:0003:0026:}}Al bakalım!{{TAG:0007:0000:14000000}} Sağ ol, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Like, whoa!{{TAG:0007:0000:14000000}} Is that my old
{{TAG:0011:0003:0000}}?{{TAG:0007:0000:28000000}}
That totally takes me back!
{{TAG:0003:0002:}}I'm not sure what's more shocking—{{TAG:0007:0000:08000000}}
the fact that you still have it or the
fact that you're giving it back!{{TAG:0003:0001:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}¡Anda!{{TAG:0007:0000:14000000}} ¡Pero si es mi viej{{TAG:000E:0008:00CD02006F00020061000000}}
{{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}{{TAG:0003:0002:}}¡Qué fuerte que te hayas acordado!{{TAG:0007:0000:14000000}}
Con lo despistado que tú eres.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Oh, saperliclochette...!{{TAG:0007:0000:14000000}} C'est {{TAG:000E:0008:00CD06006D006F006E0004006D0061000000}}
méga {{TAG:0011:0003:0000}} !{{TAG:0007:0000:28000000}} Que
de souvenirs !
{{TAG:0003:0002:}}Je me demande ce qui m'étonne le
plus :{{TAG:0007:0000:0F000000}} le fait que tu l'aies {{TAG:000E:0008:00CD0A006700610072006400E9000C006700610072006400E90065000000}} ou
le fait que tu me {{TAG:000E:0008:00CD04006C00650004006C0061000000}} rendes !{{TAG:0003:0001:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Che storia!{{TAG:0007:0000:14000000}} Ma quest{{TAG:000E:0008:00CD02006F000200610002003000}} è
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D006900610002003000}} {{TAG:0011:0003:0000}}?{{TAG:0007:0000:28000000}}
Erano secoli che non l{{TAG:000E:0008:00CD02006F000200610002003000}} vedevo!
{{TAG:0003:0002:}}Cioè, sono supermegastupita...{{TAG:0007:0000:08000000}}
Non solo ce l'avevi ancora, ma ora
me l{{TAG:000E:0008:00CD02006F000200610002003000}} stai restituendo! Allucinante!{{TAG:0003:0001:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Boah! {{TAG:0007:0000:14000000}}Das ist doch {{TAG:000E:0008:00CD14006D00650069006E00200061006C0074006500720014006D00650069006E006500200061006C007400650014006D00650069006E00200061006C00740065007300}}
{{TAG:0011:0003:0000}}! {{TAG:0007:0000:28000000}}Da
werden Erinnerungen wach...
{{TAG:0003:0002:}}Ich weiß gerade auch gar nicht,
was ich schockierender find...{{TAG:0000:0004:}}Dass du das Ding immer noch hast,
oder dass du es mir zurückgibst! {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Vay canına!{{TAG:0007:0000:14000000}} Bu benim eski
{{TAG:0011:0003:0000}} değil mi?{{TAG:0007:0000:28000000}}
Resmen geçmişe ışınlandım!
{{TAG:0003:0002:}}Hangisine daha çok şaşırayım bilemedim—{{TAG:0007:0000:08000000}}
hâlâ sende olmasına mı, yoksa geri
getirmene mi!{{TAG:0003:0001:}}"
