entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0016:}}Oh, right!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Today's {{TAG:0000:0003:0200}}April Fools' Day{{TAG:0000:0003:FFFF}}!
{{TAG:0003:0015:}}I need to come up with some good
pranks, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0016:}}¡Ah, es verdad!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} ¡Hoy es el Día de
las Bromas! {{TAG:0003:0015:}}¡A ver si se me ocurre
una buena bromita, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0016:}}Oh, c'est vrai !{{TAG:0007:0000:1E000000}} {{TAG:0003:0025:}}On est le 1 avril !
{{TAG:0003:0015:}}Faut qu'j'réfléchisse à d'bons
canulars,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0016:}}Ah, vero!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Oggi è il 1º aprile!
{{TAG:0003:0015:}}Devo farmi venire in mente
qualche scherzo, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0016:}}Oh!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Heute ist der 1. April! {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Da muss
ich mir 'n paar geniale Streiche
einfallen lassen, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0016:}}Doğru ya{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}! Bugün{{TAG:0000:0003:0200}} 1 Nisan!{{TAG:0000:0003:FFFF}}{{TAG:0003:0015:}} İyi
birkaç şaka bulmam lazım, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!"
1,002,,,,,,
2,003,,,,,,
3,004,"{{TAG:0003:0017:}}What gives, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}
You're looking extra panicky.{{TAG:000F:0005:00000000}}
Help! Doppelganger!
Nothing.","{{TAG:0003:0017:}}¿Cómo va eso, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}
Te veo como asustad{{TAG:000E:0006:02006F0002006100}}.{{TAG:000F:0005:00000000}}
¡Socorro! ¡Un doble!
No me pasa nada...","{{TAG:0003:0017:}}Qu'est-ce qui t'arrive, {{TAG:0005:0008:}} ?{{TAG:0007:0000:14000000}}
T'as l'air en panique.{{TAG:000F:0005:00000000}}
C'est la cata !
T'hallucines.","{{TAG:0003:0017:}}Che ti succede, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}
Perché sei così agitat{{TAG:000E:0006:02006F0002006100}}?{{TAG:000F:0005:00000000}}
Aiuto! Vedo doppio!
No, niente.","{{TAG:0003:0017:}}Was gibt's, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}
Du siehst aus, als hättste 'nen Geist
gesehn.{{TAG:000F:0005:00000000}}
Hilfe! Doppelgänger!
Alles in Ordnung.","{{TAG:0003:0017:}}Ne oldu {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}} Fazla panik görünüyorsun.{{TAG:000F:0005:00000000}}
Yardım! Gofretganger!
Bir şey yok."
4,005,"{{TAG:0003:0010:}}What?!{{TAG:0007:0000:28000000}} Wafflehanger?{{TAG:0007:0000:28000000}} You saw an
exact duplicate of {{TAG:0011:0001:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Dude!{{TAG:0007:0000:14000000}} Gimme a break!{{TAG:0007:0000:14000000}} You're not
playing your hand very well!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}{{TAG:0000:0004:}}{{TAG:0003:0015:}}I might be an April fool, but I'm not
falling for the ol' wafflehanger gag!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}¡¿Qué?!{{TAG:0007:0000:28000000}} ¿Doble? ¿Una ración doble
de {{TAG:0005:0010:0000}}?{{TAG:0007:0000:28000000}} Ah, ¿que
has visto a un doble de {{TAG:0011:0001:0000}}?
Pero bueno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}¿Tú te has creído
que nací ayer o qué?{{TAG:0007:0000:14000000}} ¡Anda ya!{{TAG:0007:0000:14000000}}
¿Sabes que mientes muy mal?{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}
{{TAG:0003:0015:}}Será el Día de las Bromas, ¡pero
no pienso dejar que me engañes
miserablemente, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Quoi ?!{{TAG:0007:0000:28000000}} T'as vu un parfait sosie
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0000}} ?!{{TAG:0007:0000:14000000}}
{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0002:}}Arf !{{TAG:0007:0000:14000000}} Arrête tes salades !{{TAG:0007:0000:14000000}} J'ai connu
{{TAG:000E:0006:20006D00650069006C006C0065007500720020006D0065006E00740065007500720024006D00650069006C006C00650075007200650020006D0065006E0074006500750073006500}} !{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}{{TAG:0000:0004:}}{{TAG:0003:0015:}}Va falloir la jouer plus en finesse si
tu veux m'avoir la prochaine fois !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0010:}}Cosa vorresti dire?!{{TAG:0007:0000:28000000}} Sei sicur{{TAG:000E:0006:02006F0002006100}} di
sentirti bene?{{TAG:0007:0000:28000000}} Hai visto {{TAG:000E:0008:00CD100075006E00200073006F00730069006100120075006E006100200073006F0073006900610002003000}}
di {{TAG:0011:0001:0000}}? Non ci credo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0002:}}Ma va!{{TAG:0007:0000:14000000}} Secondo te dovrei bermi
una storia del genere?{{TAG:0007:0000:14000000}} Non sei
molto convincente!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}
{{TAG:0003:0015:}}Anche se a volte ho la testa tra
le nuvole, non sono una credulona,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Was!?{{TAG:0007:0000:28000000}} Du hast {{TAG:000E:0008:00CD220027006E0065006E00200044006F007000700065006C006700E4006E00670065007200240027006E006500200044006F007000700065006C006700E4006E0067006500720069006E0002003000}}
von {{TAG:0011:0001:0000}} gesehn?
{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0002:}}Ach, komm schon!{{TAG:0007:0000:14000000}} Besonders
überzeugend war das jetzt aber
nicht!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}
{{TAG:0003:0015:}}Ich bin schon auf einige Aprilscherze
reingefallen, aber nie auf den alten
Doppelgängertrick! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Ne?{{TAG:0007:0000:28000000}}!{{TAG:0007:0000:28000000}} Gofretganger mı? {{TAG:0011:0001:0000}}'ın{{TAG:0000:0004:}}{{TAG:0003:0002:}}{{TAG:0007:0000:14000000}}
tıpatıp kopyasını{{TAG:0007:0000:14000000}} mı gördün?
Dostum, bu numarayı{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}{{TAG:0000:0004:}}{{TAG:0003:0015:}} yutmam! 1
Nisan diye gofretganger şakasına
kanacak değilim! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
5,006,"{{TAG:0003:0000:}}Oh yeah?{{TAG:0007:0000:14000000}} Really?{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Well, fine then!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0000:}}¿Ah, sí?{{TAG:0007:0000:14000000}} ¿Con esas estamos?{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Bueno,
¡pues como quieras, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0000:}}Ah bon ?{{TAG:0007:0000:14000000}} {{TAG:000E:0006:06005300FB00720008005300FB0072006500}} ?{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Tant mieux, alors !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0000:}}Ah, OK.{{TAG:0007:0000:14000000}} Era solo un'impressione
allora.{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Mi sarò sbagliata,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0000:}}Biste dir sicher?{{TAG:0007:0000:28000000}} {{TAG:0003:0024:}}Dann ist ja alles
in Butter! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0000:}}Öyle mi?{{TAG:0007:0000:14000000}} Gerçekten{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} mi? Peki o
zaman! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:0015:}}It's {{TAG:0000:0003:0200}}April Fools' Day{{TAG:0000:0003:FFFF}}, so I've gotta
be ready for anything!{{TAG:0000:0004:}}{{TAG:0003:0023:}}You too! {{TAG:0007:0000:08000000}}Don't let your guard down
today, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Es el Día de las Bromas, ¡así que
tengo que estar preparada para
absolutamente cualquier cosa!
{{TAG:0003:0023:}}¡Y tú también! {{TAG:0007:0000:08000000}}¡Que no te la
cuelen hoy, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}C'est le 1 avril,{{TAG:0007:0000:14000000}} faut s'attendre à
tout ! {{TAG:0003:0023:}}Reste bien sur tes gardes,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Oggi è il 1º aprile, quindi bisogna
essere pronti a tutto. {{TAG:0003:0023:}}Mi guarderei
le spalle se fossi in te!
{{TAG:0007:0000:08000000}}Non abbassare mai la guardia,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Heute ist der 1. April, {{TAG:0007:0000:08000000}}da muss ich
auf alles vorbereitet sein!{{TAG:0000:0004:}}{{TAG:0003:0023:}}Du übrigens auch! {{TAG:0007:0000:08000000}}Lass dich ja
nicht veräppeln, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}1{{TAG:0000:0003:0200}} Nisan olduğuna{{TAG:0000:0003:FFFF}} göre her şeye
hazır olmalıyım{{TAG:0000:0004:}}{{TAG:0003:0023:}}!{{TAG:0007:0000:08000000}} Sen de gardını
düşürme, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!"
7,008,,,,,,
8,009,,,,,,
9,010,"{{TAG:0003:0017:}}What's up, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}You look pale{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Did something weird
happen?{{TAG:000F:0005:00000000}}
Help! Doppelganger!
It's nothing.","{{TAG:0003:0017:}}¿Qué tal, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}Te veo pálid{{TAG:000E:0006:02006F0002006100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¿Es que has visto
algo raro?{{TAG:000F:0005:00000000}}
¡Socorro! ¡Un doble!
No es nada","{{TAG:0003:0017:}}Quoi d'neuf, {{TAG:0005:0008:}} ?{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}T'es {{TAG:000E:0006:1A0074006F007500740020007000E2006C006900630068006F006E00200074006F0075007400650020007000E2006C006900630068006F006E006E006500}}{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:0F000000}}.{{TAG:0007:0000:14000000}} Y s'est
passé un truc ?{{TAG:000F:0005:00000000}}
Au secours !
Ben non.","{{TAG:0003:0017:}}Che c'è, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}Che brutta
cera che hai oggi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Ti è successo qualcosa?{{TAG:000F:0005:00000000}}
Aiuto! Vedo doppio!
No, niente.","{{TAG:0003:0017:}}Was is' los, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}Du bist ja
ganz blass{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. Ist irgendwas passiert?{{TAG:000F:0005:00000000}}
Hilfe! Doppelgänger!
Gar nichts...","{{TAG:0003:0017:}}Ne var {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Bembeyaz olmuşsun{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}...
Tuhaf bir şey mi oldu?{{TAG:000F:0005:00000000}}
Yardım! Gofretganger!
Yok bir şey."
