index,key,F,G,I,S,U,TR
0,MID_様子_シンシア_前,"Il faut bien trouver une activité entre
chaque combat. C'est important !","Wie verbringst du deine Freizeit? Wir sollten
jede Pause nutzen, die wir kriegen können.","Come passi il tempo libero?
Dobbiamo approfittare delle pause.","Todos necesitamos un respiro. ¿A qué
dedicarán mis camaradas su tiempo libre?","How do you spend your free time? We
should take whatever breathers we can.","Boş vaktini nasıl geçirirsin?
Bulduğumuz her fırsatta soluklanmalıyız."
1,MID_様子_シンシア_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_シンシア_前_通さん,"Il faut bien trouver une activité entre
chaque combat. C'est important !","Wie verbringt Ihr Eure Freizeit? Wir sollten
jede Pause nutzen, die wir erhalten.","Come passi il tempo libero?
Dobbiamo approfittare delle pause.","Todos necesitamos un respiro. ¿A qué
dedicarán mis camaradas su tiempo libre?","How do you spend your free time? We
should take whatever breathers we can.","Boş zamanınızı nasıl geçirirsiniz?
Bulduğumuz her fırsatta soluklanmalıyız."
3,MID_様子_シンシア_後,"Moi, je veille à la sécurité de tous !
Éviter les catastrophes me détend !","Ich sorge dafür, dass alle sicher sind! Jede
abgewendete Krise freut mich!","Controllo che stiano tutti bene!
Evitare un'altra crisi mi dà gioia.","¡Pues yo me aseguro de que todos estén a
salvo! Me encanta evitar problemas.","I make sure everyone is safe! Seeing
another crisis averted makes me happy.","Herkesi kolluyorum! Bir krizin daha
atlatıldığını görmek beni mutlu ediyor."
4,MID_様子_シンシア_後_通さん,"Moi, je veille à la sécurité de tous !
Éviter les catastrophes me détend !","Ich sorge dafür, dass alle sicher sind! Jede
abgewendete Krise freut mich!","Controllo che stiano tutti bene!
Evitare un'altra crisi mi dà gioia.","¡Pues yo me aseguro de que todos estén a
salvo! Me encanta evitar problemas.","I make sure everyone is safe! Seeing
another crisis averted makes me happy.","Herkesi kolluyorum! Bir krizin daha
atlatıldığını görmek beni mutlu ediyor."
5,MID_様子_シンシア_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_シンシア_前_親子_子,"Ça va, Linfan ? Tu as l'air fatiguée ! Une
héroïne doit être au mieux de sa forme !","Linfan, du wirkst müde. Geht's dir gut?
Helden müssen in Form bleiben!","Linfan, sembri stanca. Stai bene? Gli
eroi devono essere pieni di energia!","Linfan, pareces cansada. ¿Estás bien?
¡Una heroína debe estar en buena forma!","Morgan, you look tired. Are you all right?
Heroes have to stay in top form!","Morgan, yorgun görünüyorsun. İyi misin?
Kahramanlar en iyi formda kalmalı!"
7,MID_様子_シンシア_後_親子_子,"Une héroïne pâle, ça ne va pas du tout ! Il
me faut du fond de teint... Ou un masque !","Wie?!? Ein bleicher Rächer? Oh, nein!
Ich brauche Schminke... Oder eine Maske!","Cosa?! Il giustiziere pallido. Oh no! Devo
mettermi un po' di fard... O una maschera!","¡¿Cómo?! ¿Que estoy pálida? ¡Qué horror!
¿Alguien tiene maquillaje... o una máscara?","What?! A pale avenger? Oh no!
I'd better put on make-up... Or a mask!","Ne?! Solgun bir intikamcı mı? Ah hayır!
Makyaj yapsam iyi olur... Ya da maske!"
8,MID_様子_シンシア_前_親子_母,"Oh, non ! Vous avez encore fait une chute !
Viiite, de l'aide ! Tenez bon !","Aaah! Mutter, dein Arm blutet! Wirst du
durchhalten? Hilfe! Zu Hilfe!","Aaaugh! Mamma, ti sanguina il braccio!
Tieni duro! Aiuto! C'è un ferito!","¡Aaaaah! ¡Madre, te sangra el brazo!
¿Te pondrás bien? ¡Busquemos ayuda!","Aaaugh! Mother, your arm is bleeding!
Are you gonna make it? Help! Someone!","Aaah! Anne, kolun kanıyor!
İyi olacak mısın? Yardım edin!"
9,MID_様子_シンシア_後_親子_母,"Ce n'est pas la première fois que je fais une
chute de pégase ! Tout va bien, maman.","Mir geht's gut, Mutter. Übertreib es nicht.
Ich kann selbst auf mich aufpassen!","Mamma, non farti prendere dal panico.
Sono abituata alle cadute dal pegaso!","Estoy bien, madre. No pasa nada. ¡No es
la primera vez que me caigo del pegaso!","I'm fine, Mother. Don't get carried away.
I can take my share of pegasus spills!","İyiyim anne. Abartma. Pegasus'tan
düşmeye alışkınım!"
