entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}So, uh, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}. I need your
honest opinion.{{TAG:0000:0004:}}{{TAG:0003:0025:}}You know how I say ""{{TAG:0005:0007:}}""
a lot?{{TAG:0007:0001:}}{{TAG:0003:0017:}} Do you think I should find
something else to say?{{TAG:0008:0005:0400000003000000}}
Say something else!
I think it's great!","{{TAG:0003:0001:}}Oye, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0025:}}¿Has notado que repito mucho
""{{TAG:0005:0007:}}""?{{TAG:0007:0001:}}{{TAG:0003:0017:}} Sinceramente, {{TAG:0007:0000:0A000000}}
¿a ti qué te parece?{{TAG:0008:0005:0400000003000000}}
Cámbialo
Me gusta","{{TAG:0003:0001:}}Hé, dis, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Tu sais, ce truc que je dis tout le
temps, « {{TAG:0005:0007:}} »...?{{TAG:0007:0001:}} {{TAG:0003:0017:}}Dis-moi
franchement, t'en penses quoi ?{{TAG:0008:0005:0400000003000000}}
Change de disque !
Dis-le encore !","{{TAG:0003:0001:}}Salut, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Immagino ti sarai accort{{TAG:000E:0006:02006F0002006100}} che dico
spesso ""{{TAG:0005:0007:}}""...{{TAG:0007:0001:}}{{TAG:0003:0017:}}
Dimmi la verità, {{TAG:0007:0000:0A000000}}che ne pensi?{{TAG:0008:0005:0400000003000000}}
Non ne posso più...
Mi piace moltissimo!","{{TAG:0003:0001:}}Äh, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Dir ist bestimmt aufgefallen, dass
ich immer „{{TAG:0005:0007:}}“ sage...{{TAG:0007:0001:}}{{TAG:0003:0017:}}
Mal im Ernst... {{TAG:0007:0000:0A000000}}Wie findest du das?{{TAG:0008:0005:0400000003000000}}
Sag mal was anderes!
Mir gefällt es!","{{TAG:0003:0001:}}Şey, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}. Dürüst fikrine
ihtiyacım var.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Hani sık sık “{{TAG:0005:0007:}}”
diyorum ya?{{TAG:0007:0001:}}{{TAG:0003:0017:}} Sence başka bir şey
söylemeye başlamalı mıyım?{{TAG:0008:0005:0400000003000000}}
Başka bir şey söyle!
Bence çok güzel!"
1,002,"{{TAG:0003:0001:}}So {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} how are you today,
{{TAG:0005:0007:}}? {{TAG:0007:0001:}}{{TAG:0003:0029:}}Oh no!{{TAG:0007:0000:14000000}} I said
""{{TAG:0005:0007:}}"" again!
{{TAG:0003:0009:}}{{TAG:0005:0002:}} pointed out how often
I say ""{{TAG:0005:0007:}}.""{{TAG:0007:0000:0A000000}} It's a habit
I just can't shake.
{{TAG:0003:000C:}}Do you think saying ""{{TAG:0005:0007:}}""
all the time makes me seem boring?{{TAG:0008:0005:0400000003000000}}
Yes. Very.
Not at all!","{{TAG:0003:0001:}}Oye, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} ¿cómo estás,
{{TAG:0005:0007:}}? {{TAG:0007:0001:}}{{TAG:0003:0029:}}¡Ay, no!{{TAG:0007:0000:14000000}} ¡He vuelto
a decir ""{{TAG:0005:0007:}}""!
{{TAG:0003:0009:}}{{TAG:000E:0003:}}{{TAG:0005:0002:}} dice que lo repito
demasiado.{{TAG:0007:0000:0A000000}} Es una costumbre de
la que cuesta desprenderse.
{{TAG:0003:000C:}}¿Tú crees que decir ""{{TAG:0005:0007:}}""
todo el tiempo me hace parecer
un bicho raro?{{TAG:0008:0005:0400000003000000}}
Sí, mucho
¡Qué va!","{{TAG:0003:0001:}}Ça va, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} ?
{{TAG:0007:0001:}}{{TAG:0003:0029:}}Purée,{{TAG:0007:0000:14000000}} je dis tout le temps
« {{TAG:0005:0007:}} », {{TAG:0005:0007:}} !
{{TAG:0003:0009:}}{{TAG:0005:0002:}} m'a dit que je dis trop
souvent « {{TAG:0005:0007:}} ».{{TAG:0007:0000:0A000000}} Je peux
pas m'en empêcher, {{TAG:0005:0007:}}.
{{TAG:0003:000C:}}Tu penses que j'ai l'air folle à
répéter « {{TAG:0005:0007:}} » sans
arrêt, {{TAG:0005:0007:}} ?{{TAG:0008:0005:0400000003000000}}
Oh oui...
Pas plus que d'hab.","{{TAG:0003:0001:}}Salut, {{TAG:0005:0008:}}, {{TAG:0007:0000:14000000}}come stai,
{{TAG:0005:0007:}}? {{TAG:0007:0001:}}{{TAG:0003:0029:}}Ooops!{{TAG:0007:0000:14000000}} Ho detto
di nuovo ""{{TAG:0005:0007:}}""!
{{TAG:0003:0009:}}{{TAG:000E:0003:}}{{TAG:0005:0002:}} mi ha fatto notare che
lo ripeto in continuazione.{{TAG:0007:0000:0A000000}} È
un vizio difficile da togliersi.
{{TAG:0003:000C:}}Pensi che dire sempre
""{{TAG:0005:0007:}}"" mi faccia apparire
un po' noiosa?{{TAG:0008:0005:0400000003000000}}
Sì, parecchio.
No, non preoccuparti.","{{TAG:0003:0001:}}Na, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} wie geht's,
{{TAG:0005:0007:}}? {{TAG:0007:0001:}}{{TAG:0003:0029:}}Hoppla!{{TAG:0007:0000:14000000}} Jetzt hab
ich wieder „{{TAG:0005:0007:}}“ gesagt!
{{TAG:0003:0009:}}{{TAG:000E:0003:}}{{TAG:0005:0002:}} hat mich darauf
hingewiesen, wie oft ich
„{{TAG:0005:0007:}}“ sage.{{TAG:0000:0004:}}Das ist einfach Gewohnheit!{{TAG:0007:0000:14000000}}
{{TAG:0003:000C:}}Findest du es komisch, dass ich
dauernd „{{TAG:0005:0007:}}“ sage?{{TAG:0008:0005:0400000003000000}}
Ja, ziemlich.
Nein, keine Sorge.","{{TAG:0003:0001:}}Ee {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} bugün nasılsın,
{{TAG:0005:0007:}}? {{TAG:0007:0001:}}{{TAG:0003:0029:}}Olamaz!{{TAG:0007:0000:14000000}} Yine
“{{TAG:0005:0007:}}” dedim!
{{TAG:0003:0009:}}{{TAG:0005:0002:}}, “{{TAG:0005:0007:}}” sözünü ne kadar sık
kullandığımı fark etmiş.{{TAG:0007:0000:0A000000}} Kurtulamadığım
bir alışkanlığa dönüştü.
{{TAG:0003:000C:}}Sence sürekli “{{TAG:0005:0007:}}” demek
beni sıkıcı mı gösteriyor?{{TAG:0008:0005:0400000003000000}}
Evet. Hem de çok.
Hiç de değil!"
2,003,{{TAG:0003:000F:}}Really?!,{{TAG:0003:000F:}}¡¿En serio?!,"{{TAG:0003:000F:}}Non, {{TAG:0007:0000:0F000000}}c'est vrai ?!","{{TAG:0003:000F:}}Oh, davvero?!",{{TAG:0003:000F:}}Wirklich?!,{{TAG:0003:000F:}}Gerçekten mi?!
3,004,"{{TAG:0003:000D:}}But I've been racking my brains for
a new catchphrase,{{TAG:0007:0000:05000000}} and I can't think
of anything!
{{TAG:0003:0016:}}Wait!{{TAG:0007:0000:0F000000}} You're full of great ideas,
{{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:0005:}}What do you think
I should say?","{{TAG:0003:000D:}}Le he dado muchas vueltas,
pero no se me ocurre nada
original que decir.
{{TAG:0003:0016:}}¡Espera!{{TAG:0007:0000:0F000000}} ¡Tú siempre tienes buenas
ideas, {{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:0005:}}¿Qué crees
que podría decir?","{{TAG:0003:000D:}}Je me creuse le cervelet pour
trouver un truc plus sympa à dire,
{{TAG:0007:0000:08000000}}mais je vois pas...
{{TAG:0003:0016:}}Ah, mais...!{{TAG:0007:0000:0F000000}} Toi qui as des idées si
géniales, {{TAG:0005:0008:}}, {{TAG:0007:0001:}}{{TAG:0003:0005:}}tu pourrais
pas me dégoter un truc chouette ?","{{TAG:0003:000D:}}Mi sono spremuta le meningi
per trovare qualcosa di nuovo,
ma non ci sono riuscita.
{{TAG:0003:0016:}}Aspetta!{{TAG:0007:0000:0F000000}} Tu hai sempre un sacco di
idee, {{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Puoi consigliarmi
un intercalare très chic?","{{TAG:0003:000D:}}Ich zermartere mir schon mein
Hirn, was ich stattdessen sagen
könnte, aber mir fällt nichts ein.
{{TAG:0003:0016:}}He, Moment!{{TAG:0007:0000:0F000000}} Du hast doch lauter
gute Ideen, {{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Fällt dir
vielleicht was Tolles ein?","{{TAG:0003:000D:}}Ama yeni bir söz bulmak için beynimi
yordum,{{TAG:0007:0000:05000000}} hiçbir şey gelmiyor aklıma!
{{TAG:0003:0016:}}Dur!{{TAG:0007:0000:0F000000}} Senin güzel fikirlerin bitmez,
{{TAG:0005:0008:}}!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Sence ne
desem iyi olur?"
4,005,"""{{TAG:000E:0003:}}{{TAG:0005:0007:}},"" huh?{{TAG:0007:0000:0F000000}}
{{TAG:0003:0017:}}Did I say it right?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
Yup!
Not quite.","¿""{{TAG:000E:0003:}}{{TAG:0005:0007:}}""?{{TAG:0007:0000:0F000000}} 
{{TAG:0003:0017:}}¿Lo he dicho bien?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
¡Sip!
No del todo","« {{TAG:000E:0003:}}{{TAG:0005:0007:}} », hein ?{{TAG:0007:0000:0F000000}} {{TAG:0003:0017:}}Tu es sûr{{TAG:000E:0006:000002006500}}
que ça sonne bien ?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
Sûr{{TAG:000E:0006:000002006500}} de chez sûr{{TAG:000E:0006:000002006500}}.
À la réflexion...","""{{TAG:000E:0003:}}{{TAG:0005:0007:}}"", eh?{{TAG:0007:0000:0F000000}} {{TAG:0003:0017:}}Dico bene?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
Sì!
Non proprio.","„{{TAG:000E:0003:}}{{TAG:0005:0007:}}“?{{TAG:0007:0000:0F000000}} {{TAG:0003:0017:}}Klingt das gut?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
Und wie!
Nein, doch nicht.","“{{TAG:000E:0003:}}{{TAG:0005:0007:}}”, öyle mi?{{TAG:0007:0000:0F000000}}
{{TAG:0003:0017:}}Doğru söyledim mi?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
Evet!
Pek değil."
5,006,"{{TAG:0003:000D:}}Oh, {{TAG:0007:0000:08000000}}sorry.{{TAG:0007:0000:1E000000}} {{TAG:0003:0025:}}Let's try that again.","{{TAG:0003:000D:}}Ay, {{TAG:0007:0000:08000000}}perdón.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Vamos a repetirlo.","{{TAG:0003:000D:}}Ah, {{TAG:0007:0000:08000000}}j'ai dû mal comprendre.{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}Reprenons...","{{TAG:0003:000D:}}Oh, {{TAG:0007:0000:08000000}}scusa.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Riproviamo, dai.","{{TAG:0003:000D:}}Oh, {{TAG:0007:0000:08000000}}na gut.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Versuchen wir das doch
noch mal, ja?","{{TAG:0003:000D:}}Aa, {{TAG:0007:0000:08000000}}pardon.{{TAG:0007:0000:1E000000}} {{TAG:0003:0025:}}Bir daha deneyelim."
6,007,{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}}
7,008,"OK, here goes...{{TAG:0007:0000:28000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}.{{TAG:0007:0000:1E000000}}
{{TAG:0003:0005:}}Wow, that rolls right off my
tongue!{{TAG:0007:0000:0A000000}} I love it!{{TAG:0000:0004:}}I'm going to use it all the time.{{TAG:0007:0000:0A000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}},{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","Vale, a ver qué tal.{{TAG:0007:0000:14000000}} ¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0005:}}¡Sí, suena estupendo!{{TAG:0007:0000:0A000000}} ¡Perfecto!{{TAG:0000:0004:}}¡Lo usaré a todas horas!{{TAG:0007:0000:0A000000}}
¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","OK, je vais faire un essai. Hem...
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:0007:0000:1E000000}}{{TAG:0000:0004:}}{{TAG:0003:0005:}}Mais... c'est carrément extra !{{TAG:0007:0000:0A000000}}
J'adore ! Je vais l'utiliser jusqu'à
plus soif !{{TAG:0007:0000:0A000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","Va bene, proviamo:{{TAG:0007:0000:14000000}} ""{{TAG:000E:0003:}}{{TAG:0005:0007:}}"".{{TAG:0007:0000:1E000000}}
{{TAG:0003:0005:}}Uaaau, ma è perfetto!{{TAG:0007:0000:0A000000}} Lo adoooro!{{TAG:0000:0004:}}Lo userò sempre semprissimo!{{TAG:0007:0000:0A000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","Prima, das probiere ich gleich aus.{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:1E000000}} {{TAG:0003:0005:}}Oh ja, klingt toll!
{{TAG:0007:0000:0A000000}}Das gefällt mir wirklich gut!{{TAG:0000:0004:}}Das werde ich jetzt dauernd
verwenden!{{TAG:0007:0000:0A000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","Tamam, başlıyorum...{{TAG:0007:0000:28000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}.{{TAG:0007:0000:1E000000}}
{{TAG:0003:0005:}}Vay, ne kadar rahat söyleniyor!{{TAG:0007:0000:0A000000}}
Bayıldım!{{TAG:0000:0004:}}Bunu sürekli kullanacağım.{{TAG:0007:0000:0A000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}},{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:0001:}}""{{TAG:000E:0003:}}{{TAG:0005:0007:}}""?{{TAG:0007:0000:1E000000}} {{TAG:0003:0004:}}It's perfect!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Thank you so much!{{TAG:0007:0000:0F000000}} You can expect
me to say {{TAG:0005:0007:}} a LOT!","{{TAG:0003:0001:}}¿{{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:0007:0000:1E000000}} {{TAG:0003:0004:}}¡Me encanta!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}¡Muchas gracias!{{TAG:0007:0000:0F000000}} ¡Lo usaré a
partir de ahora,{{TAG:0007:0000:0A000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}« {{TAG:000E:0003:}}{{TAG:0005:0007:}} » ?{{TAG:0007:0000:1E000000}} {{TAG:0003:0004:}}Nickel chrome !{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Merci !{{TAG:0007:0000:0F000000}} Je vais le sortir à tout bout
de champ,{{TAG:0007:0000:0A000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}""{{TAG:000E:0003:}}{{TAG:0005:0007:}}""?{{TAG:0007:0000:1E000000}} {{TAG:0003:0004:}}È perfetto!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Merci!{{TAG:0007:0000:0F000000}} Lo userò giorno e notte,
sempre sempre,{{TAG:0007:0000:0A000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}„{{TAG:000E:0003:}}{{TAG:0005:0007:}}“?{{TAG:0007:0000:1E000000}} {{TAG:0003:0004:}}Das ist genial!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Vielen lieben Dank!{{TAG:0007:0000:0F000000}} Das werde ich
jetzt dauernd sagen,{{TAG:0007:0000:0A000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}“{{TAG:000E:0003:}}{{TAG:0005:0007:}}” mı?{{TAG:0007:0000:1E000000}} {{TAG:0003:0004:}}Mükemmel!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Çok teşekkür ederim!{{TAG:0007:0000:0F000000}} Bundan sonra bunu
BOL BOL duyacaksın: {{TAG:0005:0007:}}!"
9,010,{{TAG:0009:0000:0B000C00}},{{TAG:0009:0000:0B000C00}},{{TAG:0009:0000:0B000C00}},{{TAG:0009:0000:0B000C00}},{{TAG:0009:0000:0B000C00}},{{TAG:0009:0000:0B000C00}}
