index,label,English,French,German,Italian,Spanish,Turkish
0,IntroM0,{TAG_1}Isn't this Ferris wheel {TAG_2}great?,"La grande roue, c'est super, non ?",Ist dieses Riesenrad nicht toll?,"Questa ruota panoramica è
spettacolare, non trovi?",A que la noria es genial.,"{TAG_1}Bu dönme dolap {TAG_2}harika, değil mi?"
1,IntroM1,Yeah!,Oui !,Auf jeden Fall!,"Sì, è fantastica!",¡Sí!,Evet!
2,IntroF0,{TAG_1}Isn't this Ferris wheel {TAG_2}nice?,"La grande roue, c'est génial, non ?",Ist dieses Riesenrad nicht super?,"Questa ruota panoramica è
meravigliosa, vero?",A que la noria es genial.,"{TAG_1}Bu dönme dolap {TAG_2}ne güzel, değil mi?"
3,IntroF1,{TAG_1}Isn't it?,C'est vrai.,Allerdings!,Puoi dirlo forte!,¡Ya te digo!,{TAG_1}Değil mi?
4,SuccessM0-0,This amusement park is a lot of fun!,"On passe vraiment un bon moment
dans ce parc d'attraction.",Dieser Vergnügungspark macht so viel Spaß!,Questo luna park è divertentissimo!,"¡Me loestoy pasando de miedo en
el parque de atracciones!",Bu lunapark çok eğlenceli!
5,SuccessM0-1,Yeah!,Oui !,Ja!,Già!,Me alegro.,Evet!
6,SuccessM1-0,{TAG_1}It's because I'm with you.,"C'est sans doute parss que nous
sommes ensemble.",Und zwar weil ich mit dir hierbin.,Sarà perché siamo insieme?,Contígo siempre me lo paso bien.,{TAG_1}Çünkü seninleyim.
7,SuccessM1-1,Heehee! Thanks!,i{TAG_1} i ! Merci !,Hihi! Danke für das Kompliment!,Oh! Grazie!,¡Ui! Gracias.,Hihi! Teşekkürler!
8,SuccessM2-0,"Actually, I have something to say...","En faitt, j'ai quelque chose d'important
à te dire...",Ich muss dich etwas Wichtiges fragen...,"Sai, vorrei chiederti una cosa
molto importante...","La verdad es que tengo que
preguntarte una cosa...","Aslında sana söylemek
istediğim bir şey var..."
9,SuccessM2-1,What?,Quoi donc ?,Was denn?,Cosa?,¿El qué?,Ne?
10,SuccessM3-0,Will you marry me?,Tu veux m'épouser ?,Möchtest du mich heiraten?,Vuoi sposarmi?,¿Quieres casarte conmigo?,Benimle evlenir misin?
11,SuccessM3-1,Of course! I'm so happy!,Bien sûr ! Avec joie !,"Ja, natürlich! Ich bin ja so glücklich!","Certo! Oh, sono così felice!","¡Claro que sí! Soy la mujer
más feliz del mundo.",Tabii ki! Çok mutluyum!
12,SuccessF0-0,{TAG_1}Isn't this amusement park fun?,"On passe vraiment un bon moment
dans ce parc d'attraction.",Ist dieser Vergnügungspark nicht klasse?,"Divertente questo luna park, vero?","¡Me loestoy pasando de miedo en
el parque de atracciones!","{TAG_1}Bu lunapark çok eğlenceli, değil mi?"
13,SuccessF0-1,Yeah!,Oui !,Ja!,"Sì, lo penso anchìo!",Me alegro.,Evet!
14,SuccessF1-0,{TAG_1}It's because I am with you.,"C'est sans doute parss que nous
sommes ensemble.","Aber nur, weil wir zusammen hiersind.",Forse è perché siamo insieme.,Contígo siempre me lo paso bien.,{TAG_1}Çünkü seninleyim.
15,SuccessF1-1,Hahaha! Thanks!,Ha {TAG_1}ha {TAG_2}ha ! Merci !,Hahaha! Danke für das Kompliment!,"Oh! Grazie, sei gentile!",¡Vaya! Gracias.,Hahaha! Teşekkürler!
16,SuccessF2-0,"{TAG_1}Actually, I need to ask you something...","En faitt, j'ai quelque chose d'important
à te demander...",Ich muss dich etwas Wichtiges fragen...,In realtà volevo chiederti una cosa...,"La verdad es que tengo que
preguntarte una cosa...",{TAG_1}Aslında sana bir şey sormam gerekiyor...
17,SuccessF2-1,What?,Quoi donc ?,Was denn?,Di che si tratta?,¿El qué?,Ne?
18,SuccessF3-0,Will you marry me?,Veux-tu m'épouser ?,Möchtest du mich heiraten?,Mi vuoi sposare?,¿Quieres casarte conmigo?,Benimle evlenir misin?
19,SuccessF3-1,Of course!,Bien sûr !,Aber ja doch!,"Oh, sì!",¡Por supuesto!,Tabii ki!
20,FailureContinueM0-0,What? I couldn't hear you!,Cot ment ? Je n'ai rien entendu...,Wass? Ich habe dich nicht verstanden!,Eh? Non ho sentito!,¿Que? No te he oído.,Ne? Seni duyamadım!
21,FailureContinueM0-1,Oh... Nothing.,"Non, rien.",Eh... Nichts.,Oh... Niente.,"Nada, olvídalo...",Şey... Boş ver.
22,FailureContinueF0-0,What? I couldn't hear you!,Quoi ? Je n'ai rien entendu...,"Wie bitte, ich hab nichts verstanden!",Come? Puoi ripetere?,¿Que? No te he oído.,Ne? Seni duyamadım!
23,FailureContinueF0-1,Oh... Never mind!,"Non, rien du tout...",Eh... War nicht so wichtig!,Em... non importa,No importa...,Şey... Boş ver!
24,CommonM0-0,Hey! Look at that bird fly!,"Oh ! Regarde, des oiseaux !",Häi! Sieh mal da! Der Vogel!,Oh! Guarda come volano gli uccelli!,¡Anda! ¡Mira los pájaros!,Hey! Şu uçan kuşa bak!
25,CommonM0-1,Wow! They are really flying.,"Ah oui, tiens...",Wau! Wie der fliegt.,"Già! Volano proprio, sì...","Sí, ya veo cómo vuelan...",Vay! Gerçekten uçuyorlar.
26,CommonM1-0,I think {TAG_1} is here too.,Je crois qu{TAG_1}{TAG_2} est aussi ici.,{TAG_1} ist wohl auch hier.,"Dovrebbe esserci anche
{TAG_1}.","Creo que {TAG_1} también
ha venido al parque.",Sanırım {TAG_1} de burada.
27,CommonM1-1,Really? That's nice.,Ah bon ? Vraiment ? ,Echt? Das ist ja super.,Davvero? Che bello!,¿En serio? Pues qué bien.,Gerçekten mi? Ne güzel.
28,CommonF0-0,Oh {TAG_1}look at the birds!,"Oh, regarde les oiseaux !","{TAG_1}Oh, {TAG_2}sieh dir mal die Vögel an!",Oh! Guarda gli uccelli!,¡Mira los pájaros!,"Aa, {TAG_1}kuşlara bak!"
29,CommonF0-1,They're flying!,"Ah oui, tiens...",Wie die fliegen!,Volano nel cielo!,¡Cómo vuelan!,Uçuyorlar!
30,CommonF1-0,I think {TAG_1} is here too.,Je crois qu{TAG_1}{TAG_2} aussi est ici.,{TAG_1} ist wohl auch hier.,"Dovrebbe esserci anche
{TAG_1}.","Creo que {TAG_1} también
ha venido al parque.",Sanırım {TAG_1} de burada.
