entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}}
1,002,{{TAG:0009:0003:080009000A000B000C00}},{{TAG:0009:0003:080009000A000B000C00}},{{TAG:0009:0003:080009000A000B000C00}},{{TAG:0009:0003:080009000A000B000C00}},{{TAG:0009:0003:080009000A000B000C00}},{{TAG:0009:0003:080009000A000B000C00}}
2,003,"{{TAG:0003:0001:}}It's looking like we'll have good
weather for {{TAG:0000:0003:0200}}Autumn {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}Moon {{TAG:0000:0003:FFFF}}tonight.{{TAG:0000:0004:}}{{TAG:0003:002B:}}It's neat to think that so many
people in different towns will all be
able to see it at once.","{{TAG:0003:0001:}}No podías haber elegido un día
mejor para visitarnos. {{TAG:0007:0000:14000000}}¡Esta noche
celebramos la {{TAG:0000:0003:0200}}Luna de Otoño{{TAG:0000:0003:FFFF}}!
{{TAG:0003:0005:}}¡Es el día del año en que la luna se
ve más redonda y más brillante,
{{TAG:0005:0007:}}!
{{TAG:0003:0027:}}Te quedarás a contemplarla,
¿verdad?","{{TAG:0003:0001:}}Je ne sais pas si tu as prévu quelque
chose ce soir,{{TAG:0007:0000:08000000}} mais si j'étais toi,
j'irais admirer la {{TAG:0000:0003:0200}}lune d'automne{{TAG:0000:0003:FFFF}}.
{{TAG:0003:0005:}}On ne fête la pleine lune qu'une fois
par an, {{TAG:0003:0001:}}alors j'espère bien te revoir
ce soir, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Cosa fai stasera?{{TAG:0007:0000:08000000}} Te lo chiedo
perché sarebbe un'occasione per
ammirare la {{TAG:0000:0003:0200}}luna d'autunno{{TAG:0000:0003:FFFF}} insieme!
{{TAG:0003:0005:}}In questo giorno dell'anno, la luna
è più grande e brillante che mai.{{TAG:0007:0000:10000000}}
{{TAG:0003:001D:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!
{{TAG:0003:0027:}}Spero di incontrarti di nuovo
in giro più tardi,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Unabhängig davon, was du heute
sonst vorhast, solltest du mit uns
das Mondfest {{TAG:0000:0003:0200}}Autumn Moon {{TAG:0000:0003:FFFF}}feiern.
{{TAG:0003:0025:}}In der heutigen Nacht feiern wir die
ganze Pracht des vollen Mondes,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!
{{TAG:0003:0001:}}Vielleicht sehen wir uns später
draußen zum Feiern, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Bu geceki {{TAG:0000:0003:0200}}Sonbahar {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}Ayı {{TAG:0000:0003:FFFF}}için
hava güzel olacak gibi.{{TAG:0000:0004:}}{{TAG:0003:002B:}}Farklı
kasabalardaki onca insanın aynı
anda onu göreceğini düşünmek hoş."
3,004,"{{TAG:0003:0001:}}While you're here in {{TAG:0005:0005:}}, {{TAG:0007:0000:08000000}}you
can't miss the {{TAG:0000:0003:0200}}a{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}utumn moon{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:10000000}}{{TAG:0003:0015:}} It'll be
big and bright in the sky tonight.
{{TAG:0003:0023:}}Start limbering up your neck
muscles now so you can take a
good,{{TAG:0007:0000:08000000}} long look.","{{TAG:0003:0006:}}La {{TAG:0000:0003:0200}}Luna de Otoño {{TAG:0000:0003:FFFF}}es un espectáculo
que solo podemos disfrutar una vez
al año.
{{TAG:0003:0015:}}Te aseguro que nunca has visto una
luna tan hermosa y tan brillante
como la de hoy.","{{TAG:0003:0025:}}Ce soir, {{TAG:0007:0000:08000000}}ce sera la {{TAG:0000:0003:0200}}lune d'automne{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:1E000000}}
C'est un événement qui n'arrive
qu'une fois par an.
{{TAG:0003:0001:}}La lune semblera plus grosse et plus
brillante que par une nuit normale.","{{TAG:0003:0006:}}La {{TAG:0000:0003:0200}}luna d'autunno{{TAG:0000:0003:FFFF}} è un evento
che ha luogo soltanto una volta
all'anno, {{TAG:0007:0000:08000000}}quindi sii presente!{{TAG:0000:0004:}}{{TAG:0003:0012:}}Oh! {{TAG:0007:0000:10000000}}Non lo sapevi? {{TAG:0007:0000:10000000}}Oggi la luna
sarà più grande e luminosa che mai.{{TAG:0007:0000:10000000}}
Vedrai stasera con i tuoi occhi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0006:}}{{TAG:0000:0003:0200}}Autumn Moon{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:08000000}} unser Mondfest,{{TAG:0007:0000:08000000}}
findet nur einmal im Jahr statt.{{TAG:0007:0000:14000000}}
Also genieße es lieber!
{{TAG:0003:0012:}}Oh!{{TAG:0007:0000:14000000}} Wusstest du etwa gar nicht,
dass der Mond heute heller und
größer ist als sonst?","{{TAG:0003:0001:}}{{TAG:0005:0005:}}'deyken {{TAG:0007:0000:08000000}}{{TAG:0000:0003:0200}}S{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}onbahar Ayı{{TAG:0000:0003:FFFF}}'nı
kaçırmamalısın.{{TAG:0007:0000:10000000}}{{TAG:0003:0015:}} Bu gece gökte
kocaman ve parlak olacak.
{{TAG:0003:0023:}}Şimdiden boyun kaslarını esnet de uzun{{TAG:0007:0000:08000000}}
uzun bakabilesin."
4,005,"Hey,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}! {{TAG:0007:0000:10000000}}{{TAG:0003:0017:}}Did you know the
{{TAG:0000:0003:0200}}a{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}utumn moon {{TAG:0000:0003:FFFF}}is tonight?{{TAG:0000:0004:}}{{TAG:0003:0001:}}That's when the moon is at its
biggest and brightest in the night
sky.
{{TAG:0003:000B:}}The moon's on the same schedule in
your hometown, {{TAG:0007:0000:08000000}}right?{{TAG:0007:0000:10000000}} {{TAG:0003:0009:}}I'm not so
good with the astronomy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0017:}}¿Has venido a celebrar la {{TAG:0000:0003:0200}}Luna de
Otoño {{TAG:0000:0003:FFFF}}con nosotros?{{TAG:0007:0000:14000000}} En tu pueblo
también tenéis algo parecido, ¿no?
{{TAG:0003:0001:}}La verdad es que no importa desde
dónde se observe,{{TAG:0007:0000:14000000}} hoy la luna se
verá preciosa en todos los pueblos.","{{TAG:0003:0001:}}Ce soir, {{TAG:0007:0000:0C000000}}c'est {{TAG:0000:0003:0200}}Tsukimi {{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:000F:}}Oh,{{TAG:0007:0000:14000000}} je te prie de m'excuser.{{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}
Je reviens d'un pays où cela
s'appelle comme ça.
{{TAG:0003:000B:}}Mais ici,{{TAG:0007:0000:0C000000}} à {{TAG:0005:0005:}},{{TAG:0007:0000:0C000000}} on appelle
cet événement la {{TAG:0000:0003:0200}}lune d'automne{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}{{TAG:0003:001B:}}Bah... {{TAG:0007:0000:20000000}}Peu importe le nom qu'on lui
donne. C'est la même lune pour
tous, après tout...","{{TAG:0003:0017:}}Sapevi che oggi si tiene
un evento che si chiama {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}?{{TAG:0000:0004:}}{{TAG:0003:000F:}}Oh,{{TAG:0007:0000:08000000}} scusami.{{TAG:0007:0000:10000000}}{{TAG:0003:0024:}} Viaggio così tanto che
a volte dimentico che {{TAG:000E:0010:}} {{TAG:0005:0005:}}
lo chiamiamo {{TAG:0000:0003:0200}}luna d'autunno{{TAG:0000:0003:FFFF}}.
{{TAG:0003:000B:}}Beh, {{TAG:0007:0000:08000000}}non importa dove ti trovi,{{TAG:0007:0000:08000000}}
perché tanto la luna è sempre
la stessa! {{TAG:0003:001F:}}{{TAG:0007:0000:10000000}}Spero che ti divertirai!","{{TAG:0003:0017:}}Wusstest du, dass heute {{TAG:0000:0003:0200}}Tsukimi
{{TAG:0000:0003:FFFF}}ist?{{TAG:0007:0000:14000000}} Äh,{{TAG:0007:0000:08000000}} ich meine,{{TAG:0007:0000:08000000}} die {{TAG:0000:0003:0200}}Nacht des
Herbstmondes{{TAG:0000:0003:FFFF}}!
{{TAG:0003:000F:}}Ach,{{TAG:0007:0000:08000000}} nein, nein,{{TAG:0007:0000:08000000}} Verzeihung...{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}}
Bei uns in {{TAG:0005:0005:}} heißt es
natürlich {{TAG:0000:0003:0200}}Autumn Moon{{TAG:0000:0003:FFFF}}.
{{TAG:0003:0025:}}Ich reise so viel herum, da komme
ich ganz durcheinander.{{TAG:0007:0000:14000000}} So oder so,{{TAG:0007:0000:08000000}}
der Mond ist heute heller als sonst!","Hey,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}! {{TAG:0007:0000:10000000}}{{TAG:0003:0017:}}{{TAG:0000:0003:0200}}S{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}onbahar Ayı{{TAG:0000:0003:FFFF}}'nın
bu gece olduğunu biliyor muydun?{{TAG:0000:0004:}}{{TAG:0003:0001:}}
Ay'ın gece göğünde en büyük ve en parlak
göründüğü zaman bu.
{{TAG:0003:000B:}}Sizin memlekette de Ay'ın takvimi aynı,
{{TAG:0007:0000:08000000}}değil mi?{{TAG:0007:0000:10000000}} {{TAG:0003:0009:}}Astronomi konusunda pek
iyi değilim de{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}"
5,006,,,,,,
6,007,,,,,,
7,008,"{{TAG:0003:0004:}}Isn't the {{TAG:0000:0003:0200}}autumn moon {{TAG:0000:0003:FFFF}}amazing? {{TAG:0007:0000:10000000}}It
only happens once a year,{{TAG:0007:0000:08000000}} {{TAG:0003:0015:}}so this is
a really special occasion.
{{TAG:0003:000B:}}It's so bright that you can walk
around all night without a flashlight.{{TAG:0000:0004:}}{{TAG:0003:0023:}}As an added bonus,{{TAG:0007:0000:08000000}} the moonlight
makes my skin look incredible.","{{TAG:0003:0004:}}¿Qué te parece la {{TAG:0000:0003:0200}}Luna de Otoño{{TAG:0000:0003:FFFF}},
cielín? Preciosa, ¿verdad?{{TAG:0000:0004:}}{{TAG:0003:0026:}}Bajo esta luz plateada todo parece
más hermoso.{{TAG:0007:0000:1E000000}} {{TAG:0003:0016:}}¡Hazme una foto,
rápido!","{{TAG:0003:0004:}}Ahhh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Cette lune n'est-elle pas
magnifique,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}} ?{{TAG:0000:0004:}}{{TAG:0003:0026:}}Et tu ne trouves pas que sa douce
lumière rend {{TAG:0005:0005:}} encore plus
belle ?
{{TAG:0003:0016:}}J'aurais dû apporter un appareil
photo !","{{TAG:0003:0004:}}Ahhh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} non è meravigliosa questa
luna piena,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?{{TAG:0000:0004:}}{{TAG:0003:0026:}}La delicata luce che emana
fa sembrare tutto ancora
più bello del solito.
{{TAG:0003:0016:}}Presto,{{TAG:0007:0000:08000000}} scattami una foto!","{{TAG:0003:0004:}}Hach, {{TAG:0007:0000:08000000}}ist {{TAG:0000:0003:0200}}Autumn Moon {{TAG:0000:0003:FFFF}}nicht ein
schönes Fest,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}
Ich mag das Mondfest sehr.
{{TAG:0003:0026:}}Der Mond ist größer und strahlt
heller als in allen anderen Nächten
des Jahres.
In diesem Licht sehe ich {{TAG:0005:0005:}}
gerne.{{TAG:0007:0000:14000000}} Und auch für mich ist das
Licht sehr schmeichelhaft! {{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}Haha!","{{TAG:0003:0004:}}{{TAG:0000:0003:0200}}Sonbahar Ayı {{TAG:0000:0003:FFFF}}harika değil mi? {{TAG:0007:0000:10000000}}
Yılda yalnızca bir kez oluyor,{{TAG:0007:0000:08000000}} {{TAG:0003:0015:}}o yüzden
gerçekten özel bir gece.
{{TAG:0003:000B:}}O kadar parlak ki el feneri olmadan bütün
gece dolaşabilirsin.{{TAG:0000:0004:}}{{TAG:0003:0023:}}Üstüne bonus olarak,{{TAG:0007:0000:08000000}}
Ay ışığında tenim de
muhteşem görünüyor."
8,009,"{{TAG:0003:0017:}}Did you get your {{TAG:0000:0003:0200}}wheat bundle{{TAG:0000:0003:FFFF}}
yet?{{TAG:0000:0004:}}{{TAG:0003:0015:}}{{TAG:0000:0003:0400}}Isabelle {{TAG:0000:0003:FFFF}}is handing them out as
{{TAG:0000:0003:0200}}Autumn Moon {{TAG:0000:0003:FFFF}}souvenirs. {{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Don't
forget to pick one up!","{{TAG:0003:0001:}}¡El {{TAG:0000:0003:0200}}haz de trigo {{TAG:0000:0003:FFFF}}de este año es
la mar de bonito!{{TAG:0007:0000:14000000}} ¿Tú ya tienes
el tuyo, amor?
Los reparte {{TAG:0000:0003:0400}}Canela {{TAG:0000:0003:FFFF}}en la plaza
del pueblo. {{TAG:0007:0000:14000000}}¡Apresúrate a recogerlo
o te quedarás sin él!","{{TAG:0003:0017:}}{{TAG:0000:0003:0400}}Marie{{TAG:0000:0003:FFFF}} t'a-t-elle donné ta {{TAG:0000:0003:0200}}botte de
blé {{TAG:0000:0003:FFFF}}?{{TAG:0000:0004:}}{{TAG:0003:0015:}}Ce soir, {{TAG:0007:0000:08000000}}elle en distribue pour que
tout le monde puisse célébrer la
{{TAG:0000:0003:0200}}lune d'automne {{TAG:0000:0003:FFFF}}comme il se doit.","{{TAG:0003:0017:}}Hai ricevuto la tua {{TAG:0000:0003:0200}}fascina{{TAG:0000:0003:FFFF}}
in onore della {{TAG:0000:0003:0200}}luna d'autunno{{TAG:0000:0003:FFFF}}?{{TAG:0000:0004:}}{{TAG:0003:0015:}}Penso che {{TAG:0000:0003:0400}}Fuffi {{TAG:0000:0003:FFFF}}le distribuisca
tutto il giorno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0017:}}Hast du dir dein {{TAG:0000:0003:0200}}Weizenbündel {{TAG:0000:0003:FFFF}}zur
Feier des Mondfestes {{TAG:0000:0003:0200}}Autumn Moon
{{TAG:0000:0003:FFFF}}bereits bei {{TAG:0000:0003:0400}}Melinda {{TAG:0000:0003:FFFF}}abgeholt?
{{TAG:0003:0015:}}Wenn nicht, wird es höchste Zeit.{{TAG:0007:0000:14000000}}
Das Mondfest findet schließlich
erst in einem Jahr wieder statt.","{{TAG:0003:0017:}}{{TAG:0000:0003:0200}}Buğday demeti{{TAG:0000:0003:FFFF}}ni aldın mı?{{TAG:0000:0004:}}{{TAG:0003:0015:}}{{TAG:0000:0003:0400}}
{{TAG:0000:0003:FFFF}}Isabelle {{TAG:0000:0003:0200}}Sonbahar Ayı {{TAG:0000:0003:FFFF}}hatırası olarak
dağıtıyor. {{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Almayı unutma!"
9,010,"{{TAG:0003:0004:}}Just look at the {{TAG:0000:0003:0200}}a{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}utumn moon{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:10000000}} It's
stunning!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Every town I've ever visited has
celebrated this occasion. {{TAG:0007:0000:10000000}}It's kind of
remarkable!
{{TAG:0003:002B:}}If I were a more sentimental
{{TAG:0005:001F:00CD}}, {{TAG:0007:0000:08000000}}{{TAG:0003:0005:}}I'd say that the moon
brings joy to the whole world.
{{TAG:0003:0024:}}Luckily for both of us,{{TAG:0007:0000:08000000}} I'm just not
that sentimental.","{{TAG:0003:0027:}}Esta es la noche más maravillosa
del año. {{TAG:0007:0000:10000000}}{{TAG:0003:0003:}}La luna se muestra en
todo su esplendor.
Se llama {{TAG:0000:0003:0200}}Luna de Otoño{{TAG:0000:0003:FFFF}}, ¿sabes?{{TAG:0007:0000:14000000}}
{{TAG:0003:000B:}}Creo que se celebra en muchos
pueblos, pero con otros nombres.
{{TAG:0003:0025:}}Ahora mismo todo el mundo 
estará mirando hacia el cielo...","{{TAG:0003:0026:}}Cette nuit est l'une de mes
préférées de l'année.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Ici, {{TAG:0007:0000:08000000}}nous l'appelons {{TAG:0000:0003:0200}}lune d'automne{{TAG:0000:0003:FFFF}},
mais je pense que tu le sais déjà. Ce
doit être le même nom que chez toi.
{{TAG:0003:000B:}}Et même si dans ta ville, son nom
était différent,{{TAG:0007:0000:08000000}} la lune n'en serait
pas moins la même.
{{TAG:0003:0003:}}Regarde comme elle est belle !","{{TAG:0003:0027:}}Questo è uno dei miei giorni
preferiti di tutto l'anno. {{TAG:0007:0000:10000000}}{{TAG:0003:0003:}}La luce
della luna mi manda in estasi!
{{TAG:0003:0024:}}Noi chiamiamo questo evento
{{TAG:0000:0003:0200}}luna d'autunno{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:08000000}} ma tu lo sapevi
già, {{TAG:0007:0000:0F000000}}non è vero?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Vengono usati nomi diversi in città
diverse, {{TAG:0007:0000:08000000}}ma tutte festeggiano
allo stesso modo.
{{TAG:0003:0023:}}Ognuno si mette con il naso all'insù{{TAG:0007:0000:08000000}}
e ammira la luna piena!","{{TAG:0003:0026:}}Heute ist einer meiner Lieblingstage
im ganzen Jahr.{{TAG:0007:0000:14000000}} Wir feiern nämlich
{{TAG:0000:0003:0200}}Autumn Moon{{TAG:0000:0003:FFFF}}, {{TAG:0007:0000:08000000}}das Mondfest.
{{TAG:0003:0024:}}Aber sicher wusstest du das bereits.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Es gibt viele Namen dafür, {{TAG:0007:0000:08000000}}aber
letztendlich feiern alle den großen,
hellen Mond.","{{TAG:0003:0004:}}Şu {{TAG:0000:0003:0200}}S{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}onbahar Ayı{{TAG:0000:0003:FFFF}}'na bak.{{TAG:0007:0000:10000000}}
Büyüleyici!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Gittiğim her kasabada bu günün
kutlandığını gördüm. {{TAG:0007:0000:10000000}}Gerçekten etkileyici!
{{TAG:0003:002B:}}Daha duygusal bir {{TAG:0005:001F:00CD}} olsaydım,{{TAG:0007:0000:08000000}}{{TAG:0003:0005:}}
Ay bütün dünyaya neşe getiriyor derdim.
{{TAG:0003:0024:}}İkimizin de şansına,{{TAG:0007:0000:08000000}} o kadar duygusal değilim."
