entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}Whaaat?! {{TAG:0007:0000:08000000}}What's going on?!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0007:}}Why do you look exactly like me?!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}¡¿Eeeeh?!{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. ¡¿Quién eres tú?!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0007:}}¡¿Y qué haces {{TAG:0007:0000:14000000}}con MI cara?!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}Eh ! T'es qui, toi ?!{{TAG:0007:0000:1E000000}} {{TAG:0003:0007:}}Et pourquoi tu
me ressembles ?!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}Ma che...?! {{TAG:0007:0000:08000000}}Che sta succedendo?!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0007:}}Ma tu sei la mia copia spiccicata!?{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0012:}}W-was?! {{TAG:0007:0000:14000000}}Das gibt's nicht.{{TAG:0007:0000:1E000000}}
{{TAG:0003:0007:}}Der sieht ja genauso aus wie ich!!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0011:}}{{TAG:0000:0002:4B00}}Mann, seh ich furchterregend aus.{{TAG:000C:0009:}}{{TAG:0000:0002:6400}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:000D:}}Neee?! Ne{{TAG:0007:0000:08000000}} oluyor?! Niye{{TAG:0007:0000:1E000000}}{{TAG:0003:0007:}} tıpatıp
bana benziyorsun?!{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0007:}}Check yourself, dude!{{TAG:0007:0000:14000000}}
{{TAG:0003:0007:}}YOU look like ME!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0007:}}¡¿Tú te has mirado en un espejo?!{{TAG:0007:0000:14000000}}
{{TAG:0003:0007:}}¡Si esa cara es LA MÍA!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0006:}}Qui JE suis ?{{TAG:0007:0000:14000000}} Pourquoi JE te
ressemble ? {{TAG:0003:0007:}}J'ai affaire à un petit
comique, on dirait !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0007:}}Guardati allo specchio!{{TAG:0007:0000:14000000}} {{TAG:0003:0007:}}Sei TU
a essere uguale identico a me!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0007:}}Ich seh aus wie du?!{{TAG:0007:0000:14000000}}
{{TAG:0003:0007:}}{{TAG:0007:000A:}}DU siehst aus wie ICH!!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0006:}}{{TAG:0000:0002:4B00}}Mannomann, seh ich abgewrackt aus.{{TAG:000C:0009:}}{{TAG:0000:0002:6400}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0007:}}Kendine bak dostum! SEN{{TAG:0007:0000:14000000}}{{TAG:0003:0007:}} bana
benziyorsun!{{TAG:000C:0009:}}"
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}That is so not cool, dude!{{TAG:0000:0004:}}{{TAG:000C:0003:}}{{TAG:0003:000F:}}Hey! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0006:}} Check out this
wiseguy pretending to be me!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}¡Te has colado, amigo!{{TAG:0000:0004:}}{{TAG:000C:0003:}}{{TAG:0003:000F:}}¡Eh, {{TAG:0005:0008:}}!{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0006:}} ¡Mira el chiflado
este haciéndose pasar por mí!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}Quel culot !{{TAG:0000:0004:}}{{TAG:000C:0003:}}{{TAG:0003:000F:}}T'as entendu ça, {{TAG:0005:0008:}} ?!{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0006:}} C'est
une caméra cachée, ou quoi ?!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}Proprio non ci siamo!{{TAG:0000:0004:}}{{TAG:000C:0003:}}{{TAG:0003:000F:}}Ehi! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}
{{TAG:0003:0006:}}Guarda questo pivello che va in giro
facendo finta di essere me!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0011:}}Uff! {{TAG:0007:0000:14000000}}Sogar klingen tut er wie ich...{{TAG:0000:0004:}}{{TAG:000C:0003:}}{{TAG:0003:0006:}}He! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0007:}}{{TAG:0007:0000:08000000}} Tu was! {{TAG:0007:0000:14000000}}Wirf den
raus! {{TAG:0007:0000:0A000000}}{{TAG:0003:0007:}}Mich darf es nur einmal geben!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}Hiç hoş değil bu!{{TAG:0000:0004:}}{{TAG:000C:0003:}}{{TAG:0003:000F:}}Hey! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0006:}}Şu benim
gibi davranan ukalaya bak!{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0028:}}No way! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:000D:}} {{TAG:0007:0000:08000000}}You gotta
believe me!{{TAG:0007:0000:14000000}} I'm the real me!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0028:}}¡Ni hablar! {{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:0A000000}}{{TAG:0003:000D:}} {{TAG:0007:0000:08000000}}¡tienes que
hacerme caso!{{TAG:0007:0000:14000000}} ¡YO soy el auténtico!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0028:}}L'écoute pas, {{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}}{{TAG:0003:000D:}} {{TAG:0007:0000:08000000}}C'est
moi, {{TAG:0005:0001:}} !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0028:}}No, non ci siamo! {{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:14000000}}
{{TAG:0003:000D:}}{{TAG:0007:0000:08000000}}tu devi credermi!{{TAG:0007:0000:14000000}} Io sono il vero
me! Cioè, io sono proprio io! Cioè...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0012:}}Geht's noch?! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:000D:}} {{TAG:0007:0000:08000000}}
Glaub diesem Betrüger kein Wort!{{TAG:0007:0000:0A000000}}
{{TAG:0003:0007:}}ICH bin der Echte! {{TAG:0007:0000:14000000}}Wirf IHN raus!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0028:}}Yok artık! {{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:000D:}}{{TAG:0007:0000:08000000}} Bana inanmalısın!{{TAG:0007:0000:14000000}}
Gerçek benim!{{TAG:000C:0009:}}"
4,005,,,,,,
5,006,"{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0006:}}OK, that's enough! Stop pretending
to be me!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0006:}}¡Ya está bien! ¡Deja de hacerte
pasar por mí!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0006:}}Ça suffit maintenant ! Arrête de te
faire passer pour moi !{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0006:}}OK, quando è troppo è troppo!
Smettila di far finta di essere me!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0007:}}Hör sofort auf, so zu tun, als
wärst du ich, {{TAG:0007:0000:14000000}}du Schurke!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0006:}}Tamam, yeter! Benmişim gibi
davranmayı kes!{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0006:}}That's what I am saying to YOU!
You're the one who needs to stop!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0006:}}¡Eso mismo te digo YO!
¡Precisamente eres TÚ
quien tiene que parar!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0006:}}Je te le fais pas dire ! Tu n'es PAS
moi ! Arrête de prendre tes rêves
pour des réalités !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0006:}}E tu dici questo a me?!
Sei tu a doverla smettere!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0006:}}Du bist hier der Schurke, {{TAG:0007:0000:14000000}}{{TAG:0003:0007:}}du!{{TAG:0007:0000:14000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0006:}}Ben de SANA aynısını söylüyorum!
Bırakması gereken sensin!{{TAG:000C:0009:}}"
7,008,,,,,,
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0007:}}Shut it, you faker!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0007:}}¡Cierra el pico, impostor!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0007:}}Rentre chez toi, espèce de guignol !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0007:}}Smettila di ciarlare, imitatore
da strapazzo!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0007:}}Klappe, du Lump!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0007:}}Kes sesini, sahtekâr!{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0007:}}No, you shut it! You're the faker!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0007:}}¡¿Eh?! ¡Cállate tú, so falso!{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0007:}}Guignol toi-même !{{TAG:000C:0009:}},{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0007:}}Senti chi parla! Sei tu l'imitatore!{{TAG:000C:0009:}},{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Halt du die Klappe! {{TAG:0007:0000:0A000000}}Hochstapler!{{TAG:000C:0009:}},{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0007:}}Asıl sen kes! Sahtekâr sensin!{{TAG:000C:0009:}}
