entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"So it's time I greet everyone a new
way.{{TAG:0007:0000:0A000000}} {{TAG:0003:000A:}}Yeah, I'm tired of the same
old ""{{TAG:0007:0006:}}hey, hello{{TAG:0007:0007:}}.""
{{TAG:0003:0015:}}How about you give me a new
go-to greeting, {{TAG:0005:0008:}}?{{TAG:0008:0005:0400150003002800}}
I've got one!
Sorry, no.","Bueno, ya va siendo hora de ir
saludando a la gente de otra forma.{{TAG:0000:0004:}}Lo de ""¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Eh, hola{{TAG:0007:0007:}}!""
está demodé.{{TAG:0000:0004:}}¿Tienes alguna sugerencia,
mi estimad{{TAG:000E:0006:02006F0002006100}} {{TAG:0005:0008:}}?{{TAG:0008:0005:0400150003002800}}
¡Sí!
Lo siento","Bon, ma sempiternelle salutation
« {{TAG:000E:0003:}}{{TAG:0007:0006:}}Hé{{TAG:0007:0007:}} ! » a fait
son temps...
J'ai créé un concours pour que les
gens puissent m'en proposer une
nouvelle. Ça te dit, {{TAG:0005:0008:}} ?{{TAG:0008:0005:0400150003002800}}
Chouette !
Débrouille-toi tout seul.","Basta, è ora che la smetta di
salutare tutti con il solito
""{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ehi, hola{{TAG:0007:0007:}}"".
Perché non mi consigli un saluto
supertosto che mi faccia fare
bella figura con todos, {{TAG:0005:0008:}}?{{TAG:0008:0005:0400150003002800}}
Ma certo!
Sono a corto di idee...","Es wird Zeit, dass ich mir eine
originellere Begrüßung als
„{{TAG:0007:0006:}}hey, hallo{{TAG:0007:0007:}}“ zulege.
Wie wär's, wenn du dir eine neue
Begrüßung für mich ausdenkst,
{{TAG:0005:0008:}}?{{TAG:0008:0005:0400150003002800}}
Ich hab eine!
Nee, lass mal.","Demek artık herkesi yeni bir şekilde
selamlamamın vakti geldi.{{TAG:0007:0000:0A000000}} {{TAG:0003:000A:}}Evet, eski
""{{TAG:0007:0006:}}hey, selam{{TAG:0007:0007:}}""dan sıkıldım.
{{TAG:0003:0015:}}Bana kullanıp durabileceğim yeni
bir selam versene, {{TAG:0005:0008:}}?{{TAG:0008:0005:0400150003002800}}
Buldum!
Üzgünüm, yok."
1,002,"So I really need to spice up my
greeting, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}} Yeah, {{TAG:0003:0028:}}no more
""{{TAG:0007:0006:}}hey, hi there{{TAG:0007:0007:}}"" for me.
{{TAG:0003:0017:}}How about you give me a new one?{{TAG:0007:0000:0A000000}}
Please? {{TAG:0007:0000:05000000}}Something just for me?{{TAG:0007:0000:05000000}}{{TAG:0008:0005:0400150003002800}}
I've got one!
Sorry, no.","Mi saludo se está volviendo un poco
normalucho, {{TAG:0005:0008:}}. Necesito
uno más vanguardista.
El viejo ""¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola, buenas{{TAG:0007:0007:}}!""
no es lo bastante transgresor.
{{TAG:0003:0017:}}¿Qué tal si me ayudas?{{TAG:0008:0005:0400150003002800}}
¡Claro!
Lo siento","Une nana a osé me dire que ma
salutation était has-been.
T'imagines la tragédie, {{TAG:0005:0008:}} ?
Franchement, entre nous,
« {{TAG:0007:0006:}}Hé{{TAG:0007:0007:}} ! »...
dépassé ?{{TAG:0000:0004:}}{{TAG:0003:0017:}}Mais bon, {{TAG:0007:0000:08000000}}par prudence,{{TAG:0007:0000:0F000000}} il vaut
peut-être mieux que je change.{{TAG:0007:0000:0A000000}}
T'aurais pas une idée, {{TAG:0005:0008:}} ?{{TAG:0008:0005:0400150003002800}}
Si.
Non.","Ho proprio bisogno di vivacizzare
il mio saluto, {{TAG:0005:0008:}}. Ho chiuso
con ""{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ehi, ehilà, hola{{TAG:0007:0007:}}"".
{{TAG:0003:0017:}}Me ne potresti consigliare uno?{{TAG:0007:0000:0A000000}}
Dai, por favor! {{TAG:0007:0000:05000000}}Qualcosa di speciale
che sia perfetto per me?{{TAG:0007:0000:05000000}}{{TAG:0008:0005:0400150003002800}}
Ma certo!
Sono a corto di idee...","Ich hab nachgedacht, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}}
Ich sollte vielleicht nicht immer nur 
„{{TAG:0007:0006:}}hey, hallo{{TAG:0007:0007:}}“ sagen.
{{TAG:0003:0017:}}Wie wär's, wenn du dir eine neue
Begrüßung für mich ausdenkst?{{TAG:0007:0000:14000000}}
{{TAG:0003:0015:}}Irgendeine, die gut zu mir passt.{{TAG:0008:0005:0400150003002800}}
Ich hab eine!
Nee, lass mal.","Selamımı gerçekten biraz renklendirmem
lazım, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}} Evet, {{TAG:0003:0028:}}artık ""{{TAG:0007:0006:}}hey,
selamlar{{TAG:0007:0007:}}"" yok.
{{TAG:0003:0017:}}Bana yeni bir tane verir misin?{{TAG:0007:0000:0A000000}}
Lütfen? {{TAG:0007:0000:05000000}}Sadece bana özel olsun?{{TAG:0007:0000:05000000}}{{TAG:0008:0005:0400150003002800}}
Buldum!
Üzgünüm, yok."
2,003,"{{TAG:0003:0009:}}What? You're OK with my usual
hello, {{TAG:0005:0008:}}? {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}I'll hang on to it
a little longer then.","Entonces, ¿crees que debo seguir
con mi saludo habitual, {{TAG:0005:0008:}}? {{TAG:0007:0000:0A000000}}{{TAG:0000:0004:}}Claro, los clásicos no pasan nunca
de moda.","{{TAG:0003:001B:}}Ah, {{TAG:0007:0000:08000000}}je vois,{{TAG:0007:0000:0F000000}} bonjour la solidarité,
{{TAG:0005:0008:}} ! {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}Tant pis, je vais garder
ma salutation pour l'instant.","Non mi dire che ti piace quello che
uso sempre, {{TAG:0005:0008:}}? {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}Beh, allora
continuerò a usarlo per un po'...","Was, dir gefällt also meine bisherige
Begrüßung, {{TAG:0005:0008:}}? {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Dann werde
ich sie wohl erst mal beibehalten.","{{TAG:0003:0009:}}Ne? Her zamanki selamım sana uyuyor
mu, {{TAG:0005:0008:}}? {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}O zaman bir süre
daha onu tutarım."
3,004,"{{TAG:0003:0025:}}I knew I could count on you to help
me stay cool, {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Sabía que podía contar contigo,
{{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Hé, hé, {{TAG:0007:0000:0F000000}}tu n'as jamais su me dire
non, hein {{TAG:0005:0008:}} ? {{TAG:0007:0000:1E000000}}Alors...?","{{TAG:0003:0025:}}Lo sapevo che potevo contare
su di te, {{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Ich wusste, dass ich auf dich zählen
kann, {{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Havalı kalmama yardım etmek için sana
güvenebileceğimi biliyordum, {{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:0025:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0001:}}
{{TAG:0003:002C:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0001:}}
How does that sound to you?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
I love it.
Not quite right.","{{TAG:0003:0025:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""...{{TAG:0007:0001:}}
""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""...{{TAG:0007:0001:}}
No sé. ¿Cómo te suena a ti?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
Supermegamolón
Le falta chispa","{{TAG:0003:0025:}}Hmm, « {{TAG:0007:0006:}}{{TAG:0007:0007:}} »...{{TAG:0007:0001:}}
« {{TAG:0007:0006:}}{{TAG:0007:0007:}} »...{{TAG:0007:0001:}}
C'est assez classe, t'es sûr{{TAG:000E:0006:000002006500}} ?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
Classe garantie !
Crasse complète !","{{TAG:0003:0025:}}Mmmh, ""{{TAG:0007:0006:}}{{TAG:0007:0007:}}""...{{TAG:0007:0001:}}
""{{TAG:0007:0006:}}{{TAG:0007:0007:}}""...{{TAG:0007:0001:}}
Che te ne pare, amig{{TAG:000E:0006:02006F0002006100}}?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
Fantastico!
Non funziona...","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}!{{TAG:0007:0001:}}
Na, wie hört sich das für dich an?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
Perfekt.
Irgendwie komisch.","{{TAG:0003:0025:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0001:}}
{{TAG:0003:002C:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0001:}}
Sence kulağa nasıl geliyor?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0700150006002800}}
Bayıldım.
Tam değil."
5,006,"Don't like it? {{TAG:0007:0000:05000000}}OK then, {{TAG:0007:0000:05000000}}lay another
one on me, {{TAG:0005:0008:}}.","¿No pasa tu control de calidad? {{TAG:0007:0000:05000000}}
¿Me dices otro, {{TAG:0005:0008:}}?","Ah, je vois... {{TAG:0007:0000:0F000000}}OK, t'aurais pas autre
chose en stock, alors, {{TAG:0005:0008:}} ?","Non ti piace? {{TAG:0007:0000:05000000}}OK, ho capito,
{{TAG:0005:0008:}}. {{TAG:0007:0000:05000000}}Riprova, dai!","Also doch nicht? {{TAG:0007:0000:14000000}}Na gut, {{TAG:0007:0000:0A000000}}vielleicht
fällt dir ja noch was Besseres ein,
{{TAG:0005:0008:}}!","Beğenmedin mi? {{TAG:0007:0000:05000000}}Peki o zaman, {{TAG:0007:0000:05000000}}bir tane
daha at ortaya, {{TAG:0005:0008:}}."
6,007,{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}}
7,008,"{{TAG:0003:0001:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}
Wow, I can't believe I didn't think of
that before!{{TAG:0007:0000:0A000000}} {{TAG:0003:0025:}}Thanks, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}...{{TAG:0007:0000:0A000000}}
No sé cómo no se me ha ocurrido
antes.{{TAG:0007:0000:0A000000}} ¡Te debo una, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Ouah, « {{TAG:0007:0006:}}{{TAG:0007:0007:}} »...{{TAG:0007:0000:0A000000}}
C'est génial !{{TAG:0007:0000:0F000000}} Étonnant que ce soit
pas de moi.{{TAG:0007:0000:0A000000}} Mais merci, {{TAG:0005:0008:}} !","{{TAG:0003:0001:}}Uaaauuu, ""{{TAG:0007:0006:}}{{TAG:0007:0007:}}""...{{TAG:0007:0000:0A000000}}
Ma come ho fatto a non pensarci
io?!{{TAG:0007:0000:0A000000}} Gracias di cuore, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Wow, „{{TAG:0007:0006:}}{{TAG:0007:0007:}}“...{{TAG:0007:0000:14000000}}
Dass ich da nicht selbst drauf
gekommen bin...{{TAG:0007:0000:14000000}} Danke, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}
Vay, bunu daha önce nasıl düşünemedim!{{TAG:0007:0000:0A000000}}
{{TAG:0003:0025:}}Sağ ol, {{TAG:0005:0008:}}!"
8,009,"{{TAG:0003:0025:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""?{{TAG:0007:0000:0A000000}}
Oh yeah, {{TAG:0007:0000:05000000}}that's going to change my
life. {{TAG:0007:0000:05000000}}{{TAG:0003:0001:}}Thanks, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}{{TAG:0007:0000:05000000}}¿{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}?{{TAG:0007:0000:0A000000}}
Es...{{TAG:0007:0000:05000000}} diferente. ¡Justo lo que
buscaba! {{TAG:0007:0000:05000000}}{{TAG:0003:0001:}}¡Gracias, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Donc, {{TAG:0007:0000:05000000}}« {{TAG:0007:0006:}}{{TAG:0007:0007:}} » ?{{TAG:0007:0000:0A000000}}
Ouais, ça peut le faire, {{TAG:0007:0000:08000000}}je pense... {{TAG:0007:0000:05000000}}
{{TAG:0003:0001:}}Merci, {{TAG:0005:0008:}} !","{{TAG:0003:0025:}}OK, {{TAG:0007:0000:05000000}}""{{TAG:0007:0006:}}{{TAG:0007:0007:}}""...?{{TAG:0007:0000:0A000000}}
Ma certo, {{TAG:0007:0000:05000000}}mi cambierà la vita!{{TAG:0007:0000:05000000}}
{{TAG:0003:0001:}}Gracias, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}„{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}“ also...?{{TAG:0007:0000:14000000}}
Ja, {{TAG:0007:0000:0A000000}}das könnte mein ganzes Leben 
verändern. {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Danke, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""?{{TAG:0007:0000:0A000000}}
Aynen, {{TAG:0007:0000:05000000}}bu hayatımı değiştirecek. {{TAG:0007:0000:05000000}}{{TAG:0003:0001:}}Sağ
ol, {{TAG:0005:0008:}}!"
9,010,"{{TAG:0003:0025:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""?{{TAG:0007:0000:0A000000}}
{{TAG:0003:0002:}}Why can't I think of stuff like that,
{{TAG:0005:0008:}}? {{TAG:0007:0000:0A000000}}{{TAG:0003:0026:}}Thanks!","{{TAG:0003:0025:}}Mmm...{{TAG:0007:0000:05000000}} ¿{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}?{{TAG:0007:0000:0A000000}}
¿Por qué no se me habrá ocurrido
a mí antes, {{TAG:0005:0008:}}? {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}¡Gracias!","{{TAG:0003:0017:}}« {{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}} », tu dis ?{{TAG:0007:0000:0A000000}}
{{TAG:0003:0025:}}C'est cool, {{TAG:0007:0000:0F000000}}mais faut dire que ça
fait longtemps que j'y pense aussi...","{{TAG:0003:0025:}}Allora...{{TAG:0007:0000:05000000}}""{{TAG:0007:0006:}}{{TAG:0007:0007:}}""?{{TAG:0007:0000:0A000000}}
Ma come avrò fatto a non pensarci,
{{TAG:0005:0008:}}!?{{TAG:0007:0000:0A000000}} {{TAG:0003:0001:}}Muchas gracias!","{{TAG:0003:0025:}}„{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}“?{{TAG:0007:0000:14000000}}
Warum fällt MIR so was nicht ein,
{{TAG:0005:0008:}}? {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Danke!","{{TAG:0003:0025:}}""{{TAG:000E:0003:}}{{TAG:0007:0006:}}{{TAG:0007:0007:}}""?{{TAG:0007:0000:0A000000}}
{{TAG:0003:0002:}}Ben neden böyle şeyler düşünemiyorum,
{{TAG:0005:0008:}}? {{TAG:0007:0000:0A000000}}{{TAG:0003:0026:}}Sağ ol!"
