entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:000F:}}No way...{{TAG:0007:0000:0A000000}} {{TAG:000E:0003:}}{{TAG:0005:0000:}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}I can't believe that you came in the
rain to visit, especially THIS early.{{TAG:000A:000B:1009000B00CD}}","{{TAG:0003:000F:}}¿{{TAG:000E:0003:}}{{TAG:0005:0000:}}? In{{TAG:0007:0000:14000000}}cre{{TAG:0007:0000:14000000}}íble...{{TAG:0007:0000:14000000}}{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Has venido de visita, con la que está
cayendo, y encima tan temprano.{{TAG:000A:000B:1009000B00CD}}","{{TAG:0003:000F:}}Ah... {{TAG:0007:0000:0A000000}}{{TAG:0005:0000:}} ?{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Tu nous rends
visite sous la pluie et de si bonne
heure ? Tu es sûr{{TAG:000E:0006:000002006500}} que ça va ?{{TAG:000A:000B:1009000B00CD}}","{{TAG:0003:000F:}}Roba da matti... {{TAG:0007:0000:0A000000}}{{TAG:0005:0000:}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Che ci fai qui così presto e
con questa pioggia per giunta?!{{TAG:000A:000B:1009000B00CD}}","{{TAG:0003:000F:}}Sag bloß... {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0000:}}? {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Ich kann
kaum glauben, dass du uns im Regen
besuchst. {{TAG:0007:0000:14000000}}Und auch noch SO früh...{{TAG:000A:000B:1009000B00CD}}","{{TAG:0003:000F:}}Yok artık...{{TAG:0007:0000:0A000000}} {{TAG:000E:0003:}}{{TAG:0005:0000:}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Yağmurda ziyarete geldiğine
inanamıyorum, hele BU kadar erken.{{TAG:000A:000B:1009000B00CD}}"
1,002,"{{TAG:0003:000F:}}You're here, {{TAG:0005:0000:}}? {{TAG:0007:0000:0A000000}}You must
really be a rainy-day person to
come all this way, {{TAG:0005:0007:}}.{{TAG:000A:000B:100A000C00CD}}","{{TAG:0003:000F:}}Jo, {{TAG:0005:0000:}}, {{TAG:0007:0000:0A000000}}debes de ser
casi impermeable para hacer
turismo en un día así, {{TAG:0005:0007:}}.{{TAG:000A:000B:100A000C00CD}}","{{TAG:0003:000F:}}Toi, ici, {{TAG:0005:0000:}} ? {{TAG:0007:0000:0A000000}}Faut vraiment
aimer les bains de boue pour venir
à {{TAG:0005:0005:}} par ce temps.{{TAG:000A:000B:100A000C00CD}}","{{TAG:0003:000F:}}Sorbole, {{TAG:0005:0000:}}?{{TAG:0007:0000:0A000000}} Deve piacerti
proprio tanto la pioggia per venire
a inzupparti fin qua, {{TAG:0005:0007:}}!{{TAG:000A:000B:100A000C00CD}}","{{TAG:0003:000F:}}Du hier, {{TAG:0005:0000:}}? {{TAG:0007:0000:14000000}}Dir macht der
Regen wohl überhaupt nichts aus,
{{TAG:0005:0007:}}.{{TAG:000A:000B:100A000C00CD}}","{{TAG:0003:000F:}}Buradasın, {{TAG:0005:0000:}}? {{TAG:0007:0000:0A000000}}
Bunca yolu geldiğine göre tam
bir yağmurlu gün insanısın, {{TAG:0005:0007:}}.{{TAG:000A:000B:100A000C00CD}}"
2,003,"{{TAG:0003:0001:}}Hey, {{TAG:0007:0000:05000000}}welcome to rainy {{TAG:0005:0005:}},
{{TAG:0005:0007:}}.{{TAG:000A:000B:1009000D00CD}}","{{TAG:0003:0001:}}Bienvenid{{TAG:000E:0006:02006F0002006100}} al{{TAG:0007:0000:05000000}} pueblo-charco
de {{TAG:000E:0003:}}{{TAG:0005:0005:}}. Espero que te guste
pisar charcos, {{TAG:0005:0007:}}.{{TAG:000A:000B:1009000D00CD}}","{{TAG:0003:0001:}}Hep, {{TAG:0007:0000:05000000}}bienvenue à {{TAG:0005:0005:}},
{{TAG:0005:0007:}}.{{TAG:000A:000B:1009000D00CD}}","{{TAG:0003:0001:}}Hola, {{TAG:0007:0000:05000000}}benvenut{{TAG:000E:0006:02006F0002006100}} {{TAG:000E:0010:}} {{TAG:0005:0005:}},
{{TAG:0005:0007:}}.{{TAG:000A:000B:1009000D00CD}}","{{TAG:0003:0001:}}Hey, {{TAG:0007:0000:0A000000}}willkommen in {{TAG:0005:0005:}},
{{TAG:0005:0007:}}.{{TAG:000A:000B:1009000D00CD}}","{{TAG:0003:0001:}}Hey, {{TAG:0007:0000:05000000}}yağmurlu {{TAG:0005:0005:}}'a hoş geldin,
{{TAG:0005:0007:}}.{{TAG:000A:000B:1009000D00CD}}"
3,004,"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0007:0000:05000000}}rainy-day hello, {{TAG:0005:0007:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:100A000E00CD}}",{{TAG:0003:0025:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Buenas {{TAG:0007:0000:05000000}}y húmedas tardes{{TAG:0007:0007:}}!{{TAG:000A:000B:100A000E00CD}},{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Bonjour mouillé{{TAG:0007:0007:}}.{{TAG:000A:000B:100A000E00CD}},"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola {{TAG:0007:0007:}}!
{{TAG:0007:0000:05000000}}Un buongiorno bagnato
anche a te, {{TAG:0005:0007:}}!{{TAG:000A:000B:100A000E00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ein regnerisches Hallo{{TAG:0007:0007:}},
{{TAG:0005:0007:}}.{{TAG:000A:000B:100A000E00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0007:0000:05000000}}yağmurlu gün selamı, {{TAG:0005:0007:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:100A000E00CD}}"
4,005,"{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0005:0000:}}{{TAG:0007:0007:}}.{{TAG:0007:0000:0A000000}}
I didn't know you'd be coming out
here, {{TAG:0007:0000:05000000}}and on such a rainy night.{{TAG:000A:000B:1009000F00CD}}","{{TAG:0003:0020:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hello, {{TAG:0005:0000:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:0A000000}}
Vaya día pasado {{TAG:0007:0000:05000000}}por agua, ¿eh?
¡Je, je!{{TAG:000A:000B:1009000F00CD}}","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hé, {{TAG:0005:0000:}}{{TAG:0007:0007:}}.{{TAG:0007:0000:0A000000}}
Je savais pas que t'allais venir nous
voir, {{TAG:0007:0000:05000000}}surtout par un temps pareil.{{TAG:000A:000B:1009000F00CD}}","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Oh, {{TAG:0005:0000:}}{{TAG:0007:0007:}}.{{TAG:0000:0004:}}Non pensavo di trovarti qui da noi
a quest'ora {{TAG:0007:0000:05000000}}e con questo diluvio poi!
{{TAG:0007:0000:0F000000}}Tutto bene?{{TAG:000A:000B:1009000F00CD}}","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0005:0000:}}{{TAG:0007:0007:}}.
{{TAG:0007:0000:14000000}}Hätte nicht gedacht, dass du bei
dem Wetter so spät noch hier bist.{{TAG:000A:000B:1009000F00CD}}","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0005:0000:}}{{TAG:0007:0007:}}.{{TAG:0007:0000:0A000000}}
Buraya geleceğini bilmiyordum,{{TAG:0007:0000:05000000}} hem
de böyle yağmurlu gecede.{{TAG:000A:000B:1009000F00CD}}"
5,006,"{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0005:0000:}}{{TAG:0007:0007:}}.{{TAG:0007:0000:0A000000}}
So, come to visit {{TAG:0005:0005:}} on a
dark and stormy night, huh?{{TAG:000A:000B:100A001000CD}}","{{TAG:0003:0020:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Buenas noches, {{TAG:0005:0000:}}{{TAG:0007:0007:}}!{{TAG:0007:0000:0A000000}}
Entonces vienes a ver {{TAG:000E:0003:}}{{TAG:0005:0005:}}
bajo la lluvia, ¿eh?{{TAG:000A:000B:100A001000CD}}","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hep, {{TAG:0005:0000:}}{{TAG:0007:0007:}}.{{TAG:0007:0000:0A000000}}
Alors, on visite {{TAG:0005:0005:}} de nuit
et sous des trombes d'eau, hein ?{{TAG:000A:000B:100A001000CD}}","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Guarda chi si vede, {{TAG:0005:0000:}}{{TAG:0007:0007:}}.{{TAG:0000:0004:}}Cosa ci fai {{TAG:000E:0010:}} {{TAG:0005:0005:}}
in una notte buia e tempestosa?
{{TAG:0007:0000:0F000000}}Un appuntamento?{{TAG:000A:000B:100A001000CD}}","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0005:0000:}}{{TAG:0007:0007:}}.
{{TAG:0007:0000:14000000}}Unterwegs in {{TAG:0005:0005:}} bei Wind
und Wetter, was?{{TAG:000A:000B:100A001000CD}}","{{TAG:0003:0020:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0005:0000:}}{{TAG:0007:0007:}}.{{TAG:0007:0000:0A000000}}
Demek karanlık ve fırtınalı gecede
{{TAG:0005:0005:}}'ı ziyarete geldin, ha?{{TAG:000A:000B:100A001000CD}}"
6,007,"{{TAG:0003:000F:}}Hey, {{TAG:0007:0000:0A000000}}{{TAG:0005:0000:}}!{{TAG:0007:0000:0A000000}}
Traveling at night? {{TAG:0007:0000:0A000000}}In the rain?{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}Pretty cool, {{TAG:0005:0007:}}.{{TAG:000A:000B:1009001100CD}}","{{TAG:0003:000F:}}¡Ah, {{TAG:0007:0000:0A000000}}{{TAG:0005:0000:}}!{{TAG:0007:0000:0A000000}} Viajas de noche {{TAG:0007:0000:0A000000}}y
bajo la lluvia.{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}} Veo que sigues mis
pasos, {{TAG:0005:0007:}}.{{TAG:000A:000B:1009001100CD}}","{{TAG:0003:000F:}}Hé, {{TAG:0007:0000:0A000000}}{{TAG:0005:0000:}} !{{TAG:0007:0000:0A000000}}
Tu te balades de nuit ? {{TAG:0007:0000:0A000000}}Et sous la
pluie ?{{TAG:0007:0000:14000000}} {{TAG:0003:0000:}}Fallait oser, {{TAG:0005:0007:}}.{{TAG:000A:000B:1009001100CD}}","{{TAG:0003:000F:}}Ehi, {{TAG:0007:0000:0A000000}}{{TAG:0005:0000:}}!{{TAG:0007:0000:0A000000}}
Ti piace varcare i confini della notte
e {{TAG:0007:0000:0A000000}}sfidare la pioggia, eh?{{TAG:0007:0000:14000000}} {{TAG:0003:0000:}}{{TAG:0000:0004:}}Che {{TAG:000E:0006:0A006D006100630068006F000A0064006F006E006E006100}}, {{TAG:0005:0007:}}!{{TAG:000A:000B:1009001100CD}}","{{TAG:0003:000F:}}Hey, {{TAG:0007:0000:0A000000}}{{TAG:0005:0000:}}!
{{TAG:0007:0000:14000000}}Mitten in der Nacht auf Reisen? 
{{TAG:0007:0000:14000000}}Im Regen?{{TAG:0003:0000:}} {{TAG:0007:0000:14000000}}Respekt, {{TAG:0005:0007:}}.{{TAG:000A:000B:1009001100CD}}","{{TAG:0003:000F:}}Hey, {{TAG:0007:0000:0A000000}}{{TAG:0005:0000:}}!{{TAG:0007:0000:0A000000}}
Gece yolculuğu mu? {{TAG:0007:0000:0A000000}}Hem de yağmurda?{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}Bayağı havalı, {{TAG:0005:0007:}}.{{TAG:000A:000B:1009001100CD}}"
7,008,"{{TAG:0003:000F:}}Hey, it's you! {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}{{TAG:0003:0000:}}Crazy hour for a visit.{{TAG:0007:0000:0A000000}}
Even crazier weather. {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}Whatever,
though. {{TAG:0007:0000:05000000}}It's just good to see you.{{TAG:000A:000B:100A001200CD}}","{{TAG:0003:000F:}}¿Pero qué haces aquí, colega? {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}{{TAG:0003:0000:}}
Menudas horas para visitarme,{{TAG:0007:0000:14000000}}
y encima con la que está cayendo...{{TAG:000A:000B:100A001200CD}}","{{TAG:0003:000F:}}Tiens, c'est toi... {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}{{TAG:0003:0000:}}Drôle d'heure pour
une visite.{{TAG:0007:0000:0A000000}} Et drôle de temps, aussi.
{{TAG:0007:0000:0A000000}}Enfin, content de te voir, va.{{TAG:000A:000B:100A001200CD}}","{{TAG:0003:000F:}}Ehi! {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}{{TAG:0003:0000:}}Ma ti sembra il caso di andare
in giro a quest'ora?{{TAG:0007:0000:0A000000}} E con questo
tempo?! {{TAG:0007:0000:0A000000}}Beh, comunque, {{TAG:0007:0000:05000000}}benvenut{{TAG:000E:0006:02006F0002006100}}!{{TAG:000A:000B:100A001200CD}}","{{TAG:0003:000F:}}Hey, du bist's! {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}{{TAG:0003:0000:}}Was machst du denn
noch hier bei diesem Wetter?{{TAG:0000:0004:}}Wie auch immer...
{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Schön, dich zu sehen!{{TAG:000A:000B:100A001200CD}}","{{TAG:0003:000F:}}Hey, senmişsin! {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}{{TAG:0003:0000:}}
Ziyaret için çılgın bir saat.{{TAG:0007:0000:0A000000}}
Hava daha da çılgın. {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}
Neyse.{{TAG:0007:0000:05000000}} Seni görmek güzel.{{TAG:000A:000B:100A001200CD}}"
8,009,"{{TAG:0003:0025:}}Meeting in the rain like this...{{TAG:0007:0000:0A000000}}
{{TAG:0003:000B:}}What would you call it...?{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
Oh yeah. {{TAG:0007:0000:05000000}}{{TAG:0003:0001:}}Pretty slick.","{{TAG:0003:0025:}}Esta lluvia me recuerda...{{TAG:0007:0000:0A000000}}
{{TAG:0003:000B:}}a una película de autor que vi
el otro día.{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}} Muy profunda, sí{{TAG:0003:0001:}}.","{{TAG:0003:0025:}}Se rencontrer sous la pluie...{{TAG:0007:0000:0A000000}} {{TAG:0003:000B:}}Faut
une nouvelle expression pour ça...{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
{{TAG:0007:0000:05000000}}{{TAG:0003:0016:}}« Ça glisse, {{TAG:0005:0007:}} ? »","{{TAG:0003:0025:}}Incontrarsi così sotto la pioggia...{{TAG:0007:0000:0A000000}}
{{TAG:0003:000B:}}Come lo definiresti...?{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
Ma certo! {{TAG:0007:0000:05000000}}{{TAG:0003:0001:}}Una mossa astuta.","{{TAG:0003:0025:}}Dich bei diesem Wetter hier zu
treffen... {{TAG:0007:0000:28000000}}{{TAG:0003:0001:}}Hat dich der Regen hier
angespült, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Böyle yağmurda karşılaşmak...{{TAG:0007:0000:0A000000}}
{{TAG:0003:000B:}}Buna ne denirdi...?{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
Aa evet. {{TAG:0007:0000:05000000}}{{TAG:0003:0001:}}Kaygan bir buluşma."
9,010,"{{TAG:0003:0004:}}You know, I live for rainy days.{{TAG:0007:0000:0A000000}}
Every raindrop is like a sip of
{{TAG:0005:000E:0000}}, {{TAG:0005:0007:}}!","{{TAG:0003:0004:}}¡Los días de lluvia me refrescan
como un vaso de {{TAG:0005:000E:0000}}
lleno hasta el borde, {{TAG:0005:0007:}}!","{{TAG:0003:0004:}}La pluie, j'adore, {{TAG:0005:0007:}} !{{TAG:0007:0000:0A000000}}
Ma parole, c'est aussi bon que
{{TAG:000E:0002:}}{{TAG:0005:000E:0000}} !","{{TAG:0003:0004:}}Ti svelerò un segreto: io adoro
la pioggia. {{TAG:0007:0000:0A000000}}Per me ogni goccia è
come un sorso di {{TAG:0005:000E:0000}}!
E per te, {{TAG:0005:0007:}}?","{{TAG:0003:0004:}}Ich liebe Regentage.{{TAG:0007:0000:14000000}} Für mich ist
jeder Regentropfen wie ein Schluck
{{TAG:0005:000E:0000}}, {{TAG:0005:0007:}}.","{{TAG:0003:0004:}}Biliyor musun, yağmurlu günler için yaşıyorum.{{TAG:0007:0000:0A000000}}
Her damla bir yudum {{TAG:0005:000E:0000}} gibi, {{TAG:0005:0007:}}!"
