entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"To inspiring 
,","Hola, 
:","{{TAG:000E:0006:260043006800650072002000660061006E0020006500740020006100720074006900730074006500140043006800E8007200650020006D00750073006500}},","{{TAG:000E:0006:120043006100720069007300730069006D006F00120043006100720069007300730069006D006100}} 
,","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","İlham veren
,"
1,002,"My friend, 
,","Buenas, 
:","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","{{TAG:000E:0006:120043006100720069007300730069006D006F00120043006100720069007300730069006D006100}} 
,","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Dostum,
,"
2,003,"Listen to this, 
,","Querid{{TAG:000E:0006:02006F0002006100}} 
:","Écoute ça, 
 !","{{TAG:000E:0006:120043006100720069007300730069006D006F00120043006100720069007300730069006D006100}} 
,","Hör mal, 
!","Bunu dinle, 
,"
3,004,"To 
,","Estimad{{TAG:000E:0006:02006F0002006100}} 
:","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","{{TAG:000E:0006:10004D0069006F0020006300610072006F0010004D006900610020006300610072006100}} 
,","An 
:","Sevgili 
,"
4,005,"Dear 
,","Querid{{TAG:000E:0006:02006F0002006100}} 
:","{{TAG:000E:0006:100043006800650072002000660061006E00120043006800E800720065002000660061006E00}} 
,","{{TAG:000E:0006:08004300610072006F0008004300610072006100}} 
,","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Sevgili 
,"
5,006,"Listen to this, 
,","¡Increíble, 
!","Écoute ça, 
 !","{{TAG:000E:0006:10004D0069006F0020006300610072006F0010004D006900610020006300610072006100}} 
,","Hör mal, 
!","Bunu dinle, 
,"
6,007,"Dear 
,","Querid{{TAG:000E:0006:02006F0002006100}} 
:","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","{{TAG:000E:0006:08004300610072006F0008004300610072006100}} 
,","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Sevgili 
,"
7,008,"To midnight's 
,",Querid{{TAG:000E:0006:02006F0002006100}} noctámbul{{TAG:000E:0006:02006F0002006100}}:,"{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} noctambule,","{{TAG:000E:0006:10004D0069006F0020006300610072006F0010004D006900610020006300610072006100}} 
,","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Gece yarısının
,"
8,009,"To 
,","¡Hola, 
!","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","{{TAG:000E:0006:08004300610072006F0008004300610072006100}} 
,","An 
:","Sevgili 
,"
9,010,"To daring 
,","Mi querid{{TAG:000E:0006:02006F0002006100}} 
:","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","{{TAG:000E:0006:10004D0069006F0020006300610072006F0010004D006900610020006300610072006100}} 
,","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Cesur
,"
