label,index,deu,eng,esp,fra,ita,nld,tur
MovieSerifText_3c_0001_M,0,Urks... Ich...\nÄchz...,Ugh... I... Argh...,Ah... Eh...,Argh... Grr...,Ugh... Io... Argh...,Ugh... Ik... Argh...,Uff... Ben... Aah...
MovieSerifText_3c_0001_F,1,,,,,,,
MovieSerifText_3c_0002_M,2,"Du hast deine letzte\nChance verspielt, Kodiak.","You've run out of chances,\nKodiak.",Te has quedado\nsin oportunidades.,"C'était ta dernière chance,\nKodiak.","Hai esaurito tutte le tue\nopportunità, Kodiak.","Je hebt je laatste kans\nverspeeld, Kodiak.","Artık şansın kalmadı,\nKodiak."
MovieSerifText_3c_0002_F,3,,,,,,,
MovieSerifText_3c_0003_M,4,"Gnade, bitte!",C'mon... Have a heart!,Por favor...\n¡Clemencia!,Pitié ! Pardonnez-moi !,La prego... abbia cuore!,Alstublieft... Heb medelijden!,Hadi ama... Biraz insaf!
MovieSerifText_3c_0003_F,5,,,,,,,
MovieSerifText_3c_0004_M,6,Lass die Bettelei!,Spare me your pleas.,Ahórrate los ruegos.,Il suffit. Cesse de geindre.,Risparmiami i piagnistei.,Spaar me je gesmeek.,Yalvarmayı kes.
MovieSerifText_3c_0004_F,7,,,,,,,
MovieSerifText_3c_0005_M,8,Bringt ihn in die\nEisernen Kammern!,Take him to the facility!,¡Llevadlo al centro!,Emmenez-le au complexe !,Conducetelo nella struttura!,Breng hem naar de Fabriek!,Onu tesise götürün!
MovieSerifText_3c_0005_F,9,,,,,,,
MovieSerifText_3c_0006_M,10,Nein! Bitte nicht!,No...not there!,¡No! ¡Al centro no!,Non... Non !!!,No... no...,Nee... Niet daarheen!,Hayır... oraya değil!
MovieSerifText_3c_0006_F,11,,,,,,,
MovieSerifText_3c_0007_M,12,"EGAL WOHIN,\nNUR NICHT DORTHIN!",ANYWHERE BUT THERE!\nNO... PLEASE!,¡¡¡AL CENTRO NOOOOO!!!,TOUT MAIS PAS ÇA !!!\nPAR PITIÉ... !,LA STRUTTURA NO!\nLA PREGO...!,ALLES BEHALVE DAARHEEN!,ORASI HARİÇ HER YER!\nHAYIR... LÜTFEN!
MovieSerifText_3c_0007_F,13,,,,,,,
MovieSerifText_3c_0008_M,14,Euer Amtskollege\nist seiner Pflicht\nenthoben worden.,Your fellow Imperial general has\nbeen relieved of his command.,Vuestro camarada ha sido\nrelevado de su cargo.,Votre camarade a été relevé\nde ses fonctions.,L'altro generale imperiale è\nstato rimosso dal comando.,Jullie medegeneraal is\nontheven uit zijn functie.,Diğer İmparatorluk generali\ngörevden alındı.
MovieSerifText_3c_0008_F,15,,,,,,,
MovieSerifText_3c_0009_M,16,Die Sushi-Befreiungsfront\nwird wieder zuschlagen.,The Sushi Liberation Front\nwill strike again.,El Frente de Liberación del Sushi\nvolverá a atacar.,Le Front de Libération des Sushis\nva encore faire parler de lui.,Il FLS colpirà ancora.,Het Sushi-verzetsleger zal\nopnieuw toeslaan...,Suşi Kurtuluş Cephesi\nyeniden saldıracak.
MovieSerifText_3c_0009_F,17,,,,,,,
MovieSerifText_3c_0012_M,18,Eines eurer Gebiete\nist als Nächstes dran.,One of your territories may\nbe next.,Seguramente en alguno\nde vuestros territorios.,Il s'en prendra probablement\nà un de vos secteurs.,Potrebbe toccare a uno\ndei vostri territori.,misschien in een\nvan jullie gebieden.,"Sıradaki hedef,\ntopraklarınızdan biri olabilir."
MovieSerifText_3c_0012_F,19,,,,,,,
MovieSerifText_3c_0010_M,20,Seid auf der Hut vor Angriffen!,Be vigilant for an attack!,¡Preparaos ante\nuna posible ofensiva!,Restez sur vos gardes !,Preparatevi a un possibile\nattacco!,Wees op je hoede\nvoor een aanval!,Saldırıya karşı tetikte olun!
MovieSerifText_3c_0010_F,21,,,,,,,
MovieSerifText_3c_0011_M,22,Jawohl!,"Yes, sir!","¡Sí, señor!","Oui, chef !",Sissignore!,"Ja, meneer!",Emredersiniz!
MovieSerifText_3c_0011_F,23,,"Yes, sir!",,,,,Emredersiniz!
