entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0007:0004:}}I bet guys fight over ya all the time,
right, {{TAG:0011:0000:0300}}?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Apuesto a que todos se pelean por
encontrar puerto en tu corazón,
¿eh, {{TAG:0011:0000:0300}}?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}J'suis sûr que les garçons se battent
pour toi tous les jours, {{TAG:0011:0000:0300}}...{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Scommetto che gli uomini litigano
sempre per avere l'onore
della tua compagnia, {{TAG:0011:0000:0300}}!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Du hast sicher auch immer 'ne
Rotte Verehrer, die dir nachläuft,
oder, {{TAG:0011:0000:0300}}?{{TAG:0007:0000:14000000}} Harrr, harrr!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Erkekler senin için hep kapışıyordur,
değil mi, {{TAG:0011:0000:0300}}?{{TAG:0007:0005:}}"
1,002,"{{TAG:0007:0004:}}Saltwater taffy's a mystery ta me,
{{TAG:0011:0000:0300}}. Don't taste like salt nor
water!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Una pregunta, {{TAG:0011:0000:0300}}: si existen
los leones marinos, ¿cómo es que no
hay nada llamado ""foca terrestre""?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Il existait autrefois une île de sel
qu'un tsunami géant a engloutie...
Depuis, la mer a le goût du sel !{{TAG:0007:0005:}}","{{TAG:0007:0004:}}La salsedine continua ad essere
un mistero per me, {{TAG:0011:0000:0300}}.
Non sa né di acqua né di sale!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Aaah...{{TAG:0007:0000:14000000}} Es geht doch nichts über
den herben Geruch von Salzwasser!{{TAG:0007:0000:14000000}}
Findest du nich' auch, {{TAG:0011:0000:0300}}?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Tuzlu su şekeri bana hep tuhaf gelir,
{{TAG:0011:0000:0300}}. Ne tuz tadı var ne su!{{TAG:0007:0005:}}"
2,003,"{{TAG:0007:0004:}}Don't worry, {{TAG:0011:0000:0300}}. I'll getcha
back to the mainland safe an' sound.{{TAG:0007:0005:}}","{{TAG:0007:0004:}}No temas por nada, {{TAG:0011:0000:0300}}.
El capitán cuidará de ti hasta
que lleguemos a la otra orilla.{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Pas d'panique, {{TAG:0011:0000:0300}} !
J't'amène à bon port !{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Non preoccuparti, {{TAG:0011:0000:0300}}!
Vi riporterò tutti sulla terra ferma
sani e salvi.{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Mach dir keine Sorgen, {{TAG:0011:0000:0300}}.{{TAG:0007:0000:14000000}}
Ich bring dich sicher wieder zum
Festland, jarrr.{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Merak etme, {{TAG:0011:0000:0300}}. Seni
karaya sağ salim götürürüm.{{TAG:0007:0005:}}"
3,004,"{{TAG:0007:0004:}}We oughta form a sea-shanty band!
{{TAG:000E:0003:}}{{TAG:0011:0000:0300}} here can be our singer!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}¿Qué os parecería montar una
banda itinerante? ¿Qué tal se
te da eso del cante, {{TAG:0011:0000:0300}}?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}On pourrait devenir la première
chorale des mers ! {{TAG:000E:0003:}}{{TAG:0011:0000:0300}}, tu
serais notre chef de chœur !{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Potremmo formare una band
navigante con {{TAG:0011:0000:0300}}
nel ruolo di voce solista!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Wieso singste nicht auch mal 'n
Schifferlied, wenn du schon mal
auf 'nem Boot bist, {{TAG:0011:0000:0300}}?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Bir denizci türküleri grubu kuralım!
{{TAG:000E:0003:}}{{TAG:0011:0000:0300}} solistimiz olsun!{{TAG:0007:0005:}}"
4,005,"{{TAG:0007:0004:}}How's it feel ta be the only lass
here, {{TAG:0011:0000:0300}}?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Espero que no te abrume estar
rodeada de guapos bucaneros,{{TAG:0007:0000:08000000}}
{{TAG:0011:0000:0300}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Ça t'gêne pas d'être la seule fille
à bord, {{TAG:0011:0000:0300}} ?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Beh, come ci si sente ad essere
l'unica sirenetta in un banco
di merluzzi, {{TAG:0011:0000:0300}}?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Wie fühlt man sich so als einziges
Mädel mit all diesen ungewaschenen
Kerlen, {{TAG:0011:0000:0300}}?{{TAG:0007:0000:14000000}} Harrr, harrr!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Buradaki tek hanım olmak nasıl bir
his, {{TAG:0011:0000:0300}}?{{TAG:0007:0005:}}"
5,006,"{{TAG:0007:0004:}}So{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}everyone's love lives? Good,
yar? Romance at sea can't be beat!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}¿Qué?{{TAG:0007:0000:14000000}} ¿Algún amor en tierra,
grumetillos? ¡Jar, jar, jar!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Parlons peu, parlons bien{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Vous
êtes célibataires ?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Siete tutti innamorati{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}? Il mare
è da amare! Ma anche le more
sono un amore!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Schmetterlinge im Bauch, 'ne leichte
Übelkeit...{{TAG:0007:0000:14000000}} Es ist entweder Liebe -{{TAG:0007:0000:14000000}}
oder die Seekrankheit, harrr, harrr!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Pekii{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} herkesin aşk hayatı nasıl?
İyi mi? Denizde romantizmin tadı başka!{{TAG:0007:0005:}}"
6,007,"{{TAG:0007:0004:}}Let's film a seagoin' epic! Leadin'
lass? {{TAG:000E:0003:}}{{TAG:0011:0000:0300}}! And {{TAG:0011:0000:0100}} is
the hero. Or maybe {{TAG:0011:0000:0200}}?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}En una película, {{TAG:0011:0000:0300}} sería la
damisela y {{TAG:0011:0000:0100}} y {{TAG:0011:0000:0200}},
los rufianes. Yo sería el héroe, claro.{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Et si on tournait un film de pirates ?
{{TAG:000E:0003:}}{{TAG:0011:0000:0300}}, derrière la caméra !
{{TAG:000E:0003:}}{{TAG:0011:0000:0100}}, au maquillage, allez !{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Giriamo un film ambientato in mare!
La star sarà {{TAG:0011:0000:0300}}! E nei panni
dell'eroe {{TAG:0011:0000:0100}} o {{TAG:0011:0000:0200}}...{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Wie wär's?{{TAG:0007:0000:14000000}} Drehen wir 'nen Film?{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0011:0000:0100}} erleidet Schiffbruch
und {{TAG:0011:0000:0300}} rettet ihn!{{TAG:0007:0000:14000000}} Na?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Deniz destanı çekelim! Başroldeki
hanım {{TAG:000E:0003:}}{{TAG:0011:0000:0300}}! Kahraman da {{TAG:0011:0000:0100}}.
Yoksa {{TAG:0011:0000:0200}} mı olsun?{{TAG:0007:0005:}}"
7,008,"{{TAG:0007:0004:}}Har har har! Feels like {{TAG:0011:0000:0300}} is
a queen and you boys are her
servants!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} {{TAG:000E:0003:}}{{TAG:0011:0000:0300}} es la reina
del barco y vosotros sus fieles
sirvientes.{{TAG:0007:0000:0F000000}} Es la ley del marinero.{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Kôôa ! {{TAG:000E:0003:}}{{TAG:0011:0000:0300}} règne sur cet
équipage et nous sommes tous ses
dévoués serviteurs !{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Oh oh oh! {{TAG:000E:0003:}}{{TAG:0011:0000:0300}}, sembri
una regina alla scoperta dei sette
mari con tanto di sudditi al seguito!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Harrr, harrr!{{TAG:0007:0000:14000000}} Heute ist {{TAG:0011:0000:0300}}
die Königin auf See, und ihr seid
ihre Lakaien, Jungs!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Har har har! {{TAG:0011:0000:0300}} kraliçe, siz
çocuklar da hizmetkârları gibisiniz!{{TAG:0007:0005:}}"
8,009,"{{TAG:0007:0004:}}Oh, I can see it now! {{TAG:000E:0003:}}{{TAG:0011:0000:0100}}
and {{TAG:0011:0000:0200}} fightin' over
{{TAG:0011:0000:0300}}! Seems likely!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Bueno,{{TAG:0007:0000:08000000}} ¿entonces quién ganaría la
pelea por el amor de {{TAG:0011:0000:0300}}?{{TAG:0007:0000:0F000000}}
¿{{TAG:000E:0003:}}{{TAG:0011:0000:0200}}?{{TAG:0007:0000:0F000000}} ¿O {{TAG:0011:0000:0100}}?{{TAG:0007:0000:0F000000}} ¡Ar!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Vivement qu'on arrive ! {{TAG:000E:0003:}}{{TAG:0011:0000:0100}}
et {{TAG:0011:0000:0200}} vont pas tarder à
s'taper dessus pour {{TAG:0011:0000:0300}} !{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Basta, {{TAG:0011:0000:0100}} e{{TAG:0007:0000:0F000000}} {{TAG:0011:0000:0200}},{{TAG:0007:0000:0F000000}}
{{TAG:0007:0000:0F000000}}non litigate per {{TAG:0011:0000:0300}}!
{{TAG:0007:0000:0F000000}}Tanto lei preferisce me!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}{{TAG:000E:0003:}}{{TAG:0011:0000:0100}}?{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0011:0000:0200}}?{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0011:0000:0300}}?{{TAG:0007:0000:14000000}} Ah, gut, es ist noch
niemand über Bord gegangen...{{TAG:0007:0005:}}","{{TAG:0007:0004:}}Gözümde canlandı bile! {{TAG:000E:0003:}}{{TAG:0011:0000:0100}}
ile {{TAG:0011:0000:0200}}, {{TAG:0011:0000:0300}} için
kapışıyor! Olur mu olur!{{TAG:0007:0005:}}"
9,010,"{{TAG:0007:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000D:0000:02CD}}Gar! {{TAG:0007:0000:14000000}}It weren't me, {{TAG:0011:0000:0300}}!
I swears! {{TAG:0007:0000:14000000}}Must be a school o'
tootfish passin' 'neath the boat!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}{{TAG:000D:0000:02CD}}¿Lo oís?{{TAG:0007:0000:14000000}} ¡Llevamos sobrepeso!{{TAG:0007:0000:14000000}}
Habrá que tirar a {{TAG:0011:0000:0300}}
por la borda.{{TAG:0007:0000:28000000}} ¡Es broma! ¡Jar, jar!","{{TAG:0007:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000D:0000:02CD}} Tiens{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} C'était quoi ce bruit ?
C'était un poisson ?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000D:0000:02CD}} Ooops{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Non sono stato io!
È colpa di {{TAG:0011:0000:0300}}!
Giuro su tutti i pesci del mare!{{TAG:0007:0005:}}","{{TAG:0007:0004:}}{{TAG:000D:0000:02CD}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}Hab ich da eben 'nen Hai
gesehen?{{TAG:0007:0005:}}","{{TAG:0007:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000D:0000:02CD}}Arr! {{TAG:0007:0000:14000000}}Ben değildim, {{TAG:0011:0000:0300}}!
Yemin ederim! {{TAG:0007:0000:14000000}}Teknenin altından
gazbalığı sürüsü geçmiştir!{{TAG:0007:0005:}}"
