index,key,F,G,I,S,U,TR
0,MID_MENU_確認,OK,O.K.,OK,Vale,OK,TAMAM
1,MID_MENU_選ぶ,Choisir,Wählen,Sel.,Sel.,Select,Seç
2,MID_MENU_戻る,Retour,Zur.,Torna,Volver,Back,Geri
3,MID_MENU_決定,OK,O.K.,OK,Vale,OK,TAMAM
4,MID_MENU_切り替え,Permuter,Wechseln,Cambia,Cambiar,Switch,Değiştir
5,MID_MENU_前の画面,Retour,Zur.,Indietro,Volver,Back,Geri
6,MID_MENU_外す,Enlever,Entfernen,Canc.,Quitar,Remove,Çıkar
7,MID_MENU_やめる,Quitter,Verlassen,Esci,Salir,Exit,Çıkış
8,MID_MENU_初期化,Réinitialiser,Zurücksetzen,Ripristina,Predefinido,Reset,Sıfırla
9,MID_H_無し,-,Nichts,Niente,Nada,None,Yok
10,MID_H_現在値,Nombre :,Momentan:,Attuale:,Cantidad:,Currently:,Şu an:
11,MID_JOBINTRO_使用可能武器,Armes :,Waffen:,Armi:,Armas:,Weapons:,Silahlar:
12,MID_MENU_部隊表,Unités,Einheiten,Unità,Unidades,Units,Birimler
13,MID_H_MENU_部隊表,Afficher une liste de vos unités présentes.,Eine Liste deiner Einheiten anzeigen.,Visualizza una lista delle tue unità attive.,Ver la lista de unidades activas.,Display a list of your units in action.,Savaştaki birimlerin listesini göster.
14,MID_MENU_指南,Guide,Manual,Guida,Guía,Guide,Rehber
15,MID_H_MENU_指南,Afficher les tutoriels sur les bases du jeu.,Die Tutorials noch einmal ansehen.,Visualizza le istruzioni di gioco.,Repasar las guías del juego.,Review tutorials on how the game is played.,Oynanış eğitimlerini gözden geçir.
16,MID_MENU_環境,Opt.,Opt.,Opz.,Opc.,Options,Seçenekler
17,MID_H_MENU_環境,Paramétrer les options de jeu.,Spieleinstellungen vornehmen.,Modifica le opzioni di gioco.,Cambiar las opciones del juego.,Adjust game options.,Oyun ayarlarını değiştir.
18,MID_MENU_セーブ,Sauvegarder,Speichern,Salva,Guardar,Save,Kaydet
19,MID_H_MENU_セーブ,Sauvegarder votre progression.,Deinen Fortschritt speichern.,Salva i tuoi progressi.,Guardar la partida.,Save your progress.,İlerlemeni kaydet.
20,MID_MENU_中断,Signet,Lesezeichen,Segnalibro,Suspender,Bookmark,Ara Kayıt
21,MID_H_MENU_中断,Sauvegarder et suspendre la partie.,Fortschritt speichern und das Spiel aussetzen.,Salva i tuoi progressi e sospendi il gioco.,Guardar la partida y suspender la batalla.,Save your progress and suspend the game.,İlerlemeni kaydedip oyunu askıya al.
22,MID_MENU_中断確認,"Sauvegarder et suspendre la partie ?
(Reprendre la partie effacera ces données.)","Fortschritt speichern und das Spiel aussetzen?
(Beim Fortsetzen wird das Lesezeichen gelöscht.)","Vuoi salvare i tuoi progressi? Il segnalibro
sarà cancellato una volta ripresa la partita.","¿Quieres guardar y suspender la batalla?
(Los datos se borrarán al continuar.)","Save your progress and suspend the game?
(Resuming later will erase this bookmark.)","İlerleme kaydedilip oyun askıya alınsın
mı? (Devam edince bu ara kayıt silinir.)"
23,MID_MENU_お任せAI_設定,Paramètres auto,Auto-Setup,Config. Auto,Conf. auto.,Auto Setup,Otomatik Ayar
24,MID_H_MENU_お任せAI_設定,Configurer les tactiques de combat auto.,Auto-Kampftaktiken konfigurieren.,Configura le tattiche nella battaglia automatica.,Configurar la táctica para la batalla automática.,Configure auto-battle tactics.,Otomatik savaş taktiklerini yapılandır.
25,MID_MENU_お任せAI_実行,Auto,Auto,Auto,Auto.,Auto,Otomatik
26,MID_H_MENU_お任せAI_実行,Activer le combat auto (Bouton X : tactiques).,Auto-Kampf einleiten. (X-Knopf: Taktiken),Inizia btg autom. Pulsante X: config. tattiche.,Activar la batalla automática (Botón X: táctica).,Initiate auto-battle. (X Button: Set tactics),Oto-savaşı başlat. (X: Taktikleri ayarla)
27,MID_H_MENU_お任せAI_実行_簡単,Activer le combat automatique.,Auto-Kampf einleiten.,Inizia la battaglia automatica.,Activar la batalla automática.,Initiate auto-battle.,Otomatik savaşı başlat.
28,MID_MENU_お任せAI_実行確認,$aActiver le combat auto ? (Tactique : $a0),$aAuto-Kampf einleiten? (Taktik: $a0),$aInizi la battaglia automatica? Tattica: $a0.,$a¿Activar la batalla automática? (Táctica: $a0),$aInitiate auto-battle? (Tactics: $a0),$aOtomatik savaş başlatılsın mı? (Taktik: $a0)
29,MID_MENU_お任せAI_実行確認_簡単,Activer le combat automatique ?,Auto-Kampf einleiten?,Inizi la battaglia automatica?,¿Activar la batalla automática?,Initiate auto-battle?,Otomatik savaş başlatılsın mı?
30,MID_MENU_お任せAI_なし,Désact.,Aus,Disatt.,Desact.,Off,Kapalı
31,MID_H_MENU_お任せAI_なし,Désactiver le combat automatique.,Auto-Kampf nicht verwenden.,Disattiva la funzione di battaglia automatica.,Desactivar la batalla automática.,Do not use auto-battle.,Otomatik savaş kullanma.
32,MID_MENU_お任せAI_突撃,Charge,Aggr.,Blitz,Carga,Blitz,Hücum
33,MID_H_MENU_お任せAI_突撃,Approcher et attaquer l'ennemi le plus proche.,Dem nächsten Feind annähern und angreifen.,Raggiungi e attacca il nemico più vicino.,Atacar al enemigo más próximo.,Approach and attack the closest enemy.,En yakın düşmana yaklaş ve saldır.
34,MID_MENU_お任せAI_護衛,Déf.,Schutz,Difendi,Escolta,Guard,Koruma
35,MID_H_MENU_お任せAI_護衛,Protéger la zone autour de Chrom.,Aktiv den Bereich um Chrom beschützen.,Proteggi l'area intorno a Chrom.,Despejar el entorno de Chrom.,Actively protect Chrom's perimeter.,Chrom'un çevresini aktif olarak koru.
36,MID_MENU_お任せAI_追従,Arrêt,Bleiben,Evita,Amparo,Stay,Kal
