entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0001:}}{{TAG:0003:0001:}}Hi, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Welcome back!{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}¡Holita, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}, {{TAG:0007:0000:0A000000}}cielo!{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Salut, {{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}} Déjà de retour ?{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Salut, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Bentornat{{TAG:000E:0006:02006F0002006100}}!{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Hi, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}}
Da bist du ja wieder!{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Merhaba, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Tekrar hoş geldin!{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0001:}}{{TAG:0003:0001:}}You're back!{{TAG:0007:0000:14000000}} And it looks like you
were successful.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}¡Aquí estás!{{TAG:0007:0000:14000000}} Y veo que ha ido
todo bien. {{TAG:0007:0000:14000000}}¡Mil gracias!{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Te revoilà ! Oh, et tu n'es pas
seul{{TAG:000E:0006:000002006500}} !{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Eccoti qua!{{TAG:0007:0000:14000000}} E, a quanto pare,
non sei tornat{{TAG:000E:0006:02006F0002006100}} da sol{{TAG:000E:0006:02006F0002006100}}!{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Gut, dass du wieder da bist.{{TAG:0007:0000:14000000}}
Sieht ganz so aus, als wärst
du erfolgreich gewesen!{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}",{{TAG:000C:0001:}}{{TAG:0003:0001:}}Döndün!{{TAG:0007:0000:14000000}} Hem de işini başarıyla halletmiş gibisin.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}
2,003,"{{TAG:000C:0001:}}{{TAG:0003:0001:}}Oh, good.{{TAG:0007:0000:14000000}} I had a feeling you'd make
it back soon.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Ay, {{TAG:0007:0000:0A000000}}qué bien.{{TAG:0007:0000:14000000}} Ya intuía yo que
estarías de vuelta pronto.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Oh, salut. Je savais que tu
reviendrais.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Oh, benissimo.{{TAG:0007:0000:14000000}} Sapevo che saresti
tornat{{TAG:000E:0006:02006F0002006100}} presto.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Oh, gut.{{TAG:0007:0000:14000000}} Ich hatte so ein Gefühl,
dass du demnächst hier sein
würdest.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}İyi, geldin.{{TAG:0007:0000:14000000}} Zaten yakında
döneceğini hissediyordum.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0001:}}{{TAG:0003:0001:}}Whew!{{TAG:0007:0000:28000000}} When you didn't come back,{{TAG:0007:0000:08000000}}
I thought something bad might have
happened.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}¡Ufff, {{TAG:0007:0000:0A000000}}menos mal!{{TAG:0007:0000:28000000}} Me estaba
empezando a preocupar por ti,{{TAG:0007:0000:0A000000}}
como no volvías{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Ouf ! Je commençais à m'inquiéter,
ça fait un moment que tu es parti{{TAG:000E:0006:000002006500}}...{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Capperini!{{TAG:0007:0000:28000000}} Non ti vedevo tornare
e temevo ti fosse successo
qualcosa.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Puh!{{TAG:0007:0000:14000000}} Als du länger nicht zurück-
gekommen bist, dachte ich schon,
irgendetwas sei passiert.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:0003:0001:}}Oh be!{{TAG:0007:0000:28000000}} Dönmeyince{{TAG:0007:0000:08000000}} başına kötü bir şey
geldi sandım.{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0026:}}Hiya!{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} What's with calling me over
here all of a sudden, {{TAG:0011:0001:0000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0026:}}¡Ya estoy aquí, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} 
A ver, cuéntame qué ocurre.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0026:}}Salut ! Alors comme ça, on a besoin
de mes services, {{TAG:0011:0001:0000}} ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0026:}}Ciaaao!{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} Ma perché mi hai fatto
venire qui di corsa? Che succede,
{{TAG:0011:0001:0000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0026:}}Huhu, du! {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Na, {{TAG:0007:0000:0A000000}}warum wolltest du
mich so superdringend sehen,
{{TAG:0011:0001:0000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0026:}}Selammm!{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}} Beni birden buraya
çağırmanın sebebi ne, {{TAG:0011:0001:0000}}?{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:000D:}}{{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}} I rushed right over here.{{TAG:0007:0000:14000000}}
What's going on?!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:000D:}}¡{{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}} ¿Qué ha pasado?{{TAG:0007:0000:14000000}}
¡Hemos venido corriendo!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:000D:}}{{TAG:0011:0001:0000}}, j'ai couru comme une
dératée pour venir !{{TAG:0007:0000:14000000}} Qu'est-ce qui
se passe ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:000D:}}{{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}} Sono corsa qui a rotta
di collo e con i tacchi non è facile...
Me lo spieghi che succede?!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:000D:}}{{TAG:0011:0001:0000}}! {{TAG:0007:0000:14000000}}Ich bin echt hergeflitzt,
so schnell ich konnte! {{TAG:0007:0000:14000000}}Was gibt's?!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:000D:}}{{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}} Koşa koşa geldim.{{TAG:0007:0000:14000000}}
Ne oluyor?!{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Hey, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}} Whatcha need?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}¡Hola, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}} ¿Necesitas algo
o solo te apetecía contemplar mi
belleza?{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} ! Me voilà !{{TAG:000C:0009:}},"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Ciaaao, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}} Eccomi!
Che succede?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Hey, {{TAG:0007:0000:0A000000}}{{TAG:0011:0001:0000}}! {{TAG:0007:0000:14000000}}{{TAG:0003:002C:}}Was liegt an?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:0003:0001:}}Selam, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}} Ne lazım?{{TAG:000C:0009:}}"
7,008,,,,,,
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}I just wanted to give back what
I borrowed from you last week.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Es que quería devolverte lo que
me prestaste la semana pasada.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Je voulais seulement te rendre ce
que je t'ai emprunté la semaine
dernière.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Ehm, volevo solo restituirti la cosa
che mi hai prestato la semaine
passata...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Hier, ich wollte dir gerne
zurückgeben, was du mir
letzte Woche ausgeliehen hast.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Geçen hafta senden ödünç aldığım şeyi
geri vermek istedim.{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:14000000}} This thing!{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} What do you think?{{TAG:0007:0000:14000000}}
Pretty awesome,{{TAG:0007:0000:08000000}} right?!{{TAG:0000:0004:}}I know!{{TAG:0007:0000:14000000}} {{TAG:0003:0015:}}Well, you can borrow it any
time I'm not, like, using it.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}¡Ah!{{TAG:0007:0000:14000000}} ¡Era eso!{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} ¿Y qué tal?
{{TAG:0007:0000:14000000}}¿A que es superútil?{{TAG:0000:0004:}}{{TAG:0003:0015:}}Pues oye, pídemelo siempre que
quieras, ¿vale?","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Oh, ça !{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} Alors, qu'est-ce que t'en
dis ? {{TAG:0007:0000:14000000}}C'est de la bombe de balle,
non ?
Oui, je sais...{{TAG:0007:0000:14000000}} {{TAG:0003:0015:}}Hésite pas à me faire
signe si t'en as encore besoin,
surtout !","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:14000000}} 'Sta cosa qui!{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} Che mi dici?
Un bell'oggettino, eh?!{{TAG:0000:0004:}}Io ho solo cose supermegatrendy,
lo sai!{{TAG:0007:0000:14000000}} {{TAG:0003:0015:}}Beh, se ti serve di nuovo,
fammi un fischio, OK?","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:14000000}}Ach das! {{TAG:0007:0000:28000000}}{{TAG:0003:0026:}}Und, {{TAG:0007:0000:0A000000}}was hältst du
davon? {{TAG:0007:0000:14000000}}Ziemlich cool, {{TAG:0007:0000:0A000000}}oder?!{{TAG:0000:0004:}}Ich weiß! {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Du kannst das Teil immer
ausleihen, wenn ich's gerade nicht
benutze.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0010:}}Aa!{{TAG:0007:0000:14000000}} Bu şey!{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} Nasıl buldun?{{TAG:0007:0000:14000000}}
Bayağı harika,{{TAG:0007:0000:08000000}} değil mi?!{{TAG:0000:0004:}}Biliyorum!{{TAG:0007:0000:14000000}}
{{TAG:0003:0015:}}Ben kullanmıyorken
istediğin zaman ödünç alabilirsin."
