entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"It looks like it's gonna be nice
and sunny all day today!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Something amazing is gonna happen.{{TAG:0007:0000:14000000}}
I just know it,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","¡Parece que vamos a tener
muy buen tiempo todo el día!{{TAG:0000:0004:}}{{TAG:0003:0005:}}¡Sé que va a pasar algo increíble!{{TAG:0007:0000:14000000}}
No sé por qué, ¡pero lo presiento,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","On dirait qu'on va avoir droit à une
belle journée ensoleillée !{{TAG:0000:0004:}}{{TAG:0003:0005:}}Quelque chose de merveilleux va se
produire aujourd'hui.{{TAG:0007:0000:14000000}} Je le sens,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","Oggi sembra proprio che farà
bello tutto il giorno!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Sta per succedere qualcosa
di davvero straordinario.{{TAG:0007:0000:14000000}}
Me lo sento,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","Es sieht so aus, als würde es
den ganzen Tag klar und sonnig
bleiben, {{TAG:0005:0007:}}!
{{TAG:0003:0005:}}Ich hab so ein Gefühl, dass heute
was ganz Tolles passiert!","Bugün bütün gün güzel ve güneşli olacak gibi!{{TAG:0000:0004:}}{{TAG:0003:0005:}}
Bence harika bir şey olacak.{{TAG:0007:0000:14000000}} İçime
doğuyor,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
1,002,"{{TAG:0003:0001:}}When it's sunny all day,{{TAG:0007:0000:14000000}} it just
makes you feel light,{{TAG:0007:0000:08000000}} like a balloon,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.
{{TAG:0003:0004:}}If it stays this clear tonight,{{TAG:0007:0000:08000000}} I bet
we'll see some pretty stars. ","{{TAG:0003:0001:}}Cuando hace sol todo el día,{{TAG:0007:0000:14000000}}
me siento mucho más ligero,{{TAG:0007:0000:08000000}}
como un globito,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.
{{TAG:0003:0004:}}Si el cielo sigue tan despejado
por la noche,{{TAG:0007:0000:08000000}} seguro que podremos
ver muy bien las estrellas.","{{TAG:0003:0001:}}Un beau temps comme celui-ci,{{TAG:0007:0000:14000000}} ça
me donne le cœur léger,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.
{{TAG:0003:0004:}}J'espère que ça va continuer comme
ça pour qu'on puisse admirer les
étoiles ce soir !","{{TAG:0003:0001:}}Quando il tempo è così bello,{{TAG:0007:0000:14000000}}
mi sento sempre così leggero,{{TAG:0007:0000:08000000}}
come un palloncino,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.
{{TAG:0003:0004:}}Se il cielo non si rannuvola,{{TAG:0007:0000:08000000}} stasera
vedremo un sacco di stelle!","{{TAG:0003:0001:}}Guck doch mal, wie schön das
Wetter ist!{{TAG:0007:0000:14000000}} Es wär viel zu schade,
im Haus zu bleiben,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.
{{TAG:0003:0004:}}Wenn es auch nachts so klar bleibt,
können wir bestimmt ganz schöne
Sterne sehen!","{{TAG:0003:0001:}}Bütün gün güneş açınca{{TAG:0007:0000:14000000}} insan kendini
balon gibi hafif hissediyor,{{TAG:0007:0000:08000000}} {{TAG:0007:0000:08000000}}, {{TAG:0005:0007:}}.
{{TAG:0003:0004:}}Gece de böyle açık kalırsa{{TAG:0007:0000:08000000}} güzel
yıldızlar görürüz bence."
2,003,{{TAG:0009:0001:180019001A00}},{{TAG:0009:0001:180019001A00}},{{TAG:0009:0001:180019001A00}},{{TAG:0009:0001:180019001A00}},{{TAG:0009:0001:180019001A00}},{{TAG:0009:0001:180019001A00}}
3,004,"{{TAG:0003:001F:}}Look at that rainbow, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
It has the prettiest colors!{{TAG:0000:0004:}}{{TAG:0003:0003:}}It's like rainbow sherbet,{{TAG:0007:0000:14000000}} and it's
making me soooo hungry,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:001F:}}¡Mira el arcoíris, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
¡Tiene unos colores muy chulos!{{TAG:0000:0004:}}{{TAG:0003:0003:}}Es como un sorbete multicolor,{{TAG:0007:0000:14000000}}
¡y me está dando mucha sed,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:001F:}}Regarde l'arc-en-ciel, {{TAG:0005:0008:}} !{{TAG:0007:0001:}}
Il est trop beau !{{TAG:0000:0004:}}{{TAG:0003:0003:}}À chaque fois que j'en vois un,{{TAG:0007:0000:14000000}} ça
me donne envie de croquer dedans,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","{{TAG:0003:001F:}}Guarda che arcobaleno, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
E che colori!{{TAG:0000:0004:}}{{TAG:0003:0003:}}Sembra una granita multicolore!{{TAG:0007:0000:14000000}}
Mmmh, mi sta venendo una fame,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:001F:}}Schau dir doch mal den Regenbogen
an, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Diese Farben sind
sooo schön!
{{TAG:0003:0003:}}Wenn ich jetzt noch ein genauso
buntes Eis hätte, wär ich total
glücklich,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:001F:}}Şu gökkuşağına bak, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}
Renkleri ne kadar güzel!{{TAG:0000:0004:}}{{TAG:0003:0003:}}Gökkuşağı
sorbesi gibi,{{TAG:0007:0000:14000000}} baktıkça acıkıyorum,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:001C:}}I'm gonna let you in on a little
secret.{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}There are {{TAG:0007:0000:14000000}}two rainbows in
the sky today.
{{TAG:0003:0005:}}We need to go somewhere with a 
good view{{TAG:0007:0000:14000000}} to enjoy this properly!","{{TAG:0003:001C:}}Te voy a contar un secreto... Hoy
en el cielo no hay un arcoíris...{{TAG:0007:0000:28000000}}
{{TAG:0003:000D:}}¡Hay dos!
{{TAG:0003:0005:}}¡Tenemos que buscar un sitio
con buenas vistas{{TAG:0007:0000:14000000}} para disfrutar
de esto como está mandado!","{{TAG:0003:001C:}}Je vais te dire un petit secret...{{TAG:0007:0000:28000000}}
{{TAG:0003:000D:}}Aujourd'hui, il n'y a pas un, {{TAG:0007:0000:14000000}}mais
deux arcs-en-ciel visibles !
{{TAG:0003:0005:}}Mais il faut se trouver à un endroit
avec une très bonne vue{{TAG:0007:0000:14000000}} pour
pouvoir les voir tous les deux !","{{TAG:0003:001C:}}Ti confido un piccolo segreto.{{TAG:0007:0000:28000000}}
{{TAG:0003:000D:}}Oggi in cielo non c'è solo
un arcobaleno... {{TAG:0007:0000:14000000}}Ce ne sono due!
{{TAG:0003:0005:}}Dobbiamo cercare un posto
con un bel panorama{{TAG:0007:0000:14000000}} se vogliamo
goderceli come si deve!","{{TAG:0003:001C:}}Hey!{{TAG:0007:0000:14000000}} Pst!{{TAG:0007:0000:14000000}} Ich verrate dir was.{{TAG:0007:0001:}}
{{TAG:0003:0026:}}Heute sind ZWEI Regenbogen zu
sehen.{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} Oder sagt man Regenbögen?
{{TAG:0003:0005:}}Ach, egal!{{TAG:0007:0000:14000000}} Lass uns einen schönen
Aussichtspunkt suchen und das
Spektakel genießen!","{{TAG:0003:001C:}}Sana küçük bir sır vereyim.{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}Bugün
gökyüzünde {{TAG:0007:0000:14000000}}iki gökkuşağı var.
{{TAG:0003:0005:}}Bunu düzgünce seyretmek için manzarası
güzel bir yere gitmemiz lazım{{TAG:0007:0000:14000000}}!"
5,006,"{{TAG:0003:0005:}}It might be cold, {{TAG:0007:0000:14000000}}but I'm feeling
good!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Do you think chowing down on
some ice cream would,{{TAG:0007:0000:08000000}} like,{{TAG:0007:0000:08000000}} freeze
my head off?","{{TAG:0003:0005:}}Puede que haga frío, {{TAG:0007:0000:14000000}}¡pero
me siento estupendamente!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Te sonará raro,{{TAG:0007:0000:08000000}} ¡pero los días
fríos{{TAG:0007:0000:14000000}} me recuerdan a los días
de verano en que como helado!","{{TAG:0003:0005:}}Il a beau faire froid,{{TAG:0007:0000:14000000}} je suis de super
bonne humeur !{{TAG:0000:0004:}}{{TAG:0003:000B:}}C'est bizarre,{{TAG:0007:0000:08000000}} mais quand il fait
ce genre de temps,{{TAG:0007:0000:14000000}} ça me donne
envie de manger une glace !","{{TAG:0003:0005:}}Magari fa un po' freddo,
{{TAG:0007:0000:14000000}}ma io mi sento benissimo!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Non so perché,{{TAG:0007:0000:08000000}} ma le giornate
fredde mi mettono voglia
di mangiare tanto cioccolato!","{{TAG:0003:0005:}}Es ist kalt!{{TAG:0007:0000:14000000}} Aber ich fühle mich
trotzdem wunderbar!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Was wär jetzt besser –{{TAG:0007:0000:08000000}} drei Kugeln
Vanilleeis oder eine schöne Tasse
mit {{TAG:000E:0008:00CD0C00680065006900DF0065006D000C00680065006900DF00650072000C00680065006900DF0065006D00}} {{TAG:0005:000E:0000}}?","{{TAG:0003:0005:}}Hava soğuk olabilir, {{TAG:0007:0000:14000000}}ama keyfim yerinde!{{TAG:0000:0004:}}{{TAG:0003:000B:}}
Dondurma yesem{{TAG:0007:0000:08000000}} acaba{{TAG:0007:0000:08000000}} beynim bile
donar mı?"
6,007,"The aurora in {{TAG:0005:0005:}}{{TAG:0007:0000:14000000}} {{TAG:0003:0004:}}is super
pretty!{{TAG:0007:0000:14000000}} I wonder if everyone in town
is watching it?","¡La aurora de {{TAG:000E:0003:}}{{TAG:0005:0005:}}{{TAG:0007:0000:14000000}} {{TAG:0003:0004:}}es
preciosa!{{TAG:0007:0000:14000000}} Supongo que habrá
más gente del pueblo mirándola.","T'as vu ça ?! {{TAG:0007:0000:14000000}}{{TAG:0003:0004:}}Il y a une aurore
boréale ! {{TAG:0007:0000:14000000}}J'espère que tout le
monde est en train de l'admirer !","L'aurora qui {{TAG:000E:0010:}} {{TAG:0005:0005:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0004:}}
è meravigliosa!{{TAG:0007:0000:14000000}} Chissà se la stanno
vedendo anche gli altri abitanti?!","{{TAG:0003:0004:}}Schau dir nur das Nordlicht über
{{TAG:0005:0005:}} an!{{TAG:0007:0000:14000000}} Ist es nicht
wunderwunderschön?","{{TAG:0005:0005:}}{{TAG:0007:0000:14000000}} üstündeki aurora{{TAG:0003:0004:}}
acayip güzel!{{TAG:0007:0000:14000000}} Acaba kasabadaki herkes
seyrediyor mu?"
7,008,{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}}
8,009,{{TAG:0009:0000:0C000D00}},{{TAG:0009:0000:0C000D00}},{{TAG:0009:0000:0C000D00}},{{TAG:0009:0000:0C000D00}},{{TAG:0009:0000:0C000D00}},{{TAG:0009:0000:0C000D00}}
9,010,{{TAG:000A:0008:0E000E000F0010001100120013000900}},{{TAG:000A:0008:0E000E000F0010001100120013000900}},{{TAG:000A:0008:0E000E000F0010001100120013000900}},{{TAG:000A:0008:0E000E000F0010001100120013000900}},{{TAG:000A:0008:0E000E000F0010001100120013000900}},{{TAG:000A:0008:0E000E000F0010001100120013000900}}
