entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}That's quite a bold look you have
on today. {{TAG:0007:0000:14000000}}{{TAG:0003:0023:}}Are you trying to make
a fashion statement, {{TAG:0007:0000:14000000}}{{TAG:0011:0001:0100}}?
{{TAG:0003:001D:}}Because if you are,{{TAG:0007:0000:14000000}} you should
totally let me give you a makeover!{{TAG:0007:0000:14000000}}
You'd look {{TAG:0007:0000:0A000000}}SO good in all PINK!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Hoy llevas un estilo diferente, ¿no?{{TAG:0007:0000:14000000}}{{TAG:0003:0023:}}
¿Estás intentando cambiar de look?
¡Porque yo puedo ayudarte!
{{TAG:0003:001D:}}¡Creo que estarías ideal toda de
rosa!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Houlà, c'est la fête aujourd'hui, on
dirait !{{TAG:0007:0000:14000000}} {{TAG:0003:0023:}}On a pas l'habitude de te
voir habillée comme ça, dis-moi !
{{TAG:0003:001D:}}Un relooking s'impose, {{TAG:0011:0001:0100}} !{{TAG:0007:0000:0A000000}}
Hi hi hi !{{TAG:0007:0000:14000000}} Tu sais ce qui t'irait ?{{TAG:0007:0000:14000000}}
Total look{{TAG:0007:0000:0A000000}} ROSE !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Guarda un po' oggi come ti sei
conciata. {{TAG:0007:0000:14000000}}{{TAG:0003:0023:}}Vuoi sfondare nel mondo
della moda, {{TAG:0007:0000:14000000}}{{TAG:0011:0001:0100}}?
{{TAG:0003:001D:}}Cioè, posso darti un consiglio
in qualità di regina dello stile?{{TAG:0007:0000:14000000}}
Il rosa ti starebbe troppo bene!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Das ist ja ein ganz schön gewagter
Look, den du da heute zur Schau
trägst!
{{TAG:0003:0023:}}Soll das ein modisches Statement
sein, {{TAG:0011:0001:0100}}?{{TAG:0000:0004:}}{{TAG:0003:001D:}}Wenn das nämlich so ist, dann lass
mich dir doch ein kleines Umstyling
verpassen!
Du würdest in Rosa nämlich echt
hammermäßig aussehen!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0003:0001:}}Bugün bayağı iddialı görünüyorsun. {{TAG:0007:0000:14000000}}{{TAG:0003:0023:}}Moda
adına mesaj mı veriyorsun, {{TAG:0007:0000:14000000}}{{TAG:0011:0001:0100}}?
{{TAG:0003:001D:}}Öyleyse{{TAG:0007:0000:14000000}} seni baştan yaratmama kesinlikle
izin vermelisin!{{TAG:0007:0000:14000000}} Baştan aşağı PEMBE
içinde {{TAG:0007:0000:0A000000}}MUHTEŞEM görünürdün!{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0025:}}That's very kind of you,{{TAG:0007:0000:14000000}} but I'm
well aware of what colors look
best on me. {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Maybe next time!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0025:}}Eres muy amable,{{TAG:0007:0000:14000000}} pero soy muy
consciente de qué color me queda
mejor. {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Quizá en otra ocasión.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0025:}}Je te remercie, mais je sais quelles
couleurs me vont.{{TAG:0007:0000:14000000}} {{TAG:0003:001B:}}Et je préfère ne
pas abuser du rose...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0025:}}Ti ringrazio per il tuo consiglio,{{TAG:0007:0000:14000000}} ma
conosco le tinte che più si adattano
alla mia carnagione. {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Nessuna offesa!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0025:}}Das ist zwar allerliebst von dir,{{TAG:0007:0000:08000000}}
jedoch wird das nicht nötig sein.{{TAG:0000:0004:}}Ich weiß sehr wohl, welche Farben
mir stehen. {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Aber vielleicht komme
ich einmal auf das Angebot zurück.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0025:}}Çok naziksin,{{TAG:0007:0000:14000000}} ama bana en çok hangi
renklerin yakıştığını gayet iyi
biliyorum. {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Belki başka sefere!{{TAG:000C:0009:}}"
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}You can't base your wardrobe{{TAG:0007:0000:0A000000}} on
what colors look good on you,{{TAG:0007:0000:05000000}} silly.{{TAG:0007:0000:1E000000}}{{TAG:0003:0005:}}
You have to be daring,{{TAG:0007:0000:0A000000}} natch!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}¡No puedes limitarte a los colores
que te quedan bien, chica! {{TAG:0007:0000:1E000000}}{{TAG:0003:0005:}}¡Hay que
innovar, arriesgarse!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}Tu te contentes des couleurs qui te{{TAG:0007:0000:0A000000}}
vont ?{{TAG:0007:0000:1E000000}}{{TAG:0003:0005:}} Mais c'est tristoune, ça !{{TAG:0007:0000:0A000000}} Il
faut oser, voyons !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}Cioè, non puoi mica comprare solo
ciò che ti sta bene! Devi osare,
bellezza! È questo il trucco!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}Mädchen, {{TAG:0007:0000:0A000000}}du kannst doch deine
Garderobe nicht nur auf den Farben
aufbauen, die dir gut stehen!
{{TAG:0003:0005:}}Ab und zu muss man sich einfach
mal was trauen!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}Gardırobunu{{TAG:0007:0000:0A000000}} yalnız sana yakışan renklere
göre kuramazsın,{{TAG:0007:0000:05000000}} şapşal.{{TAG:0007:0000:1E000000}}{{TAG:0003:0005:}} Cesur
olacaksın,{{TAG:0007:0000:0A000000}} tabii ki!{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}I believe I'm quite daring{{TAG:0007:0000:05000000}} in my
own way. {{TAG:0007:0000:14000000}}Sometimes {{TAG:0007:0000:14000000}}{{TAG:0003:0023:}}I wear shoes
without any socks! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Oh, yo corro riesgos. {{TAG:0007:0000:14000000}}{{TAG:0003:0026:}}¡El otro día
me armé de valor y me puse unos
zapatos sin calcetines!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}J'ose, mais à ma façon{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:0A000000}}Parfois, je
sors même sans chaussettes, c'est
pour te dire !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}A dire il vero penso di osare, a mio
modo almeno. {{TAG:0007:0000:14000000}}Non ci crederai, ma
a volte non mi metto le calze!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Ich traue mich doch diverse Dinge.{{TAG:0007:0000:14000000}}
Auf meine ganz eigene Art.{{TAG:0000:0004:}}{{TAG:0003:0023:}}Gelegentlich trage ich zum Beispiel
Schuhe ohne Socken,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Kendi tarzımda oldukça cesur olduğumu
düşünüyorum{{TAG:0007:0000:05000000}}. {{TAG:0007:0000:14000000}}Bazen {{TAG:0007:0000:14000000}}{{TAG:0003:0023:}}çorapsız ayakkabı
bile giyiyorum! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:0009:}}But if you went out on a ledge just
a{{TAG:0007:0000:05000000}} LITTLE, {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}you'd grab the attention
of everyone in town.
{{TAG:0003:001D:}}You'd be,{{TAG:0007:0000:05000000}} like,{{TAG:0007:0000:05000000}} totally popular,
{{TAG:0007:0000:0A000000}}{{TAG:0011:0001:0100}}! {{TAG:0007:0000:0A000000}}I just know it!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:0009:}}Ya veo que vives al límite...{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} ¡Pero
en serio, tengo unas ideas para ti
superchulis!
{{TAG:0003:0020:}}Dame una oportunidad y luego
decides si te convencen mis
consejos, ¿vale?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:0009:}}Ouais d'accord... {{TAG:0007:0000:0A000000}}mais il te suffirait
de pas grand-chose pour
{{TAG:0003:0001:}}VRAIMENT faire la différence !
{{TAG:0003:001D:}}Pour que les gens se retournent sur
ton passage !{{TAG:0007:0000:05000000}} Ça te rendrait méga
populaire, {{TAG:0007:0000:05000000}}{{TAG:0007:0000:0A000000}}{{TAG:0011:0001:0100}} ! {{TAG:0007:0000:0A000000}}Crois-moi !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:0009:}}Ma dovresti osare un po' di più
o {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}non sarai mai al centro
dell'attenzione.
{{TAG:0003:001D:}}Non sai quanto è pazzesco essere
una star come me, {{TAG:0011:0001:0100}}!
{{TAG:0007:0000:0A000000}}Ti piacerebbe una cifra!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:0009:}}Wenn du dich einfach nur ein
klitzekleines bisschen mehr
trauen würdest...
{{TAG:0003:0001:}}Dann hättest du garantiert die
Aufmerksamkeit der ganzen Stadt!{{TAG:0000:0004:}}{{TAG:0003:001D:}}Du wärst total beliebt, {{TAG:0011:0001:0100}}!
Da bin ich ganz sicher!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:0003:0009:}}Ama azıcık{{TAG:0007:0000:05000000}} risk alsan, {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}kasabadaki
herkesin dikkatini çekersin.
{{TAG:0003:001D:}}Resmen,{{TAG:0007:0000:05000000}} şey,{{TAG:0007:0000:05000000}} çok popüler olursun,
{{TAG:0007:0000:0A000000}}{{TAG:0011:0001:0100}}! {{TAG:0007:0000:0A000000}}Biliyorum!{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:002B:}}Popular, {{TAG:0007:0000:0A000000}}eh? {{TAG:0007:0000:0A000000}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} I'd like to hear
about this whole{{TAG:0007:0000:0A000000}} ""being popular""
thing. {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Let's talk more—in private.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Bueno, si insistes{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:0A000000}} Nunca viene mal
probar cosas nuevas.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:002B:}}Populaire, tu dis ? {{TAG:0007:0000:0A000000}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Ça
m'intéresse, tu sais.{{TAG:0007:0000:0A000000}} On pourrait
peut-être en reparler, {{TAG:0007:0000:0A000000}}{{TAG:0003:0017:}}en privé ?","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:002B:}}Famosa, {{TAG:0007:0000:0A000000}}dici? {{TAG:0007:0000:0A000000}}Vorrei saperne di più
su cosa comporterebbe... {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Forse
dovremmo parlarne in privato.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:002B:}}Die Aufmerksamkeit{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} der ganzen
Stadt?{{TAG:0007:0000:14000000}} Hmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} Darüber sollten wir
uns unter vier Augen unterhalten!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:002B:}}Popüler, {{TAG:0007:0000:0A000000}}öyle mi? {{TAG:0007:0000:0A000000}}Hımm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Şu{{TAG:0007:0000:0A000000}} ""popüler
olma"" meselesini biraz daha duymak
isterim. {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Bunu özel konuşalım."
6,007,,,,,,
7,008,,,,,,
8,009,,,,,,
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0020:}}Hey, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
We're forming a band! {{TAG:0007:0000:1E000000}}{{TAG:0003:0027:}}Do you
want to be in it with us?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0020:}}¡Ah, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} ¡Vamos a montar
un grupo de música! {{TAG:0007:0000:1E000000}}{{TAG:0003:0027:}}¿Te apuntas?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0020:}}Hé, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}}
On va former un groupe ! {{TAG:0007:0000:1E000000}}{{TAG:0003:0027:}}Tu veux
en faire partie ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0020:}}Ciaaao, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Voglio metter
su un gruppo musicale! {{TAG:0007:0000:1E000000}}{{TAG:0003:0027:}}Ti andrebbe
di essere dei nostri?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0020:}}Hey, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}! {{TAG:0007:0000:14000000}}Wir wollen eine
Band gründen! {{TAG:0007:0000:28000000}}{{TAG:0003:0027:}}Möchtest du bei
uns mitmachen?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0004:}}{{TAG:000C:0001:}}{{TAG:0003:0020:}}Hey, {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Bir grup kuruyoruz! {{TAG:0007:0000:1E000000}}{{TAG:0003:0027:}}Sen de
bize katılmak ister misin?{{TAG:000C:0009:}}"
