entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:000A:001F:020B000B000C000C000C000C000D000D000D000E000E000F00CD}},{{TAG:000A:001F:020B000B000C000C000C000C000D000D000D000E000E000F00CD}},{{TAG:000A:001F:020B000B000C000C000C000C000D000D000D000E000E000F00CD}},{{TAG:000A:001F:020B000B000C000C000C000C000D000D000D000E000E000F00CD}},{{TAG:000A:001F:020B000B000C000C000C000C000D000D000D000E000E000F00CD}},{{TAG:000A:001F:020B000B000C000C000C000C000D000D000D000E000E000F00CD}}
2,003,{{TAG:000A:001F:02110011001200120012001200130013001300140014001500CD}},{{TAG:000A:001F:02110011001200120012001200130013001300140014001500CD}},{{TAG:000A:001F:02110011001200120012001200130013001300140014001500CD}},{{TAG:000A:001F:02110011001200120012001200130013001300140014001500CD}},{{TAG:000A:001F:02110011001200120012001200130013001300140014001500CD}},{{TAG:000A:001F:02110011001200120012001200130013001300140014001500CD}}
3,004,,,,,,
4,005,,,,,,
5,006,,,,,,
6,007,,,,,,
7,008,,,,,,
8,009,,,,,,
9,010,,,,,,
10,011,"{{TAG:0003:0025:}}There haven't been many donations,{{TAG:0007:0000:08000000}}
so it's hard to tell that this room
houses our fossil collection.
{{TAG:0003:0024:}}If you look closely, {{TAG:0007:0000:08000000}}it's easy to find
ancient fossils in {{TAG:0005:0005:}}.{{TAG:0007:0000:10000000}}
Sometimes even in your own yard!
If you ever find any,{{TAG:0007:0000:08000000}}{{TAG:0003:0016:}} I'm sure the
museum would appreciate it if you
donated them.","{{TAG:0003:0025:}}Esta sala debería estar llena de
fósiles, pero sin donaciones me 
temo que va a ser imposible.
{{TAG:0003:0015:}}El subsuelo de {{TAG:000E:0003:}}{{TAG:0005:0005:}} está
plagado de fósiles, cielín.{{TAG:0007:0000:10000000}} Solo hay
que saber dónde buscar.
{{TAG:0003:0016:}}Tú podrías desenterrar algunos y
donarlos al museo. ¡Te estaríamos
muy agradecidos!","{{TAG:0003:0025:}}Il y a eu si peu de donations jusqu'à
présent. {{TAG:0007:0000:10000000}}C'est vraiment dommage.{{TAG:0007:0000:10000000}}
Regarde autour de toi...
Cette galerie fait davantage penser
à une sélection de fossiles plutôt
qu'à une collection.
{{TAG:0003:0024:}}Pourtant, {{TAG:0007:0000:14000000}}il est relativement facile
de trouver des fossiles dans notre
ville.
On peut parfois en trouver dans son
jardin !{{TAG:0007:0000:1E000000}}{{TAG:0003:0016:}} Si jamais tu en trouves, {{TAG:0007:0000:10000000}}fais
un bon geste et donne-les au musée.","{{TAG:0003:0025:}}Vedo che le donazioni scarseggiano.{{TAG:0007:0000:08000000}}
Questa stanza non sembra nemmeno
ospitare una collezione di fossili!
{{TAG:0003:0024:}}Se cerchi bene,{{TAG:0007:0000:08000000}} puoi trovare fossili
molto antichi qui {{TAG:000E:0010:}} {{TAG:0005:0005:}}.{{TAG:0007:0000:10000000}}
Magari anche dietro casa tua!
Se tu ne trovassi,{{TAG:0007:0000:08000000}}{{TAG:0003:0016:}} sono certa
che il museo apprezzerebbe molto
una tua donazione.","{{TAG:0003:0025:}}Leider spenden die Leute hier in
der Stadt kaum.{{TAG:0007:0000:14000000}} Deshalb ist unsere
Sammlung an Fossilien sehr kläglich.
{{TAG:0003:0024:}}Dabei ist es gar nicht schwierig,
in {{TAG:0005:0005:}} Fossilien zu finden,
wenn man nur die Augen offen hält.
{{TAG:0003:0016:}}Ich hab's!{{TAG:0007:0000:14000000}} Falls du zufällig welche
finden solltest, könntest du sie doch
für die Allgemeinheit spenden!","{{TAG:0003:0025:}}Pek bağış gelmediği için,{{TAG:0007:0000:08000000}} buranın fosil
koleksiyonumuza ayrılmış oda olduğunu
anlamak zor.
{{TAG:0003:0024:}}Dikkatli bakarsan, {{TAG:0007:0000:08000000}}{{TAG:0005:0005:}} içinde
antik fosil bulmak aslında kolay.{{TAG:0007:0000:10000000}}
Bazen kendi bahçende bile!
Bir şey bulursan,{{TAG:0007:0000:08000000}}{{TAG:0003:0016:}} müze bağışlamana
mutlaka memnun olur."
