entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"She has {{TAG:000E:0002:}}{{TAG:0011:0003:0000}},
huh?{{TAG:0000:0004:}}{{TAG:0003:0006:}}I wonder if {{TAG:0011:0001:0000}}{{TAG:0007:0000:14000000}} caught it all
by herself{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Well, she looks pretty strong. She's
probably really good at catching
fish, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Así que esta chica tiene {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}, ¿eh?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Me pregunto si {{TAG:0011:0001:0000}}{{TAG:0007:0000:14000000}}
l{{TAG:000E:0008:00CD02006F000200610002003000}} habrá pescado ella sola{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Bueno, yo la veo así muy fuertota.
¡Seguro que se le da bien pescar
lo que sea, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} ?!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Tu crois {{TAG:000E:000A:080071007500650020000600710075002700}}{{TAG:0011:0001:0000}} l'a {{TAG:000E:0008:00CD0E00610074007400720061007000E9001000610074007400720061007000E90065000000}}
elle-même ?!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Remarque, elle a l'air balèze. Je ne
serais pas surpris qu'elle soit bonne
pêcheuse,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}...","Sapevi che {{TAG:0011:0001:0000}} ha
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Chissà se l'ha catturat{{TAG:000E:0012:100002006F00020061000000}} proprio lei{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}A ben guardarla, sembra essere
abbastanza forte da riuscirci,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Sie hat sich echt {{TAG:000E:0012:1000080027006E0065006E00060027006E0065000600650069006E00}}
{{TAG:0011:0003:0000}} zugelegt?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Ich frag mich, {{TAG:0007:0000:08000000}}ob {{TAG:0011:0001:0000}} {{TAG:000E:0012:10000600640065006E0006006400690065000600640061007300}}
selbst gefangen hat{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Ich trau's ihr zu! {{TAG:0007:0000:14000000}}Sie ist bestimmt
tierisch geschickt, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} varmış, ha?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Acaba {{TAG:0011:0001:0000}}{{TAG:0007:0000:14000000}}
hepsini kendi mi yakaladı{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Eh, güçlü
görünüyor. Balık yakalamakta bayağı
iyidir herhâlde, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
1,002,{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}}
2,003,"{{TAG:0003:0001:}}Huh. {{TAG:000E:0003:}}{{TAG:0011:0001:0000}} likes plants more
than I thought she would.{{TAG:0000:0004:}}She has {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Ah. Pues parece que a {{TAG:0011:0001:0000}}
le gustan más las plantas de
lo que me esperaba.
¡Tiene {{TAG:000E:0002:}}{{TAG:0011:0003:0000}},
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Tiens, je ne savais pas
{{TAG:000E:000A:080071007500650020000600710075002700}}{{TAG:0011:0001:0000}} aimait les plantes à
ce point.
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:0007:0000:0F000000}} Elle a carrément
décoré son intérieur avec {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}} !","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0010:}} {{TAG:0011:0001:0000}} piacciono molto
le piante. Non credevo!{{TAG:0000:0004:}}E invece guarda qua,
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Schau mal einer an!{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}Unsere Powerfrau {{TAG:0011:0001:0000}} hat
wohl 'ne Schwäche für Pflanzen,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Ha. {{TAG:000E:0003:}}{{TAG:0011:0001:0000}} bitkileri sandığımdan
daha çok seviyormuş.{{TAG:0000:0004:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} bile var!
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} said that the
{{TAG:0011:0003:0100}} needs to be
heard live to be fully appreciated.{{TAG:0000:0004:}}I bet she's been rehearsing at home
in preparation for the next show!","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} me dijo que escuchar
{{TAG:0000:0003:0200}}{{TAG:0011:0003:0100}}{{TAG:0000:0003:FFFF}} en directo
es una pasada.
Pues nada, ¡habrá que ir a un
concierto para comprobarlo!","{{TAG:0003:0001:}}D'après {{TAG:0011:0001:0000}}, en concert,
{{TAG:0011:0003:0100}} est
fantastique.
Peut-être qu'elle l'écoute en boucle
en vue du prochain show de {{TAG:0000:0003:0400}}Kéké{{TAG:0000:0003:FFFF}} ?","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} mi aveva detto di
quest{{TAG:000E:0012:100102006F00020061000000}} {{TAG:0011:0003:0100}}
favolos{{TAG:000E:0012:100102006F00020061000000}}.{{TAG:0000:0004:}}Aveva detto che va ascoltat{{TAG:000E:0012:100102006F00020061000000}}
dal vivo per poterl{{TAG:000E:0012:100102006F00020061000000}} apprezzare
veramente! Sarebbe bello, eh? ","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} hat mal erwähnt,{{TAG:0007:0000:08000000}}
dass sie für ihr Leben gern
{{TAG:0011:0003:0100}} hört.
{{TAG:0003:0026:}}Wetten, dass sie zu dem Song
auch {{TAG:0007:0000:14000000}}{{TAG:0003:002C:}}perfekt tanzen kann?!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}}, {{TAG:0011:0003:0100}} gerçekten hakkını
vermek için canlı dinlenmeli demişti.{{TAG:0000:0004:}}Bir
sonraki gösteriye hazırlanmak için evde
prova yapıyordur kesin!"
4,005,{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}}
5,006,"There's {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
here!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Well, that's because music is
appreciated in this house!{{TAG:0000:0004:}}It does seem like she'd be a good
performer, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0028:}}But I think she's too shy to play in
front of people! {{TAG:0007:0000:28000000}}{{TAG:0003:001B:}}What a waste!","¡Vaya, pero si hay {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}} por aquí!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Sabía que le gustaba la música,
¡pero no me imaginaba que
también la tocaba!
{{TAG:0003:0028:}}Se lo tenía muy callado, así que
seguro que no querrá tocarnos nada
aunque se lo pidamos. {{TAG:0007:0000:28000000}}{{TAG:0003:001B:}}¡Qué pena!","Tiens, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}C'est vrai {{TAG:000E:000A:080071007500650020000600710075002700}}{{TAG:0011:0001:0000}} aime
beaucoup la musique, même si elle a
des goûts... particuliers.
N'empêche, je me demande si elle
sait jouer de son instrument,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}...
{{TAG:0003:0002:}}Je l'imagine bien sur scène en train
de se déchaîner comme une
diablesse, ha ha !","C'è {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
qui!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Significa che in questa
casa apprezzano la musica!{{TAG:0000:0004:}}Secondo me è anche brava
a suonarl{{TAG:000E:0008:00CD02006F000200610002003000}}, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0028:}}Forse però è troppo timida
per esibirsi in pubblico!{{TAG:0007:0000:28000000}} {{TAG:0003:001B:}}
Un talento sprecato!","Hier ist {{TAG:000E:0008:00CD0600650069006E00060027006E0065000600650069006E00}} {{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Das hätte mich auch gewundert,
{{TAG:0007:0000:08000000}}wenn sie keine Musik mögen würde!{{TAG:0000:0004:}}Sie ist bestimmt tierisch gut
{{TAG:000E:0008:00CD040061006D000C0061006E002000640065007200040061006D00}} {{TAG:0011:0003:0000}},
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.
{{TAG:0003:001B:}}Warum sie wohl nie auftritt?
{{TAG:0003:0028:}}Sie wird doch wohl nicht zu
schüchtern sein?!","Burada {{TAG:000E:0002:}}{{TAG:0011:0003:0000}} var!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Eh, bu evde müziğe
değer veriliyor demek!{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} iyi
bir performansçı olurdu bence{{TAG:0000:0004:}}{{TAG:0003:0028:}}ama insanların
önünde çalmaya fazla utangaçtır! {{TAG:0007:0000:28000000}}{{TAG:0003:001B:}}Yazık!"
6,007,"I see {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
here, but{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Is {{TAG:0011:0001:0000}} really that homey?
Is kitchen stuff really her thing?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Hey! Maybe I can get her to cook up
some energy food for me!","Veo que tiene por aquí {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}, pero{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}No sé, no me imagino a {{TAG:0011:0001:0000}}
de cocinillas en casa, sino por ahí
de juerga, ya sabes...
{{TAG:0003:0005:}}Pero podemos comprobarlo
pidiéndole que nos cocine algo.
¡Más calorías que quemar luego!","Tiens ?!
{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} ?
Bizarre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0001:}}Je ne savais pas {{TAG:000E:000A:080071007500650020000600710075002700}}{{TAG:0011:0001:0000}}
aimait faire la cuisine !{{TAG:0000:0004:}}{{TAG:0003:0005:}}Hé hé !{{TAG:0007:0000:0F000000}} J'arriverai peut-être à la
persuader de me préparer de bons
petits plats énergisants !","Qui c'è
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}, ma{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}... {{TAG:000E:0003:}}{{TAG:000E:0010:}} {{TAG:0011:0001:0000}} piacciono davvero
queste cose per la cucina? Avrà
spesso ospiti a cena?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Magari posso convincerla
a prepararmi un piatto
superenergetico!","{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!
Aber{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Das sieht {{TAG:0011:0001:0000}} gar nicht
ähnlich! {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Ich dachte, {{TAG:0007:0000:08000000}}sie kann mit
Kochen und so was nichts anfangen!
{{TAG:0003:0005:}}Vielleicht kocht sie mir irgendwas
Energiereiches vor meinem nächsten
Training, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","Burada {{TAG:000E:0002:}}{{TAG:0011:0003:0000}} görüyorum ama{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}{{TAG:0011:0001:0000}}
gerçekten o kadar evcimen mi?
Mutfak işleri ona göre mi yani?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Hey!
Belki bana enerji verecek
bir şeyler pişirtirim!"
7,008,"{{TAG:0003:000B:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} sleeps in {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ha ha!{{TAG:0007:0000:14000000}} Seems like she'd be a bit
cramped in there, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}¿{{TAG:0011:0001:0000}} duerme en {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0002:}}¡Ja, ja!{{TAG:0007:0000:14000000}} Pues será más fácil hacer
la cama, pero no sé ni cómo cabe
ahí, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}Alors comme ça, {{TAG:0011:0001:0000}} dort
dans {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}...{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ha ha !{{TAG:0007:0000:14000000}} Je comprends mieux d'où
vient la tête de déterrée qu'elle se
paie en permanence,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}{{TAG:0011:0001:0000}} dorme in
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ah ah!{{TAG:0007:0000:14000000}} Chissà come starà scomoda
in così poco spazio, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} schläft in {{TAG:000E:0012:1000080027006E0065006D00080027006E0065007200080027006E0065006D00}}
{{TAG:0011:0003:0000}}?!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Haha!{{TAG:0007:0000:28000000}} Wetten, {{TAG:0007:0000:08000000}}sie fühlt sich tierisch
eingeengt da drin, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}?{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}}, {{TAG:000E:0002:}} {{TAG:0011:0003:0000}} içinde mi uyuyor?{{TAG:0000:0004:}}{{TAG:0003:0002:}}Hah
ha!{{TAG:0007:0000:14000000}} Orada biraz sıkışık kalır
gibi, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
8,009,{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}}
9,010,"{{TAG:0003:0001:}}My soreness just melts away when I
sit in this {{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}{{TAG:0003:0005:}}An armchair that suits your body
type can actually eliminate your
fatigue{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0026:}}Heh heh! Maybe I'll see if I can
borrow this one, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Después de correr varias horas,
¡no me importaría sentarme en
es{{TAG:000E:0008:00CD020065000200610002003000}} {{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}{{TAG:0003:0005:}}El asiento adecuado puede eliminar
la fatiga en un periquete{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. y ese
parece el asiento adecuado.
{{TAG:0003:0026:}}¡Ja, ja! ¡Tengo que ver si consigo
que me lo preste, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} ! {{TAG:000E:0008:00CD0400430065000A00430065007400740065000000}} sympathique
{{TAG:0011:0003:0000}} a absorbé
ma fatigue en cinq minutes !
{{TAG:0003:0005:}}Les fauteuils, c'est comme les
chaussures...{{TAG:0007:0000:0F000000}} Il faut opter pour ceux
dans lesquels on se sent le mieux !
{{TAG:0003:0026:}}Hé hé ! En tout cas, la prochaine
fois que je me sens lessivé, je
reviens poser mon popotin ici !","{{TAG:0003:0001:}}I miei muscoli si rigenerano
quando mi siedo su
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!
{{TAG:0003:0005:}}Una poltrona così comoda ti fa
dimenticare tutta la stanchezza
del mondo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0026:}}Dopo la mia sessione giornaliera
di flessioni, potrei passare di qui
a riposare, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0008:00CD0C006400690065007300650072000A00640069006500730065000C00640069006500730065007300}} {{TAG:0011:0003:0000}}
würde mir jeden Muskelkater
wegzaubern, {{TAG:000E:0006:1800530070006F0072007400730066007200650075006E0064001C00530070006F0072007400730066007200650075006E00640069006E00}}!
{{TAG:0003:0005:}}So ein Sofa, {{TAG:0007:0000:08000000}}das sich an den Körper
schmiegt, {{TAG:0007:0000:08000000}}ist einfach unschlagbar{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0026:}}Vielleicht borgt sie mir das Ding mal
für ein paar Tage, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Şu {{TAG:0011:0003:0000}}’a oturunca bütün ağrılarım
eriyip gidiyor!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Vücuduna uygun bir koltuk
gerçekten yorgunluğu alabiliyor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0026:}}Heh
heh! Belki bunu ödünç
isteyeyim, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
