index,key,F,G,I,S,U,TR
0,MID_様子_ヴィオール_前_通くん,"Vous pouvez vous confier à moi...
Quels sont vos rêves, vos aspirations ?","Komm schon, erzähl mir von deinen
Träumen.","Forse sono troppo curioso,
ma c'è qualche sogno che...","A veces querría que la gente me mirase
menos, mas es tanta mi hermosura que...","Come, friend. Tell me of your dreams.",Gel dostum. Bana hayallerini anlat.
1,MID_様子_ヴィオール_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_ヴィオール_前_敬殿,"Vous pouvez vous confier à moi...
Quels sont vos rêves, vos aspirations ?","Nur zu, erzählt mir von Euren Träumen.","Forse sono troppo curioso,
ma c'è qualche sogno che...","A veces querría que la gente me mirase
menos, mas es tanta mi hermosura que...","Come, friend. Tell me of your dreams.",Gel dostum. Bana hayallerini anlat.
3,MID_様子_ヴィオール_後_通くん,"Moi ? De quoi d'autre pourrais-je rêver... ?
Ma vie est déjà un rêve pour beaucoup...","Wozu träumen, wenn man das legendäre
Leben führt, von dem andere nur träumen?","Non ho bisogno di sogni, la mia vita è
splendida, ed è un sogno per gli altri!","Pues yo no necesito sueños. ¿Para qué?
Ya tengo una vida con la que otros sueñan.","Why dream when you live the
legendary life OTHERS dream of?","BAŞKALARININ hayalini kurduğu efsanevi
hayatı yaşarken neden hayal kurasınız ki?"
4,MID_様子_ヴィオール_後_敬殿,"Moi ? De quoi d'autre pourrais-je rêver... ?
Ma vie est déjà un rêve pour beaucoup...","Wozu träumen, wenn man das legendäre
Leben führt, von dem andere nur träumen?","Non ho bisogno di sogni, la mia vita è
splendida, ed è un sogno per gli altri!","Pues yo no necesito sueños. ¿Para qué?
Ya tengo una vida con la que otros sueñan.","Why dream when you live the
legendary life OTHERS dream of?","BAŞKALARININ hayalini kurduğu efsanevi
hayatı yaşarken neden hayal kurasınız ki?"
5,MID_様子_ヴィオール_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_ヴィオール_前_親子_子,"En vous entraînant avec moi, vous feriez des
miracles, mon enfant... Qu'en dites-vous ?","Du bist jetzt fast so gut wie ich,
$Np. Trainieren wir zusammen?","Sei diventato abile quasi come me,
$Np. Vogliamo allenarci insieme?","Eres casi tan hábil como yo, $Np.
¿Entrenamos juntos?","You've grown nearly as skilled as I,
$Np. Shall we train together?","Neredeyse benim kadar yetenekli büyüdün.
$Np. Birlikte antrenman yapalım mı?"
7,MID_様子_ヴィオール_後_親子_子,"Avec plaisir, mon enfant ! Mais si vous me
battez, que cela reste entre nous !","Ich tue alles für mein Fleisch und Blut! Aber
falls du mich besiegst, halten wir es geheim.","Farei di tutto per te, sei sangue del mio
sangue. Ma se mi batti, che resti tra noi.","¡Haré lo que sea por alguien de mi sangre!
Pero si me vences, no lo airees por ahí...","Anything for my own flesh and blood! But if
you best me, let's keep that a family secret.","Canımdan olana her şey feda! Ama beni
geçersen aile sırrı kalsın."
8,MID_様子_ヴィオール_前_恋人,"Salutations, lumière de ma vie !
Vous êtes plus radieuse que jamais.","Sei gegrüßt, geliebte Frau. Du siehst noch
atemberaubender aus als zuvor.","Salute, moglie adorata.
Che viso splendente hai oggi.","Saludos, amada esposa. Hoy estás más
radiante que nunca.","Greetings, my beloved wife. You look
more radiant than ever.","Selamlar sevgili eşim. Her zamankinden
daha parlak görünüyorsun."
9,MID_様子_ヴィオール_後_恋人,"Vos paroles sont poésie à mes oreilles...
Comment ne pourrais-je vous aimer ?","Deine schönen Worte übertreffen jeden
Barden. Deshalb liebe ich dich so sehr.","Parole degne di un bardo. Ecco perché
il mio cuore batte d'amore.","Tus palabras hacen que los bardos suenen
como un sistro. Por eso te quiero.","You put the bards to shame with your
words. And that is why I love you so.","Sözlerinle ozanları utandırıyorsun.
İşte bu yüzden seni bu kadar seviyorum."
