entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Thanks for the clothing. It's
wild not knowing which side
is the front and which is the
back...so it's perfect for me!
I'm sending back something
a bit more basic for you.","¡Gracias por la ropa que me
has mandado! No sé muy
bien cuál es el derecho y el
revés, ¡pero así es más
emocionante! Te mando
una cosilla, algo más básico.","Merci pour le haut que tu
m'as envoyé. J'ai un peu de
mal à piger dans quel sens
il se porte, alors j'alternerai.
Voici un vêtement un peu
moins chelou en retour.","Grazie per il regalo. Non
capisco qual è la parte
anteriore e quale quella
posteriore di questo capo...
ma non mi dispiace! Per te
ho pensato a un classico.","Krasses Teil, was du mir
da geschickt hast! Sobald
ich rausfind, wo bei dem 
Ding vorne und hinten is',
führ ich's mal aus! Hier haste
auch was, so als Dank!","Yolladığın kıyafet için sağ ol. Önü neresi, arkası neresi belli değil; tam bana göre! Sana da biraz daha sade bir şey gönderiyorum."
1,002,"Thanks for sending me that
clothing. Do you want me to
dress like that? Suggestions
are OK, as long as you don't
tell me what to do! Anyway,
take this clothing in return.","¡Muchas gracias por la ropa!
¿Crees que me pega ese
estilo? Se nota que no
controlas mucho de moda...
¡Te mando una cosita, a ver
si así te pones las pilas!","Merci pour le haut, mais vu
que j'ai rien demandé et que
j'aime pas trop qu'on me
dise quoi faire, je le porterai
pas de sitôt. Je t'en envoie
un aussi. Pour me venger.","Il regalo che mi hai mandato
non era male! Vuoi che
mi vesta così, insomma...
Beh, i suggerimenti sono OK,
ma non dirmi cosa fare, eh!
Tieni questo in cambio.","Danke für die Klamotten...
Aber denkste, ich lass mir
vorschreiben, was ich an-
ziehen soll? Da kennste mich
aber schlecht! Hier haste
auch was – als Rache!","Şu kıyafeti yolladığın için sağ ol. Böyle giyinmemi mi istiyorsun? Öneriye açığım ama emir verme! Neyse, karşılığında bunu al."
2,003,"I was waiting for that to go
on sale! It probably doesn't
seem like me, but bargain
hunting is a tough business.
So thanks for this! I'm gonna
go wear it around town.","¡Qué bien, estaba esperando
a las rebajas, pero no ha
hecho falta! Es que prefiero
ahorrarme unas bayas si
puedo... En fin, ¡muchas
gracias! ¡Es mi talla y todo!","Merci pour le haut ! J'avais
prévu d'aller l'acheter durant
les soldes, mais je vais bien
réussir à trouver un autre
prétexte pour aller jouer des
coudes le moment venu !","Aspettavo che mettessero
quel capo in saldo! Lo so,
non è da me, ma fare
un affare ogni tanto non mi
dispiace. Insomma, grazie!
Lo indosserò per uscire!","He, danke für die Klamotten!
Jetzt brauch ich mich nich'
durch die kaufwütigen
Horden beim Schlussverkauf
zu kämpfen, um mir das Teil
zu sichern! Genial!",Bunun indirime girmesini bekliyordum! Bana göre değilmiş gibi görünebilir ama indirim avcılığı ciddi iştir. Sağ ol! Hemen giyip kasabada dolaşacağım.
3,004,"Are you a mind reader? How
did you know what I wanted?
It's perfect, {{TAG:0005:0000:}}! I'm
sending you this to show my
thanks. But you stay outta
my head from now on!","¿Cómo lo sabías? Ay, qué
bien me conoces, ¿eh,
{{TAG:0005:0000:}}? No me queda
más remedio que mandarte
esta cosilla como muestra
de agradecimiento.","Comment t'as su que je
voulais ce meuble ? Tu lis
dans les pensées ? En tout
cas, permets-moi de t'offrir
un truc à mon tour. Et reste
hors de ma tête, OK ?","Per caso mi hai letto
nel pensiero? Come facevi
a sapere cosa volevo?
Questo regalo è grandioso,
{{TAG:0005:0000:}}! Te ne mando
uno anch'io. Grazie, eh!","Sag mal, kannste Gedanken
lesen?! Genau das wollt ich
haben! Hier haste was als
Gegenleistung... Und bleib
ab jetzt aus meinem Kopf,
ja?","Aklımı mı okuyorsun sen? Ne istediğimi nasıl bildin? Tam isabet, {{TAG:0005:0000:}}! Teşekkür için bunu yolluyorum. Ama bundan sonra kafamdan uzak dur!"
4,005,"So is that present you sent
me the kind of thing you're
into? The design might not
fit the rest of the furniture
in my place, but thanks! Let
me give you this in return.","No sabía que te gustase ese
estilo... ¡pero gracias por el
regalo! Aunque a lo mejor no
pega mucho con el resto de
mi casa... En fin, ¡te mando
un detallito a cambio!","Le meuble que tu m'as
offert, c'est le genre de truc
qui te plaît ? Drôle de façon
de choisir ses cadeaux, mais
bah... Merci ! En retour, voici
donc un truc à MON goût.","Insomma, il regalo che mi
hai fatto è in linea con i tuoi
gusti? Forse non c'entra
molto con le altre cose che
ho in casa, ma... dai, va bene.
Tieni questo in cambio.","Das Ding, was du mir ge-
schickt hast, gefällt dir also
besonders gut? Warum
schenkste es dann mir?! 
Na, trotzdem danke. Hier
haste was, was MIR gefällt.",Yolladığın hediye senin tarzın mı yani? Tasarımı evimdeki diğer eşyalara pek uymayabilir ama sağ ol! Karşılığında sen de bunu al.
5,006,"Thanks for the present! My
place was starting to feel a
little bland, and this should
give it a new edge! But you
have to take this thank-you
present from me too.","¡Gracias por el regalo!
Mi casa necesitaba algo de
vidilla, ¡y esto me viene que
ni pintado! Te mando otra
cosita, para que veas que
estoy agradecida.","Merci pour le cadeau ! Mon
intérieur avait justement
besoin d'un peu de fraîcheur.
J'espère que le truc que je
joins à cette lettre te ravira
autant que j'ai pu l'être !","Grazie... del regalo! Casa mia
cominciava ad essere un po'
noiosa in effetti. A questo
punto però, anche tu meriti
qualcosa! È per ringraziarti!","Ich war von meiner Ein-
richtung so angeödet, ich
hätt fast alles rot angemalt!
Dein Geschenk kam also 
grad noch rechtzeitig,
also danke!",Hediye için sağ ol! Ev biraz yavanlaşmaya başlamıştı; bu ona güzel bir hava kattı. Ama sen de benden şu teşekkür hediyesini almak zorundasın!
6,007,"I never thought about it, but
it'll be useful to have two of
these! That way if one gets
broken during a party, I can
replace it right away. You're
a genius! Take this as thanks.","No lo había pensado antes,
¡pero mola tener esto repe!
Así puedo celebrar fiestas
salvajes en casa sabiendo
que tengo repuesto.
¡Ahí te va una cosilla!","T'as bien fait de m'offrir ce
truc que j'avais déjà, ça m'a
ouvert un tas de possibilités
auxquelles j'aurais jamais
pensé sinon ! Voici donc de
quoi te remercier.","Non ci avevo mai pensato,
ma in fondo è utile avere due
cose uguali! Se se ne rompe
una durante una festa, posso
sostituirla! Che genio che sei!
Tieni un regalo in cambio!","Danke für dein Geschenk!
Das Teil hab ich zwar schon,
aber jetzt, da ich zwei davon
hab, eröffnen sich mir un-
geahnte Möglichkeiten! 
Genial! ",Hiç düşünmemiştim ama bundan iki tane olması işe yarar! Partide biri kırılırsa ötekini çıkarırım. Dâhisin! Teşekkür olarak bunu al.
7,008,"Tell the truth. How did you
know I like eating those? Has
someone been talking about
me?! I'll find out eventually.
Anyway, thanks for the tasty
treat. It was a great snack.","Confiesa, ¿cómo sabías que
es uno de mis aperitivos
preferidos? Seguro que
alguien se ha ido de la
lengua... En fin, ¡estaba de
rechupete! ¡Muchas gracias!","Qui t'as dit que je raffolais
du truc que t'as envoyé ?! En
tout cas, je l'engloutis alors
même que j'écris ces lignes.
Désolée si la lettre en porte
les traces, hein... Et merci !","Dimmi la verità. Come facevi
a sapere che mi piacciono
queste cose? Qualcuno te
l'ha detto? Guarda che tanto
lo vengo a sapere. Comunque
è stato OK come spuntino.","Okay, raus mit der Sprache:
Woher wussteste, was mein
Lieblingsmitternachtssnack
ist?! Sitzte etwa nachts vor
meinem Fenster? Du kannst
auch einfach reinkommen!","Doğruyu söyle. Bunları yemeyi sevdiğimi nereden bildin? Biri hakkımda mı konuşuyor?! Er ya da geç bulurum. Neyse, nefis atıştırmalık için sağ ol."
8,009,"Did you send seeds because
you know how much I love
raising flowers? {{TAG:000E:0003:}}{{TAG:0005:0000:}},
that's totally rad of you. I
got you a thank-you present
to show my appreciation.","Claro, me has mandado
semillas porque sabes que
me chiflan las flores, ¿eh?
Ay, {{TAG:0005:0000:}}, ¡qué
detallazo! Te he comprado
algo para darte las gracias.","Les graines que tu m'as
envoyées, c'est parce que tu
sais que j'aime les fleurs ?
Ça me fait plaisir de voir
qu'y en a au moins {{TAG:000E:0006:040075006E00060075006E006500}} qui
écoute ce que je dis, par ici !","Mi hai mandato dei semi
perché sai che mi piacciono
le piante? Grazie,
{{TAG:0005:0000:}}! Sì, ti meriti
proprio qualcosa in cambio!","Du hast mir ja Blumensamen
geschickt! Wie genial! Das
heißt wohl, dass du meinem
Gelaber wirklich zuhörst und
nich' nur so tust! Dafür hast
du 'ne Belohnung verdient!","Çiçek yetiştirmeyi sevdiğimi bildiğin için mi tohum yolladın? {{TAG:000E:0003:}}{{TAG:0005:0000:}}, çok iyi düşünmüşsün. Teşekkür olarak sana da bir şey aldım."
9,010,"That was a sweet nursery
plant you sent me! I decided
to raise it indoors. We don't
want it to turn out wild like
me, now do we! I hope you'll
take this token of thanks.","¡Menuda planta me has
mandado! Creo que la
dejaré dentro de casa por
el momento, ¡a ver si sale
algo más casera que yo!
¡Ahí te va un detallito!","Trop mignonne, la mini-
plante que tu m'as envoyée !
Je vais la faire pousser chez
moi, à l'intérieur... C'est
comme si ma famille s'était
agrandie !","La pianta che mi hai spedito
è una vera forza! Ho deciso
di tenerla in casa, così non
crescerà selvaggia come...
me! Spero accetterai il mio
regalo di ringraziamento.","Was für 'ne coole Pflanze
du mir da geschickt hast!
Total genial! Der beste Mit-
bewohner, den ich je hatte –
schweigsam, aber mit 'ner
wilden Seite! Danke!!",Yolladığın fidan çok tatlıydı! Evde büyütmeye karar verdim. Benim gibi yabani olmasın şimdi! Şu küçük teşekkürümü de kabul et.
