entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Your letter made my day.
Thanks for that!
","Tu carta me ha alegrado
el día, ¡muchas gracias!
","Ça gaze ? Quoi de neuf par
chez toi à part ça ?
","La tua lettera mi ha fatto
troppo contento. Grazie, eh!
","Ich habe deinen Brief
bekommen.
",Mektubun günümü güzelleştirdi. Sağ ol.
1,002,"Thanks for the letter. I really
needed that today.
","Muchas gracias por escribir.
Se agradece el detalle.
","Comment va la vie ? Ça
boume, sinon ?
","Grazie per la lettera, amic{{TAG:000E:0006:02006F0002006100}}!
Oggi mi ci voleva proprio.
","Da schaut man in den
Briefkasten...
",Mektup için sağ ol. Bugün buna gerçekten ihtiyacım vardı.
2,003,"Thanks for the letter. I
figured I'd reply right away.
","Siempre es bonito que se
acuerden de uno, ¡gracias!
","Je vois que tu as le temps
d'écrire en ce moment...
","Grazie per la lettera, eh! Ho
deciso di risponderti subito.
","Ich wollte dir direkt
antworten.
",Mektup için sağ ol. Ben de hemen cevap vereyim dedim.
3,004,"Thanks for the letter. I did
actually read it, by the way.
","Gracias por la carta, la leí
de cabo a rabo. ¡Dos veces!
","Comment ça va ? Un peu,
beaucoup, à la folie ?
","Grazie per la lettera. L'ho
letta davvero, tra l'altro.
","Ich habe deinen Brief auch
tatsächlich gelesen.
","Mektup için sağ ol. Bu arada gerçekten okudum, haberin olsun."
4,005,"Letters are nice. Thanks for
sending me one and all.
","Me encanta recibir cartas.
¡Gracias por escribirme!
","Bon, ben à part ça... tout
baigne, sinon ?
","Ah, le lettere sono troppo
forti. Grazie per la tua!
","Du hast mir einen Brief
geschickt?
",Mektup güzeldir. Bir tane yolladığın için sağ ol işte.
5,006,"Man, getting a letter from
you was a surprise, but cool!
","Qué sorpresa recibir tu
carta, no me lo esperaba.
","Comment ça va depuis la
dernière fois ?
","Capperi, che sorpresona
ricevere una lettera da te!
","Dein Brief war ja mal 'ne
Überraschung!
","Vay be, senden mektup gelmesi sürprizdi ama hoşuma gitti!"
6,007,"Thanks for the letter. You've
got a way with words!
","Me agradó mucho recibir
tu carta, fue una sorpresa.
","OK, d'accord, mais à part
ça... Ça gaze ?
","Grazie per la lettera. Sai che
ci sai fare con le parole?!
","Du kannst echt gut mit
Worten umgehen, Respekt!
",Mektup için sağ ol. Kelimelerle aran bayağı iyiymiş!
7,008,"Getting a letter is ALWAYS
a happy event! Well, usually.
","Por fin una carta que no
es del banco. ¡GRACIAS!
","Tu n'es pas très occupé{{TAG:000E:0006:000002006500}} en
ce moment, on dirait...
","Ah, ricevere una lettera fa
sempre piacere! Beh, quasi.
","Da ahnt man nix Böses und
kriegt plötzlich einen Brief...",Mektup almak HER ZAMAN güzel bir olaydır! Şey... çoğu zaman.
8,009,"Thanks for the letter. Now
you gotta read my reply!
","He leído tu carta. ¡Ahora te
toca leer mi respuesta!
","Tu as le temps d'écrire,
c'est plutôt cool...
","Grazie per la tua lettera. E
ora beccati la mia risposta!
","Wer Briefe schreibt, muss
auch mit Antwort rechnen!
",Mektup için sağ ol. Şimdi de benim cevabımı okumak zorundasın!
9,010,"That's the sort of letter you
can write home about! HA!
","Con cartas como la tuya,
¿quién necesita libros? ¡Je!
","Je viens de casser ma plume,
c'est ballot... Pfff.
","Mi hai mandato una lettera
memorabile. Da incorniciare!
","Na, das war doch mal ein
Brief!
",İşte buna eve yazılacak mektup derler! HAH!
