label,index,deu,eng,esp,fra,ita,nld,tur
stageEndM009_10_M,0,Da muss ich nicht lang überlegen!\nMein \u000E\u0000\u0003\u0004ﾑ＞Lieblings-Sushi \u000E\u0000\u0003\u0004\u0000＀ist Sushi mit Lachs!,Didn't have to think very hard on this one!\nMy \u000E\u0000\u0003\u0004ﾑ＞favorite\u000E\u0000\u0003\u0004\u0000＀ is salmon!,No me lo tengo que pensar mucho.\n¡Mi \u000E\u0000\u0003\u0004ﾑ＞favorito\u000E\u0000\u0003\u0004\u0000＀ es el de salmón!,"Et puis c'est pas compliqué, comme décision.\nMon \u000E\u0000\u0003\u0004ﾑ＞sushi préféré\u000E\u0000\u0003\u0004\u0000＀, c'est le saumon !",Scegliere è stato facilissimo! Il mio\n\u000E\u0000\u0003\u0004ﾑ＞sushi preferito \u000E\u0000\u0003\u0004\u0000＀è il salmone!,Daar hoefde ik niet lang over na te denken.\nMijn \u000E\u0000\u0003\u0004ﾑ＞lievelingssushi\u000E\u0000\u0003\u0004\u0000＀ is zalm!,Bunu seçmek için fazla düşünmeme gerek olmadı!\nBenim \u000E\u0000\u0003\u0004ﾑ＞favorim\u000E\u0000\u0003\u0004\u0000＀ somon!
stageEndM009_10_F,1,,Didn't have to think very hard on this one!\nMy \u000E\u0000\u0003\u0004ﾑ＞favorite\u000E\u0000\u0003\u0004\u0000＀ is salmon!,,,,,Bunu seçmek için fazla düşünmeme gerek olmadı!\nBenim \u000E\u0000\u0003\u0004ﾑ＞favorim\u000E\u0000\u0003\u0004\u0000＀ somon!
stageEndM009_11_M,2,"Die Macht, die in Lachs-Sushi ruht,\nnennt man \u000E\u0000\u0003\u0004ﾑ＞Tickticktin\u000E\u0000\u0003\u0004\u0000＀!",Salmon's raw power is \u000E\u0000\u0003\u0004ﾑ＞A-Tax\u000E\u0000\u0003\u0004\u0000＀!,Bien. El poder crudo del salmón\nes el \u000E\u0000\u0003\u0004ﾑ＞ácido omegaguay\u000E\u0000\u0003\u0004\u0000＀.,Le bonutriment du sushi au saumon\nest l'\u000E\u0000\u0003\u0004ﾑ＞Asth Axant\u000E\u0000\u0003\u0004\u0000＀ !,Il potere del sushi del salmone\nè l'\u000E\u0000\u0003\u0004ﾑ＞A-Tax\u000E\u0000\u0003\u0004\u0000＀!,De sushikracht van zalm is \u000E\u0000\u0003\u0004ﾑ＞A-tax\u000E\u0000\u0003\u0004\u0000＀!,Somonun çiğ gücü \u000E\u0000\u0003\u0004ﾑ＞Asta-Tak\u000E\u0000\u0003\u0004\u0000＀!
stageEndM009_11_F,3,,,,,,,
stageEndM009_12_M,4,"Wenn deine Kräfte nachlassen, gewährt sie\ndir beim Tellerverbinden \u000E\u0000\u0003\u0004껿＀8 statt 7 Sekunden\u000E\u0000\u0003\u0004\u0000＀!","If you're low on health, it extends your\nwindow to link plates \u000E\u0000\u0003\u0004껿＀from 7 seconds to 8\u000E\u0000\u0003\u0004\u0000＀.","Cuando te quede poca energía, tendrás\n\u000E\u0000\u0003\u0004껿＀8 segundos\u000E\u0000\u0003\u0004\u0000＀ en vez de 7 para enlazar platos.","Si ta santé est faible, tu as \u000E\u0000\u0003\u0004껿＀huit secondes\n\u000E\u0000\u0003\u0004\u0000＀au lieu de sept pour lier des assiettes.","Se hai pochi PV, il tempo per collegare\ni piatti aumenta \u000E\u0000\u0003\u0004껿＀da 7 a 8 secondi\u000E\u0000\u0003\u0004\u0000＀.","Met weinig HP heb je \u000E\u0000\u0003\u0004껿＀geen zeven, maar acht\nseconden \u000E\u0000\u0003\u0004\u0000＀de tijd om borden te verbinden.","Canın azsa, tabak bağlama\nsüre aralığını \u000E\u0000\u0003\u0004껿＀7 saniyeden 8 saniyeye\u000E\u0000\u0003\u0004\u0000＀ uzatır."
stageEndM009_12_F,5,,,,,,,
stageEndM009_13_M,6,So hast du auch in größter Not noch die\nChance auf einen besonders starken Angriff!,"That way, even on your last legs, you can\ndeliver a powerful strike and pull through!","Así, aunque estés en las últimas,\n¡podrás lanzar un potente ataque!","Comme ça, même affaibli, tu peux effectuer\nune attaque puissante pour t'en sortir !","In tal modo, anche in quelle condizioni, puoi\nresistere infliggendo un potente colpo!",Zo krijg je een kans om je tegenstander nog\nonverwacht een grote klap toe te brengen!,"Böylece, can çekişirken bile\ngüçlü bir vuruş yapıp ayakta kalabilirsin!"
stageEndM009_13_F,7,,,,"Comme ça, même affaiblie, tu peux effectuer\nune attaque puissante pour t'en sortir !",,,
stageEndM009_14_M,8,Dann bin ich von jetzt an noch stärker!\nFind ich Sushi-mächtig gut! Hihi.,"Sounds good to me! With raw power,\nI'll be even more unstoppable!","¡Toma ya! ¡Con el poder crudo,\nserá aún más difícil vencerme!","Eh, ça a l'air chouette, ça ! Avec une force\nbrute, plus rien ne pourra m'arrêter !",Alla grande! Grazie al potere del sushi\ndiventerò sempre più inarrestabile!,Klinkt goed! Met die sushikrachten word ik\nnog onoverwinnelijker dan ik al ben!,"Bana uyar! Ham güçle,\ndaha da durdurulamaz olacağım!"
stageEndM009_14_F,9,,"Sounds good to me! With raw power,\nI'll be even more unstoppable!",,,,,"Bana uyar! Ham güçle,\ndaha da durdurulamaz olacağım!"
