entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}I came all this way, but there's not
a single thing here for sale.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Pues vaya, me pego el viaje hasta
aquí{{TAG:0007:0000:08000000}} y resulta que no hay nada a
la venta.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}J'ai fait l'effort de venir ici, mais
ils sont en rupture de stock...","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Ho fatto una scarpinata per
arrivare fin qui... e alla fine non
è in vendita neanche uno spillo.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Jetzt bin ich extra hier
reingekommen, {{TAG:0007:0000:08000000}}und hier
gibt's nur Plunder...","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Buraya kadar geldim ama satılık
tek bir şey bile yok."
1,002,"{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Hmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} I just stopped by to look,
but it doesn't seem like I could buy
anything even if I wanted to!","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Hum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¡Pues no sé qué hago aquí,{{TAG:0007:0000:08000000}}
si no puedo comprar nada aunque
quiera!","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Je suis venu regarder, mais
je vais repartir complètement
bredouille !","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Sono passato per dare
un'occhiata, ma anche se volessi
comprare qualcosa non potrei!","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Hmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Hier werde ich wohl
nicht fündig. {{TAG:0003:0006:}}{{TAG:0007:0000:14000000}}Typisch!","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Hımm{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}.. Sadece bakmaya
uğramıştım ama istesem de alacak
bir şey yok!"
2,003,"{{TAG:0003:0029:}}Awww,{{TAG:0007:0000:14000000}} they don't have anything!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0009:}}Guess today's not my lucky day{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0029:}}¡Pero si no tienen nada!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0009:}}Hoy no es mi día de suerte{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0029:}}Pfff,{{TAG:0007:0000:14000000}} ils n'ont rien !{{TAG:0007:0000:1E000000}} {{TAG:0003:0009:}}C'est pas mon
jour de chance{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0029:}}Che storia!{{TAG:0007:0000:14000000}}
In vendita non c'è niente di niente!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0009:}}Era meglio se restavo a letto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0029:}}Mann,{{TAG:0007:0000:14000000}} hier gibt's ja wirklich gar
nichts!{{TAG:0007:0000:1E000000}} {{TAG:0003:0009:}}Ich hätte heute einfach
im Bett bleiben sollen{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0029:}}Off,{{TAG:0007:0000:14000000}} hiçbir şey kalmamış! Bugün{{TAG:0007:0000:1E000000}}{{TAG:0003:0009:}}
şans benden yana değil demek{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}."
3,004,"{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Hmph.{{TAG:0007:0000:14000000}} Last item in stock, huh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}?
I wonder if there's something wrong
with it{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Eh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ¿Eso es lo último que queda?{{TAG:0007:0000:14000000}}
Y digo yo,{{TAG:0007:0000:08000000}} ¿será que le pasa algo?","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Hmpf.{{TAG:0007:0000:14000000}} Reste plus qu'un seul article
en stock{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Je me demande pourquoi
personne n'en veut{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Ah,{{TAG:0007:0000:14000000}} questo è l'ultimo articolo
disponibile, eh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}? Strano{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Chissà se ha qualcosa che non va...","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Hmpf,{{TAG:0007:0000:14000000}} nur noch ein Gegenstand
übrig?{{TAG:0007:0000:14000000}} Den wollte wohl niemand
haben{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Hıh.{{TAG:0007:0000:14000000}} Stoktaki son parça{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}, ha...?
Acaba bir kusuru mu var.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}"
4,005,"{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0006:}}Could it be that this guy right here
has been waiting all this time for me
to come and take him home{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.?","¿Esto me habrá estado
esperando a mí?","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0006:}} Je crois que cet article attend
ici que je l'achète depuis un
moment{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. Non ?","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0006:}} Forse questo articolo aspettava
solo che me lo portassi a casa io{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0006:}}Liegt das Ding da etwa nur,
damit ich es kaufe{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.?","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0003:0006:}}.Yoksa bu zavallı şey bunca
zamandır benim gelip onu eve
götürmemi mi bekliyordu.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.?"
5,006,"{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}If I don't get this item right now,{{TAG:0007:0000:14000000}}
then someone else probably will{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Pues si no compro yo esto,{{TAG:0007:0000:0C000000}} seguro
que viene alguien y se lo lleva{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Ça, si ce n'est pas moi qui l'achète,{{TAG:0007:0000:14000000}}
c'est quelqu'un d'autre qui le fera{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Mmmh... Se non me lo prendo io,{{TAG:0007:0000:14000000}}
lo comprerà qualcun altro{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
E questo NON deve accadere!","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Wenn ich das jetzt nicht kaufe,{{TAG:0007:0000:14000000}} wird
es mir sicher jemand wegkaufen{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0006:}}{{TAG:0007:0000:14000000}}
Typisch!","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Şimdi almazsam başkası{{TAG:0007:0000:14000000}} kapar
herhâlde.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}."
6,007,"I wonder {{TAG:0003:0017:}}if they've got anything
I'd really want today...","No hay gran cosa,{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}¿tendrán algo
que me interese?","Je me demande {{TAG:0003:0017:}}s'ils ont quelque
chose pour moi aujourd'hui...","Vediamo un po' se oggi hanno
qualcosa che mi può servire...","Ob es wohl heute {{TAG:0003:0017:}}mal zur
Abwechslung etwas gibt,
das ich haben will?","Bugün{{TAG:0003:0017:}} gerçekten isteyeceğim bir
şey var mı bakalım..."
7,008,"All right,{{TAG:0007:0000:1E000000}} {{TAG:0003:0023:}}it's time for a very serious
{{TAG:0005:0001:}} Check!","{{TAG:0003:0023:}}Como hoy no hay muchas cosas,{{TAG:0007:0000:08000000}}
las estoy repasando a fondo para
que no se me escape nada.","OK,{{TAG:0007:0000:1E000000}} {{TAG:0003:0023:}}c'est l'heure du contrôle
technique {{TAG:0005:0001:}} !","Tutti pronti!{{TAG:0007:0000:1E000000}} {{TAG:0003:0023:}}Arriva {{TAG:0005:0001:}}
per il controllo merce!","Wollen wir mal sehen, {{TAG:0003:001C:}}{{TAG:0007:0000:08000000}}ob das hier
{{TAG:0005:0001:}}-Qualität hat!","Tamam{{TAG:0007:0000:1E000000}}{{TAG:0003:0023:}}, ciddi bir {{TAG:0005:0001:}} Kontrolü zamanı!"
8,009,"{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}I was thinking I might find some kind
of bargain today{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.",{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}A ver si encuentro alguna ganga{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.,"{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}J'ai comme la sensation que je vais
faire une bonne affaire aujourd'hui{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Vediamo se oggi riesco a tornare
a casa con il portafoglio vuoto
e con le tasche piene{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Wider besseres Wissen hatte ich
gehofft, hier heute ein Schnäppchen
machen zu können{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Bugün belki bir kelepir bulurum
diye düşünmüştüm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}."
9,010,"{{TAG:0003:0026:}}Well, at least they've got a good
selection today! Can't complain!","Bueno,{{TAG:0007:0000:08000000}} por lo menos hoy tienen
una selección bastante amplia.{{TAG:0007:0000:14000000}}
{{TAG:0003:0026:}}¡No nos podemos quejar!","{{TAG:0003:0026:}}Bon, au moins ils ont du choix
aujourd'hui, je vais pas trop me
plaindre !","{{TAG:0003:0026:}}Beh, almeno oggi hanno parecchia
merce esposta! Meno male...","{{TAG:0003:0026:}}Diese Auswahl! {{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}Wie soll ich mich
da je für etwas entscheiden?","{{TAG:0003:0026:}}Eh, en azından bugün seçenek
bol! Buna şikâyet yok!"
