entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0002:}}Arrrk ark ark!{{TAG:0007:0000:0F000000}} It seems like you
enjoy catching bugs.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}It makes this old man relieved to
see you've found a way to enjoy
the great outdoors!","{{TAG:0003:0002:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} Parece que te lo
has estado pasando pipa cazando
bichos, ¿eh?{{TAG:0003:0001:}}
{{TAG:0003:0003:}}¡Lo que le alegra a este viejo león
marino ver que los jóvenes de hoy
en día disfrutan de la naturaleza!","{{TAG:0003:0002:}}Woh ho ho !{{TAG:0007:0000:0F000000}} On dirait que tu aimes
bien attraper des insectes.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Je suis heureux de voir que tu as
trouvé un moyen de t'amuser dans
la nature !","{{TAG:0003:0002:}}Uah ah ah!{{TAG:0007:0000:0F000000}} Sembra che ti piaccia
proprio dare la caccia agli insetti.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Non sai il piacere che mi fa
sapere che hai un rapporto
così stretto con la natura!","{{TAG:0003:0002:}}Errrk erk erk!{{TAG:0007:0000:14000000}} Du scheinst gern
Insekten zu fangen.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Es ist mir eine große Freude, dass
du ein so großes Interesse an der
Natur hast!","{{TAG:0003:0002:}}Ark ark ark!{{TAG:0007:0000:0F000000}} Böcek yakalamayı
seviyorsun anlaşılan.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Bu ihtiyar,
açık havanın tadını çıkaracak bir
uğraş bulmana sevindi!"
1,002,"{{TAG:0003:0002:}}Arrrk ark ark!{{TAG:0007:0000:0F000000}} It seems you've
gotten rather good at catching bugs.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}It makes this old man happy to
know you're enjoying yourself
while getting outside so much!","{{TAG:0003:0002:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} Cualquiera diría que
lo de cazar bichos lo llevas en la
sangre.{{TAG:0003:0001:}}
{{TAG:0003:0003:}}¡Me has hecho recordar mis tiempos
mozos, en los que yo también me
pasaba el día persiguiendo insectos!
Y aquí donde me ves, era todo un
portento, ¡para desgracia de mi
madre, que los aborrecía!","{{TAG:0003:0002:}}Woh ho ho !{{TAG:0007:0000:0F000000}} On dirait que tu es très
{{TAG:000E:0006:080064006F007500E9000A0064006F007500E9006500}} pour attraper les insectes.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Ça me fait plaisir de voir à quel
point tu profites des bienfaits de
la nature !","{{TAG:0003:0002:}}Uah ah ah!{{TAG:0007:0000:0F000000}} Sembra che tu sia
diventat{{TAG:000E:0006:18006F002000620072006100760069007300730069006D006F00180061002000620072006100760069007300730069006D006100}}
ad acchiappare gli insetti.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Non sai il piacere che mi fa
sapere che adori trascorrere
le giornate all'aria aperta!","{{TAG:0003:0002:}}Errrk erk erk!{{TAG:0007:0000:14000000}} Du bist ziemlich gut
im Insektenfangen!{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Du machst mir große Freude mit
deinen Abenteuern in der Natur!","{{TAG:0003:0002:}}Ark ark ark!{{TAG:0007:0000:0F000000}} Böcek yakalamakta
epey ustalaşmışsın.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Dışarıda bu
kadar çok
vakit geçirip eğlenmen bu
ihtiyarı mutlu ediyor!"
2,003,"{{TAG:0003:0002:}}Arrrk ark ark!{{TAG:0007:0000:0F000000}} It seems you've
made bug catching into an art form
or something similar!{{TAG:0003:0001:}}
{{TAG:0003:0003:}}It makes this old man overjoyed
to see you find something you can
be so amazingly passionate about!
And, if I may say, such a feat is
extraordinary! You should take
pride in this badge!","{{TAG:0003:0002:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} Estoy francamente
impresionado. ¡Has convertido la
afición de cazar bichos en un arte!{{TAG:0003:0001:}}
{{TAG:0003:0003:}}Y yo que pensaba que los mozuelos
de hoy en día no eran capaces de
interesarse realmente por nada...
¡Me alegra saberme equivocado!
Toma, te la has ganado.","{{TAG:0003:0002:}}Woh ho ho !{{TAG:0007:0000:0F000000}} On dirait que tu es
{{TAG:000E:0006:0A007000610073007300E9000C007000610073007300E9006500}} maître dans l'art d'attraper
les insectes !{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Ça me remplit de joie de voir la
passion avec laquelle tu t'adonnes
à cette activité !","{{TAG:0003:0002:}}Uah ah ah!{{TAG:0007:0000:0F000000}} Sembra che per te
acchiappare gli insetti sia quasi
un'arte raffinata!{{TAG:0003:0001:}}
{{TAG:0003:0003:}}Non sai il piacere che mi fa sapere
che hai trovato una passione
che ti coinvolge così tanto!
Complimenti per le tue grandi doti
di acchiappainsetti! Dovresti essere
orgoglios{{TAG:000E:0006:02006F0002006100}} del tuo nuovo distintivo!","{{TAG:0003:0002:}}Errrk erk erk!{{TAG:0007:0000:14000000}} Du hast das Fangen
von Insekten wirklich zu einer
neuen Kunstform erhoben!{{TAG:0003:0001:}}
{{TAG:0003:0003:}}Es macht mich überglücklich,
jemanden mit solcher Leidenschaft
auf seinem Weg zu begleiten!
Eine außergewöhnliche Leistung!
Auf dieses Abzeichen darfst du mit
Fug und Recht stolz sein!","{{TAG:0003:0002:}}Ark ark ark!{{TAG:0007:0000:0F000000}} Böcek yakalamayı
adeta bir sanat hâline
getirmişsin!{{TAG:0003:0001:}}
{{TAG:0003:0003:}}Böyle tutkuyla sarılacağın bir
şey bulman bu ihtiyarı çok sevindirdi!
Böyle bir başarı olağanüstü; bu
rozetle gurur duymalısın!"
3,004,"{{TAG:0003:0002:}}Arrrk ark ark!{{TAG:0007:0000:0F000000}} It seems like you
enjoy fishing just a bit.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}It makes this old man relieved to
see you've found a way to enjoy
the great outdoors!","{{TAG:0003:0002:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} Sé de alguien que se
está aficionando a la pesca...{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Quien diga que pescar es aburrido,
se equivoca de medio a medio.
¡Es un deporte apasionante!
Ya veo que no eres de {{TAG:000E:0006:06006C006F00730006006C0061007300}} que se
quedan el día encerrad{{TAG:000E:0006:04006F007300040061007300}} en casa
y que haces deporte al aire libre.
¡Estupendo!","{{TAG:0003:0002:}}Woh ho ho !{{TAG:0007:0000:0F000000}} On dirait que tu aimes
bien pêcher.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Je suis heureux de voir que tu as
trouvé un bon moyen de profiter
du grand air !","{{TAG:0003:0002:}}Uah ah ah!{{TAG:0007:0000:0F000000}} Sembra che ti piaccia
davvero molto andare a pesca.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Non sai il piacere che mi fa
sapere che hai trovato un hobby
con cui passare ore all'aria aperta!","{{TAG:0003:0002:}}Errrk erk erk!{{TAG:0007:0000:14000000}} Du scheinst Gefallen
am Angeln gefunden zu haben.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Es ist immer wieder faszinierend,
welche vielfältigen Zerstreuungen
die Natur doch bietet!","{{TAG:0003:0002:}}Ark ark ark!{{TAG:0007:0000:0F000000}} Balık tutmayı biraz
seviyorsun galiba.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Açık havanın
tadını çıkaracak bir uğraş bulman beni rahatlattı!"
4,005,"{{TAG:0003:0002:}}Arrrk ark ark!{{TAG:0007:0000:0F000000}} It seems you've
gotten pretty good at fishing.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}It makes this old man happy to
know you're enjoying yourself
and becoming one with nature!","{{TAG:0003:0002:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} Se nota que la pesca
ya no tiene secretos para ti,
{{TAG:000E:0006:12006D006F007A0061006C00620065007400650014006D00750063006800610063006800690074006100}}.{{TAG:0003:0001:}}
{{TAG:0003:0003:}}¡Cualquier día de estos te veo
faenando a bordo de un atunero!","{{TAG:0003:0002:}}Woh ho ho !{{TAG:0007:0000:0F000000}} On dirait que tu as fait
d'énormes progrès à la pêche.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Je suis ravi de te voir si {{TAG:000E:0006:0E00E900700061006E006F00750069001000E900700061006E006F00750069006500}}
et en communion avec la nature !","{{TAG:0003:0002:}}Uah ah ah!{{TAG:0007:0000:0F000000}} Sembra che tu sia
diventat{{TAG:000E:0006:02006F0002006100}} {{TAG:000E:0006:2A0075006E0020007000650073006300610074006F00720065002000700072006F0076006500740074006F002E0075006E006100200070006500730063006100740072006900630065002000700072006F0076006500740074006100}}!{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Non sai il piacere che mi fa
sapere che ti diverti e che vivi
in armonia con la natura!","{{TAG:0003:0002:}}Errrk erk erk!{{TAG:0007:0000:14000000}} Bei dir scheinen die
Fische ja gut anzubeißen!{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Schön, wenn jemand so im Einklang
mit der Natur ist!","{{TAG:0003:0002:}}Ark ark ark!{{TAG:0007:0000:0F000000}} Balık tutmakta epey
iyileşmişsin.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Doğayla iç içe olup
eğlenmen bu ihtiyarı mutlu ediyor!"
5,006,"{{TAG:0003:0002:}}Arrrk ark ark!{{TAG:0007:0000:0F000000}} It seems you've
mastered the art of the fishing
rod and bobber!{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}It makes this old man overjoyed{{TAG:0007:0000:0A000000}}
to see you find something you can
be so insanely passionate about!
Take heart and be merry at the
sight of this badge! Few others
have your level of dedication!","{{TAG:0003:0002:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} Hay gente que nace
con un pan bajo el brazo, ¡pero tú lo
has hecho con una caña de pescar!{{TAG:0003:0001:}}
{{TAG:0003:0003:}}{{TAG:000E:0006:1E0050006F0063006F00730020006D007500630068006100630068006F0073001E0050006F0063006100730020006D0075006300680061006300680061007300}} he conocido que
se entreguen en cuerpo y alma a una
afición como haces tú.
¡Semejante devoción bien merece
una insignia al alcance de unos
pocos elegidos!","{{TAG:0003:0002:}}Woh ho ho !{{TAG:0007:0000:0F000000}} On dirait que tu es
{{TAG:000E:0006:120064006500760065006E007500200075006E00160064006500760065006E0075006500200075006E006500}} virtuose de la canne
à pêche !{{TAG:0003:0001:}}
{{TAG:0003:0003:}}Je me réjouis de voir avec quel
dévouement tu t'adonnes à cette
activité !","{{TAG:0003:0002:}}Uah ah ah!{{TAG:0007:0000:0F000000}} Sembra che per te
acchiappare i pesci sia quasi
un'arte raffinata!{{TAG:0003:0001:}}
{{TAG:0003:0003:}}Non sai il piacere che mi fa sapere
che hai trovato una passione
a cui dedichi tutt{{TAG:000E:0006:02006F0002006100}} te stess{{TAG:000E:0006:02006F0002006100}}!
Prendi questo distintivo! Te lo sei
proprio meritato! Pochi hanno
dimostrato un impegno come il tuo!","{{TAG:0003:0002:}}Errrk erk erk!{{TAG:0007:0000:14000000}} Was du mal am
Haken hast, kommt nicht mehr weg!{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Deine Leidenschaft für das Angeln
wirkt wahrlich wie ein Jungbrunnen!{{TAG:0000:0004:}}Trage dieses Abzeichen mit Stolz,
denn nur wenige haben es sich
verdient!","{{TAG:0003:0002:}}Ark ark ark!{{TAG:0007:0000:0F000000}} Olta ve
şamandıranın ustası olmuşsun!{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Böylesine
tutkuyla sarılacağın bir şey bulmana çok
sevindim!{{TAG:0007:0000:0A000000}}
Bu rozeti görünce göğsün
kabarsın; böyle azim herkeste bulunmaz!"
6,007,"{{TAG:0003:0002:}}Arrrk ark ark!{{TAG:0007:0000:0F000000}} It seems like you
enjoy diving for things.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}It makes this old man relieved to
see you've found a way to enjoy
the vast oceans out there!","{{TAG:0003:0002:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} Parece que disfrutas
de lo lindo buceando y cogiendo
todo lo que pillas.{{TAG:0003:0001:}}
Marisco, algas... ¡La flora y fauna
marinas son de lo más variopintas!{{TAG:0000:0004:}}{{TAG:0003:0003:}}Como animal acuático que soy,
¡me enorgullece que lo pases bomba
explorando bajo las aguas!","{{TAG:0003:0002:}}Woh ho ho !{{TAG:0007:0000:0F000000}} On dirait que tu aimes
beaucoup la plongée sous-marine.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Ça me fait plaisir de voir que tu
sais profiter des joies simples
de la nature !","{{TAG:0003:0002:}}Uah ah ah!{{TAG:0007:0000:0F000000}} Sembra che ti piacciano
parecchio le immersioni.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Non sai il piacere che mi fa
sapere che hai trovato un hobby
con cui esplorare gli abissi marini!","{{TAG:0003:0002:}}Errrk erk erk!{{TAG:0007:0000:14000000}} Du tauchst wohl gern!{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Es ist schön, dass du die Weiten
des Ozeans genießen kannst!","{{TAG:0003:0002:}}Ark ark ark!{{TAG:0007:0000:0F000000}} Dalış yapmayı
seviyorsun anlaşılan.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Koskoca
denizin tadını çıkaracak bir yol bulman
beni rahatlattı!"
7,008,"{{TAG:0003:0002:}}Arrrk ark ark!{{TAG:0007:0000:0F000000}} It seems you've
gotten pretty good at diving for
things in the sea.{{TAG:0003:0001:}}
{{TAG:0003:0003:}}It makes this old man happy to
know you're enjoying yourself
so contentedly with nature!","{{TAG:0003:0002:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} Sé de buena tinta que
no paras de encontrar de todo en
las profundidades marinas.{{TAG:0003:0001:}}
{{TAG:0003:0003:}}¡Seguro que algunos hallazgos son
auténticos tesoros por su rareza!{{TAG:0000:0004:}}Y lo mejor de todo es que el buceo
es un deporte en armonía con la
naturaleza. ¡No dejes de practicarlo!","{{TAG:0003:0002:}}Woh ho ho !{{TAG:0007:0000:0F000000}} On dirait que tu es très
{{TAG:000E:0006:080064006F007500E9000A0064006F007500E9006500}} pour la plongée sous-marine.{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Ça me fait tellement plaisir de te
voir {{TAG:000E:0006:0E006800650075007200650075007800100068006500750072006500750073006500}} comme un poisson
dans l'eau !","{{TAG:0003:0002:}}Uah ah ah!{{TAG:0007:0000:0F000000}} Sembra che tu sia
diventat{{TAG:000E:0006:02006F0002006100}} {{TAG:000E:0006:1E0075006E00200073006F006D006D006F007A007A00610074006F0072006500220075006E006100200073006F006D006D006F007A007A00610074007200690063006500}}
davvero in gamba!{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Non sai il piacere che mi fa
sapere che ti diverti a immergerti
nelle profondità del mare!","{{TAG:0003:0002:}}Errrk erk erk!{{TAG:0007:0000:14000000}} Tauchen scheint
ja genau auf deiner Wellenlänge
zu liegen.{{TAG:0003:0001:}}
{{TAG:0003:0003:}}Ein schönes Gefühl, so nah an der
Natur zu sein, {{TAG:0007:0000:08000000}}oder?","{{TAG:0003:0002:}}Ark ark ark!{{TAG:0007:0000:0F000000}} Denizde dalışta
epey iyileşmişsin.{{TAG:0003:0001:}} {{TAG:0003:0003:}}Doğanın içinde
böyle huzurla eğlenmen bu ihtiyarı
mutlu ediyor!"
8,009,"{{TAG:0003:0002:}}Arrrk ark ark!{{TAG:0007:0000:0F000000}} It seems you've
mastered the art of diving for
creatures of the deep.{{TAG:0003:0001:}}
{{TAG:0003:0003:}}It makes this old man overjoyed
to see you find something you
can be so ultimately focused on!
I know of few others with the same
ability you've shown when it comes
to searching the ocean floor.","{{TAG:0003:0002:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} Flora, fauna, fruta...
Has cogido ejemplares de todo tipo.
¡Buceas como pez en el agua!{{TAG:0003:0001:}}
{{TAG:0003:0003:}}¡Si me descuido, pronto nadarás
mejor que este viejo león marino!{{TAG:0000:0004:}}Pero me alegra saber que por fin
has encontrado una afición que te
llama de verdad.
Ah, y si te animas a preparar una
paella con todo ese marisco, no
dudes en invitarme, ¿eh?","{{TAG:0003:0002:}}Woh ho ho !{{TAG:0007:0000:0F000000}} On dirait que tu es
{{TAG:000E:0006:0C0064006500760065006E0075000E0064006500760065006E0075006500}} un as de la plongée !{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Ça me remplit de joie de savoir que
tu as pu trouver une vraie passion !","{{TAG:0003:0002:}}Uah ah ah!{{TAG:0007:0000:0F000000}} Sembra che ormai
l'arte delle immersioni subacquee
non abbia più segreti per te!
{{TAG:0003:0003:}}Non sai il piacere che mi fa sapere
che questo passatempo è così
avvincente per te!
Pochi hanno dimostrato una bravura
come la tua nella perlustrazione
dei fondali marini! Complimenti!","{{TAG:0003:0002:}}Errrk erk erk!{{TAG:0007:0000:14000000}} Du hast das Tauchen
in neue Tiefen geführt, sozusagen!{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Deine Entschlossenheit ist eine
Freude für meine alten Augen!{{TAG:0000:0004:}}Ich kenne nur wenige, die es so weit
gebracht haben wie du!","{{TAG:0003:0002:}}Ark ark ark!{{TAG:0007:0000:0F000000}} Derinlerdeki
canlılara dalışın ustası olmuşsun.{{TAG:0003:0001:}}
{{TAG:0003:0003:}}Böylesine
odaklanabildiğin bir uğraş
bulmana çok sevindim!
Denizin dibini araştırma
becerine yetişen
pek az kişi tanıyorum!"
9,010,"{{TAG:0003:0002:}}Arrrk ark ark!{{TAG:0007:0000:0F000000}} It seems as though
you've become a bit interested in
entomology.{{TAG:0003:0001:}}
{{TAG:0003:0003:}}It's obvious just by looking at your
bug-collection encyclopedia!","{{TAG:0003:0002:}}¡Jar, jar, jar!{{TAG:0007:0000:0F000000}} Veo que a alguien
le ha picado el gusanillo de la
entomología...{{TAG:0003:0001:}}
{{TAG:0003:0003:}}¿Que cómo lo sé? ¡Basta con
echarle un vistazo a tu colección
de bichos!","{{TAG:0003:0002:}}Woh ho ho !{{TAG:0007:0000:0F000000}} On dirait que tu as
commencé à t'intéresser à
l'entomologie.{{TAG:0003:0001:}}
{{TAG:0003:0003:}}Il suffit de jeter un œil à ton journal
pour s'en rendre compte.","{{TAG:0003:0002:}}Uah ah ah!{{TAG:0007:0000:0F000000}} Pare che l'entomologia
ti interessi sul serio!{{TAG:0003:0001:}}{{TAG:0000:0004:}}{{TAG:0003:0003:}}Basta dare una semplice occhiata
al tuo album per accorgersene!","{{TAG:0003:0002:}}Errrk erk erk!{{TAG:0007:0000:14000000}} Sieht mir ganz so aus,
als wäre die Insektenkunde dein
neues Steckenpferd!{{TAG:0003:0001:}}
{{TAG:0003:0003:}}Das merkt man an all den Einträgen
zu Insekten in deinem Fangbuch!","{{TAG:0003:0002:}}Ark ark ark!{{TAG:0007:0000:0F000000}} Entomolojiye biraz
merak salmışsın anlaşılan.{{TAG:0003:0001:}} {{TAG:0003:0003:}}Böcek
ansiklopedine bakmak bunu
anlamaya yetiyor!"
