entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Even the {{TAG:0011:0003:0000}}
{{TAG:0011:0001:0000}} has seems kind of
sophisticated.
{{TAG:0003:0003:}}{{TAG:0011:0001:0000}}'s probably been giving
it style tips or something,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¡Hasta {{TAG:000E:0001:}}{{TAG:0011:0003:0000}}
de {{TAG:0011:0001:0000}} parece tan
""sofistificad{{TAG:000E:0008:00CD02006F000200610002003000}}"" como ella!
{{TAG:0003:0003:}}Seguro que {{TAG:0011:0001:0000}} ya le ha
dado una buena charla sobre
cómo tener estilo y todo eso.","{{TAG:0003:0001:}}Même {{TAG:000E:0001:}}{{TAG:0011:0003:0000}}
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0000}} a l'air sophistiqué.{{TAG:0000:0004:}}{{TAG:0003:0003:}}Je parie qu'elle donne des conseils
de savoir-vivre,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Anche {{TAG:000E:0001:}}{{TAG:0011:0003:0000}}
di {{TAG:0011:0001:0000}} ha classe da vendere.{{TAG:0000:0004:}}{{TAG:0003:0003:}}Scommetto che {{TAG:0011:0001:0000}} ha dato
consigli di stile perfino a questo
pesciolino,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Findest du auch, dass {{TAG:000E:0001:}}
{{TAG:0011:0003:0000}} irgendwie
gelehrt aussieht?
Bestimmt liest {{TAG:0011:0001:0000}} {{TAG:000E:0008:00CD0600690068006D0006006900680072000600690068006D00}}
abends immer Romane mit lauter
komplizierten Wörtern drin vor.","{{TAG:0003:0001:}}Şu {{TAG:0011:0003:0000}} bile {{TAG:0011:0001:0000}} sayesinde
bayağı zarif görünüyor. {{TAG:0003:0003:}}Kesin {{TAG:0011:0001:0000}}
ona stil tüyoları veriyordur,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
1,002,"{{TAG:0003:000B:}}Hm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} What do you think about that
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0011:0001:0000}} says{{TAG:0007:0000:14000000}} art is something
you have to feel{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000A:}}Man!{{TAG:0007:0000:28000000}} All I feel{{TAG:0007:0000:14000000}} is that understanding
art is just way over my head.","{{TAG:0003:000B:}}Hum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} ¿Qué te parece es{{TAG:000E:0008:00CD020065000200610002003000}}
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} dice que el arte es{{TAG:0007:0000:14000000}}
algo que se siente muy dentro{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000A:}}¡Vaya!{{TAG:0007:0000:28000000}} Eso quiere decir que el
porrón de natillas que hace que{{TAG:0007:0000:14000000}} me
pesen tanto las tripas... ¡es arte!","{{TAG:0003:000B:}}Hmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:000E:0008:00CD0400430065000A00430065007400740065000000}}
{{TAG:0011:0003:0000}} t'inspire
quelque chose ?{{TAG:0000:0004:}}{{TAG:0011:0001:0000}} dit que l'art,{{TAG:0007:0000:14000000}} c'est du
ressenti avant tout{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000A:}}Mouais !{{TAG:0007:0000:28000000}} Tout ce que je ressens,{{TAG:0007:0000:14000000}}
c'est un mal de tête quand j'essaie
de comprendre tout ça !","{{TAG:0003:000B:}}Mh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} Che ne pensi tu di quest{{TAG:000E:0008:00CD02006F000200610002003000}}
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} dice{{TAG:0007:0000:14000000}} che l'arte
va studiata a fondo per capirla{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000A:}}Caspitina!{{TAG:0007:0000:28000000}} Io e lo studio{{TAG:0007:0000:14000000}} non siamo
mai andati molto d'accordo.","{{TAG:0003:000B:}}Was hältst du denn von {{TAG:000E:0008:00CD0600640065006D0006006400650072000600640065006D00}}
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0011:0001:0000}} sagt immer, man würde
in den kühnen Linien die empfind-
same Seele des Künstlers erkennen.
{{TAG:0003:000A:}}Ich seh da nur ein Bild.","{{TAG:0003:000B:}}Hımm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} Sence şu {{TAG:0011:0003:0000}}
nasıl?{{TAG:0000:0004:}}{{TAG:0011:0001:0000}},{{TAG:0007:0000:14000000}} sanatı hissetmek gerek
diyor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000A:}}Of!{{TAG:0007:0000:28000000}} Benim hissettiğim tek şey,{{TAG:0007:0000:14000000}}
sanatı anlamanın beni aştığı."
2,003,"{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} says that plants have a
calming effect in the home.{{TAG:0000:0004:}}That's why she has {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}Not that I have much need for it.{{TAG:0007:0000:14000000}}
{{TAG:0003:0003:}}I'm naturally a pretty chill dude.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} dice que las plantas
tienen un efecto tranquilizador
para el hogar.{{TAG:0000:0004:}}Y como ella suele agobiarse
a menudo, tiene en casa
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}Yo no necesito nada de eso.{{TAG:0007:0000:14000000}}
{{TAG:0003:0003:}}¡Mi casa ya es muy tranquila
de por sí!","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} trouve qu'avoir une
plante chez soi aide à se détendre.{{TAG:0000:0004:}}C'est pour ça qu'elle a {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}Moi, j'ai pas besoin de me détendre
encore plus.{{TAG:0007:0000:14000000}} {{TAG:0003:0003:}}On peut même dire que
je suis la détente incarnée !","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} dice sempre che
le piante la rilassano tantissimo.{{TAG:0000:0004:}}Deve essere per quello che ha qui 
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}A me non serve nessuna pianta.{{TAG:0007:0000:14000000}}
{{TAG:0003:0003:}}Un tipo tranquillo come me
non sa cosa sia lo stress.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} im
Haus beruhigt die Nerven, sagt
{{TAG:0011:0001:0000}}.
Ich brauch so was nicht –{{TAG:0007:0000:08000000}} meine
Nerven sind schon ruhig genug.{{TAG:0007:0000:14000000}}
{{TAG:0000:0003:0500}}(Außerdem nervt mich das Gießen.){{TAG:0000:0003:FFFF}}","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}}, bitkilerin eve huzur verdiğini
söylüyor.{{TAG:0000:0004:}}O yüzden {{TAG:000E:0002:}} {{TAG:0011:0003:0000}}
bulunduruyor.{{TAG:0000:0004:}}Gerçi benim pek ihtiyacım
yok.{{TAG:0007:0000:14000000}} {{TAG:0003:0003:}}Ben zaten doğuştan rahat biriyim."
3,004,"{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} says{{TAG:0007:0000:14000000}} listening to
{{TAG:0000:0003:0200}}{{TAG:0011:0003:0100}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:14000000}} makes her
nostalgic for the past.
{{TAG:0003:0009:}}She listens to it even though it
makes her sad.{{TAG:0007:0000:14000000}} She's a complicated
one,{{TAG:0007:0000:14000000}} that {{TAG:0011:0001:0000}}.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} dice que al oír{{TAG:0007:0000:14000000}}
{{TAG:0000:0003:0200}}{{TAG:0011:0003:0100}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:14000000}} empieza
a recordar con nostalgia su pasado.
{{TAG:0003:0009:}}¿Y por qué oír algo que te
entristece tanto?{{TAG:0007:0000:14000000}} Yo de verdad
que no entiendo a esta {{TAG:0011:0001:0000}}...","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} dit {{TAG:0007:0000:14000000}}qu'elle se sent
nostalgique quand elle écoute
« {{TAG:0011:0003:0100}} ».
{{TAG:0003:0009:}}Elle est compliquée quand même.{{TAG:0007:0000:14000000}}
Pourquoi elle écoute de la musique
si ça la rend triste ?","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} dice{{TAG:0007:0000:14000000}} che sentire
""{{TAG:0011:0003:0100}}""{{TAG:0007:0000:14000000}} la riporta
sempre indietro nel passato.
{{TAG:0003:0009:}}Ascolta la musica anche se poi
viene assalita dalla nostalgia.{{TAG:0007:0000:14000000}}
Certo che {{TAG:0011:0001:0000}} è una strana!","{{TAG:0003:0001:}}Hör mal, {{TAG:0011:0003:0100}}!{{TAG:0007:0000:14000000}}
Ist das nicht ein Song aus der
Jugendzeit von {{TAG:0011:0001:0000}}?
{{TAG:0003:0009:}}Auf jeden Fall wird sie immer ganz
sentimental, wenn sie dieses Lied
hört,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}},{{TAG:0007:0000:14000000}} {{TAG:0000:0003:0200}}{{TAG:0011:0003:0100}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:14000000}} dinleyince eski
günleri hatırladığını söylüyor.
{{TAG:0003:0009:}}Üzülmesine rağmen yine de dinliyor.{{TAG:0007:0000:14000000}}
Şu {{TAG:0007:0000:14000000}} {{TAG:0011:0001:0000}} gerçekten karmaşık biri."
4,005,"{{TAG:0003:000B:}}What do you think is {{TAG:0011:0001:0000}}'s{{TAG:0007:0000:14000000}}
favorite thing to watch on TV,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?
{{TAG:0003:0001:}}I'm betting it's soap operas.","{{TAG:0003:000B:}}¿Qué programas de la tele crees
que le gustarán más a {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}¡Seguro que los culebrones!","{{TAG:0003:000B:}}D'après toi, quel est le programme
favori {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0000}}{{TAG:0007:0000:14000000}},
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} ?
{{TAG:0003:0001:}}Moi,{{TAG:0007:0000:08000000}} je parie que ce sont les
feuilletons !","{{TAG:0003:000B:}}Secondo te, qual è il programma
televisivo preferito di {{TAG:0011:0001:0000}},
{{TAG:0005:0007:}}?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Scommetto che adora
le telenovele.","{{TAG:0003:000B:}}Ob {{TAG:0011:0001:0000}} diese Kiste nur für
die Nachrichten anschaltet,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?
{{TAG:0003:0001:}}Oder guckt sie auch irgendwelche
Serien und strickt dabei?","{{TAG:0003:000B:}}Sence {{TAG:0011:0001:0000}}'in{{TAG:0007:0000:14000000}} televizyonda
en sevdiği şey ne,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}? {{TAG:0003:0001:}}Ben pembe
diziler diyorum."
5,006,{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}},{{TAG:0009:0004:380039003A003B003C003D00}}
6,007,"{{TAG:0003:0001:}}Since {{TAG:0011:0001:0000}} has {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}},{{TAG:0007:0000:14000000}} maybe I
can get her to make me something.
{{TAG:0003:0009:}}She might get offended if I ask
her, though.","{{TAG:0003:0001:}}Como {{TAG:0011:0001:0000}} tiene {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}},{{TAG:0007:0000:14000000}} a lo mejor
puedo pedirle que me prepare algo.
{{TAG:0003:0009:}}Aunque me preocupa que
se enfade...","{{TAG:0003:0001:}}Comme {{TAG:0011:0001:0000}} a {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}},{{TAG:0007:0000:14000000}} elle
pourrait me préparer un truc.
{{TAG:0003:0009:}}Mais j'ose pas lui demander, j'ai
peur qu'elle se fâche.","{{TAG:0003:0001:}}Visto che {{TAG:0011:0001:0000}} ha
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}...{{TAG:0000:0004:}}... forse potrei chiederle di
prepararmi qualcosina da mangiare.{{TAG:0000:0004:}}{{TAG:0003:0009:}}Speriamo non si offenda.","{{TAG:0003:0027:}}Es wär doch total schade um
{{TAG:000E:0008:00CD0600640065006E0006006400690065000600640061007300}} {{TAG:0011:0003:0000}},
wenn man {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} nicht benutzt, oder?
Vielleicht könnte uns {{TAG:0011:0001:0000}}
ja was Leckeres...{{TAG:0007:0000:14000000}} Äh, he he he!{{TAG:0007:0000:14000000}}
Kannst du sie mal fragen?","{{TAG:0003:0001:}}Madem {{TAG:0011:0001:0000}}'in {{TAG:000E:0002:}} {{TAG:0011:0003:0000}} var,{{TAG:0007:0000:14000000}} belki
bana bir şeyler hazırlatabilirim.
{{TAG:0003:0009:}}Ama sorarsam alınabilir de."
7,008,"{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} is always talking about
the importance of getting her
beauty sleep!
{{TAG:0003:0004:}}So her {{TAG:0011:0003:0000}} is
the perfect bed for her,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¡{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} siempre dice que
tiene que dormir muy bien para
poder conservar su belleza intacta!
{{TAG:0003:0004:}}¡Por eso su {{TAG:0011:0003:0000}}
es justo la cama que necesita,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} dit toujours qu'il est
important d'avoir un bon lit, pour
bien dormir !
{{TAG:0003:0004:}}{{TAG:000E:0012:1000120053006F006E0020007000650074006900740012005300610020007000650074006900740065000000}} {{TAG:0011:0003:0000}}
doit être {{TAG:000E:0012:10000E0070006100720066006100690074001000700061007200660061006900740065000000}} pour ça,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","{{TAG:0003:0004:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}},
{{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} dice sempre che
dormire è il modo migliore
per non farsi venire le rughe!","{{TAG:0003:0010:}}Auf {{TAG:000E:0008:00CD0600640065006D0006006400650072000600640065006D00}} {{TAG:0011:0003:0000}}
hält {{TAG:0011:0001:0000}} immer ihren
Schönheitsschlaf,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.
{{TAG:0003:000B:}}Aber wenn Schlafen schön macht...{{TAG:0007:0000:14000000}}
dann müsste ich doch viel hübscher
sein als sie!","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} güzellik uykusunun öneminden
sürekli bahsediyor! {{TAG:0003:0004:}}O yüzden {{TAG:0011:0003:0000}}
tam ona göre bir yatak,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} says small beds make
her feel claustrophobic.{{TAG:0000:0004:}}{{TAG:0003:0015:}}So it's a good thing her
{{TAG:0011:0003:0000}} is so
roomy,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} dice que
las camas pequeñas le
resultan claustrofóbicas.
{{TAG:0003:0015:}}Por eso su {{TAG:0011:0003:0000}}
le va de maravilla. ¡Tiene sitio
de sobra!","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} dit que les petits lits la
rendent claustrophobe.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Heureusement qu'elle a {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}} alors,
{{TAG:0005:0007:}} !","{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
enorme,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!
Beh, meno male!!!
{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} mi ha confessato
che i letti piccoli le fanno venire
la claustrofobia.","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} sagt immer:{{TAG:0007:0000:14000000}} „Große
Damen benötigen auch große
Betten!“{{TAG:0007:0000:28000000}} Klingt doch logisch, oder?","{{TAG:0003:0001:}}{{TAG:0011:0001:0000}} küçük yataklarda daralıyor.{{TAG:0000:0004:}}{{TAG:0003:0015:}}İyi ki
{{TAG:0011:0003:0000}} bu kadar geniş,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:0015:}}When {{TAG:0011:0001:0000}} sits in her
{{TAG:0011:0003:0000}},{{TAG:0007:0000:14000000}}
she looks like a queen.
{{TAG:0003:000B:}}But if she's the queen,{{TAG:0007:0000:14000000}} I'd probably
be the jester or something.","{{TAG:0003:0015:}}Cuando {{TAG:0011:0001:0000}} se sienta
en su {{TAG:0011:0003:0000}},{{TAG:0007:0000:14000000}}
parece una reina en su trono.
{{TAG:0003:000B:}}Pero si ella es la reina,{{TAG:0007:0000:14000000}} entonces
me temo que yo debo de ser
el bufón de la corte.","{{TAG:0003:0015:}}Quand {{TAG:0011:0001:0000}} s'installe
dans {{TAG:000E:0012:1000060073006F006E000400730061000000}} confortable
{{TAG:0011:0003:0000}}...
... elle ressemble à une reine !{{TAG:0007:0001:}}
{{TAG:0003:000B:}}Hmm...{{TAG:0007:0000:14000000}} Une reine a besoin d'un
goûteur, non ?","{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:14000000}}
{{TAG:0003:0015:}}Quando {{TAG:0011:0001:0000}} si siede qui,
si sente come una regina sul trono!
{{TAG:0003:000B:}}Forse potrei chiederle{{TAG:0007:0000:14000000}} se posso
farle da buffone di corte!","{{TAG:0003:0015:}}Auf {{TAG:000E:0008:00CD0A0069006800720065006D000A00690068007200650072000A0069006800720065006D00}} {{TAG:0011:0003:0000}}
sieht {{TAG:0011:0001:0000}} bestimmt aus wie
eine echte Königin!
{{TAG:0003:000B:}}Aber wer bin ich dann?{{TAG:0007:0000:14000000}} Ihr Hofnarr?","{{TAG:0003:0015:}}{{TAG:0011:0001:0000}}, {{TAG:0011:0003:0000}} üstüne oturunca
kraliçe gibi görünüyor.{{TAG:0007:0000:14000000}}
{{TAG:0003:000B:}}Ama o kraliçeyse,{{TAG:0007:0000:14000000}} ben de herhâlde sarayın
soytarısı olurum."
