entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}That's really nice, isn't it? {{TAG:0007:0000:0A000000}}Yeah, I
love my {{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}But if you really want it, I could
part with it for {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} Bells{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Yes, I want it!
No, thanks.","{{TAG:0003:0001:}}Es chuli, ¿a que sí? {{TAG:0007:0000:0A000000}}Me encanta
mi {{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}Pero si tanto te gusta supongo
que podría vendértel{{TAG:000E:0008:00CD02006F00020061000000}}
por {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} bayas{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0005:00000000}}
¡Compro!
Es igual","{{TAG:0003:0001:}}Moi aussi, je l'adore !{{TAG:0007:0000:0A000000}} Qui voudrait
pas {{TAG:000E:0002:}}{{TAG:0011:0003:0000}},
franchement ?
Vu que je suis supermégagentille{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.
ouais, rien que ça, hi hi ! Je te {{TAG:000E:0008:00CD04006C00650004006C00610002003000}}
fais à {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} clochettes{{TAG:0000:0003:FFFF}} !{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Je prends !
Non merci.","{{TAG:0003:0001:}}Lo so, è allucinante, vero? {{TAG:0007:0000:0A000000}}Adoro
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D006900610002003000}} {{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}Ma se ti piace, potrei separarmene
per {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} stelline{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Affare fatto!
No, grazie.","{{TAG:0003:0001:}}Hübsches Teil, oder? {{TAG:0007:0000:0A000000}}Jepp, {{TAG:0007:0000:05000000}}ich liebe
{{TAG:000E:0008:00CD0C006D00650069006E0065006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}Aber wenn du {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} wirklich haben
willst, überlass ich {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} dir für
{{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} Sternis{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Jepp, nehm ich!
Nein danke.","{{TAG:0003:0001:}}Çok güzel, değil mi? {{TAG:0007:0000:0A000000}}Evet, {{TAG:0011:0003:0000}}ımı
seviyorum.{{TAG:0000:0004:}}Ama gerçekten istiyorsan {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}}
Bell{{TAG:0000:0003:FFFF}}e ondan ayrılabilirim.{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Evet, istiyorum!
Yok, sağ ol."
1,002,"You like my {{TAG:0011:0003:0000}},
{{TAG:0005:0007:}}? {{TAG:0007:0000:0A000000}}{{TAG:0003:0015:}}Yeah, me too!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Well, I'd let you have that for
{{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} Bells{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
I'll buy it!
Sorry, but no.","Así que lo que más te gusta es
mi {{TAG:0011:0003:0000}}.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0015:}}¡A mí también, {{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Venga, dejaré que te l{{TAG:000E:0008:00CD02006F00020061000000}} quedes
por {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} bayas{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0005:00002800}}
¡Trato hecho!
Mmm, no","{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}...{{TAG:0007:0000:14000000}}
excellent choix, {{TAG:0005:0007:}} !!! {{TAG:0007:0000:0A000000}}{{TAG:0003:0015:}}
J'adore ce truc, moi aussi !
{{TAG:0003:0025:}}Si tu veux, tu peux l'avoir pour
{{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} clochettes{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Marché conclu !
Non, tant pis...","È {{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D006900610002003000}} {{TAG:0011:0003:0000}},
{{TAG:0005:0007:}}! Ti piace, eh?{{TAG:0007:0000:0A000000}}
{{TAG:0003:0015:}}Sì, anche a me!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Se vuoi, può essere tu{{TAG:000E:0008:00CD02006F000200610002003000}}
per {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} stelline{{TAG:0000:0003:FFFF}}.{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Affare fatto!
No, mi dispiace.","Du hast dich also in {{TAG:000E:0008:00CD0C006D00650069006E0065006E000A006D00650069006E00650008006D00650069006E00}}
{{TAG:0011:0003:0000}} verguckt,
{{TAG:0005:0007:}}? {{TAG:0007:0000:0A000000}}{{TAG:0003:0015:}}Ich auch, {{TAG:0007:0000:05000000}}haha!
{{TAG:0003:0025:}}Ich würd {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} dir aber für
{{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} Sternis{{TAG:0000:0003:FFFF}} überlassen!{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Kauf ich dir ab!
Sorry, kein Interesse.","{{TAG:0011:0003:0000}}ımı beğendin,
{{TAG:0005:0007:}}? {{TAG:0007:0000:0A000000}}{{TAG:0003:0015:}}Evet, ben de!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Şey, {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} Bell{{TAG:0000:0003:FFFF}}e
sana verebilirim.{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Alıyorum!
Yok, sağ ol."
2,003,"{{TAG:0003:0001:}}So you've got your eye on my
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:000B:}}I think I could sell that to you
for.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}{{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} Bells{{TAG:0000:0003:FFFF}}. {{TAG:0007:0000:0A000000}}How about it?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
I'll take it!
No deal.","{{TAG:0003:0001:}}¿Le has echado el ojo a
mi {{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Estaría dispuesta a desprenderme
de {{TAG:000E:0008:00CD0400E9006C00080065006C006C0061000000}} por.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}} {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} bayas{{TAG:0000:0003:FFFF}}. {{TAG:0007:0000:0A000000}}
¿Te parece?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:00000000}}
¡Estupendo!
No hay trato","{{TAG:0003:0001:}}C'est {{TAG:000E:0001:}}{{TAG:0011:0003:0000}}
qui t'a tapé dans l'œil ?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Hum{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}. Bonne nouvelle !{{TAG:0007:0000:14000000}} Pour
{{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} clochettes{{TAG:0000:0003:FFFF}}, {{TAG:000E:0008:00CD040069006C00080065006C006C00650002003000}} est à toi !{{TAG:0007:0000:0A000000}}
Tu dis quoi, l'anchois ?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
J'achète !
C'est toi l'anchois...","{{TAG:0003:0001:}}E così hai messo gli occhi {{TAG:000E:0008:00CD0E00730075006C0020006D0069006F001200730075006C006C00610020006D006900610002003000}}
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Se ti piace, posso vendertel{{TAG:000E:0008:00CD02006F000200610002003000}}
per {{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} stelline{{TAG:0000:0003:FFFF}}. {{TAG:0007:0000:0A000000}}Che ne dici?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Magnifico!
Lasciamo stare.","{{TAG:0003:0001:}}Aha, {{TAG:0007:0000:0A000000}}du hast also ein Auge auf
{{TAG:000E:0008:00CD0C006D00650069006E0065006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}}
geworfen?
{{TAG:0003:000B:}}Hmm, {{TAG:0007:0000:14000000}}ich denk, ich kann {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} dir für.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}
{{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} Sternis{{TAG:0000:0003:FFFF}} überlassen.
{{TAG:0007:0000:0A000000}}Was meinst du dazu?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Ist gebongt!
Kein Deal.","{{TAG:0003:0001:}}Demek gözün {{TAG:0011:0003:0000}}ımda?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Bence onu
sana.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}{{TAG:0000:0003:0200}}{{TAG:0004:000A:0000}} Bell{{TAG:0000:0003:FFFF}}e
satabilirim. {{TAG:0007:0000:0A000000}}Ne dersin?{{TAG:000D:0008:02CD}}{{TAG:000F:0005:15002800}}
Alıyorum!
Anlaşma yok."
3,004,"{{TAG:0003:0025:}}Well, {{TAG:0005:0008:}}, I'd totally sell you
my {{TAG:0011:0003:0000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}But you're carrying too much.{{TAG:0007:0000:0A000000}}
Sorry, but you have to make space
before I can sell it to you.","{{TAG:0003:0025:}}Me encantaría venderte mi
{{TAG:0011:0003:0000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}Pero tienes los bolsillos llenos.
{{TAG:0007:0000:0A000000}}Si no haces espacio no podrás
llevártel{{TAG:000E:0008:00CD02006F00020061000000}} a casa.","{{TAG:0003:0025:}}Moi, je serais ravie de te vendre
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}},
{{TAG:0005:0008:}}. Mais t'es trop chargé{{TAG:000E:0006:000002006500}} !
{{TAG:0003:0009:}}Fais un peu de place, OK ? Ensuite,
on en reparle !","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, mi piacerebbe
un sacco venderti {{TAG:000E:0012:10000C0069006C0020006D0069006F000C006C00610020006D00690061000000}}
{{TAG:0011:0003:0000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}
{{TAG:0003:0009:}}Se prima non fai spazio nelle tue
tasche, però,{{TAG:0007:0000:0A000000}} come fai a portarl{{TAG:000E:0012:100002006F00020061000000}}
a casa con te?","{{TAG:0003:0025:}}Ja, {{TAG:0007:0000:05000000}}also, {{TAG:0007:0000:05000000}}{{TAG:0005:0008:}}, {{TAG:0007:0000:0A000000}}ich würd dir
{{TAG:000E:0008:00CD0C006D00650069006E0065006E000A006D00650069006E00650008006D00650069006E00}} {{TAG:0011:0003:0000}}
ja total gern verkaufen.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}Aber du bist ja schon total mit
Zeug beladen!{{TAG:0000:0004:}}Tut mir leid, {{TAG:0007:0000:05000000}}aber du musst erst
Platz schaffen, bevor ich {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} dir
verkaufen kann.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}","{{TAG:0003:0025:}}Şey, {{TAG:0005:0008:}}, {{TAG:0011:0003:0000}}ımı sana kesin
satardım.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ama çok fazla şey taşıyorsun.{{TAG:0007:0000:0A000000}}
Kusura bakma, sana satabilmem
için önce yer açmalısın."
4,005,"{{TAG:0003:0025:}}Oh, really? {{TAG:0007:0000:0A000000}}OK, I'll keep it.","{{TAG:0003:0025:}}Vaya, pues tú te lo pierdes.","{{TAG:0003:0025:}}Comme tu voudras. {{TAG:0007:0000:0A000000}}Mais ça m'aurait
carrément pas dérangé, tu sais !",{{TAG:0003:0025:}}Davvero? {{TAG:0007:0000:0A000000}}Non sai cosa ti perdi!,"{{TAG:0003:0025:}}Oh, {{TAG:0007:0000:0A000000}}wirklich? {{TAG:0007:0000:0A000000}}Okay, dann behalt ich
das gute Stück.","{{TAG:0003:0025:}}Aa, öyle mi? {{TAG:0007:0000:0A000000}}Tamam, bende kalsın."
5,006,"{{TAG:0003:000D:}}Hey, you don't have enough money
to buy it, {{TAG:0005:0008:}}!","{{TAG:0003:000D:}}¡Pero si no tienes suficientes
bayas, {{TAG:0005:0008:}}!","{{TAG:0003:000D:}}Les galeries {{TAG:0005:0001:}} sont trop
chères pour toi, {{TAG:0005:0008:}} !
Hi hi hi !","{{TAG:0003:000D:}}Non hai abbastanza stelline,
{{TAG:0005:0008:}}!","{{TAG:0003:000D:}}Hey, {{TAG:0007:0000:0A000000}}du hast nicht genug Sternis, um
das Teil zu kaufen, {{TAG:0005:0008:}}!","{{TAG:0003:000D:}}Hey, bunu alacak kadar paran yok, {{TAG:0005:0008:}}!"
6,007,"{{TAG:0003:0025:}}Sorry, but I'm pretty attached to
that bug. I guess you'll have to
catch one of those yourself!","{{TAG:0003:0025:}}No puedo despedirme de este
bichito, lleva mucho conmigo.
Tendrás que cazar uno para ti.","{{TAG:0003:0011:}}Mon insecte ?!{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}Euh non, pas touche !
{{TAG:0003:0025:}}Mais y'en a plein dehors...","{{TAG:0003:0025:}}Scusa, ma sono molto legata
a questa bestiolina! Dovrai
acchiappartene una da sol{{TAG:000E:0006:02006F0002006100}}!","{{TAG:0003:0025:}}Tut mir leid, {{TAG:0007:0000:05000000}}aber ich häng ganz
schön an diesem Insekt. {{TAG:0007:0000:0A000000}}Du wirst dir
wohl selbst eins fangen müssen.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}","{{TAG:0003:0025:}}Kusura bakma ama o böceğe bayağı
bağlıyım. Galiba kendin
yakalaman gerekecek!"
7,008,"{{TAG:0003:0025:}}Sorry, {{TAG:0007:0000:05000000}}but I love that fish too much.{{TAG:0007:0000:0A000000}}
I guess you'll have to catch one of
those yourself!","{{TAG:0003:0025:}}Me costó mucho pescar este pez.{{TAG:0007:0000:0A000000}}
Si quieres uno tendrás que
pescarlo por ti mism{{TAG:000E:0006:02006F0002006100}}.","{{TAG:0003:0011:}}Mon petit poisson chéri ?!{{TAG:0007:0000:14000000}} {{TAG:0003:000D:}}Euh,{{TAG:0007:0000:0A000000}} c'est
à dire que,{{TAG:0007:0000:0A000000}} enfin{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. non !{{TAG:0007:0000:14000000}} Je m'y suis
attachée, quoi !","{{TAG:0003:0025:}}Scusami ma sono molto attaccata
a questo pesce.{{TAG:0007:0000:0A000000}} Se ne vuoi uno,
dovrai catturartelo da sol{{TAG:000E:0006:02006F0002006100}}!","{{TAG:0003:0025:}}Tut mir leid, {{TAG:0007:0000:05000000}}aber ich lieb diesen
Fisch einfach so sehr. {{TAG:0007:0000:0A000000}}Fang dir am
besten selbst einen, {{TAG:0007:0000:05000000}}hm?","{{TAG:0003:0025:}}Kusura bakma, {{TAG:0007:0000:05000000}}ama o balığı satamayacak
kadar seviyorum.{{TAG:0007:0000:0A000000}}
Galiba kendin yakalaman gerekecek!"
8,009,"{{TAG:0003:0009:}}Sorry. {{TAG:0007:0000:05000000}}I just can't bear to part
with that, {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Lo siento, {{TAG:0007:0000:05000000}}en la vida podría
desprenderme de esto,
{{TAG:0005:0007:}}.","{{TAG:0003:0011:}}Houlà !{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}Sorry, mais j'y tiens
vraiment trop à ce truc,
{{TAG:0005:0007:}} !","{{TAG:0003:0009:}}Non posso, scusa! Non potrei
mai sbarazzarmene, {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Tut mir leid, {{TAG:0007:0000:05000000}}aber davon kann ich
mich auf gar keinen Fall trennen,
{{TAG:0005:0007:}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}","{{TAG:0003:0009:}}Üzgünüm. {{TAG:0007:0000:05000000}}Ondan ayrılmaya kıyamam, {{TAG:0005:0007:}}."
9,010,"{{TAG:0003:000D:}}Sorry. {{TAG:0007:0000:05000000}}That's one of my prized
possessions, {{TAG:0005:0007:}}!","{{TAG:0003:000D:}}¡Huy, no!{{TAG:0007:0000:05000000}} ¡Es una de mis posesiones
más preciadas, {{TAG:0005:0007:}}!","{{TAG:0003:000D:}}C'est pas que je veux pas, mais{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. Et
puis si, mince ! Je veux pas,
{{TAG:0005:0007:}} ! {{TAG:0003:001B:}}Désolée...","{{TAG:0003:000D:}}No, mi dispiace! {{TAG:0007:0000:05000000}}È uno dei miei
averi più preziosi, {{TAG:0005:0007:}}!","{{TAG:0003:000D:}}Tut mir leid, {{TAG:0007:0000:05000000}}aber das ist eins
meiner wertvollsten Stücke,
{{TAG:0005:0007:}}!","{{TAG:0003:000D:}}Üzgünüm. {{TAG:0007:0000:05000000}}O benim en değerli
eşyalarımdan, {{TAG:0005:0007:}}!"
