entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Dearest 
,","Querid{{TAG:000E:0006:02006F0002006100}} 
:","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","{{TAG:000E:0006:120043006100720069007300730069006D006F00120043006100720069007300730069006D006100}} 
,","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Canım 
,"
1,002,"Hello, 
,","Hola, 
:","Coucou 
,","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","Hallo, 
!","Merhaba 
,"
2,003,"To my future self,",A mi futuro yo:,"Chère future moi,",Alla me del futuro...,Liebes Zukunfts-Ich!,"Gelecekteki bana,"
3,004,"To the me who received this,",A mi yo que reciba esto:,"À moi qui lis ceci,",Alla me che verrà...,Liebes Zukunfts-Ich!,"Bu mektubu alan bana,"
4,005,To the me with the capsule...,A mi yo con la cápsula:,"À l'intention de moi-même,",Alla me con la capsula...,"An dich, eines fernen Tages.",Kapsülü bulan bana...
5,006,"Dear future me,",Querida yo del futuro:,"Chère future moi,","Cara me del futuro,","Hi, {{TAG:0005:0001:}} der Zukunft!","Sevgili gelecekteki ben,"
6,007,"Did it work, {{TAG:0005:0001:}}?","¿Ha funcionado, {{TAG:0005:0001:}}?","Ça a marché, {{TAG:0005:0001:}} ?","Come è andata, {{TAG:0005:0001:}}?","Hallo, Zukunfts-Ich!","İşe yaradı mı, {{TAG:0005:0001:}}?"
7,008,"I'm curious, {{TAG:0005:0001:}}...","¿Qué tal todo, {{TAG:0005:0001:}}?","Alors, {{TAG:0005:0001:}}...","Sono curiosa, {{TAG:0005:0001:}}...",Liebe ältere {{TAG:0005:0001:}}!,"Merak ediyorum, {{TAG:0005:0001:}}..."
8,009,"Wash it! To {{TAG:0005:0001:}},",¡Lávala! Para {{TAG:0005:0001:}}.,"Coucou moi,","Lavalo, {{TAG:0005:0001:}}!",Es ist Waschtag für dich!,"Yıka şunu! {{TAG:0005:0001:}},"
9,010,"For {{TAG:0005:0001:}},","¿La abriste, {{TAG:0005:0001:}}?","Très chère {{TAG:0005:0001:}},",Per {{TAG:0005:0001:}}.,Liebe {{TAG:0005:0001:}}!,"{{TAG:0005:0001:}} için,"
10,011,"To {{TAG:0005:0001:}} of the future,",Para la futura {{TAG:0005:0001:}}.,"Chère {{TAG:0005:0001:}} du futur,",Alla {{TAG:0005:0001:}} che verrà.,Liebes Zukunfts-Ich!,"Gelecekteki {{TAG:0005:0001:}},"
11,012,"To me of the distant future,",A mi yo más mayor:,"Chère moi du futur,",Alla brava me del futuro.,Liebes Zukunfts-Ich!,"Uzak gelecekteki bana,"
12,013,"Dear trustworthy 
,","¡Sigue sonriendo, 
!","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","{{TAG:000E:0006:1C0041006C0020006600690064006100740069007300730069006D006F00200041006C006C00610020006600690064006100740069007300730069006D006100}} 
.","An 
:","Sevgili güvenilir
,"
13,014,"Dear 
,","Querid{{TAG:000E:0006:02006F0002006100}} 
:","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Sevgili 
,"
14,015,"To present-day 
,","Hola, 
:","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","{{TAG:000E:0006:08004300610072006F0008004300610072006100}} 
,","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Bugünkü
,"
