entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Thanks for having me over!
But frankly I'm surprised I
still haven't seen every room
in your place. You should be
eager for my approval! Well,
please take this in return.","¡Gracias por invitarme!
Aunque no me has enseñado
toda la casa... ¿Tenías que
limpiar? Bueno, acepta este
detalle por tu amabilidad.","Merci ! Grâce à toi j'ai pu
m'adonner à mon activité
préférée : fouiller chez les
gens. Dommage que je n'aie
pas pu voir toutes les pièces.
Bientôt, peut-être...","grazie per avermi accolta
così bene! Incredibilmente,
però, non mi hai fatto vedere
tutte le stanze di casa tua.
Dovrò tornare. Intanto,
accetta questo regalino!","Ich möchte dir hiermit dafür
danken, mich so kurzfristig
und herzlich empfangen zu
haben. Irgendwann musst du
mir dein gesamtes Domizil
vorführen. Keine Ausreden.","Beni ağırladığın için teşekkürler! Ama açıkçası hâlâ bütün odalarını görmemiş olmama şaşırıyorum. Onayımı almak için hevesli olmalısın! Neyse, bunu kabul et."
1,002,"My apologies for barging in
the other day! Please accept
this with my regrets. And if
you don't like it...then I guess
you can put it in that secret
storage room of yours.","Me gustó mucho ver tu casa,
cielín. Acepta este regalo
como agradecimiento, por
favor. Si no te gusta, puedes
guardarlo en esa habitación
secreta que tienes.","Accepte ceci avec toutes
mes excuses pour mon
intrusion de l'autre jour.
Si ce cadeau ne te plaît pas,
tu peux toujours le remiser
dans ta pièce secrète.","accetta le mie scuse per
essere piombata a casa tua
l'altro giorno! Ecco un regalo
per premiare la tua pazienza.
Se non ti piace, mettilo pure
nel tuo ripostiglio segreto...","Entschuldige, dass ich dich
neulich so kurzfristig über-
fallen habe! Hiermit liefere
ich ein Gastgeschenk nach.
Du kannst es in deiner ge-
heimen Kammer aufheben.",Geçen gün çat kapı geldiğim için özür dilerim! Pişmanlığımın göstergesi olarak bunu kabul et. Sevmezsen... o gizli depo odana koyarsın artık.
2,003,"Thank you for having me to
your house. Perhaps it's not
my business, but it might
be a good idea to tidy up
your place a tad. Everything
is just so...cluttered.","Tu casa no está nada mal.
Aunque, en mi opinión,
deberías ordenarla un poco
más. Te envío un regalo que
te será de mucha utilidad,
cariñín.","Merci de m'avoir permis de
fouiner chez toi. Si je peux
me permettre, ce serait
peut-être une bonne idée de
ranger tes affaires qui
traînent par terre...","grazie per la tua ospitalità!
Forse non sono affari miei,
ma credo che sarebbe
una buona idea rassettare
casa tua. Ho notato
un tantino di confusione.","Ich möchte mich hiermit be-
danken, dass du mich neulich
empfangen hast, obwohl du
ganz offensichtlich gerade
nicht aufgeräumt hattest.
Nächstes Mal vielleicht.",Eve davet ettiğin için teşekkürler. Belki beni ilgilendirmez ama evi biraz toplasan iyi olur. Her şey o kadar... kalabalık ki.
3,004,"I'm sorry for barging in the
other day. Please take this
as my apology. With luck it
will blend right in with your...
interesting arrangements. I
hope you like it.","Gracias por dejarme ver tu
casa, cielín. Espero que
el regalo que te envío se
adapte a tu peculiar estilo
de decoración.","Je suis presque désolée
d'avoir fouillé chez toi. Je
n'aurais peut-être pas dû.
Mais ça m'a fait plaisir.
Alors accepte ce cadeau. Et
mets-le à l'endroit au moins.","scusa se sono venuta
a trovarti all'improvviso.
Ecco un regalo per scusarmi
del disturbo. Devo dire che
i tuoi mobili sono... diciamo
""interessanti"". Complimenti...","Entschuldige bitte, dass ich
dich neulich so plötzlich
überfallen habe. Anbei ist
ein Geschenk für dich, das
perfekt zu deiner... interes-
santen Einrichtung passt.",Geçen gün çat kapı geldiğim için özür dilerim. Özrüm olarak bunu al. Şansın varsa şu... ilginç düzenine güzelce karışır. Umarım seversin.
4,005,"Thanks for having me over!
I tried to think of something
your place was lacking to
send as my thanks, but since
there were so many options,
I chose this one at random.","¡Gracias por invitarme!
Quería regalarte algo que
necesitaras con urgencia,
pero no me decidía, así que
compré lo primero que vi.
¡Espero que te guste!","Merci de m'avoir permis de
fouiller chez toi. Fouiner
chez les gens, j'adore ça.
Accepte ce modeste présent.
Après ce que j'ai vu, je sais
que cela te sera très utile.","grazie per la tua deliziosa
ospitalità! Volevo regalarti
qualcosa che manchi ancora
a casa tua. Visto che
le opzioni erano molteplici,
ho scelto un oggetto a caso.","Danke, dass ich dich neulich
besuchen durfte. Ich wollte
dir etwas schenken, das du
dringend brauchst, aber da
das so viele Dinge sind, habe
ich zufällig etwas gewählt.",Beni ağırladığın için sağ ol! Teşekkür için evinde eksik olan bir şeyi seçeyim dedim ama seçenek çoktu. Ben de rastgele bunu aldım.
5,006,"Sorry for barging my way in
the other day! Please take
this with my apologies. You
already have everything you
NEED, so it's time to focus
on what you WANT!","¡Me encantó tu casa! Tiene
de todo y más. Ya va siendo
hora de que la decores como
a ti te guste. Empieza con
mi regalito, cielín.","Crois bien que je suis
sincèrement presque désolée
d'avoir fouiné chez toi. Je te
prie d'accepter ce présent
en guise d'excuses. Il devrait
te plaire, il m'a coûté cher.","scusa per essere piombata
a casa tua l'altro giorno!
Accetta questo regalo come
risarcimento. Ciò che serve
in casa ce l'hai già: ora puoi
toglierti qualche sfizio!","Entschuldige, dass ich neu-
lich so bei dir hereingeplatzt
bin. Nimm zum Dank dieses
Geschenk. Du hast zwar
alles, was du brauchst, doch
etwas Luxus schadet nie!",Geçen gün kendimi davet edip geldiğim için kusura bakma! Özrüm olarak bunu kabul et. İHTİYACIN olan her şey var; artık İSTEDİKLERİNE odaklan!
6,007,"Thanks for letting me come
over the other day. Maybe it
takes someone as chic as I
am to notice, but your walls
are a little bare. Please use
this to liven them up!","Me gustó mucho ver tu casa,
flor. No pude evitar fijarme
en que tus paredes se ven
muy vacías, así que te envío
algo para remediarlo.
¡Disfrútalo!","Pour te remercier de
m'avoir permis de fouill... de
visiter ta maison, je te prie
d'accepter ce petit cadeau
pour habiller un de tes murs.
Leur nudité en est indécente.","grazie per avermi accolta
così bene a casa tua! Forse
è solo il mio occhio esperto,
ma mi pare che le tue pareti
siano un tantino spoglie. Usa
il mio regalo per rallegrarle!","Vielen Dank, dass ich dich
besuchen durfte! Mir fiel auf,
dass deine Wände alle unge-
schmückt sind. Hier ist ein
Geschenk, um diesen Miss-
stand zu beheben.",Geçen gün gelmeme izin verdiğin için sağ ol. Bunu fark etmek benim kadar şık birini gerektiriyor olabilir ama duvarların biraz boş. Şununla canlandır!
7,008,"I'm sorry I came over all of a
sudden the other day. Please
accept this as my apology!
Though I'm not sure it'll be
up to the standards of your
design... But take it anyway.","Tienes unos muebles de lo
más exclusivos, pastelín.
Mi regalo no es tan valioso,
pero quería agradecerte
que me invitaras.","Pour te remercier de
m'avoir permis de visiter ta
maison, je te prie d'accepter
ce petit cadeau. J'espère
qu'il sera à la hauteur de ta
déco si raffinée...","scusa se mi sono presentata
all'improvviso a casa tua!
Eccoti un regalo per la tua
pazienza. Non so se sarà
all'altezza del tuo gusto nel
design. Spero che vada bene.","Tut mir leid, dass ich dich
vor Kurzem so überfallen
habe. Anbei sende ich dir ein
Geschenk. Ich hoffe, es wird
deinen Qualitätsansprüchen
gerecht.",Geçen gün aniden geldiğim için özür dilerim. Bunu özür olarak kabul et! Dekorasyon standartlarına yetişir mi bilmiyorum... Ama yine de al.
8,009,"Thanks for having me over!
I probably should just mind
my own business, but I found
something that'll be perfect
in your place. Find a spot for
it in your collection!","¡Gracias por invitarme!
Puede que no sea asunto
mío, pero he encontrado
algo perfecto para tu casa.
Búscale un huequecito,
¿de acuerdo?","Merci de m'avoir permis de
visiter ta maison.
Tu trouveras ci-joint un
objet qui ne devrait pas
dépareiller parmi ton si
précieux mobilier.","grazie per la tua ospitalità!
Forse non sono affari miei,
ma mi sono permessa
ugualmente di comprare
qualcosa per casa tua. Sta
a te trovare il posto adatto!","Wie schön, dass ich dich vor
Kurzem besuchen durfte!
Ich sende dir etwas, von dem
ich hoffe, dass es dir gefällt.
Ich denke, es passt gut in
dein Haus!",Beni ağırladığın için sağ ol! Belki kendi işime bakmalıyım ama evine kusursuz uyacak bir şey buldum. Koleksiyonunda yer aç!
9,010,"Thanks for having me over
to your place. It looked like
you prefer simple décor, but
you should use this anyway.
I won't let a friend of mine
live a boring life like that!","Me gustó mucho tu casa.
Parece que te gusta vivir
con sencillez, pero quiero
que aceptes este regalo.
Un poco de elegancia no
le hace daño a nadie.","J'ai bien compris en visitant
ta maison que tu étais du
genre minimaliste, mais je
t'assure que ceci sera du
plus bel effet chez toi.","grazie per avermi accolta
così calorosamente a casa
tua! Sembra che ti piaccia
l'arredamento semplice, ma
ti ho preso un regalo un po'
insolito. Può farti solo bene!","Danke, dass du mich neulich
so herzlich empfangen hast.
Du scheinst dein Haus ab-
sichtlich schlicht zu halten,
aber ich hoffe, das Geschenk
gefällt dir trotzdem.",Evine davet ettiğin için sağ ol. Sade dekoru tercih ediyor gibiydin ama yine de bunu kullan. Bir arkadaşımın bu kadar sıkıcı yaşamasına izin veremem!
