entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"As you may have guessed from the
name, {{TAG:0003:0001:}}{{TAG:0007:0000:14000000}}this tour is all about
gardening.
Here are the rules:","El nombre ya lo dice todo, {{TAG:0003:0001:}}{{TAG:0007:0000:14000000}}pero por
si acaso diré que en este tour
hay que hacer de jardinero.
Las normas son las siguientes:","Comme son nom l'indique, cette
excursion est consacrée au
jardinage.{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}En voici les règles...","Il nome dice già tutto...{{TAG:0003:0001:}}{{TAG:0007:0000:14000000}} Questo tour
è dedicato al giardinaggio!
E ora ecco le regole...","Ganz recht, {{TAG:0003:0001:}}hier wird gegärtnert!{{TAG:0000:0004:}}Und zwar nicht irgendwie drauflos,
sondern nach echten, altehrwürdigen
Regeln:","Adından anlamışsındır; bu{{TAG:0003:0001:}}{{TAG:0007:0000:14000000}} turun
konusu bahçıvanlık. Kurallar
şöyle:"
1,002,"You have {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutes {{TAG:0000:0003:FFFF}}to fill this
flower bed with flowers.{{TAG:0000:0004:}}The type and color don't matter.{{TAG:0007:0000:0A000000}}
Just plant as many flowers as
possible! Really, go nuts!
If you finish within the time limit,{{TAG:0007:0000:0A000000}}
you'll be rewarded with medals.","Tienes que plantar en este parterre
tantas flores como te sea posible
en {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutos{{TAG:0000:0003:FFFF}}.
Ni el tipo ni el color importan,{{TAG:0007:0000:0A000000}}
¡lo que cuenta es la cantidad!{{TAG:0000:0004:}}Si llenas el parterre antes de
que se acabe el tiempo,{{TAG:0007:0000:0A000000}} ¡te daré
más medallas!","Tu as {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:0000:0003:0200}}{{TAG:000E:0009:05CD0C006D0069006E007500740065000C006D0069006E007500740065000E006D0069006E007500740065007300}} {{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}pour remplir ce
parterre avec des tonnes de fleurs.{{TAG:0000:0004:}}Peu importe le type et la couleur
des fleurs, {{TAG:0007:0000:0A000000}}il faut juste en planter le
plus possible !
Si tu termines dans les temps,{{TAG:0007:0000:0A000000}} tu
gagnes des médailles.","Hai {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0C006D0069006E007500740069000C006D0069006E00750074006F000C006D0069006E00750074006900}} {{TAG:0000:0003:FFFF}}per riempire
questa aiuola di fiori.{{TAG:0000:0004:}}Non importa di quale tipo e di quale
colore...{{TAG:0007:0000:0A000000}} Semplicemente, pianta
più fiori che puoi!{{TAG:0000:0004:}}Se finisci entro il tempo limite,{{TAG:0007:0000:0A000000}}
vincerai delle medaglie!","Du hast {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0E004D0069006E007500740065006E000C004D0069006E007500740065000E004D0069006E007500740065006E00}}{{TAG:0000:0003:FFFF}} Zeit, um dieses
Beet hier randvoll mit hübschen
Blumen zu bepflanzen{{TAG:0007:0000:08000000}}, he he huff.
Farbe, Sorte und so ein Unfug
interessieren mich nicht.{{TAG:0007:0000:14000000}} Nur voll
muss das Beet sein!
Wenn du das hinkriegst, bekommst
du hübsche, glänzende Medaillen
von mir.","Bu çiçek tarhını doldurmak için {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}}
dakikan{{TAG:0000:0003:FFFF}} var. Türü ve rengi{{TAG:0000:0004:}} fark
etmez; olabildiğince{{TAG:0007:0000:0A000000}} çok çiçek
dik! Coş gitsin! Süre içinde
bitirirsen{{TAG:0007:0000:0A000000}} madalya kazanırsın."
2,003,"You have {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutes{{TAG:0000:0003:FFFF}}
to fill this flower bed with
{{TAG:0011:0003:0000}}!
If you finish within the time limit,{{TAG:0007:0000:0A000000}}
you'll be rewarded with medals.","Tienes que plantar en este parterre
alg{{TAG:000E:0012:10000400FA006E00060075006E0061000000}} {{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}
que otr{{TAG:000E:0012:100002006F00020061000000}} en {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutos{{TAG:0000:0003:FFFF}}.
Bueno, en realidad no basta solo
con alg{{TAG:000E:0012:1000060075006E006F00060075006E0061000000}}{{TAG:0007:0000:05000000}}. ¡Debes intentar llenarlo
a rebosar de esas flores!
Si lo logras antes de que se acabe
el tiempo, {{TAG:0007:0000:0A000000}}¡te daré más medallas!","Tu as {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:0000:0003:0200}}{{TAG:000E:0009:05CD0C006D0069006E007500740065000C006D0069006E007500740065000E006D0069006E007500740065007300}}{{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}} pour remplir ce
parterre avec des fleurs de type
{{TAG:0011:0003:0000}} !
Si tu termines dans les temps,{{TAG:0007:0000:0A000000}} tu
gagnes des médailles.","Hai {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0C006D0069006E007500740069000C006D0069006E00750074006F000C006D0069006E00750074006900}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}} per riempire
questa aiuola con qualche
{{TAG:0011:0003:0000}}!
Anzi, piantane più che puoi!
E se finirai entro il tempo limite,{{TAG:0007:0000:0A000000}}
vincerai delle medaglie!","Du hast {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0E004D0069006E007500740065006E000C004D0069006E007500740065000E004D0069006E007500740065006E00}}{{TAG:0000:0003:FFFF}}, um dieses Beet
vollzupflanzen, und zwar mit Blumen
vom Typ {{TAG:0011:0003:0000}}!
Wenn du das schaffst,{{TAG:0007:0000:0A000000}} bekommst du
Medaillen von mir, he he huff.","{{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} dakikan{{TAG:0000:0003:FFFF}} var; bu çiçek tarhını {{TAG:0011:0003:0000}}
ile doldur! Süre içinde
bitirirsen{{TAG:0007:0000:0A000000}} madalya kazanırsın."
3,004,"You kids have {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutes {{TAG:0000:0003:FFFF}}to fill
this flower bed with flowers!{{TAG:0000:0004:}}The type and color don't matter.{{TAG:0007:0000:0A000000}}
Just plant as many as possible!{{TAG:0000:0004:}}If you finish within the time limit,{{TAG:0007:0000:0A000000}}
you'll be rewarded with medals.","Tenéis que plantar en este parterre
tantas flores como os sea posible
en {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutos{{TAG:0000:0003:FFFF}}.
Ni el tipo ni el color importan,{{TAG:0007:0000:0A000000}}
¡lo que cuenta es la cantidad!{{TAG:0000:0004:}}Si llenáis el parterre antes de
que se acabe el tiempo,{{TAG:0007:0000:0A000000}} ¡os daré
más medallas!","Vous avez {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:0000:0003:0200}}{{TAG:000E:0009:05CD0C006D0069006E007500740065000C006D0069006E007500740065000E006D0069006E007500740065007300}} {{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}pour remplir
ce parterre avec des tonnes de
fleurs.
Peu importe le type et la couleur
des fleurs, {{TAG:0007:0000:0A000000}}il faut juste en planter le
plus possible !
Si vous terminez dans les temps,{{TAG:0007:0000:0A000000}}
vous gagnez des médailles.","Avete {{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0C006D0069006E007500740069000C006D0069006E00750074006F000C006D0069006E00750074006900}}{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}per riempire
questa aiuola di fiori!{{TAG:0000:0004:}}Non importa di quale tipo e di quale
colore...{{TAG:0007:0000:0A000000}} Semplicemente, piantate
più fiori che potete!{{TAG:0000:0004:}}Se finite entro il tempo limite,{{TAG:0007:0000:0A000000}}
vincerete delle medaglie!","Ihr Jungspunde habt {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0E004D0069006E007500740065006E000C004D0069006E007500740065000E004D0069006E007500740065006E00}}{{TAG:0000:0003:FFFF}},
um dieses Blumenbeet da mit 
irgendwelchen Blumen zu füllen.
{{TAG:0003:000F:}}Welche Farbe?{{TAG:0007:0000:14000000}} Welche Sorte?!?{{TAG:0007:0000:28000000}}
{{TAG:0003:0008:}}Habe ich nicht eben „irgendwelche“
gesagt?{{TAG:0007:0000:14000000}} Hört ihr mir überhaupt zu?
{{TAG:0003:0000:}}Na, jedenfalls bekommt ihr
Medaillen von mir, wenn ihr das
schafft.{{TAG:0007:0000:14000000}} Oder falls, {{TAG:0007:0000:08000000}}he he huff!","Siz çocukların bu tarhı çiçekle
doldurmak için {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} dakikası{{TAG:0000:0003:FFFF}} var!
Türü ve rengi{{TAG:0000:0004:}} önemli değil;
olabildiğince{{TAG:0007:0000:0A000000}} çok dikin. Süre{{TAG:0000:0004:}}
içinde bitirirseniz{{TAG:0007:0000:0A000000}} madalya kazanırsınız."
4,005,"You kids have {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutes{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}}
to fill this flower bed with
{{TAG:0011:0003:0000}}!
If you finish within the time limit,{{TAG:0007:0000:0A000000}}
you'll be rewarded with medals.","Tenéis que plantar en este parterre
alg{{TAG:000E:0012:10000400FA006E00060075006E0061000000}} {{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}
que otr{{TAG:000E:0012:100002006F00020061000000}} en {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutos{{TAG:0000:0003:FFFF}}.
Bueno, en realidad no basta solo
con alg{{TAG:000E:0012:1000060075006E006F00060075006E0061000000}}{{TAG:0007:0000:05000000}}. ¡Debéis intentar llenarlo
a rebosar de esas flores!
Si lo lográis antes de que se acabe
el tiempo, {{TAG:0007:0000:0A000000}}¡os daré más medallas!","Vous avez {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:0000:0003:0200}}{{TAG:000E:0009:05CD0C006D0069006E007500740065000C006D0069006E007500740065000E006D0069006E007500740065007300}}{{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}} pour remplir
ce parterre avec des fleurs de type
{{TAG:0011:0003:0000}} !
Si vous terminez dans les temps,{{TAG:0007:0000:0A000000}}
vous gagnez des médailles.","Avete {{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0C006D0069006E007500740069000C006D0069006E00750074006F000C006D0069006E00750074006900}}{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}per riempire
questa aiuola con qualche
{{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}Anzi, piantatene più che potete!
E se finirete entro il tempo limite,{{TAG:0007:0000:0A000000}}
vincerete delle medaglie!","Ihr habt {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0E004D0069006E007500740065006E000C004D0069006E007500740065000E004D0069006E007500740065006E00}}{{TAG:0000:0003:FFFF}}, um dieses Beet
vollzupflanzen, {{TAG:0007:0000:08000000}}und zwar mit Blumen
vom Typ {{TAG:0011:0003:0000}}!
Wenn ihr das schafft, bekommt ihr
Medaillen.{{TAG:0007:0000:14000000}} Sonst nicht!","Siz çocukların {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} dakikası{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}} var; bu
tarhı {{TAG:0011:0003:0000}} ile doldurun! Süre içinde
bitirirseniz{{TAG:0007:0000:0A000000}} madalya kazanırsınız."
5,006,"You kids have {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutes {{TAG:0000:0003:FFFF}}to fill
this flower bed with flowers.{{TAG:0000:0004:}}The type and color don't matter.{{TAG:0007:0000:0A000000}}
Just make sure it's carpeted with
flowers!
If you finish within the time limit,{{TAG:0007:0000:0A000000}}
you'll be rewarded with medals.","Tenéis que plantar en este parterre
tantas flores como os sea posible
en {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutos{{TAG:0000:0003:FFFF}}.
Ni el tipo ni el color importan,{{TAG:0007:0000:0A000000}}
¡lo que cuenta es la cantidad!{{TAG:0000:0004:}}Si llenáis el parterre antes de
que se acabe el tiempo,{{TAG:0007:0000:0A000000}} ¡os daré
más medallas!","Vous avez {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:0000:0003:0200}}{{TAG:000E:0009:05CD0C006D0069006E007500740065000C006D0069006E007500740065000E006D0069006E007500740065007300}} {{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}pour remplir
ce parterre avec des tonnes de
fleurs.
Peu importe le type et la couleur
des fleurs, {{TAG:0007:0000:0A000000}}il faut juste en planter le
plus possible !
Si vous terminez dans les temps,{{TAG:0007:0000:0A000000}}
vous gagnez des médailles.","Avete {{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0C006D0069006E007500740069000C006D0069006E00750074006F000C006D0069006E00750074006900}}{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}per riempire
questa aiuola di fiori!{{TAG:0000:0004:}}Non importa di quale tipo e di quale
colore...{{TAG:0007:0000:0A000000}} Semplicemente, piantate
più fiori che potete!{{TAG:0000:0004:}}Se finite entro il tempo limite,{{TAG:0007:0000:0A000000}}
vincerete delle medaglie!","Ihr Grünschnäbel habt {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0E004D0069006E007500740065006E000C004D0069006E007500740065000E004D0069006E007500740065006E00}}{{TAG:0000:0003:FFFF}}
Zeit, um dieses Beet da mit Blumen
vollzupflanzen.
{{TAG:0003:0006:}}Farbe und Sorte interessieren mich
nicht.{{TAG:0007:0000:14000000}} Ich will nur einen schönen
Blumenteppich sehen, sonst nichts!{{TAG:0000:0004:}}Wenn ihr das schafft –{{TAG:0007:0000:08000000}} und nur,
wenn ihr das schafft –{{TAG:0007:0000:08000000}} bekommt ihr
hübsche Medaillen von mir.","Siz çocukların bu tarhı çiçekle
doldurmak için {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} dakikası{{TAG:0000:0003:FFFF}} var.
Türü ve rengi{{TAG:0000:0004:}} önemli değil;
zemini{{TAG:0007:0000:0A000000}} çiçek halısına çevirin!
Süre içinde bitirirseniz{{TAG:0007:0000:0A000000}} madalya kazanırsınız."
6,007,"You kids have {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutes{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}} to
fill this flower bed with
{{TAG:0011:0003:0000}}!
If you finish within the time limit,{{TAG:0007:0000:0A000000}}
you'll be rewarded with medals.","Tenéis que plantar en este parterre
alg{{TAG:000E:0012:10000400FA006E00060075006E0061000000}} {{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}
que otr{{TAG:000E:0012:100002006F00020061000000}} en {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} minutos{{TAG:0000:0003:FFFF}}.
Bueno, en realidad no basta solo
con alg{{TAG:000E:0012:1000060075006E006F00060075006E0061000000}}{{TAG:0007:0000:05000000}}. ¡Debéis intentar llenarlo
a rebosar de esas flores!
Si lo lográis antes de que se acabe
el tiempo, {{TAG:0007:0000:0A000000}}¡os daré más medallas!","Vous avez {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:0000:0003:0200}}{{TAG:000E:0009:05CD0C006D0069006E007500740065000C006D0069006E007500740065000E006D0069006E007500740065007300}}{{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}} pour remplir
ce parterre avec des fleurs de type
{{TAG:0011:0003:0000}} !
Si vous terminez dans les temps,{{TAG:0007:0000:0A000000}}
vous gagnez des médailles.","Avete {{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0C006D0069006E007500740069000C006D0069006E00750074006F000C006D0069006E00750074006900}}{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}per riempire
questa aiuola con qualche
{{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}Anzi, piantatene più che potete!
E se finirete entro il tempo limite,{{TAG:0007:0000:0A000000}}
vincerete delle medaglie!","Ihr habt {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} {{TAG:000E:0009:05CD0E004D0069006E007500740065006E000C004D0069006E007500740065000E004D0069006E007500740065006E00}}{{TAG:0000:0003:FFFF}}, um dieses Beet
vollzupflanzen, und zwar mit Blumen
vom Typ {{TAG:0011:0003:0000}}!
Wenn ihr das rechtzeitig schafft,
bekommt ihr Medaillen von mir.","Siz çocukların {{TAG:0000:0003:0200}}{{TAG:0004:0007:0500}} dakikası{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}} var; bu
tarhı {{TAG:0011:0003:0000}} ile doldurun! Süre içinde
bitirirseniz{{TAG:0007:0000:0A000000}} madalya kazanırsınız."
7,008,"But don't just plant flowers all
willy-nilly! {{TAG:0007:0000:14000000}}You'll be penalized if
you plant the wrong kind!
{{TAG:0003:001C:}}Also, once you plant a flower, you
can't pull it back up.","Plantar flores al tuntún no sirve
de nada. {{TAG:0007:0000:14000000}}Es más, ¡plantar un tipo
de flor distinto restará tiempo!
{{TAG:0003:001C:}}Para evitar artimañas, una vez
plantada, no es posible desenterrar
una flor.","Mais avis aux petits malins :{{TAG:0007:0000:0F000000}} je
retire du temps pour toute fleur
du mauvais type qui est plantée !
{{TAG:0003:001C:}}Je précise qu'une fleur ne peut plus
être arrachée une fois mise en terre,
hé hé houerf !","Mi raccomando, {{TAG:0007:0000:14000000}}i fiori non vanno
piantati a caso!{{TAG:0000:0004:}}Piantando il tipo sbagliato, verranno
sottratti dei secondi preziosi!{{TAG:0000:0004:}}{{TAG:0003:001C:}}Inoltre, un fiore già piantato
non può essere rimosso.","Ich will hier aber kein Durcheinander
sehen.{{TAG:0007:0000:14000000}} Wer falsche Blumen pflanzt,
wird das bei der Wertung merken!
Wie?{{TAG:0007:0000:14000000}} Man kann sie ja einfach wieder
ausreißen?{{TAG:0007:0000:28000000}}{{TAG:0003:001C:}} He he huff!{{TAG:0007:0000:14000000}} Nichts da!{{TAG:0007:0000:28000000}}
Das wäre ja zu einfach!","Ama çiçekleri kafana göre dikme!{{TAG:0007:0000:14000000}}
Yanlış tür dikersen ceza
alırsın.{{TAG:0003:001C:}} Bir de çiçeği diktin mi
geri sökemezsin."
8,009,"And just so you know, once you
plant a flower, you can't pull it
back up.","Para evitar artimañas, una vez
plantada, no es posible desenterrar
una flor.","{{TAG:0003:001C:}}Et je précise qu'une fleur ne peut
plus être arrachée une fois plantée,
hé hé houerf !","E, per la cronaca, un fiore già
piantato non può più essere
rimosso.","Aber Vorsicht!{{TAG:0007:0000:14000000}} Was einmal gepflanzt
ist, bleibt auch da.{{TAG:0007:0000:14000000}} Nichts da mit
Rausreißen!","Bilesin, bir çiçeği diktikten
sonra geri sökemezsin."
9,011,"{{TAG:0003:0001:}}By the by, {{TAG:0007:0000:0A000000}}you can take the leftover
flowers home with you, sprout.","{{TAG:0003:0001:}}Por cierto, granujilla, {{TAG:0007:0000:0A000000}}puedes
llevarte a casa las flores
que sobren.","{{TAG:0003:0001:}}Au passage, {{TAG:0007:0000:0A000000}}les participants sont
autorisés à garder toutes les fleurs
cueillies qui leur restent. {{TAG:0007:0000:0F000000}}Cadeau !","{{TAG:0003:0001:}}Ah, dimenticavo! {{TAG:0007:0000:0A000000}}Puoi tenerti
i fiori che non userai in gara,
giovinastr{{TAG:000E:0006:02006F0002006100}}.","{{TAG:0003:0001:}}Übrigens...{{TAG:0007:0000:14000000}} Wenn Blumen übrig sind,
kann man sie von mir aus mit nach
Hause nehmen.","{{TAG:0003:0001:}}Bu arada{{TAG:0007:0000:0A000000}} artan çiçekleri eve
götürebilirsin, filiz."
