index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,GameOverExitButtonTitle,Level Select,⟦MSBT:0E000000020002005800⟧Choix du niveau⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006100⟧Levelauswahl⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Seleziona livello⟦MSBT:0E000000020002006400⟧,Elegir nivel,레벨 선택으로,Bölüm Seçimi
1,GameOverRestartButtonTitle,Try Again,Réessayer,Noch einmal,Riprova,Reintentar,다시 시작,Tekrar Dene
2,PauseRestartButtonTitle,Restart,⟦MSBT:0E000000020002004800⟧Recommencer⟦MSBT:0E000000020002006400⟧,Neustart,⟦MSBT:0E000000020002005500⟧Ricomincia⟦MSBT:0E000000020002006400⟧,Reiniciar,다시 시작,Baştan
3,PauseContinueButtonTitle,⟦MSBT:0E000000020002005A00⟧Resume⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004800⟧Reprendre⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004500⟧Fortsetzen⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005700⟧Riprendi⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004C00⟧Continuar⟦MSBT:0E000000020002006400⟧,닫기,⟦MSBT:0E000000020002005A00⟧Devam⟦MSBT:0E000000020002006400⟧
4,PauseEndButtonTitle,Quit,Quitter,Beenden,Esci,Salir,그만두기,Çık
5,PauseDialogYesButtonTitle,Yes,Oui,Ja,Sì,Sí,예,⟦MSBT:0E000000020002004E00⟧Evet⟦MSBT:0E000000020002006400⟧
6,PauseDialogNoButtonTitle,No,Non,Nein,No,No,아니요,⟦MSBT:0E000000020002004B00⟧Hayır⟦MSBT:0E000000020002006400⟧
7,PauseDialogRetryText,Try again from the ⟦MSBT:0E00000003000400FFDE00FF⟧start⟦MSBT:0E00000003000400000000FF⟧?,Réessayer du ⟦MSBT:0E00000003000400FFDE00FF⟧début ⟦MSBT:0E00000003000400000000FF⟧?,Noch mal ⟦MSBT:0E00000003000400FFDE00FF⟧neu beginnen⟦MSBT:0E00000003000400000000FF⟧?,"Vuoi riprovare a
giocare dall'⟦MSBT:0E00000003000400FFDE00FF⟧inizio⟦MSBT:0E00000003000400000000FF⟧?","⟦MSBT:0E000000020002005F00⟧¿Quieres volver a empezar
desde el ⟦MSBT:0E00000003000400FFDE00FF⟧principio⟦MSBT:0E00000003000400000000FF⟧?⟦MSBT:0E000000020002006400⟧",⟦MSBT:0E00000003000400FFDE00FF⟧처음⟦MSBT:0E00000003000400000000FF⟧부터 다시 시작하시겠습니까?,"⟦MSBT:0E00000003000400FFDE00FF⟧Baştan⟦MSBT:0E00000003000400000000FF⟧ denemek
ister misin?"
8,PauseDialogExitText,"Quit the game and return 
to ⟦MSBT:0E00000003000400FFDE00FF⟧level selection⟦MSBT:0E00000003000400000000FF⟧?","Quitter et revenir au
⟦MSBT:0E00000003000400FFDE00FF⟧choix du niveau ⟦MSBT:0E00000003000400000000FF⟧?","Spiel beenden und zur
⟦MSBT:0E00000003000400FFDE00FF⟧Levelauswahl⟦MSBT:0E00000003000400000000FF⟧ gehen?","⟦MSBT:0E000000020002005000⟧Vuoi uscire dal gioco e tornare
alla ⟦MSBT:0E00000003000400FFDE00FF⟧selezione livello⟦MSBT:0E00000003000400000000FF⟧?⟦MSBT:0E000000020002006400⟧","¿Quieres salir y volver a
la ⟦MSBT:0E00000003000400FFDE00FF⟧pantalla de niveles⟦MSBT:0E00000003000400000000FF⟧?","게임을 그만두고
⟦MSBT:0E00000003000400FFDE00FF⟧레벨 선택⟦MSBT:0E00000003000400000000FF⟧으로 돌아가시겠습니까?","Oyundan çıkıp ⟦MSBT:0E00000003000400FFDE00FF⟧bölüm
seçimine⟦MSBT:0E00000003000400000000FF⟧ dönülsün mü?"
9,PauseBgUpText00,High Jump,⟦MSBT:0E000000020002006000⟧Super-saut⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005600⟧Supersprung⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Super salto⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006200⟧Supersalto⟦MSBT:0E000000020002006400⟧,하이 점프,⟦MSBT:0E000000020002004600⟧Yüksek Zıplama⟦MSBT:0E000000020002006400⟧
