entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}}
1,002,{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}}
2,003,{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}}
3,004,"{{TAG:0003:0025:}}Hey, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Hola, {{TAG:0005:0008:}}.","{{TAG:0003:0025:}}Salut, {{TAG:0005:0008:}} !","{{TAG:0003:0025:}}Aloha, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Ho, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}Selam, {{TAG:0005:0008:}}!"
4,005,"{{TAG:0003:0001:}}Hi, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} I'm just taking a
little break from my busy day!","{{TAG:0003:0001:}}Buenas, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Estoy aquí
tomándome un descansico.","{{TAG:0003:0001:}}Salut, {{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}} Je fais une
petite pause !","{{TAG:0003:0001:}}Ehilà, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
Ho pensato di prendermi una pausa!","Ah, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Auch hier für
eine kleine Pause?","{{TAG:0003:0001:}}Selam, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Yoğun günümden minicik
bir mola veriyorum!"
5,006,"{{TAG:0003:0025:}}Hey,{{TAG:0007:0000:08000000}} keep it up,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}¿Qué te cuentas,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?","{{TAG:0003:0025:}}Waouh,{{TAG:0007:0000:08000000}} quelle ardeur,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}} !","{{TAG:0003:0025:}}Ehi,{{TAG:0007:0000:08000000}} continua così,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}!","Nur weiter so, {{TAG:0005:0008:}}! {{TAG:0007:0000:14000000}}{{TAG:0003:0002:}}Bwa ha!","{{TAG:0003:0025:}}Hey,{{TAG:0007:0000:08000000}} devam et,{{TAG:0007:0000:0F000000}} {{TAG:0005:0008:}}!"
6,007,{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}}
7,008,"{{TAG:0003:0025:}}The seat next to me is open,{{TAG:0007:0000:08000000}} so feel
free to take a load off for a bit!","{{TAG:0003:0025:}}Esto está libre,{{TAG:0007:0000:08000000}} así que si quieres
descansar un rato,{{TAG:0007:0000:08000000}} ¡ya sabes!","{{TAG:0003:0025:}}J'ai de la place à côté de moi,{{TAG:0007:0000:08000000}} alors
te prive pas.","{{TAG:0003:0025:}}Qui accanto a me c'è ancora posto.{{TAG:0007:0000:08000000}}
Perché non ti prendi una pausa
pure tu?","Hm? {{TAG:0007:0000:1E000000}}{{TAG:0003:0006:}}Was starrst du die Bank so
an? {{TAG:0007:0000:0A000000}}Ja, neben mir ist noch frei. {{TAG:0007:0000:0A000000}}Setz
dich oder setz dich nicht!","{{TAG:0003:0025:}}Yanımdaki yer boş,{{TAG:0007:0000:08000000}} biraz dinlenmek
istersen çekinme!"
8,009,"{{TAG:0003:0001:}}You gotta remember to take a little
break now and then!{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}GAHAHA!{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}Una pausa de vez en cuando no solo
sienta bien,{{TAG:0007:0000:0C000000}} ¡es que hace falta!{{TAG:0007:0000:14000000}}
{{TAG:0003:0002:}}¡Ja, ja, ja!{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}De temps en temps, il faut faire une
petite pause.{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}HA HA HA !{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}","{{TAG:0003:0001:}}Ogni tanto bisogna proprio staccare
la spina!{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}AHAHAH!{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}","Sag bloß, du willst dich auch hier
hinsetzen?{{TAG:0007:0000:14000000}} {{TAG:0003:0006:}}Na schön, aber wehe,
du machst dich zu breit.",{{TAG:0003:0001:}}Arada bir mola vermeyi unutmamak lazım!{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}GAHAHA!{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}
9,010,"{{TAG:0003:0001:}}If you wanna sit, then sit!","{{TAG:0003:0001:}}¿Te quieres sentar?{{TAG:0007:0000:14000000}}
¿Y a qué esperas?","{{TAG:0003:0001:}}Si tu veux t'asseoir, assieds-toi !","{{TAG:0003:0001:}}Se vuoi sederti, beh, siediti pure!","Na los, setz dich schon her.{{TAG:0007:0000:14000000}}
Ich beiße nicht.",{{TAG:0003:0001:}}Oturacaksan otur!
