entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0021:}}Check me out, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}No, I'm not talking about my
clothes!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} I wanted you to appreciate
my rippling muscles!{{TAG:0000:0004:}}{{TAG:0003:0002:}}I think of clothes as the icing on the
scrumptious cake that is my jaw-
dropping physique! Haha!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0021:}}¡{{TAG:000E:0003:}}{{TAG:0005:0008:}}, mírame bien!{{TAG:0000:0004:}}No, no{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}} ¡La ropa no!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} ¡Quería
que admirases la perfección
de mis músculos!
{{TAG:0003:0002:}}¡Yo considero la ropa un extra!
¡El premio gordo es sin duda
mi impresionante físico! ¡Ja, ja!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0021:}}Mate comme je suis beau gosse !{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}} Mais non !{{TAG:0007:0000:14000000}} Je parle pas de mes
fringues !{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Je te parle de mes
muscles, là !{{TAG:0000:0004:}}{{TAG:0003:0002:}}Les fringues, c'est juste l'emballage
qui sert à sublimer le plus
important : mes biscotos !{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0021:}}No, dico, ma... Hai visto?{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}} No, non i vestiti!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}
Guarda i miei muscoli possenti!{{TAG:0000:0004:}}{{TAG:0003:0002:}}I vestiti sono solo la ciliegina
su questo fisico da paura
che mi ritrovo!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0021:}}Wie seh ich aus?{{TAG:0007:0001:}}
.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Nee, {{TAG:0007:0000:14000000}}nicht die Klamotten!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}
Die meinte ich doch gar nicht!
{{TAG:0003:001B:}}Ich wollte wissen, ob man meinen
durchtrainierten Bizeps unter dem
Stoff überhaupt erkennen kann!","{{TAG:0003:0021:}}Bana bir bak, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Hayır,
kıyafetlerimden bahsetmiyorum!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Dalga
dalga kaslarımı fark etmeni istedim!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ben
kıyafeti, nefes kesen fiziğim denen
o şahane pastanın kreması
gibi görüyorum! Haha!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
1,002,"{{TAG:0003:0021:}}Check it out, {{TAG:000E:0006:0600620072006F000E006C00610064007900620072006F00}}!{{TAG:0007:0000:14000000}} These clothes
are easy to move around in!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Athletes really should stick to
{{TAG:0005:0023:00CD}} clothes like this!","{{TAG:0003:0021:}}¡Fíjate bien, chiquit{{TAG:000E:0006:0400ED006E00060069006E006100}}!{{TAG:0007:0000:14000000}} ¡Esta ropa
me permite máxima movilidad!{{TAG:0000:0004:}}{{TAG:0003:0001:}}¡Los atletas deben llevar algo
{{TAG:0005:0023:00CD}} como esto!","{{TAG:0003:0021:}}Mate-moi ça, {{TAG:000E:0006:1400700065007400690074002000670061007200730012006D00610020006700720061006E0064006500}} !{{TAG:0007:0000:14000000}} T'as vu
comme on bouge bien dans ces
fringues ?!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ceux qui ont tout compris au sport,
ce sont ceux qui s'habillent
{{TAG:0005:0023:00CD}} !","{{TAG:0003:0021:}}Che te ne pare?{{TAG:0007:0000:14000000}} Questi vestiti sono
davvero comodi e sono ottimi
anche per allenarsi!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Lo stile {{TAG:0005:0023:00CD}}
è perfetto per gli atleti come me!","{{TAG:0003:0021:}}Schau mal, {{TAG:0007:0000:08000000}}{{TAG:000E:0006:1800530070006F0072007400730066007200650075006E0064001C00530070006F0072007400730066007200650075006E00640069006E00}}!{{TAG:0007:0000:14000000}}
Diese Klamotten sind so bequem,{{TAG:0007:0000:08000000}}
dass man darin Sport treiben kann!
{{TAG:0003:0001:}}Sportler wie wir sollten immer
{{TAG:0005:0023:00CD}}e Klamotten
wie die hier tragen!","{{TAG:0003:0021:}}Şuna bak, {{TAG:000E:0006:0600620072006F000E006C00610064007900620072006F00}}!{{TAG:0007:0000:14000000}} Bu kıyafetlerle hareket
etmek çok kolay!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Sporcuların böyle
{{TAG:0005:0023:00CD}} kıyafetlere bağlı
kalması lazım!"
2,003,"{{TAG:0003:0001:}}My clothes look {{TAG:0005:0023:00CD}},
don't they?{{TAG:0000:0004:}}{{TAG:0003:0023:}}I hear that a man who can pull off
this look will be popular with the
ladies! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Supongo que llevo algo muy
""{{TAG:0005:0023:00CD}}"", como
suelen llamarlo.
{{TAG:0003:0023:}}¡He oído que quien consigue ir con
este aspecto sin resultar ridículo
tiene mucho éxito con las mujeres!","{{TAG:0003:0001:}}Ce look {{TAG:0005:0023:00CD}} me va
plutôt bien, tu trouves pas ?{{TAG:0000:0004:}}{{TAG:0003:0023:}}Paraît que c'est ce qui fait craquer
les filles en ce moment !
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Oggi ho proprio uno stile
{{TAG:0005:0023:00CD}}, non credi?{{TAG:0000:0004:}}{{TAG:0003:0023:}}Ho sentito dire che vestiti così
si conquistano un sacco di pupe,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Hast du meine {{TAG:0005:0023:00CD}}en
Klamotten schon gesehen?{{TAG:0000:0004:}}{{TAG:0003:0023:}}Ich finde, {{TAG:0007:0000:08000000}}in diesen Sachen könnte
ich den Weltrekord im Gutaussehen
knacken, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Kıyafetlerim {{TAG:0005:0023:00CD}} görünüyor, değil
mi?{{TAG:0000:0004:}}{{TAG:0003:0023:}}Duyduğuma göre bu görünümü
taşıyabilen erkekler kızların gözdesi
oluyormuş! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0021:}}I'm crushing it with my outfit today!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}This is what those fashion smarties 
call the ""{{TAG:0005:0023:00CD}}"" style!","{{TAG:0003:0021:}}¡Estoy que lo rompo con la ropa que
llevo hoy!{{TAG:0007:0001:}} {{TAG:0003:0001:}}¡La gente que sabe llama
a este estilo ""{{TAG:0005:0023:00CD}}""!","{{TAG:0003:0021:}}Je vais tout déchirer dans cette
tenue aujourd'hui ! {{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:000D:}}À commencer par mes fringues si
je force trop sur mes muscles !","{{TAG:0003:0021:}}Oggi avevo voglia di stupire!{{TAG:0007:0001:}}{{TAG:0003:0001:}}
Gli esperti direbbero che il mio
è uno stile {{TAG:0005:0023:00CD}}.","{{TAG:0003:0021:}}Ich seh heut verboten gut aus!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Dabei tu ich doch sonst nie was
Verbotenes! {{TAG:0007:0000:28000000}}Ich sollte lieber keine
{{TAG:0005:0023:00CD}}en Sachen tragen!{{TAG:0007:0000:14000000}}","{{TAG:0003:0021:}}Bugünkü kıyafetimle resmen şov yapıyorum!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Moda uzmanlarının “{{TAG:0005:0023:00CD}}” tarzı
dediği şey buymuş!"
4,005,"{{TAG:0003:0023:}}I'm looking pretty hip today, huh? {{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}I've decided to go all out with the
{{TAG:0005:0023:00CD}} look!
{{TAG:0003:000D:}}Ugh! But now I want to take all my
worldly frustrations and write a
song about them!","{{TAG:0003:0023:}}Hoy voy muy a la última, ¿no?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}¡He decidido apostar por lo
{{TAG:0005:0023:00CD}} hasta el final!
{{TAG:0003:000D:}}¡Ay! Pero ahora me dan ganas
de escribir una canción sobre las
cosas que me tienen quemado...","{{TAG:0003:0023:}}J'ai l'air d'une vraie bête sauvage
aujourd'hui, pas vrai ?{{TAG:0000:0004:}}{{TAG:0003:0001:}}J'ai décidé de me lâcher et
d'adopter un look
{{TAG:0005:0023:00CD}} !{{TAG:0000:0004:}}{{TAG:0003:000D:}}Argh ! Il faut que j'écrive une
chanson pour exprimer toute cette
énergie qui bouillonne en moi !","{{TAG:0003:0023:}}Oggi non mi trovi trendy?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Ho deciso di provare lo stile
{{TAG:0005:0023:00CD}}!
{{TAG:0003:000D:}}Ora però ho voglia di scrivere
una canzone e sfogare tutte le mie
frustrazioni, ma non so come si fa!","{{TAG:0003:0023:}}Ich seh ziemlich hip aus, {{TAG:0007:0000:08000000}}was?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Ab sofort trag ich öfter mal
{{TAG:0005:0023:00CD}}e Klamotten!
Denn wie heißt es so schön:{{TAG:0007:0000:28000000}}{{TAG:0003:002C:}}
„Wer nicht wagt, {{TAG:0007:0000:08000000}}der nicht gewinnt!“","{{TAG:0003:0023:}}Bugün bayağı havalı görünüyorum, ha? {{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}{{TAG:0005:0023:00CD}} görünümünde sonuna
kadar gitmeye karar verdim!
{{TAG:0003:000D:}}Of! Ama şimdi bütün dünyevi dertlerimi
bir şarkıya dökesim geldi!"
5,006,"{{TAG:0003:0021:}}I'm going all out today with these
snappy {{TAG:0005:0023:00CD}} duds!{{TAG:0000:0004:}}{{TAG:0003:0023:}}But don't think for one second that
I won't get 'em all muddy out on the
field of battle!","{{TAG:0003:0021:}}¡Hoy voy a apostar totalmente
por este rollo {{TAG:0005:0023:00CD}}!{{TAG:0000:0004:}}{{TAG:0003:0023:}}¡Pero no te creas ni por un segundo
que no voy a dejar que se manche
de barro en el campo de batalla!","{{TAG:0003:0021:}}C'est décidé, aujourd'hui j'adopte
un look {{TAG:0005:0023:00CD}} pour
changer de peau !{{TAG:0000:0004:}}{{TAG:0003:0023:}}Mais ça ne veut pas dire que je
compte manquer l'entraînement
pour autant !","{{TAG:0003:0021:}}Oggi voglio essere alla moda
e provare lo stile {{TAG:0005:0023:00CD}}!{{TAG:0000:0004:}}{{TAG:0003:0023:}}E più tardi farò le mie flessioni
nel fango vestito così. Sarò
sportivamente trendy!","{{TAG:0003:0021:}}Ich bin heute auf {{TAG:0005:0023:00CD}}e
Sachen getrimmt!{{TAG:0000:0004:}}{{TAG:0003:0023:}}Glaub bloß nicht, {{TAG:0007:0000:08000000}}dass es deshalb
kein Training gibt!{{TAG:0007:0000:14000000}} Sollen die Sachen
doch dreckig und schwitzig werden!","{{TAG:0003:0021:}}Bugün bu şık {{TAG:0005:0023:00CD}} kıyafetlerle
sonuna kadar gidiyorum!{{TAG:0000:0004:}}{{TAG:0003:0023:}}Ama bunları
sahada çamura bulamayacağımı
sakın sanma!"
6,007,"{{TAG:0003:0001:}}Today I'm going for my favorite
flashy {{TAG:0005:0023:00CD}} style!{{TAG:0000:0004:}}If you ever wanted to take my 
picture, now would be a good time.
Ready? {{TAG:0007:0000:14000000}}{{TAG:0003:002C:}}Cheeeeeese! {{TAG:0007:0000:28000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¡Hoy voy a llamar la atención con
mi estilo {{TAG:0005:0023:00CD}}!{{TAG:0000:0004:}}¿Nunca te han dado ganas de
sacarme una foto? ¡Pues ahora es
el mejor momento! {{TAG:0007:0000:14000000}}{{TAG:0003:002C:}}¡Paaataaataaa!","{{TAG:0003:0001:}}Aujourd'hui, je me sens d'humeur à
adopter un look {{TAG:0005:0023:00CD}} !{{TAG:0000:0004:}}Si tu veux une photo de moi, c'est
l'occasion ou jamais !{{TAG:0007:0000:28000000}} {{TAG:000E:0006:080050007200EA0074000A0050007200EA0074006500}} ?
{{TAG:0007:0000:14000000}}{{TAG:0003:002C:}}Ouistitiiiiiiii ! {{TAG:0007:0000:28000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Oggi sfoggio uno stile
{{TAG:0005:0023:00CD}}!
Sono strepitoso vestito così.
Quindi, se vuoi farmi una foto,
fai pure. Mi metto in posa
e... {{TAG:0007:0000:14000000}}{{TAG:0003:002C:}}Scatta, {{TAG:0007:0000:28000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Heute bin ich {{TAG:0005:0023:00CD}}
unterwegs!{{TAG:0000:0004:}}Wenn du ein Bild von mir für
dein Fotoalbum machen willst,
{{TAG:0007:0000:08000000}}solltest du's jetzt tun!
Okay? {{TAG:0007:0000:14000000}}{{TAG:0003:002C:}}Cheeeeeese, {{TAG:0007:0000:28000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Bugün en sevdiğim gösterişli {{TAG:0005:0023:00CD}}
tarzındayım!{{TAG:0000:0004:}}Bir gün fotoğrafımı çekmek
istediysen tam zamanı. Hazır mısın?
{{TAG:0007:0000:14000000}}{{TAG:0003:002C:}}Peyniiiir! {{TAG:0007:0000:28000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:0001:}}My outfit today falls under the
so-called {{TAG:0005:0023:00CD}} style!{{TAG:0000:0004:}}{{TAG:0003:0017:}}But what exactly does
""{{TAG:0005:0023:00CD}}"" mean?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Maybe I should check with a fashion
smarty-pants before I wear stuff{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:0001:}}¡Hoy se podría decir que tengo
un aspecto muy {{TAG:0005:0023:00CD}}!{{TAG:0000:0004:}}{{TAG:0003:0017:}}¿Pero qué quiere decir
""{{TAG:0005:0023:00CD}}"" exactamente?
¿Es alternativo a qué?
{{TAG:0003:0001:}}A lo mejor debería preguntarle a
algún enteradillo de la moda antes
de arriesgarme a ponerme nada{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:0001:}}Paraît que le look que j'ai adopté
aujourd'hui est ce qu'on appelle un
look {{TAG:0005:0023:00CD}} !{{TAG:0000:0004:}}{{TAG:0003:0017:}}Mais ça veut dire quoi au juste,
un look {{TAG:0005:0023:00CD}} ?{{TAG:0000:0004:}}{{TAG:0003:0002:}}C'est par opposition à des fringues
invisibles, ou quoi ?","{{TAG:0003:0001:}}Oggi ho un look decisamente
{{TAG:0005:0023:00CD}}!{{TAG:0000:0004:}}{{TAG:0003:0017:}}Chissà poi che vorrà dire
""look {{TAG:0005:0023:00CD}}""...{{TAG:0000:0004:}}{{TAG:0003:0001:}}Credo proprio che mi serva
un consulente di moda{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:0001:}}Die Leute nennen meinen Stil heute
„{{TAG:0005:0023:00CD}}“, {{TAG:0007:0000:08000000}}{{TAG:000E:0006:1800530070006F0072007400730066007200650075006E0064001C00530070006F0072007400730066007200650075006E00640069006E00}}!{{TAG:0000:0004:}}{{TAG:0003:0017:}}Aber was soll „{{TAG:0005:0023:00CD}}“
überhaupt heißen?!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Vielleicht sollte ich mal mit unsren
Mode-Assen reden, {{TAG:0007:0000:08000000}}bevor ich so was
anziehe, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Bugünkü kıyafetim sözde {{TAG:0005:0023:00CD}}
tarzına giriyor!{{TAG:0000:0004:}}{{TAG:0003:0017:}}Peki “{{TAG:0005:0023:00CD}}” tam
olarak ne demek?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Böyle şeyler giymeden
önce modadan anlayan birine sorsam
iyi olacak{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}"
8,009,"{{TAG:0003:0017:}}These clothes are pretty awesome,
huh? {{TAG:0007:0000:28000000}}{{TAG:0003:0001:}}I really like clothes that have
{{TAG:000E:0002:}}{{TAG:0005:0023:00CD}} look!","{{TAG:0003:0017:}}Esta ropa se sale, ¿a que sí?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}¡Me encanta llevar cosas que
tengan aspecto {{TAG:0005:0023:00CD}}!","{{TAG:0003:0017:}}Qu'est-ce que tu dis de mon look ?
Ça me va bien ? {{TAG:0000:0004:}}{{TAG:0003:0001:}}J'ai toujours voulu me donner un
côté plus {{TAG:0005:0023:00CD}} !","{{TAG:0003:0017:}}Sono vestito in modo strabiliante,
vero? {{TAG:0007:0000:28000000}}{{TAG:0003:0001:}}Questo stile {{TAG:0005:0023:00CD}}
sta benissimo con i miei muscoli!","{{TAG:0003:0017:}}Diese Klamotten sind Weltklasse,
{{TAG:0007:0000:08000000}}oder? {{TAG:0007:0000:28000000}}{{TAG:0003:0001:}}Ich hab 'ne Schwäche für
{{TAG:0005:0023:00CD}}e Sachen!","{{TAG:0003:0017:}}Bu kıyafetler bayağı iyi, değil mi? {{TAG:0007:0000:28000000}}{{TAG:0003:0001:}}Ben
{{TAG:000E:0002:}}{{TAG:0005:0023:00CD}} havası veren kıyafetleri
çok seviyorum!"
9,010,"{{TAG:0003:002C:}}Take a look! I'm wearing the
{{TAG:0005:0023:00CD}} look today!{{TAG:0000:0004:}}{{TAG:0003:0020:}}The point is that these clothes look
old!{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}} Yep! That's the point!","{{TAG:0003:002C:}}¡Mira cómo voy! ¡Llevo ropa
{{TAG:0005:0023:00CD}}!{{TAG:0000:0004:}}{{TAG:0003:0020:}}¡Sí, ya sé que parece que llevo
trapos antiguos!{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}} ¡Pero es que
la idea es precisamente esa!","{{TAG:0003:002C:}}Mate-moi ça ! Je suis passé en
mode « passé de mode » !{{TAG:0000:0004:}}{{TAG:0003:0020:}}Hé hé, c'est le but recherché !{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}} Le
{{TAG:0005:0023:00CD}}, c'est l'avenir !","{{TAG:0003:002C:}}Guarda qua! Oggi mi sono vestito
in stile {{TAG:0005:0023:00CD}}!{{TAG:0000:0004:}}{{TAG:0003:0020:}}In questi casi, è importante
che i vestiti sembrino vecchi.{{TAG:0007:0000:28000000}}
{{TAG:0003:0015:}}Parlo proprio come un esperto!","{{TAG:0003:002C:}}Schau mal, {{TAG:000E:0006:1800530070006F0072007400730066007200650075006E0064001C00530070006F0072007400730066007200650075006E00640069006E00}}!{{TAG:0007:0000:28000000}} Ich trage
heute {{TAG:0005:0023:00CD}}e Klamotten!{{TAG:0000:0004:}}{{TAG:0003:0020:}}Das Tolle an diesen Sachen ist,{{TAG:0007:0000:08000000}}
dass sie alt aussehen!{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}So was
ist doch toll, {{TAG:0007:0000:08000000}}oder?","{{TAG:0003:002C:}}Şuna bak! Bugün {{TAG:0005:0023:00CD}}
görünümündeyim!{{TAG:0000:0004:}}{{TAG:0003:0020:}}Olay, kıyafetlerin eski
görünmesi!{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}} Evet! Bütün mesele bu!"
