entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Have I told you I'm in the running
for {{TAG:0007:0000:0A000000}}""Most Congenial {{TAG:000E:0004:}}{{TAG:0005:001F:00CD}}""?{{TAG:0007:0000:14000000}}{{TAG:0003:001D:}}
I think I'm a total shoo-in!
Except{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:001B:}}I don't really know how to
get all congenial. {{TAG:0007:0000:0A000000}}Do you have any
advice for me?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}¿Sabes que me presento al concurso
""La más maja de {{TAG:000E:0003:}}{{TAG:0005:0005:}}""?{{TAG:0007:0000:14000000}}{{TAG:0003:001D:}}
¡Fijo que voy a ganar!
Aunque la competencia es dura.
{{TAG:0007:0000:0A000000}}¿No puedes darme algún consejo?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Je t'ai dit que je m'étais inscrite à
un concours ?{{TAG:0000:0004:}}Il s'intitule : {{TAG:0007:0000:0A000000}}« {{TAG:000E:0001:}}{{TAG:0005:001F:00CD}} {{TAG:000E:0008:00CD04006C00650004006C00610002003000}}
plus tendance ».{{TAG:0007:0000:1E000000}} {{TAG:0003:001D:}}Dis,{{TAG:0007:0000:0A000000}} t'aurais pas un
ou deux conseils à me donner ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Ti ho già detto che parteciperò
al concorso {{TAG:0007:0000:0A000000}}""Sei {{TAG:000E:0002:}}{{TAG:0005:001F:00CD}}
fashionista""?
{{TAG:0003:001D:}}Credo di essere tagliata per
quel titolo! Anche se{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:001B:}} non sono
sicura di sapere se sono stilosa.
Hai qualche consiglio da darmi?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Hab ich dir eigentlich erzählt, dass
ich mich als „{{TAG:000E:0012:0A001E00730079006D007000610074006800690073006300680073007400650072001C00730079006D00700061007400680069007300630068007300740065001E00730079006D00700061007400680069007300630068007300740065007300}}
{{TAG:0005:001F:00CD}}“ beworben hab?{{TAG:0007:0000:14000000}}{{TAG:0003:001D:}}
{{TAG:0003:0021:}}Im Grunde ist der Wettbewerb ja
schon so gut wie gewonnen...{{TAG:0000:0004:}}Na ja... {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Außer eben, dass ich nicht
weiß, wie ich es anstellen soll, total
sympathisch rüberzukommen.
Hast du vielleicht ein paar Tipps
für mich?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}{{TAG:0007:0000:0A000000}}""En Sempatik {{TAG:000E:0004:}}{{TAG:0005:001F:00CD}}"" ödülüne
aday olduğumu söylemiş miydim?{{TAG:0007:0000:14000000}}{{TAG:0003:001D:}}
Bence ödül cepte!
Ama{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:001B:}}nasıl daha sempatik olunur pek
bilmiyorum. {{TAG:0007:0000:0A000000}}Bana bir tavsiyen var mı?{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Most Congenial, {{TAG:0007:0000:14000000}}huh? {{TAG:0007:0000:14000000}}I don't really
know a lot about the whole{{TAG:0007:0000:14000000}} pageant
scene.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}¿La más maja?{{TAG:0007:0000:14000000}} {{TAG:0003:0024:}}Pues sabes tú
que has ido a preguntarle a
don Simpatía{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Un concours de mode ?{{TAG:0007:0000:14000000}} Je vois pas
trop en quoi je peux t'aider, tu
sais...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Stiloso fashionista, quindi...
non ne so nulla di 'ste robe.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0012:}}Du fragst {{TAG:0007:0000:0A000000}}MICH, {{TAG:0007:0000:0A000000}}was du machen
kannst, damit du sympathisch
rüberkommst?
{{TAG:0003:0002:}}{{TAG:0007:000A:}}BWA HA HA! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}! {{TAG:0007:0000:14000000}}
Der war gut! {{TAG:0007:0000:0A000000}}Mann, Mann, Mann...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}En Sempatik, {{TAG:0007:0000:14000000}}ha? {{TAG:0007:0000:14000000}}Bu güzellik yarışması
işlerinden pek anlamam.{{TAG:0007:0000:14000000}}{{TAG:000C:0009:}}"
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Are you sure you can't help me{{TAG:0007:0000:14000000}}
just a little bit? {{TAG:0007:0000:0A000000}}I want to get
advice from all {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}SORTS of folks!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Venga, seguro que me puedes
ayudar. {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}¡Cuantos más consejos
tenga, mejor!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Allez, tous les conseils sont bons à
prendre !{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}La mode est au rétro{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:0A000000}}
t'es plutôt rétro comme gars !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Davvero non sai come aiutarmi?
Cerco consigli da praticamente
{{TAG:0003:0001:}}chiunque!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0009:}}Ach, komm schon! {{TAG:0003:0027:}}Meinst du nicht,
dass du mir nicht wenigstens ein
bisschen helfen kannst?
Ich bräuchte ja eigentlich schon
Ratschläge von {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}allen möglichen
Leuten, {{TAG:0007:0000:0A000000}}also auch von dir!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0027:}}Bana azıcık bile yardım edemez misin?{{TAG:0007:0000:14000000}}
{{TAG:0007:0000:0A000000}}Her çeşit insandan{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}} tavsiye almak istiyorum!{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Well, {{TAG:0007:0000:14000000}}if you want to be congenial,{{TAG:0007:0000:14000000}}
you have to be all friendly and stuff.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}
And you have to be sociable!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Pues eso de ser maja debe de ir
de{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} No sé{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} de ser simpática y tal,{{TAG:0007:0000:08000000}}
¿no?{{TAG:0007:0000:14000000}} {{TAG:0003:0015:}}¡De ser sociable!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Ben je sais pas, moi... Mets un beau
chemisier...{{TAG:0007:0000:14000000}} {{TAG:0003:0015:}}ou un chandail à fleurs ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Beh, se vuoi essere stilosa, penso
che tu debba cercare di prevedere
le mode {{TAG:0003:0015:}}ed essere, sai... socievole!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:001B:}}Hmtja. {{TAG:0007:0000:14000000}}Ich schätze mal, du musst
dich einfach nur brav überall ein-
schleimen und dich gesellig zeigen.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000B:}}Şey, {{TAG:0007:0000:14000000}}sempatik olmak istiyorsan{{TAG:0007:0000:14000000}}
güler yüzlü falan olacaksın.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}
Bir de sosyal olacaksın!{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0026:}}Sociable, {{TAG:0007:0000:14000000}}huh? {{TAG:0007:0000:14000000}}I'm, {{TAG:0007:0000:05000000}}like, {{TAG:0007:0000:05000000}}the
hostess with the mostest! {{TAG:0007:0000:14000000}}{{TAG:0003:001D:}}So all
I have to do to win is {{TAG:0007:0000:05000000}}PAR-TAY!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0026:}}Ser sociable, {{TAG:0007:0000:14000000}}¿eh? {{TAG:0007:0000:14000000}}¡Eso está
chupado! {{TAG:0007:0000:14000000}}{{TAG:0003:001D:}}¡Lo único que debo
hacer es salir de fiesta!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0026:}}Un{{TAG:0007:0000:14000000}} chandail ?{{TAG:0007:0000:14000000}} Trop fort, tu le sors
d'où, ce mot ? J'ai jamais entendu
personne dire ça !!! Hi hi hi !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0026:}}Socievole? Dici che aiuta? Ma allora
ho troppo le carte in regola
per vincere!
{{TAG:0003:001D:}}Basta fare qualche festa!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0026:}}Gesellig? {{TAG:0007:0000:14000000}}Nichts leichter als das!
{{TAG:0007:0000:14000000}}{{TAG:0003:001D:}}Ich muss also nur eine Party
schmeißen, um zu gewinnen!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0026:}}Sosyal, {{TAG:0007:0000:14000000}}ha? {{TAG:0007:0000:14000000}}Ben, {{TAG:0007:0000:05000000}}şey, {{TAG:0007:0000:05000000}}partilerin
kraliçesiyim! {{TAG:0007:0000:14000000}}{{TAG:0003:001D:}}Demek kazanmak için tek yapmam
gereken {{TAG:0007:0000:05000000}}PARTİİİ!{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0009:}}Uh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} That's not exactly what I
meant by{{TAG:0007:0000:0A000000}} ""sociable.""{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0009:}}Esto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Creo que el significado de
""sociable"" no es tan limitado como
tú lo pintas.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0009:}}Euh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Eh bien moi, je le dis.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0009:}}Uhm... non era quello che avevo
in mente quando ho detto
""socievole""...{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0013:}}Äh{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0007:}} Nein. {{TAG:0007:0000:1E000000}}Das meinte ich nicht...{{TAG:000C:0009:}},"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:0009:}}Şey{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ""sosyal"" derken kastettiğim
tam olarak bu değildi.{{TAG:0007:0000:0A000000}}{{TAG:000C:0009:}}"
6,007,{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}}
7,008,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Of course it is!{{TAG:0007:0001:}}{{TAG:0003:002B:}} What I need to do
now{{TAG:0007:0000:05000000}} is plan the biggest party that{{TAG:0007:0000:14000000}}
{{TAG:0005:0005:}} has ever seen!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}¡Claro que sí!{{TAG:0007:0001:}}{{TAG:0003:002B:}} ¡Lo que debo hacer
es montar la fiesta más chupiguay
que se haya visto en {{TAG:000E:0003:}}{{TAG:0005:0005:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Hé ! Dis !{{TAG:0007:0000:0A000000}} Je t'ai pas vexé, j'espère !{{TAG:0007:0001:}}
{{TAG:0003:002B:}}Si je me mettais à dire « chandail »,
moi aussi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
Dans une semaine, tout le monde le
dirait !{{TAG:0007:0000:14000000}} Tu te sentirais moins seul,
comme ça,{{TAG:0007:0000:0A000000}} hi hi !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Ma certo che sì!{{TAG:0007:0001:}}{{TAG:0003:002B:}} Ora devo soltanto
organizzare la festa più spettacolare
che {{TAG:0005:0005:}} abbia mai visto!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Aber genau das ist es!{{TAG:0000:0004:}}{{TAG:0003:002B:}}Jetzt muss ich nur noch die größte
Party organisieren, die {{TAG:0005:0005:}}
je gesehen hat!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Tabii ki bu!{{TAG:0007:0001:}}{{TAG:0003:002B:}} Şimdi yapmam gereken{{TAG:0007:0000:05000000}}
{{TAG:0007:0000:14000000}}'in gördüğü en büyük partiyi
planlamak!{{TAG:0005:0005:}}{{TAG:000C:0009:}}"
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Of course it is! {{TAG:0007:0001:}}{{TAG:0003:002B:}}I'm going to RSVP
to every single party invite I get {{TAG:0007:0000:0A000000}}and
work my magic! {{TAG:0007:0000:0A000000}}Totally sociable!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}¡Claro que sí! {{TAG:0007:0001:}}{{TAG:0003:002B:}}¡Me colaré en todas
las fiestas y seré supersimpática
con todo el mundo!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Hé ! Dis !{{TAG:0007:0000:0A000000}} Je t'ai pas vexé, j'espère !{{TAG:0000:0004:}}{{TAG:0003:0002:}}C'est plutôt gentil de ta part
d'utiliser de vieux mots dont plus
personne ne veut ! Hi hi hi !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Ma certo che sì! {{TAG:0007:0001:}}{{TAG:0003:002B:}}Manderò inviti
a chiunque per una festona da urlo!
Nessuno è più socievole di me!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Doch, {{TAG:0007:0000:0A000000}}genau das ist es!{{TAG:0000:0004:}}{{TAG:0003:002B:}}Ich sag einfach jeder Partyeinla-
dung zu, die ich krieg, und zeig
mich von meiner Schokoladenseite!
Wenn das nicht gesellig ist, weiß
ich auch nicht!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Tabii ki bu! {{TAG:0007:0001:}}{{TAG:0003:002B:}}Gelen her parti davetine
EVET diyeceğim{{TAG:0007:0000:0A000000}} ve sihrimi konuşturacağım!
{{TAG:0007:0000:0A000000}}Tam anlamıyla sosyal!{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Of course it is! {{TAG:0007:0001:}}{{TAG:0003:002B:}}I'll throw a party
for all the pageant contestants {{TAG:0007:0000:05000000}}and
prove that I'm the most sociable!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}¡Claro que sí! {{TAG:0007:0001:}}{{TAG:0003:002B:}}¡Montaré una fiesta
con las participantes, y los jueces
verán quién es la más maja!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Hé ! Dis !{{TAG:0007:0000:0A000000}} Je t'ai pas vexé, j'espère !{{TAG:0007:0001:}}
{{TAG:0003:0002:}}Si je gagne, je t'offre un chandail
pour me faire pardonner, promis !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Ma certo che sì! {{TAG:0007:0001:}}{{TAG:0003:002B:}}Darò una festa e
inviterò tutti i concorrenti, così
vedranno quanto sono socievole!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Aber genau das ist es!{{TAG:0007:0000:1E000000}}
{{TAG:0003:002B:}}Ich schmeiß einfach 'ne Party für
alle Wettbewerbsteilnehmer!
Damit beweis ich ja wohl eindeutig,
dass ich am allergeselligsten von
allen bin!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:0001:}}Tabii ki bu! {{TAG:0007:0001:}}{{TAG:0003:002B:}}Bütün yarışmacılara bir
parti vereceğim{{TAG:0007:0000:05000000}} ve en sosyal kişinin ben
olduğunu kanıtlayacağım!{{TAG:000C:0009:}}"
