entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0014:}}Brrr! Hey, {{TAG:0007:0000:05000000}}it's getting colder and
colder, {{TAG:0007:0000:05000000}}right,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?","{{TAG:0003:0014:}}¿T-{{TAG:0007:0000:05000000}}tú n-{{TAG:0007:0000:05000000}}no ti-{{TAG:0007:0000:05000000}}tienes f-{{TAG:0007:0000:05000000}}frío?
Y-{{TAG:0007:0000:05000000}}yo e-{{TAG:0007:0000:05000000}}estoy ti-{{TAG:0007:0000:05000000}}tiritando,
{{TAG:0005:0007:}}.","{{TAG:0003:0014:}}Hé, {{TAG:0007:0000:14000000}}mon intuition masculine me dit
qu'il fait froid.{{TAG:0007:0000:05000000}} Et elle est infaillible,
tu sais ? {{TAG:000E:0003:}}{{TAG:0005:0007:}}.","{{TAG:0003:0014:}}Ehi, {{TAG:0007:0000:05000000}}ma fa sempre più frío, {{TAG:0007:0000:05000000}}o me
lo sto sognando? {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0014:}}Hey, {{TAG:0007:0000:0A000000}}es wird immer kälter, was,
{{TAG:0005:0007:}}?","{{TAG:0003:0014:}}Brrr! Hey, {{TAG:0007:0000:05000000}}hava gittikçe daha da
soğuyor, {{TAG:0007:0000:05000000}}değil mi,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?"
1,002,"{{TAG:0003:0020:}}Hey, {{TAG:0007:0000:05000000}}how's it going?{{TAG:0007:0000:0A000000}} Still having fun
in the snow,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?","{{TAG:0003:0020:}}¿Cómo andas?{{TAG:0007:0000:0A000000}}
Veo que sigues disfrutando
de la nieve, {{TAG:0005:0007:}}.","{{TAG:0003:0020:}}Hé, {{TAG:0007:0000:05000000}}comment va ?{{TAG:0007:0000:0A000000}} Tu t'amuses
comme {{TAG:000E:0006:100075006E002000670061006D0069006E00140075006E0065002000670061006D0069006E006500}} avec toute cette
neige, {{TAG:0005:0007:}} ?","{{TAG:0003:0020:}}Hola, {{TAG:0007:0000:05000000}}che si dice?{{TAG:0007:0000:0A000000}}
Te la stai spassando nella neve,
{{TAG:0005:0007:}}?","{{TAG:0003:0020:}}Hey, {{TAG:0007:0000:0A000000}}wie geht's?
{{TAG:0007:0000:14000000}}Immer noch Spaß im Schnee,
{{TAG:0005:0007:}}?","{{TAG:0003:0020:}}Hey, {{TAG:0007:0000:05000000}}nasıl gidiyor?{{TAG:0007:0000:0A000000}} Karda hâlâ
eğleniyor musun,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?"
2,003,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0007:0000:05000000}}nice to see you again{{TAG:0007:0007:}}.{{TAG:000A:0016:0407000800CD}}",{{TAG:0003:0001:}}{{TAG:0007:0000:05000000}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola de nuevo{{TAG:0007:0007:}}!{{TAG:000A:0016:0407000800CD}},"{{TAG:0003:0001:}}Hé, {{TAG:0007:0000:05000000}}{{TAG:0007:0006:}}on se croise de nouveau{{TAG:0007:0007:}}.{{TAG:000A:0016:0407000800CD}}","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ehi{{TAG:0007:0007:}}!
Sono proprio contento di vederti,
simpaticon{{TAG:000E:0006:0200650002006100}}!{{TAG:000A:0016:0407000800CD}}","{{TAG:0003:0001:}}Hey! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Schön, dich wiederzusehen{{TAG:0007:0007:}}.{{TAG:000A:0016:0407000800CD}}","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0007:0000:05000000}}seni yine görmek güzel{{TAG:0007:0007:}}.{{TAG:000A:0016:0407000800CD}}"
3,004,"{{TAG:0003:0025:}}Still having a good time in snowy
little {{TAG:0005:0005:}}, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}La nieve no resulta ningún
impedimento para descubrir
{{TAG:000E:0003:}}{{TAG:0005:0005:}}, ¿eh, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Alors, t'aimes bien {{TAG:0005:0005:}} sous
la neige, {{TAG:0005:0007:}} ?","{{TAG:0003:0025:}}Ti stai divertendo nella nostra
{{TAG:0005:0005:}} innevata, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Und, amüsierst du dich gut im
verschneiten {{TAG:0005:0005:}},
{{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Minik karlı {{TAG:0005:0005:}}'da keyifler
yerinde mi, {{TAG:0005:0007:}}?"
4,005,"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey there again{{TAG:0007:0007:}},
{{TAG:0005:0007:}}.{{TAG:000A:0016:0209000A00CD}}","{{TAG:0003:0025:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola otra vez, {{TAG:0005:0007:}}{{TAG:0007:0007:}}!{{TAG:000A:0016:0209000A00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hé, re-salut{{TAG:0007:0007:}},
{{TAG:0005:0007:}}.{{TAG:000A:0016:0209000A00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Rieccoti qua{{TAG:0007:0007:}}, {{TAG:0005:0007:}}.{{TAG:000A:0016:0209000A00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, du bist's wieder{{TAG:0007:0007:}},
{{TAG:0005:0007:}}.{{TAG:000A:0016:0209000A00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Yine selam{{TAG:0007:0007:}},
{{TAG:0005:0007:}}.{{TAG:000A:0016:0209000A00CD}}"
5,006,"{{TAG:0003:0025:}}Hey again, {{TAG:0005:0000:}}.{{TAG:0007:0000:0A000000}}
Still liking {{TAG:0005:0005:}} in all this
snow, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Nos volvemos a ver, {{TAG:0005:0000:}}.{{TAG:0007:0000:0A000000}}
La nieve le da un aire especial
a {{TAG:000E:0003:}}{{TAG:0005:0005:}}, ¿eh, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Re, {{TAG:0005:0000:}}.{{TAG:0007:0000:0A000000}}
Toujours fana {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}} sous
une tonne de neige, {{TAG:0005:0007:}} ?","{{TAG:0003:0025:}}Hola, ci si rivede, {{TAG:0005:0000:}}.{{TAG:0007:0000:0A000000}}
Ti piace ancora {{TAG:0005:0005:}} sotto
tutta questa neve, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Hey, {{TAG:0005:0000:}}.
{{TAG:0007:0000:14000000}}Gefällt's dir noch in {{TAG:0005:0005:}} bei
all dem Schnee, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Yine selam, {{TAG:0005:0000:}}.{{TAG:0007:0000:0A000000}}
Bu kadar karın içindeki {{TAG:0005:0005:}}'ı
hâlâ beğeniyor musun, {{TAG:0005:0007:}}?"
6,007,"{{TAG:0003:000B:}}So, {{TAG:0007:0000:05000000}}an umbrella in the snow...?{{TAG:0007:0000:0A000000}}
Hmm. {{TAG:0007:0000:0A000000}}Fancy.{{TAG:0007:0001:}} {{TAG:0003:0007:}}You trying to start a
style war, {{TAG:0005:0007:}}?","{{TAG:0003:000B:}}¿Un paraguas para la nieve?{{TAG:0007:0000:0A000000}} Hum. {{TAG:0007:0000:0A000000}}{{TAG:0007:0001:}}
Podría llevarse esta temporada.{{TAG:0000:0004:}}{{TAG:0003:0007:}}Pero que sepas que no es idea tuya,
{{TAG:0005:0007:}}. Yo ya lo he escrito
en mi blog.","{{TAG:0003:000B:}}Visez-moi un peu ça...
{{TAG:0007:0000:05000000}}Un parapluie sous la neige, hein ?{{TAG:0007:0000:0A000000}}
Hmm. {{TAG:0007:0000:0A000000}}Un paraneige, quoi.{{TAG:0000:0004:}}{{TAG:0003:0007:}}Dis, tu sais pas que je suis le seul
autorisé à lancer de nouvelles
modes, {{TAG:0005:0007:}} ?","{{TAG:0003:000B:}}Oh, {{TAG:0007:0000:05000000}}con l'ombrello sotto la neve...?{{TAG:0007:0000:0A000000}}
Mmmh. {{TAG:0007:0000:0A000000}}Niente male.{{TAG:0007:0001:}} {{TAG:0003:0007:}}Stai cercando
di lanciare un nuovo trend?
In caso dimmelo, così ti do
una mano come ragazzo immagine,
{{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Ein Schirm im Schnee...? {{TAG:0007:0000:14000000}}Hmmm...
{{TAG:0007:0000:14000000}}Schick.{{TAG:0007:0001:}} {{TAG:0003:0007:}}Willst du hier etwa einen
Modekrieg anzetteln, {{TAG:0005:0007:}}?","{{TAG:0003:000B:}}Demek {{TAG:0007:0000:05000000}}karda şemsiye...?{{TAG:0007:0000:0A000000}}
Hmm. {{TAG:0007:0000:0A000000}}Havalı.{{TAG:0007:0001:}} {{TAG:0003:0007:}}Moda savaşı mı
başlatıyorsun, {{TAG:0005:0007:}}?"
7,008,"{{TAG:0003:000B:}}So {{TAG:0007:0000:05000000}}I see you're NOT carrying an
umbrella. {{TAG:0007:0000:0A000000}}But isn't that what's
all trendy right now?
{{TAG:0003:0001:}}Well, I wouldn't worry about it.{{TAG:0007:0000:0A000000}}
Trends are for trendy people.{{TAG:0007:0000:0A000000}}
No one likes them, right?","{{TAG:0003:000B:}}Veo {{TAG:0007:0000:14000000}}que no llevas paraguas.{{TAG:0007:0000:14000000}}
¿No sabes que es la última moda?
{{TAG:0003:0001:}}Se nota que no lees mi blog...","{{TAG:0003:000B:}}Hmm ? {{TAG:0007:0000:05000000}}Je vois que tu es sorti{{TAG:000E:0006:000002006500}} sans
ton parapluie. {{TAG:0007:0000:0A000000}}Tu sais pas que c'est
la dernière mode sous la neige ?
{{TAG:0003:0001:}}Bien sûr,{{TAG:0007:0000:0A000000}} être à la mode, c'est pas
donné à tout le monde.{{TAG:0007:0000:0A000000}} Même moi
j'ai du mal parfois, c'est dire !","{{TAG:0003:000B:}}Oh, {{TAG:0007:0000:05000000}}vedo che sei senza ombrello...{{TAG:0007:0000:0A000000}}
Ho sentito che è molto fashion e
io vado pazzo per le cose trendy.
{{TAG:0003:0001:}}Beh, un tipo ganzo come me{{TAG:0007:0000:0A000000}}
non può mica restare indifferente
alle ultime tendenze delle moda, no?","{{TAG:0003:000B:}}Hmmm... {{TAG:0007:0000:14000000}}Wie ich sehe, trägst du
keinen Schirm. {{TAG:0007:0000:14000000}}Dabei sind Schirme
doch gerade total angesagt!
{{TAG:0003:0001:}}Aber mach dir keine Gedanken.
{{TAG:0007:0000:14000000}}Trends sind was für trendige Leute,
{{TAG:0007:0000:0A000000}}und die mag eh niemand, stimmt's?","{{TAG:0003:000B:}}Demek {{TAG:0007:0000:05000000}}şemsiye TAŞIMIYORSUN. {{TAG:0007:0000:0A000000}}
Ama şu sıralar moda olan bu değil mi?
{{TAG:0003:0001:}}Neyse, ben olsam kafaya takmazdım.{{TAG:0007:0000:0A000000}}
Trendler, trend insanları içindir.{{TAG:0007:0000:0A000000}}
Zaten onları kim sever, değil mi?"
8,009,"{{TAG:0003:0017:}}Fishing? {{TAG:0007:0000:05000000}}Today? {{TAG:0007:0000:05000000}}Yeah, makes sense.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0015:}}You're always doing your own thing.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0026:}}That's why you're awesome.","{{TAG:0003:0017:}}¿Te vas de pesca? ¿Hoy?{{TAG:0007:0000:14000000}} {{TAG:0003:0015:}}
¡Lo único que vas a pescar hoy
va a ser un resfriado!","{{TAG:0003:0017:}}Tu vas pêcher ? {{TAG:0007:0000:05000000}}Par ce temps ?
{{TAG:0007:0000:05000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}} Comme d'hab, tu
n'en fais qu'à ta tête, {{TAG:0005:0008:}}.","{{TAG:0003:0017:}}Hola, vai a pesca? {{TAG:0007:0000:05000000}}Oggi? {{TAG:0007:0000:05000000}}Beh, sì,
in effetti...{{TAG:0007:0000:0A000000}} {{TAG:0003:0015:}}Tu fai sempre a modo
tuo{{TAG:0007:0000:0A000000}} ed è per questo che mi piaci!","{{TAG:0003:0017:}}Angeln? {{TAG:0007:0000:14000000}}Heute? {{TAG:0007:0000:14000000}}Tja, warum nicht? {{TAG:0007:0000:14000000}}
{{TAG:0003:0015:}}Du machst eben immer dein eigenes
Ding. {{TAG:0007:0000:14000000}}Nur weiter so, {{TAG:0005:0007:}}!","{{TAG:0003:0017:}}Balık mı tutacaksın? {{TAG:0007:0000:05000000}}Bugün mü? {{TAG:0007:0000:05000000}}
Evet, sana yakışır.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0015:}}Sen hep bildiğini okuyorsun.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0026:}}Zaten seni harika yapan da bu."
9,010,"{{TAG:0003:0009:}}This snow's never going to let up,
is it? {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Well, our town looks good
covered in snow, {{TAG:0007:0000:05000000}}so that's OK.","{{TAG:0003:0009:}}No parece que esta nieve vaya
a parar pronto.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}En fin, por lo
menos el pueblo está bonito.","{{TAG:0003:0009:}}Ça n'arrêtera donc jamais, cette
neige ? {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}C'est joli un moment, mais
faut pas en abuser. {{TAG:0007:0000:05000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Questa neve non finisce mai...{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}In effetti, però, la città imbiancata
è proprio bella. Que bonita!","{{TAG:0003:0009:}}Dieser Schnee hört wohl nie auf...{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}Aber irgendwie ist unsere Stadt ja
ganz schön in Weiß, {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Bu kar hiç dinmeyecek galiba, değil mi? {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Neyse, kasabamız kar altında güzel görünüyor,
{{TAG:0007:0000:05000000}}o yüzden sorun yok."
