index,label,English,French,German,Italian,Spanish,Turkish
50,sp_050,"Unique food from a far-off land.
Savour those exotic flavours!",,,,,"Uzak diyarlardan gelen benzersiz bir yemek.
Egzotik tatların keyfini çıkar!"
100,sp_100,"A plateful of exotic food from far away.
Savour those flavours!","Un plat traditionnel d'un pays lointain.
Quel goût peut-il bien avoir ?","Traditionelles Gericht aus einem fernen
Land. Wie mag es nur schmecken?","Piatto proveniente da un paese
lontano. Chissà che sapore ha...","Proveniente de un país lejano.
¿A qué sabrá?","Uzak diyarlardan gelen bir tabak dolusu
egzotik yemek. Tatlarının keyfini çıkar!"
102,sp_102,"A fish stew from Provence, sometimes
with additional tasty seafood.","Ragoût provençal à base de poissons,
parfois agrémenté de fruits de mer.","Fischgericht aus der Provence, kann
auch Meeresfrüchte enthalten.","Stufato di pesce provenzale, a volte
con aggiunta di squisiti frutti di mare.","Sopa de pescado de la Provenza.
A veces también lleva rico marisco.","Provence kökenli bir balık yahnisi; bazen
içine başka lezzetli deniz ürünleri de eklenir."
103,sp_103,"The flat top and holes are essential
to hold more melted butter. Yum!","Sorte de grosse crêpe britannique, en
général servie chaude avec du beurre.","Die flache, löchrige Oberfläche sorgt
für maximale Butteraufnahmekapazität.","Un piatto britannico con una superficie
piatta e irregolare per assorbire il burro.","Postre británico de superficie irregular
para absorber mejor la mantequilla.","Düz üstü ve gözenekleri, erimiş tereyağını
iyice çekmesi için şart. Nefis!"
104,sp_104,"Bite-sized appetisers and miniature
pastries served at parties and buffets.","Petites pâtisseries salées et sucrées
servies lors des cocktails et réceptions.","Vorspeisenhäppchen und Gebäck, für
Parties und Buffets sehr geeignet.","Sfiziosi mignon, ottimi per feste,
cocktail e buffet.","Pequeños aperitivos para tomar de un
bocado. Se sirven en fiestas y bufés.","Parti ve açık büfelerde sunulan lokmalık
atıştırmalıklar ve minik hamur işleri."
105,sp_105,"A classic French dish of duck in orange
(for those who don't speak French).","Du canard avec une sauce à l'orange,
plat classique de la cuisine française.","Klassiker der französischen Küche,
lecker mit Ente und Orange.","Un classico piatto francese con anatra
e arancia (come dice il nome stesso).","Clásico plato francés de pato en salsa
de naranja... (como su nombre indica).","Portakalla yapılan klasik bir Fransız
ördek yemeği."
106,sp_106,"Linked with French cooking. Can be
eaten fried like chicken.","Indissociables de la France, elles sont
souvent cuisinées avec une persillade.","Untrennbar verbunden mit Frankreichs
Küche. Dazu Knoblauch und Petersilie!","Una ricetta francese. Le cosce possono
essere mangiate fritte, come il pollo.","Tienen que ver con la cocina francesa.
Pueden tomarse fritas, como el pollo.","Fransız mutfağıyla özdeşleşmiştir.
Tavuk gibi kızartılarak yenebilir."
107,sp_107,"A common French dessert of a
meringue floating on a vanilla custard.","Dessert classique composé d'œufs en
neige flottant sur de la crème anglaise.","Französisches Dessert aus Eischnee
auf einem Meer aus Vanillecreme.","Un popolare dessert francese a base
di meringa su crema pasticcera.","Postre típico francés hecho de
merengue y sobre crema de vainilla.","Vanilyalı kremanın üzerinde yüzen
beze ile yapılan klasik bir Fransız tatlısı."
108,sp_108,"A French dish made with the leg of a
duck, cooked and preserved in lard.","Cuisse de canard cuite longuement et
mise en conserve dans sa graisse.","Gut durchgekochte Entenkeule, die in
ihrem eigenen Fett konserviert wird.","Un piatto francese con coscia d'anatra,
cotta e conservata nel suo lardo.","Plato francés: pierna de pato que se
cocina y conserva en su propia grasa.","Ördek budu kullanılarak yapılan; yağda
pişirilip saklanan bir Fransız yemeği."
109,sp_109,"A Japanese bread roll filled with a 
delicious sweet red bean paste.","Petit pain japonais délicieux fourré
à la pâte de haricots rouges.","Die japanische Antwort auf den
Berliner: Gefüllt mit roter Bohnenpaste.","Piccolo panino giapponese con una
dolce farcitura di fagioli rossi.","Bollito japonés relleno de una deliciosa
pasta de judías rojas dulces.","Lezzetli, tatlı kırmızı fasulye ezmesiyle
doldurulmuş Japon ekmek rulosu."
110,sp_110,"Slices of fresh, raw fish, served with a 
little wasabi and ginger.","Tranches de poisson cru tout frais,
relevées avec un peu de wasabi.","Frischer, roher Fisch, zwar ohne Reis,
aber dafür mit Wasabi und Ingwer.","Fettine di pesce crudo servite con
un po' di wasabi e zenzero.","Cortes de pescado fresco crudo servido
con un poco de wasabi y jengibre.","Biraz wasabi ve zencefille servis edilen
taze, çiğ balık dilimleri."
111,sp_111,"That sweet-and-sour sauce looks and 
smells amazing!","L'odeur de la sauce aigre-douce est
si tentante, c'est dur d'y résister !","Die süß-saure Soße sieht delikat aus,
und sie riecht absolut fantastisch!","La salsa agrodolce ha un aspetto
e un profumo irresistibili!","¡La salsa agridulce tiene una pinta
bárbara y huele que alimenta!","Şu tatlı-ekşi sosun görüntüsü ve kokusu
insanın iştahını kabartıyor!"
112,sp_112,"Fresh fish with rice, served with ginger
and soy sauce. Beware of the wasabi!","Un mets constitué de riz vinaigré
et d'une tranche de poisson cru.","Reishäppchen mit frischstem Fisch,
serviert an Ingwer und Meerrettich.","Bocconcini di riso e pesce fresco
con ginger, wasabi e salsa di soia.","El plato estrella de la cocina japonesa.
Hecho con arroz y pescado o marisco.","Pirinçle servis edilen taze balık; yanında
zencefil ve soya sosu. Wasabiye dikkat!"
113,sp_113,"A dessert made of ricotta and cake, 
decorated with marzipan and fruits.","Dessert à la ricotta décoré de pâte
d'amande, avec un fond de génoise.","Ein Dessert aus Ricotta und Kuchen,
dekoriert mit Marzipan und Früchten.","Un dolce a base di zucchero e ricotta,
decorato con marzapane e frutta.","Postre hecho con ricotta y bizcocho,
y decorado con mazapán y fruta.","Ricotta ve kekle yapılan, badem ezmesi
ve meyvelerle süslenen bir tatlı."
114,sp_114,"Meat pies began over 10,000 years
ago, but who ate all those pies?","Spécialité anglo-saxonne à base
de bœuf, de carottes et d'oignon.","Englische Spezialität, deftig gefüllt
mit Fleisch, Zwiebeln und Karotten.","Specialità inglese a base di
carne, carote e cipolle.","Tartaletas de carne que tienen más
de 10 000 años. Bueno, es un decir.","Etli turtaların geçmişi 10.000 yıldan
eskiye dayanıyor. Peki hepsini kim yedi?"
115,sp_115,"A kind of large shrimp, frequently 
grilled on barbies.","Sortes de grosses crevettes qui
peuvent se faire griller au barbecue.","Eine besonders große Krabbe, die auch
häufig auf dem Grill zubereitet wird.","Gamberi piuttosto grandi,
di solito cucinati alla griglia.","Son como las gambas, pero más
grandes. Se suelen servir a la parrilla.","Sık sık mangalda ızgara edilen,
irice bir karides türü."
