entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Heh. I've been waiting for you,
{{TAG:0005:0008:}} and {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}¡{{TAG:000E:0003:}}{{TAG:0005:0008:}} y {{TAG:0011:0001:0100}}!
Vaya, precisamente os estaba
esperando a l{{TAG:000E:0006:02006F0002006100}}s dos.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Hé, {{TAG:0005:0008:}}, {{TAG:0011:0001:0100}}...
Je vous attendais !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Oh, vi stavo proprio aspettando,
{{TAG:0005:0008:}} {{TAG:000E:0011:}} {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0023:}}Hey, ich hab auf euch gewartet,
{{TAG:0005:0008:}} und {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Heh. Sizi bekliyordum,
{{TAG:0005:0008:}} ve {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oh! {{TAG:0007:0000:0A000000}}Hey! {{TAG:0007:0000:0A000000}}You're both
here, {{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}¡Anda! {{TAG:0007:0000:0A000000}}¡Pero si estáis l{{TAG:000E:0006:02006F0002006100}}s
dos aquí{{TAG:0007:0000:0A000000}}, {{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oh ! {{TAG:0007:0000:0A000000}}Hé ! {{TAG:0007:0000:0A000000}}Vous voilà {{TAG:000E:0006:080074006F00750073000C0074006F007500740065007300}} les deux,
{{TAG:0005:0007:}} !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oh, {{TAG:0007:0000:0A000000}}salve! {{TAG:0007:0000:0A000000}}Siete qui, {{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:000F:}}Oh! {{TAG:0007:0000:14000000}}Hey! {{TAG:0007:0000:14000000}}Da seid ihr zwei ja,
{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Aa! {{TAG:0007:0000:0A000000}}Selam! {{TAG:0007:0000:0A000000}}İkiniz de
gelmişsiniz, {{TAG:0005:0007:}}!{{TAG:000C:0009:}}"
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0026:}}You're both here!{{TAG:0007:0000:0A000000}} {{TAG:0003:0025:}}Welcome to the
House of {{TAG:0005:0001:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}¡Os doy la bienvenida a amb{{TAG:000E:0006:02006F0002006100}}s{{TAG:0007:0000:0A000000}}
a Villa {{TAG:0005:0001:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Vous êtes là, {{TAG:000E:0006:080074006F00750073000C0074006F007500740065007300}} les deux !{{TAG:0007:0000:0A000000}}
Bienvenue à la Villa {{TAG:0005:0001:}} !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Eccovi qua! {{TAG:0007:0000:0A000000}}Vi do il benvenuto
a casa di {{TAG:0005:0001:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:001C:}}Hey, ihr beiden! {{TAG:0007:0000:14000000}}Immer herein
in die gute Stube, {{TAG:0005:0001:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0026:}}İkiniz de gelmişsiniz!{{TAG:0007:0000:0A000000}} {{TAG:0003:0025:}}{{TAG:0005:0001:}} Hanesi'ne
hoş geldiniz!{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}You're late, {{TAG:0005:0008:}}. I thought
you forgot all about this!{{TAG:0007:0001:}} {{TAG:0003:0015:}}But thanks
for bringing {{TAG:0011:0001:0100}} here.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Llegáis tarde, {{TAG:0005:0008:}}. ¡Creía
que ya se te había olvidado!{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Gracias por traer a {{TAG:0011:0001:0100}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}T'es à la bourre, {{TAG:0005:0008:}}.
Je pensais que tu m'avais oublié,
t'imagines un peu le drame ?
{{TAG:0003:0025:}}Bref, tout rentre dans l'ordre. {{TAG:0007:0000:0F000000}}Et
merci d'avoir amené {{TAG:0011:0001:0100}}
avec toi.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Sei in ritardo, {{TAG:0005:0008:}}. Pensavo
ti fossi dimenticat{{TAG:000E:0006:02006F0002006100}}! {{TAG:0007:0001:}}{{TAG:0003:0025:}}Beh, grazie
per aver portato {{TAG:0011:0001:0100}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:000D:}}Du bist spät dran, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}}
Ich dachte schon, du hättest mich
vergessen!
{{TAG:0003:0025:}}Aber danke, dass du {{TAG:0011:0001:0100}}
hergebracht hast.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Geç kaldın, {{TAG:0005:0008:}}. Bunu tamamen
unuttun sandım!{{TAG:0007:0001:}} {{TAG:0003:0015:}}Ama {{TAG:0011:0001:0100}}'i buraya
getirdiğin için sağ ol.{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}I can't believe you had {{TAG:0005:0000:}}
drag me all the way here,
{{TAG:0011:0001:0000}}!
What's up,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}¡No puedo creer que hayas obligado
a {{TAG:0005:0000:}} a traerme a rastras
hasta aquí, {{TAG:0011:0001:0000}}!
¿Y para qué me querías,
{{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}J'y crois pas... pourquoi t'as
demandé à {{TAG:0005:0000:}} de me
traîner ici, {{TAG:0011:0001:0000}} ?!
Elle veut quoi la star de la lose,
{{TAG:0005:0007:}} ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Non posso credere che tu abbia
chiesto {{TAG:000E:0010:}} {{TAG:0005:0000:}} di trascinarmi
fin qui, {{TAG:0011:0001:0000}}!
Mi spieghi cosa vuoi,
{{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0006:}}Ich kann's nicht fassen, dass
{{TAG:0005:0000:}} mich den ganzen Weg
herbringen sollte, {{TAG:0011:0001:0000}}!
Was willste denn, {{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Beni buraya kadar {{TAG:0005:0000:}}'e sürüklettin,
inanılır gibi değil, {{TAG:0011:0001:0000}}!
Ne var,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}OK, spill the beans, {{TAG:0011:0001:0000}}!
Why'd you have {{TAG:0005:0000:}} haul
me all the way to your house?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}Venga, ¡confiesa, {{TAG:0011:0001:0000}}!
¿Por qué le has pedido a {{TAG:0005:0000:}}
que me traiga a tu casa?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}OK, crache le morceau, {{TAG:0011:0001:0000}} !{{TAG:0000:0004:}}T'as demandé à {{TAG:0005:0000:}} de me
traîner dans ta cabane de jardin...{{TAG:0007:0000:0F000000}}
Tu cherches la bagarre, c'est ça ?!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}OK, sputa il rospo, {{TAG:0011:0001:0000}}!
Perché hai chiesto {{TAG:000E:0010:}} {{TAG:0005:0000:}}
di trascinarmi fino a casa tua?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}Okay, dann mal raus mit der
Sprache, {{TAG:0011:0001:0000}}!{{TAG:0000:0004:}}Warum haste mich von {{TAG:0005:0000:}}
den ganzen Weg herbringen lassen?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}Tamam, anlat bakalım, {{TAG:0011:0001:0000}}!
Niye {{TAG:0005:0000:}}'e beni evine kadar
sürüklettin?{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}Can we skip past the hellos and
thank-you stuff, {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
What do you want?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}Saltémonos los saludos, que ya me
estáis haciendo perder tiempo de
sobra.{{TAG:0007:0000:14000000}} ¿Qué quieres, {{TAG:0011:0001:0000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}Et si on zappait les civilités,
{{TAG:0011:0001:0000}} ? {{TAG:0007:0000:0F000000}}Tu veux quoi au
juste ? {{TAG:0007:0000:08000000}}Mon poing dans la figure ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}Possiamo evitare i convenevoli e
passare al dunque, {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
La domanda è semplice: cosa vuoi?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}Also, komm zur Sache, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}}
Was willste von mir?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0006:}}Selamlaşma ve teşekkür kısmını
atlasak mı, {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
Ne istiyorsun?{{TAG:000C:0009:}}"
7,008,,,,,,
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Well, I have something of yours,
{{TAG:0011:0001:0100}}. I want to give it back
before I forget again, {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Quería devolverte aquello que
me habías prestado, {{TAG:0011:0001:0100}}.
¿Te acuerdas, {{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Hé hé, {{TAG:0007:0000:0F000000}}en fait je t'avais emprunté un
truc, {{TAG:0011:0001:0100}}, et je voulais te le
rendre. {{TAG:0007:0000:08000000}}Basta, {{TAG:0005:0007:}}...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Beh, ho una cosa tua, {{TAG:0011:0001:0100}}.
Vorrei restituirtela, {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}}Ich hab vor Kurzem etwas von dir
wiedergefunden, {{TAG:0011:0001:0100}}.{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ich hatte ganz vergessen, dass du
mir das ausgeliehen hattest.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Şey, sende bana ait bir şey var,
{{TAG:0011:0001:0100}}. Yine unutmadan geri vermek
istiyorum, {{TAG:0005:0007:}}.{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0010:}}Hey!{{TAG:0007:0000:14000000}} Now that you mention it,
I guess I DID lend you that a
little ways back, {{TAG:0005:0007:}}!
{{TAG:0003:000B:}}Wait{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0006:}}You made ME walk here to
get it back?{{TAG:0007:0000:0A000000}} {{TAG:0003:001B:}}Wow, that's as sad as
sitting on some {{TAG:0005:0010:0300}}.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0010:}}¡Oye! {{TAG:0007:0000:14000000}}Pues ahora que lo dices,
sí que te había prestado algo...
¡pero hace la tira, {{TAG:0005:0007:}}!
Oye, ¿y me has hecho venir A MÍ
para dármelo? {{TAG:0007:0000:0A000000}}¡¿Encima de lo que
me has hecho esperar?! ¡Qué jeta!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0006:}}Hé ! {{TAG:0007:0000:14000000}}Un peu que je t'ai prêté un
truc ! {{TAG:0007:0000:0F000000}}Et c'était y'a une plombe,
même ! {{TAG:0007:0000:1E000000}}Mais, attends...
{{TAG:0003:0012:}}Tu m'as fait venir ici juste pour me
le rendre ? {{TAG:0007:0000:0A000000}}Quelle idée débile ! Ça
te ressemble bien, tiens...","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0010:}}Ehi! {{TAG:0007:0000:14000000}}Ora che lo dici, mi sa che hai
ragione. Ma è passata una vita,
{{TAG:0005:0007:}}!
Aspetta! Non dirmi che mi hai fatto
venire qui per questo!{{TAG:0000:0004:}}{{TAG:0007:0000:0A000000}}Sei disgustoso come la maionese
sopra {{TAG:000E:0001:}}{{TAG:0005:0010:0300}}.","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:08000000}}Hey! {{TAG:0007:0000:14000000}}Jetzt, da du's sagst...{{TAG:0007:0000:14000000}}
Das ist aber schon 'ne ganze
Weile her, {{TAG:0005:0007:}}!
{{TAG:0003:0006:}}Moment mal! {{TAG:0007:0000:14000000}}Du lässt MICH zu DIR
kommen, um MEINE Sachen
abzuholen?{{TAG:0007:0000:14000000}} {{TAG:0003:0007:}}Geht's eigentlich noch?","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0010:}}Hey!{{TAG:0007:0000:14000000}} Söyleyince hatırladım,
bunu sana bir ara ben vermiştim,
{{TAG:0005:0007:}}! {{TAG:0003:000B:}}Dur{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0006:}}Bunu geri almak için
BURAYA kadar beni mi yürüttün?{{TAG:0007:0000:0A000000}} {{TAG:0003:001B:}}Vay be,
{{TAG:0005:0010:0300}} üstüne oturmak kadar acıklı."
