entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0005:}}That little cutie in the tank is SO
like me, right? {{TAG:0007:0000:14000000}}But I'm way
more graceful, {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¿A que es una monada este
pequeñín? {{TAG:0007:0000:14000000}}¡Los que somos cuquis
tenemos cositas cuquis!","{{TAG:0003:0005:}}On a trop de choses en commun,
moi et ce petit poisson !{{TAG:0007:0000:14000000}} Sauf qu'il
sait nager, lui, {{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Lo so, lo so, è troppo carino, vero?
{{TAG:0007:0000:14000000}}Del resto, le ragazze carine devono
circondarsi di cose carine!","{{TAG:0003:0005:}}Das hübsche Kerlchen dort im
Aquarium ist genau wie ich, {{TAG:0007:0000:0A000000}}oder?
{{TAG:0007:0000:14000000}}Total glitzerig und so!
Ich bin natürlich trotzdem viiiel
anmutiger, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Akvaryumdaki şu minik şirin şey bana
ÇOK benziyor, değil mi? {{TAG:0007:0000:14000000}}Ama ben
çok daha zarifim, {{TAG:0005:0007:}}!"
1,002,"{{TAG:0003:0017:}}What do you think of it? Yeah, the
{{TAG:0011:0003:0000}} is classy.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Just like me, if you think about it.{{TAG:0007:0000:14000000}}
Classy, all the way, {{TAG:0005:0007:}}.","{{TAG:0003:0017:}}¿Verdad que es elegante est{{TAG:000E:0008:00CD02006500020061000000}}
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0001:}}¡No tengo ni idea de arte, pero
queda requetebién ahí colgado,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}}!","C'est {{TAG:000E:0001:}}{{TAG:0011:0003:0000}},
{{TAG:0003:0017:}}tu connais ? C'est la grande classe,
pas vrai ?
{{TAG:0003:0001:}}Comme moi, quoi !{{TAG:0007:0000:14000000}} Ce tableau et
moi, on se comprend,
{{TAG:0005:0007:}} !","{{TAG:0003:0017:}}Non trovi che sia davvero trendy
{{TAG:000E:0008:00CD0C0069006C0020006D0069006F000C006C00610020006D006900610002003000}} {{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0001:}}È trendy come la sottoscritta!{{TAG:0007:0000:14000000}}
Cos'altro potevi aspettarti
da una come me, {{TAG:0005:0007:}}?","{{TAG:0003:0017:}}Und, {{TAG:0007:0000:0A000000}}was hältst du von dem Bild?
{{TAG:0007:0000:14000000}}Jepp, {{TAG:0007:0000:0A000000}}{{TAG:000E:0008:00CD060064006500720006006400690065000600640061007300}} {{TAG:0011:0003:0000}}
ist ganz schön nobel, {{TAG:0007:0000:0A000000}}was?
{{TAG:0003:0001:}}Genau wie ich, {{TAG:0007:0000:0A000000}}wenn ich so drüber
nachdenke! {{TAG:0007:0000:14000000}}Durch und durch nobel
und stylish, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0017:}}Ne dersin? Evet, şu {{TAG:0011:0003:0000}} gerçekten
çok şık.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Düşününce tıpkı benim
gibi.{{TAG:0007:0000:14000000}} Baştan aşağı şıklık, {{TAG:0005:0007:}}."
2,003,"{{TAG:0003:0001:}}Plants make a room feel more like
a resort. {{TAG:0007:0000:0A000000}}Every day at my place
is a vacation, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¡Me encanta rodearme de cosas tan
bonitas como yo,{{TAG:0007:0000:0A000000}} como las plantas,
{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}J'aime bien les plantes, elles me
donnent l'impression d'être dehors
même quand je suis chez moi.
Du coup, je fais pas le ménage,
{{TAG:0005:0007:}}... Ça m'arrange bien,
hi hi hi !","{{TAG:0003:0001:}}Le piante mi piacciono un sacco.
{{TAG:0007:0000:0A000000}}Mi sento come un'orchidea
in mezzo alla giungla, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Ich finde ja, Pflanzen verleihen
einem Raum ein richtiges
Urlaubs-Feeling, irgendwie.
So wird jeder Tag bei mir zu Hause
zum Urlaubstag, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Bitkiler odayı resmen tatil köyüne
çeviriyor. {{TAG:0007:0000:0A000000}}Benim evimde her gün
tatil, {{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0001:}}I can't practice dancing without
any music, right? That's why I have
to listen to {{TAG:0011:0003:0100}}!","{{TAG:0003:0001:}}Me encanta practicar mis pasos de
baile con la canción que más me
gusta: ¡{{TAG:0000:0003:0200}}{{TAG:0011:0003:0100}}{{TAG:0000:0003:FFFF}}!","{{TAG:0003:0001:}}Je sais pas ce que je ferais sans
{{TAG:0011:0003:0100}} ! J'aurais
du mal à répéter mes chorés, hi hi !","{{TAG:0003:0001:}}Se vuoi essere una stella della pista
come me, {{TAG:0007:0000:0A000000}}devi esercitarti al suono
di {{TAG:000E:0002:}}{{TAG:0011:0003:0100}}!","{{TAG:0003:0001:}}Ich dreh die Musik immer bis zum
Anschlag auf, wenn ich hier drin
meine Tanzmoves übe.
Und der beste Song für {{TAG:0005:0001:}},
{{TAG:000E:0008:00CD1A00640065006E002000740061006E007A0065006E00640065006E0018006400690065002000740061006E007A0065006E006400650018006400610073002000740061006E007A0065006E0064006500}} {{TAG:0005:001F:00CD}}, ist
{{TAG:000E:0001:}}{{TAG:0011:0003:0100}}!","{{TAG:0003:0001:}}Müzik olmadan dans çalışamam ki, değil mi?
O yüzden {{TAG:0011:0003:0100}} dinlemem şart!"
4,005,"{{TAG:0003:0001:}}When I watch that TV, it's like
looking in a mirror! {{TAG:0007:0000:0A000000}}Yeah, I've got
star quality, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}¡Verme reflejada en la tele
es estupén, {{TAG:0005:0007:}}!{{TAG:0000:0004:}}¡Me sirve para entrenar mis poses
de diva para cuando tenga mi
propio programa!","{{TAG:0003:0001:}}Franchement, entre nous{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. Je suis
carrément plus belle que toutes ces
stars du petit écran, non ?!
Oui, ça va mes chevilles !{{TAG:0007:0000:0A000000}} {{TAG:0003:000D:}}Pourquoi
tu me demandes ça,{{TAG:0007:0000:0A000000}} {{TAG:0005:0007:}} ?","{{TAG:0003:0001:}}Adoro specchiarmi nello schermo
della TV, {{TAG:0005:0007:}}.{{TAG:0000:0004:}}Così posso praticare i miei sorrisi
da diva in vista di un programma
che presenterò su Rete Gatto.","{{TAG:0003:0001:}}Netter Fernseher, oder? {{TAG:0007:0000:14000000}}Wenn ich
fernseh, ist es, als ob ich in den
Spiegel schau!
Jepp, {{TAG:0007:0000:0A000000}}ich hab echt das Zeug zum
Star, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}. {{TAG:0007:0000:14000000}}Wuuhuuu!","{{TAG:0003:0001:}}Şu televizyona bakınca aynaya
bakıyormuşum gibi oluyor! {{TAG:0007:0000:0A000000}}Evet, bende
yıldız ışığı var, {{TAG:0005:0007:}}."
5,006,"{{TAG:0003:0001:}}I don't play any instrument, but I 
like people to think I do. {{TAG:0007:0000:14000000}}Let's just
keep that between us, though, OK?","{{TAG:0003:0001:}}Me gusta que los demás piensen
que sé tocar este instrumento,
{{TAG:0005:0007:}}.
{{TAG:0003:000D:}}¡No me mires así!{{TAG:0007:0000:14000000}} ¡Ni que fuera la
única a quien le gusta aparentar!","{{TAG:0003:0001:}}Oh, je joue pas de cet instrument !
C'est pour faire genre, hi hi hi. T'es
{{TAG:000E:0006:0E006C00650020007300650075006C0010006C00610020007300650075006C006500}} à savoir, alors motus !","{{TAG:0003:0001:}}Mi piace che la gente pensi che
so suonare uno strumento,
{{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0007:0000:14000000}}Non fare quella faccia!
Non sono mica l'unica che fa finta!","{{TAG:0003:0001:}}Ich spiel ja gar kein Instrument,
aber ich find's cool, wenn die Leute
das denken, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}.
Das bleibt aber unter uns{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}} {{TAG:0007:0000:28000000}}OKAY?
{{TAG:0007:0000:14000000}}Hihihihi{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}","{{TAG:0003:0001:}}Aslında hiçbir enstrüman çalmıyorum
ama millet çalıyorum sansın hoşuma gidiyor.
{{TAG:0007:0000:14000000}}Bu da aramızda kalsın, tamam mı?"
6,007,"{{TAG:0003:001A:}}OK, I'm a little embarrassed about
having that.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}because I can't cook
at all. {{TAG:0007:0000:0A000000}}Don't tell anyone!","{{TAG:0003:0001:}}¡La de recetas chupiguays que he
preparado ahí! Algunas incluso se
podían comer.","{{TAG:0003:001A:}}Un jour, j'aimerais trop pouvoir
préparer un méga repas pour tous
mes copains...{{TAG:0000:0004:}}{{TAG:0003:0001:}}J'imagine le truc :{{TAG:0007:0000:14000000}} « Aujourd'hui, au
menu,{{TAG:0007:0000:14000000}}{{TAG:0003:002C:}} {{TAG:0005:0013:0000}} façon
{{TAG:0005:0001:}} ! »{{TAG:0000:0004:}}{{TAG:0003:0024:}}Enfin bon, d'abord,{{TAG:0007:0000:0A000000}} il faudrait que
j'apprenne à me servir d'une
casserole, {{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:001A:}}Ce l'ho per fare scena.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}} In realtà
non so fare nemmeno un'insalata.
{{TAG:0007:0000:0A000000}}Non dirlo ai miei fan, ti prego!","{{TAG:0003:001A:}}Ähähä{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}. {{TAG:0007:0000:14000000}}Okaaay, {{TAG:0007:0000:0A000000}}also, ich schäm
mich ja ein bisschen dafür, dass ich
diese Küche hier stehen hab.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}
Ich kann nämlich kein Stück kochen.
{{TAG:0007:0000:14000000}}Sag's aber niemandem, {{TAG:0007:0000:0A000000}}ja?","{{TAG:0003:001A:}}Tamam, onu evde tuttuğum için biraz
utanıyorum.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}çünkü yemek yapmayı hiç
beceremiyorum. {{TAG:0007:0000:0A000000}}Kimseye söyleme!"
7,008,"{{TAG:0003:0001:}}Looks like a bed, right? Well, it is,
but you know what I use it for,
{{TAG:0005:0008:}}?
As a stage! {{TAG:0007:0000:14000000}}Yeah, I jump up and
down on it. And {{TAG:0003:002A:}}I twirl too,
{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Parece una cama, ¿no? {{TAG:0007:0000:0A000000}}Y lo es.{{TAG:0007:0000:14000000}}
Pero ¿sabes qué función tiene
en realidad, {{TAG:0005:0008:}}?
¡La de un escenario! {{TAG:0007:0000:14000000}}{{TAG:0003:002A:}}¡Me subo ahí
y empiezo a bailar como si estuviera
en un concierto, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Perdu, c'est pas mon lit ! C'est mon
trampoline, {{TAG:0005:0008:}} !!!{{TAG:0007:0000:14000000}} Je saute
dessus, {{TAG:0003:002A:}}et je danse, {{TAG:0005:0007:}} !
Et comme le plafond est bas, je
gagne quelques centimètres grâce
aux bosses, c'est délire !","{{TAG:0003:0001:}}Sembra un letto, vero? Esatto!
Anche se per me è molto più
di un letto, {{TAG:0005:0008:}}!
È il mio palcoscenico! {{TAG:0007:0000:14000000}}Sì, ci salto
su e giù e {{TAG:0003:002A:}}lo uso per provare nuovi
passi di danza, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Tja, {{TAG:0007:0000:0A000000}}sieht wie ein Bett aus, oder?
{{TAG:0007:0000:14000000}}Ist es auch, aber weißt du, wofür
ich es benutze, {{TAG:0005:0008:}}?
Als Bühne! {{TAG:0007:0000:14000000}}Jepp, {{TAG:0007:0000:0A000000}}ich spring auf ihm
auf und ab und dreh auch mal {{TAG:0003:002A:}}
Pirouetten, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}! {{TAG:0007:0000:14000000}}WUHUU!","{{TAG:0003:0001:}}Yatağa benziyor, değil mi? Zaten yatak
ama ben onu ne için kullanıyorum biliyor
musun, {{TAG:0005:0008:}}? Sahne olarak! {{TAG:0007:0000:14000000}}Üstünde
hoplayıp zıplıyorum. Bir de {{TAG:0003:002A:}}dönerek dans
ediyorum, {{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:0001:}}Have you ever heard how I think
beds are actually stages?{{TAG:0007:0000:14000000}} Like, {{TAG:0007:0000:05000000}}
theater stages?
And a big bed? {{TAG:0007:0000:14000000}}Oh, if only there
were two of me! {{TAG:0007:0000:0A000000}}Then I could sing a
duet with myself, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¿Sabes que uso las camas
como si fueran escenarios?{{TAG:0007:0000:14000000}}
¡Sí, {{TAG:0007:0000:05000000}}como en los conciertos!
¡Con esta cama tan grande,{{TAG:0007:0000:14000000}} si
colocara unos focos y vinieran
unos cuantos fans, sería total!","{{TAG:0003:0001:}}C'est de notoriété publique, j'utilise
les lits comme des trampolines,
hi hi hi !
Sur celui-là, y'a assez de place pour
deux {{TAG:0005:0001:}}, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Sai che io uso il letto come
se fosse un palcoscenico?{{TAG:0007:0000:14000000}}
Sì, {{TAG:0007:0000:05000000}}come quello di un concerto!
Con un letto così grande, {{TAG:0007:0000:14000000}}se
aggiungessi un paio di riflettori
potrei organizzare un megashow!","{{TAG:0003:0001:}}Wusstest du eigentlich, dass in
meiner Welt Betten in Wirklichkeit
Bühnen sind?
So wie Theaterbühnen zum Beispiel!
{{TAG:0007:0000:0A000000}}Das große Bett ist echt die ideale
Bühne!
Ach, {{TAG:0007:0000:0A000000}}wenn's doch nur zwei von mir
gäbe! {{TAG:0007:0000:14000000}}Dann könnt ich mit mir selbst
ein Duett singen, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Yatakların aslında sahne olduğunu
düşündüğümü hiç duydun mu?{{TAG:0007:0000:14000000}} Hani, {{TAG:0007:0000:05000000}}
tiyatro sahnesi gibi? Hem de kocaman
bir yatak! {{TAG:0007:0000:14000000}}Ah, keşke benden iki tane
olsaydı! {{TAG:0007:0000:0A000000}}O zaman kendimle düet
yapardım, {{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:0001:}}You know, I just love sitting on my
{{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}It makes me feel like I'm the ruler
of some plushy kingdom! {{TAG:0007:0000:14000000}}Yes, all
bow before Queen {{TAG:0005:0001:}}!","{{TAG:0003:0001:}}¡Adoro sentarme en est{{TAG:000E:0008:00CD02006500020061000000}}
{{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}¡Me siento como una reina sentada
en su real trono, {{TAG:0005:0001:}}!","{{TAG:0003:0001:}}Rien de tel que de s'asseoir dans
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} pour
avoir l'impression d'être une reine !
{{TAG:0003:0002:}}Non, pas la reine des cruches, hi hi !
Méchant{{TAG:000E:0006:000002006500}}, va ! Trop délire !","{{TAG:0003:0001:}}Mi piace un sacco sedermi {{TAG:000E:0008:00CD0E00730075006C0020006D0069006F001200730075006C006C00610020006D006900610002003000}}
{{TAG:0011:0003:0000}}.{{TAG:0000:0004:}}Mi fa sentire come una regina
seduta sul trono! {{TAG:0007:0000:14000000}}Orsù, inchinatevi
davanti a Sua Maestà {{TAG:0005:0001:}}!","{{TAG:0003:0001:}}Weißt du, {{TAG:0007:0000:05000000}}ich liebe es einfach, auf
{{TAG:000E:0008:00CD0C00640069006500730065006D000C006400690065007300650072000C00640069006500730065006D00}} {{TAG:0011:0003:0000}}
zu sitzen!
Dabei komm ich mir vor, als wär ich
die Herrscherin über ein großes,
plüschiges Reich! {{TAG:0007:0000:14000000}}Hihihi!
Jaaa, {{TAG:0007:0000:0A000000}}verbeugt euch alle vor
Style-Königin {{TAG:0005:0001:}}!
{{TAG:0007:0000:14000000}}Wuuhuuu!","{{TAG:0003:0001:}}Biliyor musun, şu {{TAG:0011:0003:0000}} üstünde
oturmaya bayılıyorum.{{TAG:0000:0004:}}Kendimi yumuşacık
bir krallığın hükümdarı
gibi hissediyorum! {{TAG:0007:0000:14000000}}Evet, herkes Kraliçe
{{TAG:0005:0001:}}'in önünde eğilsin!"
