entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}huh? {{TAG:000E:0003:}}{{TAG:0005:0008:}}, is that you?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ¿Mmm? ¿{{TAG:000E:0003:}}{{TAG:0005:0008:}}, eres
tú?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Oh ? {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0008:}} ? {{TAG:0007:0000:10000000}}Qu'est-ce
que tu fais dans ma chambre ?{{TAG:0007:0000:10000000}} Oh !{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzz.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Uh? {{TAG:000E:0003:}}{{TAG:0005:0008:}}, sei tu?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Huch!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:08000000}}bist du's?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}ha? {{TAG:000E:0003:}}{{TAG:0005:0008:}}, sen misin?{{TAG:0007:0009:3C000000}}"
1,002,"{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}what year is it? {{TAG:0007:0000:28000000}}{{TAG:0003:0012:}}Whoa! {{TAG:0007:0000:10000000}}Was I
sleeping?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Divino...{{TAG:0007:0000:28000000}}{{TAG:0003:0012:}} ¡Ah! {{TAG:0007:0000:10000000}}
¿Me he dormido?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Hmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Oui ? {{TAG:0007:0000:28000000}}{{TAG:0003:0012:}}Oh ! {{TAG:0007:0000:1E000000}}Est-ce
que je me suis endormie ?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzz.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Che ora è? {{TAG:0007:0000:28000000}}{{TAG:0003:0012:}}Oh mamma!
{{TAG:0007:0000:10000000}}Mi sono addormentata?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0012:}}Huch!{{TAG:0007:0000:28000000}} Was?{{TAG:0007:0000:14000000}} Wie?{{TAG:0007:0000:14000000}}
Habe ich etwa geschlafen?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}hangi yıldayız? {{TAG:0007:0000:28000000}}{{TAG:0003:0012:}}Vay! {{TAG:0007:0000:10000000}}Uyuyor
muydum?{{TAG:0007:0009:3C000000}}"
2,003,{{TAG:000A:0001:08000900}},{{TAG:000A:0001:08000900}},{{TAG:000A:0001:08000900}},{{TAG:000A:0001:08000900}},{{TAG:000A:0001:08000900}},{{TAG:000A:0001:08000900}}
3,004,"{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}huh? {{TAG:0007:0000:10000000}}{{TAG:0003:0007:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}, {{TAG:0007:0000:08000000}}why did
you just wake me up?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Quiero comprar toda la
tienda... {{TAG:0007:0000:10000000}}{{TAG:0003:0007:}}¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}! {{TAG:0007:0000:08000000}}¿Por qué
me despiertas?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Hmmm ! {{TAG:0007:0000:1E000000}}{{TAG:0003:0007:}}{{TAG:0007:0000:14000000}}Qui ose me réveiller,
{{TAG:0005:0007:}} ?!{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Eh? {{TAG:0007:0000:10000000}}{{TAG:0003:0007:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}},
perché mi hai svegliata{{TAG:0007:0000:08000000}}?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzzzzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0007:}}Aaah!{{TAG:0007:0000:28000000}}
Was weckst du mich denn auf?!{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}ha? {{TAG:0007:0000:10000000}}{{TAG:0003:0007:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}, {{TAG:0007:0000:08000000}}beni neden
uyandırdın şimdi?{{TAG:0007:0009:3C000000}}"
4,005,"{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}this bed is sooooo comfy.{{TAG:0007:0000:10000000}} Let
me sleep another 5 minutes,{{TAG:0007:0000:08000000}} Mom{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:000F:}}HUH?{{TAG:0007:0000:10000000}} Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Póngame el plato más caro
de todos{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:000F:}}¡QUEMA!{{TAG:0007:0000:10000000}} ¿Eh?
{{TAG:0007:0000:08000000}}¡{{TAG:000E:0003:}}{{TAG:0005:0008:}}!","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Oui euh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:10000000}} Laisse-moi
encore dormir un peu{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:000F:}}Hmmm ?{{TAG:0007:0000:10000000}}
Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}} C'est toi ?!","{{TAG:0003:002D:}}Zzz.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Che bel letto comodo.{{TAG:0007:0000:10000000}}
Altri cinque minuti e basta.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:000F:}}Uh?{{TAG:0007:0000:10000000}} Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!","{{TAG:0003:002D:}}{{TAG:0000:0002:4B00}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Mmmh, {{TAG:0007:0000:08000000}}nur noch fünf Minuten!{{TAG:0000:0004:}}{{TAG:0000:0002:6400}}{{TAG:0003:000F:}}Huch!{{TAG:0007:0000:28000000}} Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Ich,{{TAG:0007:0000:08000000}} äh,{{TAG:0007:0000:08000000}}
grüße dich!","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}bu yatak çoook rahat.{{TAG:0007:0000:10000000}} Beş
dakika daha uyuyayım,{{TAG:0007:0000:08000000}} anne{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:000F:}}HA?{{TAG:0007:0000:10000000}} Aa, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!"
5,006,"{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}no, {{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}you can't borrow my lip
gloss{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Why would you even ask?{{TAG:0007:0000:28000000}}
{{TAG:0003:000F:}}{{TAG:0007:000B:}}WHAT? {{TAG:0007:0000:10000000}}Was I talking in my sleep?","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} No, {{TAG:0007:0000:08000000}}comer con las manos
es una ordinariez{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000F:}}{{TAG:0007:000B:}}¡¿Quién es?! {{TAG:0007:0000:10000000}}
¿Estaba hablando en sueños?","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Non{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Comment ça,
« pas repris, pas échangé » ? Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:000F:}}{{TAG:0007:000B:}}Hum ? {{TAG:0007:0000:08000000}}Oh ! {{TAG:0007:0000:10000000}}Je me suis endormie ?{{TAG:0007:0000:10000000}}
Ouf,{{TAG:0007:0000:08000000}} tant mieux{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Alors c'était un
cauchemar...","{{TAG:0003:002D:}}Zzz.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} No, {{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}quel rossetto è mio.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
Non pensarci nemmeno.{{TAG:0007:0000:28000000}}
{{TAG:0003:000F:}}{{TAG:0007:000B:}}COSA? {{TAG:0007:0000:10000000}}Stavo parlando nel sonno?","{{TAG:0000:0002:6400}}{{TAG:0003:002D:}}Zzzzzzzz...{{TAG:0000:0004:}}{{TAG:0000:0002:4B00}}Ausnahmslos...{{TAG:0007:0000:14000000}} Jawohl...{{TAG:0007:0000:14000000}}
{{TAG:000E:0006:420044006500720020006200650073007400650020004200FC0072006700650072006D00650069007300740065007200200076006F006E00200061006C006C0065006E00460044006900650020006200650073007400650020004200FC0072006700650072006D0065006900730074006500720069006E00200076006F006E00200061006C006C0065006E00}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}Huch!{{TAG:0007:0000:14000000}} Wie bitte?{{TAG:0007:0000:14000000}}
Was sagst du?{{TAG:0007:0000:14000000}} Ich rede im Schlaf?!{{TAG:0007:0000:14000000}}
{{TAG:0003:0007:}}Ganz ausgeschlossen!{{TAG:0000:0002:6400}}","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}hayır, {{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}dudak parlatıcımı ödünç
alamazsın{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Niye istiyorsun ki?{{TAG:0007:0000:28000000}}
{{TAG:0003:000F:}}{{TAG:0007:000B:}}NE? {{TAG:0007:0000:10000000}}Uykumda mı konuşuyordum?"
6,007,"{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}beavers and ducks{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:000F:}}HUH?{{TAG:0007:0000:20000000}}
Was I asleep?","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Una galleta con diamantes{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:000F:}}¿AAAH?{{TAG:0007:0000:20000000}} ¿Me he dormido?","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:000D:}}{{TAG:0007:0000:14000000}}Attention au canard !{{TAG:0007:0000:1E000000}} {{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:000F:}}Hum ?{{TAG:0007:0000:20000000}} Oui ? {{TAG:0007:0000:08000000}}Oh !{{TAG:0007:0000:14000000}} Je me suis
assoupie, on dirait...","{{TAG:0003:002D:}}Zzz.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} I topi non ci sono, il gatto
balla.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:000F:}}Eh?{{TAG:0007:0000:20000000}} Stavo dormendo?","{{TAG:0003:002D:}}{{TAG:0000:0002:4B00}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Welch fantastisches Büfett...{{TAG:0007:0000:14000000}}
Mmmh,{{TAG:0007:0000:08000000}} {{TAG:0005:0013:0000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0002:6400}}{{TAG:0000:0004:}}{{TAG:0003:000F:}}Huch!{{TAG:0007:0000:28000000}} Bin ich etwa eingenickt?","{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}kunduzlar ve ördekler{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:000F:}}HA?{{TAG:0007:0000:20000000}}
Uyuyor muydum?"
7,008,{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0009:3C000000}},"{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Es usted un caballero,
{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ¿Mmm?{{TAG:0007:0009:3C000000}}",{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0009:3C000000}},{{TAG:0003:002D:}}Zzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0009:3C000000}},{{TAG:0003:002D:}}Zzzzzzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0009:3C000000}},{{TAG:0003:002D:}}Zzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0009:3C000000}}
8,009,{{TAG:0003:002D:}}Ughhhh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}zzzzzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}SNORT!{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}Huh?{{TAG:0007:0009:3C000000}},"{{TAG:0003:002D:}}Mmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Zzzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ¡NOOO! ¡Mi sombra
de ojos exclusiva!{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}¿EH?{{TAG:0007:0009:3C000000}}","{{TAG:0003:002D:}}Zzzzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} RÔÔÔHHH{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} PSCHHH !{{TAG:0007:0000:2D000000}}
{{TAG:0003:0017:}}Hum ?{{TAG:0007:0009:3C000000}}",{{TAG:0003:002D:}}Ughhh.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} zzzzzzz.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} SNORT!{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}Uh?{{TAG:0007:0009:3C000000}},"{{TAG:0003:002D:}}Zzzzzzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Hmmm?{{TAG:0007:0000:14000000}}
Waaas?{{TAG:0007:0009:3C000000}}",{{TAG:0003:002D:}}Offfff{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}zzzzzzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}HÖRK!{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}Ha?{{TAG:0007:0009:3C000000}}
9,010,,,,,,
