entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:000A:000B:1006000800CD}},{{TAG:000A:000B:1006000800CD}},{{TAG:000A:000B:1006000800CD}},{{TAG:000A:000B:1006000800CD}},{{TAG:000A:000B:1006000800CD}},{{TAG:000A:000B:1006000800CD}}
1,002,{{TAG:000A:000B:1007000900CD}},{{TAG:000A:000B:1007000900CD}},{{TAG:000A:000B:1007000900CD}},{{TAG:000A:000B:1007000900CD}},{{TAG:000A:000B:1007000900CD}},{{TAG:000A:000B:1007000900CD}}
2,003,{{TAG:000A:000B:1006000A00CD}},{{TAG:000A:000B:1006000A00CD}},{{TAG:000A:000B:1006000A00CD}},{{TAG:000A:000B:1006000A00CD}},{{TAG:000A:000B:1006000A00CD}},{{TAG:000A:000B:1006000A00CD}}
3,004,{{TAG:000A:000B:1007000B00CD}},{{TAG:000A:000B:1007000B00CD}},{{TAG:000A:000B:1007000B00CD}},{{TAG:000A:000B:1007000B00CD}},{{TAG:000A:000B:1007000B00CD}},{{TAG:000A:000B:1007000B00CD}}
4,005,{{TAG:000A:000B:1006000C00CD}},{{TAG:000A:000B:1006000C00CD}},{{TAG:000A:000B:1006000C00CD}},{{TAG:000A:000B:1006000C00CD}},{{TAG:000A:000B:1006000C00CD}},{{TAG:000A:000B:1006000C00CD}}
5,006,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hello again{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
Still swimming around our rainy
town, I see, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
¡Me alegro de que no te hayas
ido aún, {{TAG:0005:0000:}}!
¡La lluvia se disfruta más con u{{TAG:000E:0006:02006E0004006E006100}}
buen{{TAG:000E:0006:000002006100}} amig{{TAG:000E:0006:02006F0002006100}} a tu lado!","{{TAG:0003:0025:}}On se sent comme un poisson dans
l'eau ici, pas vrai ? Et la pluie y est
pour quelque chose, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ciao di nuovo{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
Hai visto? Per spostarsi ci vuole
il canotto, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Du schon wieder{{TAG:0007:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
Immer noch in unserem schönen
Feuchtbiotop unterwegs?","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Yine merhaba{{TAG:0007:0007:}}!{{TAG:0007:0000:14000000}}
Yağmurlu kasabamızda yüzmeye devam
ediyorsun demek, {{TAG:0005:0007:}}."
6,007,"{{TAG:0003:0001:}}Taking another swim around our
lovely, rainy town, {{TAG:0005:0000:}},
{{TAG:0005:0007:}}?","{{TAG:0003:0001:}}He soñado más de una vez que
el pueblo se llenaba de agua y
podía nadar por todas partes.
¿Crees que hoy será ese día,
{{TAG:0005:0000:}}?","{{TAG:0003:0001:}}Grâce à toute cette pluie, bientôt
nous nagerons littéralement dans le
bonheur, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Forse troveresti più pratico
spostarti a nuoto, {{TAG:0005:0000:}}.
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Na, {{TAG:0007:0000:08000000}}{{TAG:0005:0000:}}? {{TAG:0007:0000:14000000}}Planschst du immer
noch quer durch unsere traumhafte
Stadt, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0001:}}Güzel, yağmurlu kasabamızda bir tur daha mı
yüzüyorsun, {{TAG:0005:0000:}},
{{TAG:0005:0007:}}?"
7,008,"{{TAG:0003:0025:}}I hope the rain lets up before you
leave. {{TAG:0007:0000:0A000000}}I'd hate for you to go with a
soggy impression of {{TAG:0005:0005:}}.","{{TAG:0003:0025:}}Espero que pare de llover antes de
que te vayas. {{TAG:0007:0000:0A000000}}No quiero que tengas
un mal recuerdo de {{TAG:000E:0003:}}{{TAG:0005:0005:}}.","{{TAG:0003:0025:}}Tu dois penser qu'il pleut tout le
temps ici.{{TAG:0007:0000:0A000000}} {{TAG:0003:0001:}}Mais je t'assure, parfois
la pluie s'arrête, {{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Spero che smetta di piovere prima
che te ne vada da {{TAG:0005:0005:}}.{{TAG:0007:0000:0A000000}} Se no
il tuo sarà un ricordo... infangato.","{{TAG:0003:0025:}}Hoffentlich hört der Regen auf,
bevor du gehst.{{TAG:0007:0000:28000000}} Denk nicht,
{{TAG:0005:0005:}} wäre immer so!","{{TAG:0003:0025:}}Umarım sen ayrılmadan yağmur diner. {{TAG:0007:0000:0A000000}}
{{TAG:0005:0005:}} hakkında sırılsıklam
bir izlenimle gitmeni istemem."
8,009,"{{TAG:0003:0025:}}Still enjoying yourself? {{TAG:0007:0000:0A000000}}Despite the
rain? {{TAG:0007:0000:0A000000}}I hope so, {{TAG:0005:0007:}}.","{{TAG:0003:0025:}}¿Lo estás pasando bien? {{TAG:0007:0000:0A000000}}¿A pesar
de la lluvia? {{TAG:0007:0000:0A000000}}Así me gusta,
{{TAG:0005:0007:}}.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hello{{TAG:0007:0007:}} !{{TAG:0007:0000:14000000}}
Toujours à patauger parmi nous
à ce que je vois, {{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Ti stai ancora divertendo? {{TAG:0007:0000:0A000000}}Anche
con quest'acqua? {{TAG:0007:0000:0A000000}}Lo spero proprio,
{{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Ich hoffe, du lässt dir vom Wetter
nicht die gute Laune verregnen,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Hâlâ eğleniyor musun? {{TAG:0007:0000:0A000000}}Yağmura rağmen? {{TAG:0007:0000:0A000000}}
Umarım öyledir, {{TAG:0005:0007:}}."
9,010,"{{TAG:0003:0023:}}So just what do you think of
{{TAG:0005:0005:}}? {{TAG:0007:0000:14000000}}{{TAG:0003:0024:}}Wet, {{TAG:0007:0000:07000000}}right,
{{TAG:0005:0007:}}?","{{TAG:0003:0023:}}¿Qué te parece {{TAG:000E:0003:}}{{TAG:0005:0005:}}? {{TAG:0007:0000:14000000}}
{{TAG:0003:0024:}}Si no te gusta la humedad, vienes
en un mal día, {{TAG:0007:0000:07000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0023:}}Alors, que penses-tu
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}} ?{{TAG:0007:0000:14000000}} {{TAG:0003:0024:}}Qu'il y fait plutôt
humide,{{TAG:0007:0000:0A000000}} non, {{TAG:0005:0007:}} ?","{{TAG:0003:0023:}}Beh, che ne pensi di {{TAG:0005:0005:}},
{{TAG:0005:0007:}}? {{TAG:0007:0000:14000000}}{{TAG:0003:0024:}}Un po' umidiccia,{{TAG:0007:0000:07000000}}
dici? Ma che sorpresa...","{{TAG:0003:0023:}}Wie findest du {{TAG:0005:0005:}} denn?{{TAG:0007:0000:28000000}}
{{TAG:0003:0024:}}Feucht, {{TAG:0007:0000:08000000}}oder, {{TAG:0005:0007:}}?","{{TAG:0003:0023:}}Peki {{TAG:0005:0005:}} hakkında ne düşünüyorsun? {{TAG:0007:0000:14000000}}{{TAG:0003:0024:}}
Islak,{{TAG:0007:0000:07000000}} değil mi, {{TAG:0005:0007:}}?"
10,011,"{{TAG:0003:0001:}}I hope you like our town in the rain.{{TAG:0007:0000:0A000000}}
We're very proud of our mud,
{{TAG:0005:0000:}}.","{{TAG:0003:0001:}}Disfruta de nuestro lluvioso pueblo.{{TAG:0007:0000:0A000000}}
Tenemos el mejor barro que hayas
visto jamás, {{TAG:0005:0000:}}.","{{TAG:0003:0001:}}On dirait que ça te gêne de marcher
dans la boue...{{TAG:0007:0000:0A000000}} Ici nous sommes très
fiers de notre boue, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Spero che ti piaccia la nostra città
quando piove.{{TAG:0007:0000:0A000000}} Andiamo molto fieri
del nostro fango, {{TAG:0005:0000:}}.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0005:}} ist auch im Regen
prächtig, {{TAG:0007:0000:08000000}}nicht?{{TAG:0007:0000:0A000000}} Wir sind sehr stolz
auf unseren Matsch, {{TAG:0007:0000:08000000}}{{TAG:0005:0000:}}.","{{TAG:0003:0001:}}Umarım kasabamızı yağmur altında da beğenirsin.{{TAG:0007:0000:0A000000}}
Çamurumuzla pek gurur duyuyoruz, {{TAG:0005:0000:}}."
11,012,"{{TAG:0003:0009:}}I bet this rain will probably stop the
second you leave {{TAG:0005:0005:}}!{{TAG:0007:0000:0A000000}}
What a shame, {{TAG:0005:0000:}}.","{{TAG:0003:0009:}}Es una lástima que no puedas ver
{{TAG:000E:0003:}}{{TAG:0005:0005:}} en todo su esplendor
por culpa de la lluvia.
{{TAG:0003:0001:}}Prométeme que vendrás otro día
para compensarlo.","{{TAG:0003:0009:}}Ce serait vraiment dommage que la
pluie ne s'arrête pas avant ton
départ, {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Scommetto che smetterà di piovere
nell'esatto momento in cui lascerai
{{TAG:0005:0005:}}!{{TAG:0007:0000:0A000000}} Mi spiace, {{TAG:0005:0000:}}.","{{TAG:0003:0009:}}Die Chancen stehen gut, dass der
Regen genau dann aufhört, wenn
du {{TAG:0005:0005:}} verlässt.{{TAG:0007:0000:28000000}} Schade!","{{TAG:0003:0009:}}Bahse girerim {{TAG:0005:0005:}}'dan ayrıldığın
saniye bu yağmur duracak!{{TAG:0007:0000:0A000000}}
Ne yazık, {{TAG:0005:0000:}}."
