entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}Sorry to intrude,{{TAG:0007:0000:08000000}} Mayor!","{{TAG:0003:0001:}}¡Con permiso,{{TAG:0007:0000:08000000}} {{TAG:000E:0006:0E0061006C00630061006C0064006500120061006C00630061006C006400650073006100}}!","{{TAG:0003:0001:}}J'espère que je ne dérange pas,{{TAG:0007:0000:08000000}}
{{TAG:000E:0006:10004D006F006E00730069006500750072000C004D006100640061006D006500}} le maire !","{{TAG:0003:0001:}}Scusa il disturbo,{{TAG:0007:0000:08000000}} sindaco!","{{TAG:0003:0001:}}Entschuldige die Störung,{{TAG:0007:0000:08000000}}
{{TAG:000E:0006:1A004200FC0072006700650072006D006500690073007400650072001E004200FC0072006700650072006D0065006900730074006500720069006E00}} {{TAG:0005:0000:}}!","{{TAG:0003:0001:}}Rahatsız ettiğim için özür {{TAG:0007:0000:08000000}}
dilerim, Başkan!"
1,002,"{{TAG:0003:0001:}}Sorry to intrude,{{TAG:0007:0000:08000000}} {{TAG:0005:0000:}}!","{{TAG:0003:0001:}}¡Con permiso,{{TAG:0007:0000:08000000}} {{TAG:0005:0000:}}!","{{TAG:0003:0001:}}J'espère que je ne dérange pas,{{TAG:0007:0000:08000000}}
{{TAG:0005:0000:}} !","{{TAG:0003:0001:}}Scusa il disturbo,{{TAG:0007:0000:08000000}} {{TAG:0005:0000:}}!","{{TAG:0003:0001:}}Entschuldige die Störung,{{TAG:0007:0000:08000000}}
{{TAG:0005:0000:}}!","{{TAG:0003:0001:}}Rahatsız ettiğim için kusura bakma,{{TAG:0007:0000:08000000}}
{{TAG:0005:0000:}}!"
2,003,"I see your house is all finished!
Congratulations!{{TAG:0000:0004:}}The lumber smell from a new house
is so nice, isn't it?","Veo que tu casa está terminada.
¡Felicidades!{{TAG:0000:0004:}}El olor a casa nueva es
muy agradable, ¿verdad?","Votre maison est terminée à ce que
je vois !{{TAG:0007:0000:08000000}} Félicitations !{{TAG:0000:0004:}}Ah, {{TAG:0007:0000:08000000}}l'odeur du bois qui embaume
une nouvelle maison, c'est quelque
chose !","Vedo con piacere che la tua casa
è finalmente pronta. Complimenti!{{TAG:0000:0004:}}L'odore di legno che si respira
nelle case nuove è davvero
delizioso, non trovi?","Wie ich sehe, ist dein Haus fertig!{{TAG:0007:0000:14000000}}
Gratuliere!{{TAG:0000:0004:}}Der Holzgeruch in einem neuen Haus
ist einfach herrlich, nicht wahr?","Evin tamamen bitmiş!
Tebrikler!{{TAG:0000:0004:}}Yeni yapılmış bir evin ahşap kokusu
ne kadar güzel, değil mi?"
3,004,"That reminds me! I brought over
some {{TAG:0000:0003:0200}}wallpaper{{TAG:0000:0003:FFFF}} to celebrate your
new home!","¡Ah! Te he traído {{TAG:0000:0003:0200}}papel de pared{{TAG:0000:0003:FFFF}}
para celebrar la inauguración
de tu casa.","Regardez, je vous ai amené un joli
{{TAG:0000:0003:0200}}papier peint{{TAG:0000:0003:FFFF}} pour la pendaison de
crémaillère !","Prima che mi dimentichi!
Ti ho portato della {{TAG:0000:0003:0200}}carta da parati
{{TAG:0000:0003:FFFF}}per festeggiare la tua casa nuova!","Und zur Feier des Tages habe ich dir
eine {{TAG:0000:0003:0200}}Tapete{{TAG:0000:0003:FFFF}} mitgebracht!","Bu bana bir şeyi hatırlattı! Yeni evini
kutlamak için sana biraz {{TAG:0000:0003:0200}}duvar kâğıdı{{TAG:0000:0003:FFFF}} getirdim!"
4,005,Here you go!,¡Aquí tienes!,Et voilà !,Ecco qua!,"Hier, bitte!",Al bakalım!
5,006,"The {{TAG:0011:0003:0000}} I just
gave you is now in your {{TAG:0000:0003:0200}}pockets{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}Select it and choose {{TAG:0000:0003:0200}}Hang on Wall{{TAG:0000:0003:FFFF}}
to change the room's wallpaper.","{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} que
acabo de darte está en tus {{TAG:0000:0003:0200}}bolsillos{{TAG:0000:0003:FFFF}}
con el resto de tus objetos.{{TAG:0000:0004:}}Selecciónal{{TAG:000E:0008:00CD02006F00020061000000}} y elige {{TAG:0000:0003:0200}}Colocar pared{{TAG:0000:0003:FFFF}}
para cambiar el papel de pared
de la habitación en la que estés.","{{TAG:000E:0003:}}{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} que
je viens de vous donner se trouve
dans votre {{TAG:0000:0003:0200}}inventaire{{TAG:0000:0003:FFFF}}.
Sélectionnez-le et choisissez {{TAG:0000:0003:0200}}Poser
au mur {{TAG:0000:0003:FFFF}}pour changer le papier peint
de la pièce où vous vous trouvez.","Benissimo! Ora che
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}} che
ti ho portato è nelle tue {{TAG:0000:0003:0200}}tasche{{TAG:0000:0003:FFFF}}...{{TAG:0000:0004:}}... selezional{{TAG:000E:0012:100002006F00020061000000}} e poi scegli {{TAG:0000:0003:0200}}Usa sulle
pareti{{TAG:0000:0003:FFFF}} per rivestire i muri interni
di casa tua.","{{TAG:000E:0008:00CD060044006500720006004400690065000600440061007300}} {{TAG:0011:0003:0000}}, {{TAG:000E:0008:00CD0600640065006E0006006400690065000600640061007300}} ich
dir gegeben habe, ist jetzt in deinem
{{TAG:0000:0003:0200}}Inventar{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}Wähle {{TAG:000E:0008:00CD0600690068006E000600730069006500040065007300}} aus und wähle dann
{{TAG:0000:0003:0200}}An die Wand{{TAG:0000:0003:FFFF}}, um deine aktuelle
Tapete durch sie zu ersetzen!","Az önce verdiğim {{TAG:0011:0003:0000}} artık
{{TAG:0000:0003:0200}}ceplerinde{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}Onu seçip {{TAG:0000:0003:0200}}Duvara As{{TAG:0000:0003:FFFF}} seçeneğini
kullanırsan odanın duvar
kâğıdını değiştirebilirsin."
6,007,"You should try it when you get a
chance! {{TAG:0003:0025:}}I hope you like the design.","¡Inténtalo cuando tengas
un poco de tiempo!{{TAG:0000:0004:}}Espero que te guste el diseño
que he escogido.","{{TAG:0003:0001:}}Essayez celui que je vous ai donné à
l'occasion ! {{TAG:0007:0000:0F000000}}J'espère que les motifs
vous plairont.","Se vuoi, prova a vedere come sta!
Spero che ti piaccia la fantasia
che ho scelto per te!","Probier's einfach mal aus!{{TAG:0000:0004:}}Ich hoffe, das Muster gefällt dir!","Fırsat bulunca denemelisin! {{TAG:0003:0025:}}Umarım
desenini beğenirsin."
7,008,"You can change your {{TAG:0000:0003:0200}}carpet {{TAG:0000:0003:FFFF}}as well
by choosing {{TAG:0000:0003:0200}}Spread on Floor{{TAG:0000:0003:FFFF}} from
your pockets.
I hope you have fun redecorating
your walls and floors with all the
great designs out there!","Puedes cambiar el {{TAG:0000:0003:0200}}tipo de suelo
{{TAG:0000:0003:FFFF}}del mismo modo si eliges la opción
{{TAG:0000:0003:0200}}Colocar suelo{{TAG:0000:0003:FFFF}}.
¡Espero que te diviertas decorando
tu casa con diseños originales!","C'est le même principe pour la déco
du {{TAG:0000:0003:0200}}sol{{TAG:0000:0003:FFFF}}, d'ailleurs :{{TAG:0007:0000:0F000000}} il suffit de choisir
{{TAG:0000:0003:0200}}Poser au sol {{TAG:0000:0003:FFFF}}dans l'inventaire.
Vous allez pouvoir vous amuser à
redécorer votre intérieur comme il
vous plaît !","Per cambiare il {{TAG:0000:0003:0200}}tappeto{{TAG:0000:0003:FFFF}}, devi fare
più o meno nello stesso modo.{{TAG:0000:0004:}}Seleziona quello che ti piace
tra le cose che hai in tasca e
poi scegli {{TAG:0000:0003:0200}}Usa a terra{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}Divertiti a rinnovare la tua casa
con le carte da parati e i tappeti
che riesci a procurarti!","Genauso kannst du auch deinen
{{TAG:0000:0003:0200}}Teppich {{TAG:0000:0003:FFFF}}austauschen, wenn du im
Inventar {{TAG:0000:0003:0200}}Auf den Boden{{TAG:0000:0003:FFFF}} auswählst.
Ich hoffe, es macht dir Spaß, ein
wenig mit verschiedenen Designs
herumzuexperimentieren!","{{TAG:0000:0003:0200}}Halını {{TAG:0000:0003:FFFF}}da ceplerinden
{{TAG:0000:0003:0200}}Yere Ser{{TAG:0000:0003:FFFF}} seçeneğini kullanarak değiştirebilirsin.
Duvarlarını ve zeminini birbirinden güzel
desenlerle yenilerken bol bol eğlenmeni dilerim!"
8,009,"Well, I'll be going now!{{TAG:0007:0001:}}
Thanks for having me!","Esto es todo. Ya es hora de que
vuelva al trabajo.{{TAG:0007:0001:}} ¡Disfruta de tu
nuevo hogar!","Parfait, c'est tout ce que je voulais
vous dire !{{TAG:0007:0001:}} Merci pour l'accueil !","Beh, ora io tolgo il disturbo.{{TAG:0007:0001:}}
Grazie di tutto e arrivederci!","Ich bin schon wieder weg!{{TAG:0007:0000:14000000}}
Danke für deine Geduld!","Pekâlâ, ben artık gideyim!{{TAG:0007:0001:}}
Beni ağırladığın için teşekkürler!"
9,010,"...Ah! You're carrying a bunch of
things at the moment, so perhaps
this isn't the right time just yet.","Huy, llevas demasiados objetos
en los bolsillos. Tendré que dártelo
en otro momento...","Oh !{{TAG:0007:0000:0F000000}} Vous n'avez plus de place
pour porter ça... {{TAG:0007:0000:1E000000}}Ce n'est peut-être
pas le bon moment, alors !","... Ah! A quanto pare hai le tasche
piene zeppe. Forse adesso non è
il momento giusto!","Oh, du trägst im Moment zu viele
Gegenstände bei dir, also müssen
wir uns was anderes überlegen.","...Aa! Şu an yanında bir sürü eşya
taşıyorsun; galiba bunun için pek doğru
zaman değil."
