entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Dear pal,",Queridísim{{TAG:000E:0006:02006F0002006100}} colega:,"Hep 
,","Amic{{TAG:000E:0006:02006F0002006100}} mi{{TAG:000E:0006:02006F0002006100}},","Hi, 
!","Sevgili dostum,"
1,002,"Dear friend,",Querid{{TAG:000E:0006:02006F0002006100}} compinche:,"Fidèle 
,","Amic{{TAG:000E:0006:02006F0002006100}} car{{TAG:000E:0006:02006F0002006100}},","Hey, altes Haus!","Sevgili dostum,"
2,003,"Dear future me,",Futura yo:,"À la future moi,","Cara me del futuro,",Liebes Zukunfts-Ich!,"Sevgili gelecekteki ben,"
3,004,"Dear future {{TAG:0005:0001:}},",Futura {{TAG:0005:0001:}}:,"Chère {{TAG:0005:0001:}} du futur,","Cara {{TAG:0005:0001:}} del futuro,",Liebe Zukunfts-{{TAG:0005:0001:}}!,"Sevgili gelecekteki {{TAG:0005:0001:}},"
4,005,"Hey, {{TAG:0005:0001:}}!","¡Eh, {{TAG:0005:0001:}}!","Ma chère {{TAG:0005:0001:}},","Ehi, {{TAG:0005:0001:}}!","Hey, {{TAG:0005:0001:}}!","Selam, {{TAG:0005:0001:}}!"
5,006,"Future {{TAG:0005:0001:}},","¡Oye, {{TAG:0005:0001:}} del futuro!",Chère {{TAG:0005:0001:}} du futur !,"{{TAG:0005:0001:}} del futuro,","Hi, Zukunfts-{{TAG:0005:0001:}}!","Gelecekteki {{TAG:0005:0001:}},"
6,007,"To my future self,",Chica dura del futuro:,"À moi-même en plus âgée,",Al mio io futuro.,"Hallo, zukünftiges Ich!","Gelecekteki bana,"
7,008,"To a better me,",Estupenda yo del futuro:,"À une meilleure moi,",A una me migliore (spero).,An mein reiferes Ich:,"Daha iyi hâlime,"
8,009,"Dear grown-up me,",Querida yo adulta:,"À moi-même en plus vieille,","Cara me adulta,","Hey, Zukunfts-Ich!","Sevgili yetişkin hâlim,"
9,010,"Awesome future {{TAG:0005:0001:}},",{{TAG:0005:0001:}} algo más vieja:,"Irrésistible {{TAG:0005:0001:}},","Cara {{TAG:0005:0001:}} del futuro,","Hey, {{TAG:0005:0001:}}!","Geleceğin süper {{TAG:0005:0001:}},"
10,011,Future {{TAG:0005:0001:}}!,¡{{TAG:0005:0001:}} del futuro!,"Ma petite {{TAG:0005:0001:}},","{{TAG:0005:0001:}} futura,",Zukunfts-{{TAG:0005:0001:}}!,Gelecekteki {{TAG:0005:0001:}}!
11,012,"Dear future awesome self,",Querida yo de más tarde:,"À moi-même en plus calme,",Carissima me stessa futura!,Liebes Zukunfts-Ich!,"Sevgili geleceğin süper beni,"
12,013,"Dear pal,",Querid{{TAG:000E:0006:02006F0002006100}} colega:,"Hep 
,","Carissim{{TAG:000E:0006:02006F0002006100}} amic{{TAG:000E:0006:02006F0002006100}} mi{{TAG:000E:0006:02006F0002006100}},","Hey, 
!","Sevgili dostum,"
13,014,"Dear reliable friend,",Mi amig{{TAG:000E:0006:02006F0002006100}} del alma:,"{{TAG:000E:0006:1200540072007500630075006C0065006E0074001400540072007500630075006C0065006E0074006500}} 
,",Al{{TAG:000E:0006:000004006C006100}} mi{{TAG:000E:0006:02006F0002006100}} amic{{TAG:000E:0006:02006F0002006100}} fidat{{TAG:000E:0006:02006F0002006100}}.,"{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Sevgili güvenilir dostum,"
14,015,"Dear dude,","¡Eh, tí{{TAG:000E:0006:02006F0002006100}}!","{{TAG:000E:0006:120054007200E800730020006300680065007200140054007200E8007300200063006800E80072006500}} 
,","Ehi, bell{{TAG:000E:0006:02006F0002006100}}!","Hallo, 
!","Sevgili dostum,"
