entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0000:0003:0200}}""Why, it's amazing, and I truly mean
that!{{TAG:0007:0000:05000000}} This town is simply the best!{{TAG:0000:0004:}}""They've clearly worked very hard!
This old man is really pleased!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""¡Increíble!{{TAG:0000:0003:0200}}{{TAG:0007:0000:05000000}}{{TAG:0000:0003:0200}} ¡Este viejo león marino
apenas tiene palabras para expresar
la emoción que siente!""
""Tanto empeño y dedicación han
dado sus frutos: ¡{{TAG:0000:0003:0200}}este es el lugar
más maravilloso del mundo!""{{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}« Eh bien, c'est fabuleux, et je pèse
mes mots !{{TAG:0007:0000:14000000}} Cette ville est la plus
jolie qui soit ! »
« Le travail est impressionnant !{{TAG:0000:0003:0200}}{{TAG:0007:0000:14000000}}{{TAG:0000:0003:0200}}
Pépé {{TAG:0000:0003:0400}}Hélium{{TAG:0000:0003:0200}} a de la chance d'avoir
vécu assez pour voir ça ! »{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Questa città è semplicemente
la migliore!{{TAG:0007:0000:05000000}} Davvero sorprendente!{{TAG:0000:0004:}}Hanno lavorato sodo, sissignore!""
""Questo vecchio leone marino
è davvero soddisfatto!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}„Wirklich außerordentlich! {{TAG:0007:0000:08000000}}Diese
Stadt ist wahrhaft vortrefflich!{{TAG:0000:0004:}}Da steckt sicher eine erkleckliche
Menge Arbeit dahinter! {{TAG:0007:0000:08000000}}Sehr
löblich!“{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}İnanılmaz, gerçekten
söylüyorum! Bu {{TAG:0007:0000:05000000}} kasaba tam
anlamıyla harika! {{TAG:0000:0004:}} Belli ki çok
emek verilmiş. Bu ihtiyarın
keyfine diyecek yok!{{TAG:0000:0003:FFFF}}"
1,002,"{{TAG:0000:0003:0200}}""Woohoo!{{TAG:0007:0000:05000000}} What a glorious town!{{TAG:0007:0000:0F000000}}
{{TAG:0000:0003:0400}}Pavé{{TAG:0000:0003:0200}} wants to just sprawl out right
here and caress the ground{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.

{{TAG:0000:0002:9600}}""Viva{{TAG:0000:0003:0200}}{{TAG:0007:0000:05000000}} {{TAG:0005:0005:}}{{TAG:0000:0003:0200}}!""{{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0000:0002:6400}}{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""¡Fantástico! ¡Este pueblo es tan
bonito que podría hacerle sombra
a las preciosas plumas de Conga!""{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:0F000000}}
{{TAG:0000:0003:0200}}""¡Y tiene tanta marcha que a Conga
le están entrando unas ganas
tremendas de bailar!""{{TAG:0000:0003:FFFF}}

{{TAG:0000:0002:9600}}{{TAG:0000:0003:0200}}""¡Viva{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}} {{TAG:000E:0003:}}{{TAG:0005:0005:}}{{TAG:0000:0003:0200}}!""{{TAG:0000:0003:FFFF}}{{TAG:0000:0002:6400}}","{{TAG:0000:0003:0200}}« Par les plumes de {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0400}}Roberto{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}} !{{TAG:0007:0000:05000000}} Ce
n'est pas une ville, c'est une fête ! »{{TAG:0000:0003:FFFF}}{{TAG:0000:0004:}}{{TAG:0000:0003:0200}}« {{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0400}}Roberto{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}} pourrait passer sa vie
entouré de ce décor de rêve{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}. »{{TAG:0000:0003:FFFF}}{{TAG:0000:0004:}}
{{TAG:0000:0002:9600}}{{TAG:0000:0003:0200}}« Vive{{TAG:0007:0000:05000000}} {{TAG:0000:0003:FFFF}}{{TAG:0005:0005:}}{{TAG:0000:0003:0200}} ! »{{TAG:0000:0003:FFFF}}{{TAG:0000:0002:6400}}","{{TAG:0000:0003:0200}}""Uão!{{TAG:0007:0000:05000000}} Che meraviglião questa città!{{TAG:0007:0000:0F000000}}
Pavão non si stancherebbe mai
di bailar sulla sua spiaggião{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.""{{TAG:0000:0003:FFFF}}{{TAG:0000:0004:}}
{{TAG:0000:0002:9600}}{{TAG:0000:0003:0200}}""Viva{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}} {{TAG:0005:0005:}}{{TAG:0000:0003:0200}}!""{{TAG:0000:0003:FFFF}}{{TAG:0000:0002:6400}}","{{TAG:0000:0003:0200}}„Welch Prachtexemplar von Stadt!{{TAG:0007:0000:0F000000}}
Pavo möchte den Boden, auf dem
sie erbaut wurde, umarmen!“{{TAG:0000:0003:FFFF}}

{{TAG:0000:0002:9600}}{{TAG:0000:0003:0200}}„Viva{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:05000000}} {{TAG:0005:0005:}}{{TAG:0000:0003:0200}}!“{{TAG:0000:0003:FFFF}}{{TAG:0000:0002:6400}}","{{TAG:0000:0003:0200}}""Vuhuu!{{TAG:0007:0000:05000000}} Ne görkemli kasaba!{{TAG:0007:0000:0F000000}}
{{TAG:0000:0003:0400}}Pavé{{TAG:0000:0003:0200}} tam şuraya yayılıp toprağı
okşamak istiyor{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.

{{TAG:0000:0002:9600}}""Viva{{TAG:0000:0003:0200}}{{TAG:0007:0000:05000000}} {{TAG:0005:0005:}}{{TAG:0000:0003:0200}}!""{{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0000:0002:6400}}{{TAG:0000:0003:FFFF}}"
2,003,"{{TAG:0000:0002:6400}}{{TAG:0000:0003:0200}}""Great galloping grasshoppers!
Were I to give this town a rating, I'd
say that it's exemplary, old bean!""{{TAG:0000:0003:FFFF}}{{TAG:0000:0002:6400}}","{{TAG:0000:0002:6400}}{{TAG:0000:0003:0200}}""¡Por mil saltamontes brincarredes!
¡Si tuviera que evaluar este pueblo,
sin duda le daría un sobresaliente!""{{TAG:0000:0003:FFFF}}{{TAG:0000:0002:6400}}","{{TAG:0000:0002:6400}}{{TAG:0000:0003:0200}}« Nom d'une sauterelle grillée !{{TAG:0000:0003:0200}}{{TAG:0007:0000:14000000}}{{TAG:0000:0003:0200}} Mon
avis sur cette ville ?{{TAG:0000:0003:0200}}{{TAG:0007:0000:14000000}}{{TAG:0000:0003:0200}} Elle est tout
simplement exemplaire, pardi ! »{{TAG:0000:0003:FFFF}}{{TAG:0000:0002:6400}}","{{TAG:0000:0002:6400}}{{TAG:0000:0003:0200}}""Per mille cavallette zampettanti!
Se dovessi dare un voto alla città,
direi che è da dieci, ragazzuoli!""{{TAG:0000:0003:FFFF}}{{TAG:0000:0002:6400}}","{{TAG:0000:0003:0200}}„Zwist und Zwirbel! {{TAG:0007:0000:08000000}}Diese Stadt ist
ein Eldorado für Kescherschwinger,
Käferfreunde, Kindsköpfe aller Art!“{{TAG:0000:0003:FFFF}}","{{TAG:0000:0002:6400}}{{TAG:0000:0003:0200}}Aman da aman! Bu kasabaya not
verecek olsam örnek
gösterilecek kadar başarılı
derdim, dostum!{{TAG:0000:0003:FFFF}}{{TAG:0000:0002:6400}}"
3,004,"{{TAG:0000:0003:0200}}""Goodness gracious! I can say that,
even from an academic standpoint,
this town is simply the best! Hoo!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""¡Por todas mis plumas! En un
estricto sentido académico, este
pueblo es una maravilla. ¡Uhu!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}« Saperlotte !{{TAG:0000:0003:0200}}{{TAG:0007:0000:14000000}}{{TAG:0000:0003:0200}} Cette ville est digne
d'être exposée dans un musée !{{TAG:0000:0003:0200}}{{TAG:0007:0000:14000000}}{{TAG:0000:0003:0200}}
Ouh ouh ! »{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Santi numi! Questa città è
la migliore, parola di studioso!
Uuuh!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}„Selbst von einem akademischen
Standpunkt aus betrachtet ist diese
Stadt einfach vorzüglich. {{TAG:0007:0000:08000000}}Huuu!“{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}Aman Tanrım! Akademik açıdan
bile söyleyebilirim: Bu kasaba
gerçekten olağanüstü! Huu!{{TAG:0000:0003:FFFF}}"
4,005,"{{TAG:0000:0003:0200}}""It's great! The very best town ever!
I wouldn't mind being mayor again
for a town that looks like this!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""¡No me importaría ser el alcalde
de un pueblo tan bonito como este!
Lástima que ya esté jubilado...""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}« Fabuleux ! {{TAG:0000:0003:0200}}{{TAG:0007:0000:14000000}}{{TAG:0000:0003:0200}}Cette ville est encore
plus confortable que ma vieille
carapace, houerf ! »
{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}}« Ça me donne envie de redevenir
maire, tiens ! »{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Magnifica! La migliore città
del mondo!""{{TAG:0000:0004:}}""Non mi dispiacerebbe affatto
tornare a fare il sindaco
in un posto come questo!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}„Die beste Stadt überhaupt!{{TAG:0007:0000:08000000}}
Hier würde ich jederzeit wieder
als Bürgermeister anfangen!“{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}Harika! Gelmiş geçmiş en iyi
kasaba! Böyle bir yer için
yeniden başkan olmayı bile
düşünebilirim!{{TAG:0000:0003:FFFF}}"
5,006,"{{TAG:0000:0003:0200}}""Well, if I compared it to a letter, it
would be written quite well, but the
sender's name would be left off!
""Anyway, it only has a tiny way still
to go, so I hope it continues like this
to become the best town ever!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Si comparamos este pueblo con
una carta, estaría bien redactada,
¡pero le faltaría el remitente!""
""En fin, solo le falta un pelín más
para alcanzar la perfección.
¡Y el que la sigue la consigue!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}« Eh bien, si je compare la ville à
une lettre, disons que c'est bien
écrit, mais il manque la signature. »
« Mais encore un petit effort et
ça deviendra la ville où tous les
facteurs rêveront de travailler ! »{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Se dovessi paragonarla
a una lettera, direi che è scritta
bene, ma le manca il mittente!""
""Comunque le manca davvero
pochissimo per diventare
la migliore città della storia!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}„Wenn ich diese Stadt mit einem
Brief vergleiche, liest sie sich gut,{{TAG:0007:0000:08000000}}
nur der Name des Absenders fehlt!
Sonst fehlt aber nicht mehr viel,
um die Stadt zu einer der besten
überhaupt zu machen!“{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}Bir mektuba benzetsem, çok
güzel yazılmış ama gönderen adı
eksik kalmış derdim. Yani
zirveye minicik bir mesafe var.
Böyle devam ederse en iyi
kasaba olacak!{{TAG:0000:0003:FFFF}}"
6,007,"{{TAG:0000:0003:0200}}""Just between us, in the snowman
industry, you'll constantly roll up in
between first and second place.
""But you always want to aim for
that indisputable first place! It's a
long, icy road, but keep on rolling!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Entre tú y yo: si hubiera un torneo
de hacer muñecos de nieve, te
llevarías el primer puesto.""
""O el segundo, como poco. En esta
vida hay que apuntar alto y tener
la cabeza fría, como un servidor.""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}« Entre nous, comme dans le
business des bonshommes de neige,
c'est dur d'être toujours au top. »
« Mais c'est pourtant la seule place
qui compte ! Même si la route est
verglacée, il faut persévérer ! »{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Detto fra noi, nella classifica dei
migliori pupazzi di neve, questa città
sarebbe a un passo dal 1º posto.""
""Cerchiamo comunque di arrivare
alla vetta! La strada sarà lunga
e ghiacciata, ma ce la faremo!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}„Mal unter uns: {{TAG:0007:0000:08000000}}Ein Schneemann
kennt nur ganze zwei Optionen –{{TAG:0007:0000:08000000}}
gewinnen oder frieren.
Es weht ein eisiger Wind auf dem
Weg zum Ziel, aber du schaffst das!“{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}Aramızda kalsın; kardan adam
dünyasında sürekli birincilikle
ikincilik arasında gidip
gelirdin. Ama hedef tartışmasız
birincilik olmalı! Yol buzlu ve
uzun; yuvarlanmaya devam!{{TAG:0000:0003:FFFF}}"
7,008,"{{TAG:0000:0003:0200}}""I heard a rumor that towns with
good environments have low reset
rates. Wonder if that's true...
""Anyway, there's most definitely no
denyin' that this town has a pretty
good environment right now!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""He oído que la tasa de reseteos es
más baja en los pueblos que tienen
buen ambiente. ¿Será cierto eso?""
""No se puede negar que el ambiente
en este pueblo está bastante bien
actualmente, desde luego.""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}« Il paraît que les villes agréables
ont un taux d'oubli de sauvegarde
assez bas...{{TAG:0000:0003:0200}}{{TAG:0007:0000:14000000}}{{TAG:0000:0003:0200}} C'est peut-être vrai. »
« Bref, faut bien l'avouer, cette
ville s'en sort avec les honneurs
pour l'instant ! »{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Ho sentito dire che nelle città
con un ambiente pulito, la gente
resetta di meno. Sarà vero?!""
""Comunque sia, non si può negare
che questa città sia davvero
accogliente!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}„Hab mal gehört, dass in schönen
Städten weniger Leute das
Speichern vergessen...
Lässt sich auf jeden Fall kaum
abstreiten, dass das hier 'ne
ziemlich schöne Stadt ist!“{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}İyi çevreye sahip kasabalarda
sıfırlama oranı düşük olur diye
bir söylenti duydum. Doğru mu
bilmem... Ama şu anda buranın
çevresinin gayet iyi olduğu
kesin!{{TAG:0000:0003:FFFF}}"
8,009,"{{TAG:0000:0003:0200}}""Well{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:0F000000}} I won't say that it's perfect,
but it's really not all that bad either,
you know? Getting close, though!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Hum{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:0F000000}} Bueno, no puedo decir que
sea el pueblo perfecto, pero{{TAG:0000:0003:0200}}{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:0F000000}}{{TAG:0000:0003:0200}}
supongo que no está tan mal, ¿no?""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}« Bien{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:0F000000}} Je ne dirais pas que c'est
parfait, n'exagérons rien, mais on
s'en approche, c'est vrai... »{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Beh{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:05000000}}.{{TAG:0007:0000:0F000000}} Non direi che è una città
perfetta, ma non è nemmeno così
malaccio! Ci siamo quasi, però!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}„Also, perfekt ist die Stadt nicht,
aber so schlimm ist sie auch nicht.{{TAG:0007:0000:08000000}}
Sie ist schon ganz nett.“{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}Hmm.{{TAG:0007:0000:05000000}}{{TAG:0007:0000:05000000}}{{TAG:0007:0000:05000000}}{{TAG:0007:0000:0F000000}} .. Kusursuz diyemem ama
kötü de değil. Hedefe
yaklaşıyor!{{TAG:0000:0003:FFFF}}"
9,010,"{{TAG:0000:0003:0200}}""Oh yes, it really has a wonderful
feeling!{{TAG:0007:0000:0F000000}} But perhaps... Well, it's also
lacking just a little something.""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""¡Este pueblo tiene mucho estilo!""{{TAG:0000:0004:}}""¡Con unas cuantas puntadas más
podría llegar a convertirse en el
sitio de moda!""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}« Oh oui, cette ville possède un
charme tout à fait unique !{{TAG:0007:0000:0F000000}} Mais
peut-être... »
« Eh bien, il manque juste un petit
quelque chose, disons. »{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}""Oh sì, si sta benissimo qui!{{TAG:0007:0000:0F000000}}
Anche se forse... Ecco, manca
quel certo non so che.""{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}„Die Stadt hat schon sehr viel
Schönes!{{TAG:0007:0000:0F000000}} Hach, aber irgendetwas
fehlt noch. {{TAG:0007:0000:0F000000}}Das gewisse Etwas...“{{TAG:0000:0003:FFFF}}","{{TAG:0000:0003:0200}}Evet, gerçekten çok hoş bir
havası {{TAG:0007:0000:0F000000}} var! Ama sanki...
küçücük bir şey daha eksik.{{TAG:0000:0003:FFFF}}"
