entry	bit	line_id	Japanese_Kana	Japanese_Kanji	Turkish	French	Italian	German	Spanish	Korean
0	0	0	どこか	どこか	bir yerde	quelque part	da qualche parte	irgendwo	algún lugar	어딘가
0	0	1	さいしょのまち	さいしょのまち	ilk kasaba	dans la ville de départ	nella città iniziale	in der ersten Stadt	el pueblo de partida	최초의 마을
0	0	2	うち	うち	Ev	dans sa maison	a casa	in [VAR 1100(00FF,0506,0000)]dessenderen Zuhause	casa	집
0	0	3	ともだちのいえ	ともだちのいえ	bir arkadaşımın evi	chez un ami	a casa di amici	im Zuhause eines Freundes	casa de un amigo	친구의 집
0	0	4	ひとのうち	ひとのうち	birinin evi	chez quelqu’un	a casa di qualcuno	in irgendjemandes Zuhause	una casa ajena	다른 사람의 집
0	0	5	にぎやかなまち	にぎやかなまち	canlı bir kasaba	dans une ville animée	in una città animata	in einer lebhaften Stadt	una ciudad concurrida	번화한 마을
0	0	6	ブティック	ブティック	bir butik	dans une boutique	in un negozio di vestiti	in einer Boutique	una boutique	부티크
0	0	7	ショップ	ショップ	bir dükkan	dans un magasin	in un negozio	in einem Geschäft	una tienda	숍
0	0	8	そぼくなまち	そぼくなまち	basit bir kasaba	dans une ville ordinaire	in una città tranquilla	in einer unscheinbaren Stadt	un pueblo sencillo	소박한 마을
0	0	9	ポケモンセンター	ポケモンセンター	bir Pokémon Merkezi	dans un Centre Pokémon	in un Centro Pokémon	in einem Pokémon-Center	un Centro Pokémon	포켓몬센터
0	0	10	おしろ	おしろ	bir kale	dans un château	in un castello	in einem Schloss	un castillo	성
0	0	11	ホテル	ホテル	bir otel	dans un hôtel	in un hotel	in einem Hotel	un hotel	호텔
0	0	12	ふしぎなふんいきのまち	ふしぎなふんいきのまち	gizemli havası olan bir kasaba	dans une ville mystérieuse	in una città dall’aria misteriosa	in einer geheimnisvollen Stadt	un pueblo misterioso	이상한 분위기의 마을
0	0	13	かぜのふくまち	かぜのふくまち	rüzgarlı bir kasaba	dans une ville très venteuse	in una città ventosa	in einer windumtosten Stadt	un pueblo donde sopla el viento	바람이 부는 마을
0	0	14	ゲート	ゲート	bir kapı	à une porte	in un varco	an einem Tor	un acceso	게이트
0	0	15	かわべりのまち	かわべりのまち	nehir kenarında bir kasaba	dans une ville en bord de rivière	in una città in riva al fiume	in einer Stadt am Fluss	un pueblo ribereño	물가의 마을
0	0	16	けんきゅうじょ	けんきゅうじょ	bir laboratuvar	dans un laboratoire	in un laboratorio	in einem Labor	un laboratorio	연구소
0	0	17	すいぞくかん	すいぞくかん	bir akvaryum	dans un aquarium	in un acquario	in einem Aquarium	un acuario	수족관
0	0	18	がけにあるまち	がけにあるまち	ucurumun üzerinde bir kasaba	dans une ville près d’une falaise	in una città sulla scogliera	in einer Stadt an einem Abhang	un pueblo junto a un acantilado	벼랑에 세워진 마을
0	0	19	はなやかなまち	はなやかなまち	muhteşem bir şehir	dans une ville resplendissante	in una splendida città	in einer prachtvollen Stadt	una ciudad hermosa y gloriosa	화려한 마을
0	0	20	ポケモンジム	ポケモンジム	Spor Salonu	dans une Arène Pokémon	in una Palestra	in einer Pokémon-Arena	un Gimnasio Pokémon	포켓몬체육관
0	0	21	がっこう	がっこう	bir okul	dans une école	in una scuola	in einer Schule	una escuela	학교
0	0	22	きょだいなまち	きょだいなまち	büyük bir şehir	dans une ville immense	in una grande città	in einer großen Stadt	una metrópoli	거대한 마을
0	0	23	ビル	ビル	bir bina	dans un immeuble	in un edificio	in einem Gebäude	un edificio	빌딩
0	0	24	オシャレなカフェ	オシャレなカフェ	sik bir kafe	dans un café à la mode	in un caffè elegante	in einem eleganten Café	una cafetería elegante	세련된 카페
0	0	25	アジト	アジト	bir saklanma yeri	dans une planque	in un covo segreto	in einem Geheimversteck	una guarida	아지트
0	0	26	びじゅつかん	びじゅつかん	bir muze	dans un musée	in un museo	in einem Museum	un museo	미술관
0	0	27	スタジオ	スタジオ	bir studyo	dans un studio vidéo	in uno studio	in einem Filmstudio	un estudio de grabación	스튜디오
0	0	28	えき	えき	bir tren istasyonu	dans une gare	in una stazione	in einem Bahnhof	una estación	역
0	0	29	たたかいのば	たたかいのば	bir savaş noktası	dans un lieu où l’on se bat	sul campo di lotta	an einem Kampfschauplatz	un terreno de combate	배틀 장소
0	0	30	びようしつ	びようしつ	bir güzellik salonu	dans un salon de beauté	in un salone di bellezza	in einem Schönheitssalon	un salón de belleza	미용실
0	0	31	レストラン	レストラン	bir restoran	dans un restaurant	in un ristorante	in einem Restaurant	un restaurante	레스토랑
0	0	32	こうきゅうレストラン	こうきゅうレストラン	birinci sinif bir restoran	dans un grand restaurant	in un ristorante di lusso	in einem Edelrestaurant	un restaurante refinado	고급 레스토랑
0	0	33	うみべのまち	うみべのまち	bir sahil şehri	dans une ville en bord de mer	in una città in riva al mare	in einer Küstenstadt	una ciudad costera	해변의 마을
0	0	34	たかいたてもののなか	たかいたてもののなか	yüksek bir binanın içi	dans un bâtiment élevé	in un edificio alto	im Inneren eines hohen Gebäudes	un edificio alto	높은 건물 안
