entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0009:}}Too bad{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} It seems like everything is
all sold out already,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Jooo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Parece que está todo
agotado,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Dommage{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} On dirait que tout a
déjà été vendu,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Peccato{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Sembra che abbiano già
venduto tutto oggi,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Schade{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Anscheinend ist schon
alles ausverkauft,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0009:}}Yazık.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Görünüşe göre her şey
çoktan satılmış,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
1,002,"{{TAG:0003:000F:}}There's not a single item here{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0024:}}This shop must be doing really well!","{{TAG:0003:000F:}}¡Si no queda nada!{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}¡Los dueños
de esta tienda se tienen que
estar forrando!","{{TAG:0003:000F:}}Il n'y a plus un seul article
disponible{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Ce magasin a l'air de
cartonner !","{{TAG:0003:000F:}}Non è rimasto niente{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0024:}}Questo negozio sta vendendo
alla grande!","{{TAG:0003:000F:}}Hier steht kein einziger Gegenstand
zum Verkauf{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Da war ich wohl zu
langsam.","{{TAG:0003:000F:}}Burada tek bir eşya bile yok...{{TAG:0007:0000:08000000}}
Bu{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:20000000}}{{TAG:0003:0024:}} dükkân gerçekten iyi iş
yapıyor olmalı!"
2,003,"{{TAG:0003:000F:}}Huh?{{TAG:0007:0000:10000000}} There's nothing for sale?{{TAG:0007:0000:20000000}}
{{TAG:0003:0024:}}I came all the way here, but I guess
it isn't my lucky day,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:000F:}}¿Y esto?{{TAG:0007:0000:10000000}} ¡¿Cómo puede ser que
esté todo agotado?!{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Yo que venía
a propósito,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Hein ?{{TAG:0007:0000:10000000}} Y'a plus rien à acheter ?{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}J'ai
bien choisi mon jour pour passer, on
dirait,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Eh?!{{TAG:0007:0000:10000000}} Tutto esaurito?{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Sono venuto
fin qua per nulla? Oggi non è il mio
giorno fortunato,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:10000000}} Gibt's hier gar nichts zu kaufen?{{TAG:0007:0000:20000000}}
{{TAG:0003:0024:}}Ich bin extra hergekommen, aber
heute ist wohl nicht mein Glückstag.","{{TAG:0003:000F:}}Ha?{{TAG:0007:0000:10000000}} Satılık hiçbir şey yok mu{{TAG:0007:0000:20000000}}{{TAG:0003:0024:}}?
Buraya kadar geldim ama bugün
şanslı günüm değilmiş,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
3,004,"{{TAG:0003:000F:}}Oh,{{TAG:0007:0000:10000000}} this is the last item, isn't it?{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Getting it might be fate{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:000F:}}Huy,{{TAG:0007:0000:10000000}} el único objeto que queda
a la venta {{TAG:0003:0006:}}tiene que ser mío{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:000F:}}Oh,{{TAG:0007:0000:10000000}} c'est le dernier exemplaire,
hein ?{{TAG:0007:0000:20000000}} {{TAG:0003:0025:}}Il m'est sûrement destiné{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:000F:}}Oh,{{TAG:0007:0000:10000000}} questo è l'ultimo articolo
rimasto?{{TAG:0007:0000:20000000}} {{TAG:0003:0006:}}Forse è un segno
del destino{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:000F:}}Oh,{{TAG:0007:0000:10000000}} der letzte Gegenstand!{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Das muss Schicksal sein{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:000F:}}Aa,{{TAG:0007:0000:10000000}} bu son eşya, değil mi? Onu{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}}
almak kader olabilir{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}"
4,005,"{{TAG:0003:0006:}}This item was probably here, just
waiting for me to come and get it...{{TAG:0007:0000:20000000}}
{{TAG:0003:0023:}}Luck shines upon me today.","{{TAG:0003:0006:}}No sé si nadie quiere el objeto que
les queda...{{TAG:0007:0000:20000000}} {{TAG:0003:0023:}}¡o si el destino me lo
pone a huevo!","{{TAG:0003:0023:}}Cet objet semble avoir patienté
exprès dans l'espoir que je vienne
l'acheter...
{{TAG:0003:0000:}}C'est son jour de chance, {{TAG:0003:002C:}}car me
voilà !","{{TAG:0003:0006:}}Questo articolo era rimasto qui
ad aspettarmi, ne sono sicuro...{{TAG:0007:0000:20000000}}
{{TAG:0003:0023:}}Oggi la fortuna mi sorride!","{{TAG:0003:0006:}}Dieser Gegenstand hat vielleicht
nur auf mich gewartet...{{TAG:0007:0000:20000000}}
{{TAG:0003:0023:}}Heute muss mein Glückstag sein.","{{TAG:0003:0006:}}Bu eşya benim gelip almamı
bekliyormuş gibi... Bugün{{TAG:0007:0000:20000000}}{{TAG:0003:0023:}} şans
yüzüme gülüyor."
5,006,"The last item{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}} Well,{{TAG:0007:0000:10000000}} I can't just
pass up this chance,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","Mmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} Solo hay un objeto a la
venta.{{TAG:0003:0006:}} Será mejor no dejar pasar{{TAG:0007:0000:10000000}} 
esta oportunidad,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","C'est le dernier exemplaire{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}} Eh ben,
{{TAG:0007:0000:10000000}}je vais pas passer à côté de cette
occasion,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} !","È l'ultimo articolo rimasto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}}Beh,{{TAG:0007:0000:10000000}} non posso lasciarmelo
scappare,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","Der letzte Gegenstand{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}} Diese
Gelegenheit darf ich mir nicht
entgehen lassen,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","Son eşya{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}}.{{TAG:0007:0000:10000000}} Böyle fırsatı
kaçıramam,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
6,007,"All right{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Are there any new items
here to get me feeling all excited?","Esto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}¿Habrá algún objeto nuevo
que cumpla mis exigentes requisitos
de modernidad?","Très bien{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Lequel de ces jolis
petits articles désire que je l'achète
aujourd'hui ?","Allora{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Chissà se ci sono
degli articoli che mi possono
entusiasmare?","Mal sehen{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Ist hier gerade
irgendwas Interessantes im
Angebot?","Pekâlâ..{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:20000000}}{{TAG:0003:0024:}} Beni heyecanlandıracak
yeni bir şey var mı bakalım?"
7,008,"I wonder if I'll find any treasures
today...{{TAG:0007:0000:20000000}} {{TAG:0003:0023:}}You never know when you
come into a shop like this{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","¿Tendrán algún chollo hoy?{{TAG:0007:0000:20000000}} {{TAG:0003:0023:}}En esta
tienda nunca se sabe{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","Je me demande sur quels trésors
je vais tomber aujourd'hui.{{TAG:0000:0004:}}{{TAG:0003:0023:}}C'est toujours le suspense quand on
entre dans ce type de magasin{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","Mi chiedo se qui ci sia...{{TAG:0007:0000:20000000}}
{{TAG:0003:0023:}}Sì, l'articolo perfetto per me!
Quello che desidero da sempre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0023:}}Vielleicht finde ich hier ja ein
Schnäppchen, dem ich nicht
widerstehen kann{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","Bugün bir hazine bulacak mıyım
acaba.{{TAG:0007:0000:20000000}}.{{TAG:0003:0023:}}. Böyle dükkânlarda ne
çıkacağı belli olmaz{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}."
8,009,"{{TAG:0003:0025:}}Let me see{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} I wonder if there's
anything here that'll meet my high
expectations,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}...","{{TAG:0003:0025:}}Me pregunto si podré encontrar
algo que sea todo lo contrario
de comercial,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0025:}}Voyons{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Y a-t-il ici un article digne
d'une mégastar comme moi,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}} ?","{{TAG:0003:0025:}}Vediamo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Chissà se c'è qualcosa
che fa al caso mio,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}?!","{{TAG:0003:000B:}}Hier muss es doch irgendwas geben,
das mein Interesse weckt,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0025:}}Bakalım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Yüksek beklentilerimi
karşılayacak bir şey var mı,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}..."
9,010,"{{TAG:0003:0005:}}Oh, yay!{{TAG:0007:0000:10000000}} There's a great selection
here today!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¡Hurra!{{TAG:0007:0000:10000000}} ¡Hoy hay un montón de
objetos donde elegir,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Cool !{{TAG:0007:0000:10000000}} Il y a du choix aujourd'hui !{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Oh, uau!{{TAG:0007:0000:10000000}} Oggi c'è una vastissima
scelta,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Heute ist hier wirklich eine
tolle Auswahl im Angebot,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Aa,{{TAG:0007:0000:10000000}} yaşasın! Bugün seçenekler
harika!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
