id,offset_hex,body_words,prefix_words,editable_words,text_ratio,crc32,source,translation,notes
0,0x3B12,16,0,16,1.000,0B8E6484,Outside of town.,Kasaba dışında.,
1,0x3B34,12,0,12,1.000,D9138C43,By the tree.,Ağacın yanı.,
2,0x3B4E,16,0,16,1.000,E11E4F66,Yun's Tea House.,Yun'un Çay Evi,
3,0x3B70,6,0,6,1.000,B0F28336,Grove.,Koru.,
4,0x3B7E,14,0,14,1.000,F446B073,On the bridge.,Köprüde.,
5,0x3B9C,6,0,6,1.000,AD80AA4F,House.,Ev.,
6,0x3BAA,14,0,14,1.000,19875646,By the church.,Kilise yanı.,
7,0x3BC8,16,0,16,1.000,0B8E6484,Outside of town.,Kasaba dışında.,
8,0x3BEA,14,0,14,1.000,252E06C9,By the tunnel.,Tünel yanı.,
9,0x3C08,14,0,14,1.000,E4F8FF67,Howard's Café.,Howard Kafe,
10,0x3C26,12,0,12,1.000,A2F9E201,Town square.,Köy Meydanı.,
11,0x3C40,14,0,14,1.000,19FA8958,The flowerbed.,Çiçeklik.,
12,0x3C5E,13,0,13,1.000,6657672D,Grady's shop.,Grady Dükkanı,
13,0x3C7A,6,0,6,1.000,AD80AA4F,House.,Ev.,
14,0x3C88,12,0,12,1.000,E64EA6B1,Mountaintop.,Dağ Zirvesi,
15,0x3CA2,11,0,11,1.000,3F015B58,The spring.,Pınar.,
16,0x3CBA,13,0,13,1.000,AD47E4B0,By the river.,Nehir yanı.,
17,0x3CD6,13,0,13,1.000,AF41887E,The mountain.,Dağda.,
18,0x3CF2,10,0,10,1.000,7179BE55,Waterfall.,Şelale.,
19,0x3D08,12,0,12,1.000,8F189264,Ash's house.,Ash'in Evi,
20,0x3D22,12,0,12,1.000,073DDD54,Hiro's room.,Hiro Odası,
21,0x3D3C,12,0,12,1.000,FA0E0DB5,Cam's house.,Cam'in Evi,
22,0x3D56,13,0,13,1.000,E61A6AC5,Kana's place.,Kana'nın Yeri,
23,0x3D72,10,0,10,1.000,BE639E59,Town Hall.,Belediye,
24,0x3D88,14,0,14,1.000,39989BBC,Laney's house.,Laney'in Evi,
25,0x3DA6,16,0,16,1.000,E4C8A8BD,Georgia's house.,Georgia'nın Evi,
26,0x3DC8,14,0,14,1.000,CC7EFBB4,Reina's house.,Reina'nın Evi,
27,0x3DE6,13,0,13,1.000,826900DA,Nori's house.,Nori'nin Evi,
28,0x3E02,15,0,15,1.000,94851821,Oracle's house.,Oracle'ın Evi,
29,0x3E22,7,0,7,1.000,0F4F35FF,Church.,Kilise,
30,0x3E32,13,0,13,1.000,B8F942D5,Dirk's house.,Dirk'in Evi,
