index,key,English,French,German,Italian,Spanish,Turkish,prefix_hex
0,activatesuperguide_confirma:0:*,This level will be completed and you will not keep any items that Super Kong collects.|Are you sure you want to use Super Guide?,"SUPER KONG TERMINERA|CE NIVEAU, MAIS VOUS|NE GARDEREZ PAS LES|ÉLÉMENTS RÉCUPÉRÉS.|CONFIRMER ?","Dieser Level wird durchgespielt,|du kannst aber keines der von|Super Kong gesammelten Items|behalten. Möchtest du den|Super-Assistenten wirklich|verwenden?","IL LIVELLO VERRÀ|COMPLETATO, MA NON|CONSERVERAI GLI OGGETTI|RACCOLTI DA SUPER KONG.|VUOI DAVVERO UTILIZZARE|LA SUPER GUIDA?","Completarás este nivel,|pero sin conservar|los objetos que consiga|Super Kong.|¿Seguro que quieres|utilizar la Superguía?","Bu bölüm tamamlanacak,|ancak Super Kong'un topladığı|hiçbir eşya sende kalmayacak.|Süper Rehber'i kullanmak|istediğinden emin misin?",01
1,activatesuperguide_text:0:*,Would you like to activate Super Guide? You will call in Super Kong to show you how to play through the level.,SUPER KONG PEUT|VOUS AIDER À|PASSER CE NIVEAU !|ACTIVER LE SUPER GUIDE ?,"Super-Assistenten aktivieren? Super Kong erscheint und zeigt dir, wie man den Level durchspielt.",VUOI ATTIVARE LA SUPER|GUIDA?|SUPER KONG TI MOSTRERÀ|COME AFFRONTARE IL|LIVELLO.,¿Quieres activar la Superguía? Super Kong vendrá para mostrarte cómo superar el nivel.,"Süper Rehber'i etkinleştirmek|ister misin?|Super Kong, bölümü nasıl geçeceğini|göstermek için gelecek.",01
2,adddrop_adddiddy:0:*,Add Player 2,AJOUTER LE JOUEUR 2,Spieler 2 hinzufügen,AGGIUNGI GIOCATORE,Agregar al Jugador 2,2. Oyuncuyu Ekle,01
3,adddrop_adddiddyprompt:0:*,Do you want to add Player 2?,AJOUTER|UN 2E JOUEUR ?,Spieler 2 hinzufügen?,VUOI AGGIUNGERE IL|GIOCATORE 2?,¿Quieres agregar al Jugador 2?,2. Oyuncuyu|eklemek istiyor musun?,01
4,adddrop_addprompt:0:*,Do you want to spend one balloon to add a player?,UTILISER UN BALLON POUR|AJOUTER UN 2E JOUEUR ?,"Einen Ballon verbrauchen, um einen Spieler hinzuzufügen?",VUOI USARE UN PALLONCINO PER|AGGIUNGERE UN GIOCATORE?,¿Quieres usar un globo|para agregar un jugador?,Bir oyuncu eklemek için|bir balon harcamak istiyor musun?,01
5,adddrop_button:0:*,Connect Player 2's|W** Remote,CONNECTEZ LA|TÉLÉCOMMANDE W**|DU JOUEUR 2.,Melde die W**-FB von Spieler 2 an.,COLLEGA IL|TELECOMANDO W**|DEL GIOCATORE 2.,Conecta el mando de W** del Jugador 2,2. Oyuncunun|W** Kumandasını bağla,01
6,adddrop_button:1:*,Add Diddy,AJOUTER DIDDY,Diddy hinzufügen,AGGIUNGI DIDDY,Agregar a Diddy,Diddy'yi Ekle,01
7,adddrop_button:2:*,Drop Diddy,RETIRER DIDDY,Diddy entfernen,ELIMINA DIDDY,Quitar a Diddy,Diddy'yi Çıkar,01
8,adddrop_confirmdiddyadd:0:*,Diddy Kong has been added to the game!,DIDDY KONG A REJOINT LA PARTIE !,Diddy wurde dem Spiel hinzugefügt!,ENTRA IN GIOCO DIDDY KONG!,¡Diddy Kong se ha incorporado a la partida!,Diddy Kong oyuna katıldı!,01
9,adddrop_confirmdiddyrevive:0:*,Diddy Kong Revived!,DIDDY KONG A ÉTÉ RANIMÉ !,Diddy zurückgeholt!,DIDDY KONG TORNA IN GIOCO!,¡Diddy Kong reanimado!,Diddy Kong geri döndü!,01
10,adddrop_confirmdkrevive:0:*,Donkey Kong Revived!,DONKEY KONG A ÉTÉ RANIMÉ !,DK zurückgeholt!,DONKEY KONG TORNA IN GIOCO!,¡Donkey Kong reanimado!,Donkey Kong geri döndü!,01
11,adddrop_dropdiddy:0:*,Drop Player 2,RETIRER LE JOUEUR 2,Spieler 2 entfernen,ELIMINA GIOCATORE,Quitar al Jugador 2,2. Oyuncuyu Çıkar,01
12,adddrop_dropprompt:0:*,Do you want to drop Player 2?,RETIRER|LE 2E JOUEUR ?,Spieler 2 entfernen?,VUOI ELIMINARE IL|GIOCATORE 2?,¿Quieres quitar al Jugador 2?,2. Oyuncuyu|çıkarmak istiyor musun?,01
13,adddrop_noballoonsfordiddy:0:*,You do not have enough balloons to revive Diddy Kong!,VOUS N'AVEZ PAS|ASSEZ DE BALLONS|POUR RANIMER|DIDDY KONG !,"Du hast nicht genug Ballons, um Diddy Kong zurückzuholen!",NON HAI PALLONCINI|SUFFICIENTI PER|FAR RIENTRARE|DIDDY KONG!,¡No tienes bastantes globos para reanimar a Diddy Kong!,Diddy Kong'u diriltmek için|yeterli balonun yok!,01
14,adddrop_noballoonsfordk:0:*,You do not have enough balloons to revive Donkey Kong!,VOUS N'AVEZ PAS|ASSEZ DE BALLONS|POUR RANIMER|DONKEY KONG !,"Du hast nicht genug Ballons, um Donkey Kong zurückzuholen!",NON HAI PALLONCINI|SUFFICIENTI PER|FAR RIENTRARE|DONKEY KONG!,¡No tienes bastantes globos para reanimar a Donkey Kong!,Donkey Kong'u diriltmek için|yeterli balonun yok!,01
15,adddrop_oneplayer:0:*,1 Player Mode,MODE 1 JOUEUR,1-Spieler-Modus,1 GIOCATORE,1 jugador,1 Oyunculu Mod,01
16,adddrop_revivediddy:0:*,Revive Diddy Kong,RANIMER DIDDY KONG,Diddy zurückholen,FAI TORNARE DIDDY KONG,Reanimar a Diddy Kong,Diddy'yi Dirilt,01
17,adddrop_revivedk:0:*,Revive Donkey Kong,RANIMER DONKEY KONG,DK zurückholen,FAI TORNARE DK,Reanimar a DK,DK'yi Dirilt,01
18,adddrop_revivedkprompt:0:*,Do you want to spend one balloon to revive Donkey Kong?,UTILISER UN BALLON POUR|RANIMER DONKEY KONG ?,"Einen Ballon verbrauchen, um Donkey Kong zurückzuholen?",VUOI USARE UN PALLONCINO PER|FAR RIENTRARE DONKEY KONG?,¿Quieres usar un globo para|reanimar a Donkey Kong?,Donkey Kong'u diriltmek için|bir balon harcamak istiyor musun?,01
19,adddrop_reviveprompt:0:*,Do you want to spend one balloon to revive Diddy Kong?,UTILISER UN BALLON POUR|RANIMER DIDDY KONG ?,"Einen Ballon verbrauchen, um Diddy Kong zurückzuholen?",VUOI USARE UN PALLONCINO PER|FAR RIENTRARE DIDDY KONG?,¿Quieres usar un globo para|reanimar a Diddy Kong?,Diddy Kong'u diriltmek için|bir balon harcamak istiyor musun?,01
20,adddrop_twoplayer:0:*,2 Player Mode,MODE 2 JOUEURS,2-Spieler-Modus,2 GIOCATORI,2 jugadores,2 Oyunculu Mod,01
21,attract_movie_text:0:*,Press any button,APPUYEZ SUR UN BOUTON.,Drücke einen beliebigen Knopf.,Premi un pulsante,Pulsa un botón,Herhangi bir tuşa bas,01
22,blow:0:Standard,\d38c2fb4\xy_btn,\d38c2fb4\xy_btn,\d38c2fb4\xy_btn,\d38c2fb4\xy_btn,\d38c2fb4\xy_btn,\d38c2fb4\xy_btn,01
23,blow:1:Core,\3630bddf\lr_btn,\3630bddf\lr_btn,\3630bddf\lr_btn,\3630bddf\lr_btn,\3630bddf\lr_btn,\3630bddf\lr_btn,01
24,boss_bop:0:*,Bop|now!,<scale=0.8><squish=0.8>SAUTEZ|DESSUS !,<scale=0.8>Spring|drauf!,<scale=0.8>COLPISCI!,<squish=0.8>¡Salta!,Şimdi|vur!,01
