entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:001A:}}{{TAG:0007:0000:10000000}}I actually have a present I'd like to
give to {{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}} but I don't quite
think I can do it myself.
{{TAG:0003:0017:}}So what do you say,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?{{TAG:0007:0001:}}
{{TAG:0003:0027:}}Can you do me a favor and deliver
it for me? Huh?","{{TAG:0003:001A:}}{{TAG:0007:0000:10000000}}Tengo un regalo para {{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}} 
pero no quiero parecer un blando
y por eso no se lo he dado todavía.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0017:}}Oye,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}, tú me ayudarías a
mantener mi reputación, ¿verdad? {{TAG:0007:0001:}}
{{TAG:0003:0027:}}¿Podrías darle el regalo por mí?","{{TAG:0003:001A:}}{{TAG:0007:0000:10000000}}J'aimerais offrir un petit cadeau à
{{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}} mais j'ai trop honte
d'aller lui donner moi-même...{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Qu'est-ce que t'en dis,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}} ?{{TAG:0007:0001:}}
{{TAG:0003:0027:}}Tu veux bien aller lui remettre de
ma part ?","{{TAG:0003:001A:}}{{TAG:0007:0000:10000000}}Ho un regalo da dare {{TAG:000E:0010:}} {{TAG:0011:0001:0000}},{{TAG:0007:0000:08000000}}
ma non posso consegnarglielo io.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0017:}}Che mi dici,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?{{TAG:0007:0001:}}
{{TAG:0003:0027:}}Potresti consegnarglielo tu invece?","{{TAG:0003:001A:}}Ich hätte da ein Geschenk für
{{TAG:0011:0001:0000}}, aber ich muss an
meinen Ruf denken...
{{TAG:0003:0006:}}Wie sieht das denn aus, wenn
ich hier Geschenke verteile?{{TAG:0000:0004:}}{{TAG:0003:001A:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} kannst du nicht...{{TAG:0007:0000:0A000000}}
vielleicht... {{TAG:0007:0000:0A000000}}für mich... {{TAG:0007:0000:0A000000}}gehen?{{TAG:0007:0001:}}
{{TAG:0003:0022:}}Bitte?","{{TAG:0003:001A:}}{{TAG:0007:0000:10000000}}Aslında {{TAG:0011:0001:0000}}'a vermek istediğim bir
hediye var,{{TAG:0007:0000:08000000}} ama kendim verebileceğimi
pek sanmıyorum.
{{TAG:0003:0017:}}Ne dersin,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?{{TAG:0007:0001:}}
{{TAG:0003:0027:}}Bana bir iyilik yapıp hediyeyi götürür
müsün? Ha?"
1,002,"{{TAG:0003:0009:}}Actually,{{TAG:0007:0000:14000000}} I recently had a fight with
{{TAG:0011:0001:0000}}{{TAG:0007:0000:08000000}} because of something
pretty silly. Yeah, my fault.
{{TAG:0003:0024:}}So{{TAG:0007:0000:08000000}} I wanted to apologize with a gift
or something,{{TAG:0007:0000:14000000}} but I don't wanna be
the one to hand it over.
{{TAG:0003:0027:}}I'm not sure if you're the right one
to do this,{{TAG:0007:0000:14000000}} but could you deliver it
for me instead?","{{TAG:0003:0009:}}Verás,{{TAG:0007:0000:0A000000}} hace poco tuve una bronca
monumental con {{TAG:0011:0001:0000}}{{TAG:0007:0000:08000000}} por
la cosa más tonta del mundo. 
Para variar, la culpa no fue mía,
pero como tengo fama de borde,
{{TAG:000E:0008:00CD0400E9006C00080065006C006C00610002003000}} está convencid{{TAG:000E:0008:00CD02006F000200610002003000}} de que sí.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Como está hech{{TAG:000E:0008:00CD02006F000200610002003000}} un basilisco,
he decidido comprarle un detallico
para que se le pase el enfado.{{TAG:0000:0004:}}{{TAG:0003:0027:}}Seguro que si se lo llevo, me lo tira
a la cabeza.{{TAG:0007:0000:14000000}} ¿Te importaría dárselo
tú?{{TAG:0007:0000:14000000}} A ti no te hará nada. {{TAG:0000:0003:0500}}(Espero.){{TAG:0000:0003:FFFF}}","{{TAG:0003:0009:}}Y'a pas longtemps,{{TAG:0007:0000:14000000}} je me suis
disputé avec {{TAG:0011:0001:0000}}{{TAG:0007:0000:08000000}}. C'était ma
faute, et pour pas grand-chose...
{{TAG:0003:0024:}}Alors{{TAG:0007:0000:08000000}} je voudrais m'excuser en lui
faisant un petit cadeau,{{TAG:0007:0000:14000000}} mais je
préfère pas le lui donner moi-même.{{TAG:0000:0004:}}{{TAG:0003:0027:}}Désolé de te demander ça à toi,{{TAG:0007:0000:14000000}}
mais tu veux pas me rendre ce petit
service ?","{{TAG:0003:0009:}}Ti dirò...{{TAG:0007:0000:14000000}} Qualche tempo fa ho
litigato con {{TAG:0011:0001:0000}}{{TAG:0007:0000:08000000}} per via
di una bazzecola.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Quindi{{TAG:0007:0000:08000000}} ho comprato un regalo
per scusarmi,{{TAG:0007:0000:14000000}} ma non vorrei
portarglielo io.{{TAG:0000:0004:}}{{TAG:0003:0027:}}Stavo pensando che potresti
farlo tu.{{TAG:0007:0000:14000000}} Sarebbe molto gentile
da parte tua!","{{TAG:0003:0006:}}Ich habe mich mit {{TAG:0011:0001:0000}} wegen
irgend so 'ner Kleinigkeit gestritten.{{TAG:0007:0000:14000000}}
Das nervt!
{{TAG:0003:001B:}}Also habe ich {{TAG:000E:0008:00CD0600690068006D0006006900680072000600690068006D00}} ein Geschenk
besorgt, damit wieder Ruhe ist.{{TAG:0000:0004:}}{{TAG:0003:0023:}}Aber es selbst zu überreichen wäre
zu viel des Guten. {{TAG:0007:0000:14000000}}Kannst du das
nicht erledigen?","{{TAG:0003:0009:}}{{TAG:0007:0000:14000000}}Hah, {{TAG:0011:0001:0000}}{{TAG:0007:0000:08000000}} ile aramız biraz bozuldu.{{TAG:0003:0024:}} {{TAG:0007:0000:08000000}}
Barışmak için bir hediye{{TAG:0007:0000:14000000}} aldım
ama yüz yüze {{TAG:0003:0027:}}vermek zor
geliyor. Benim {{TAG:0007:0000:14000000}}yerime götürür müsün?"
2,003,"I actually borrowed something from
{{TAG:0011:0001:0000}} a really long time ago.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0027:}}It's been so long, I'm embarrassed
to return it now.{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}I'm sorry,{{TAG:0007:0000:08000000}} {{TAG:0003:0024:}}but, uh,
could you return it for me instead?","{{TAG:0011:0001:0000}} me prestó una cosa hace
mucho tiempo.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0027:}}Ya hace tanto, que me da vergüenza
devolvérsela.{{TAG:0007:0000:14000000}} ¿Te importaría
llevársela tú?{{TAG:0007:0000:14000000}}","Il y a vraiment longtemps, j'ai
emprunté un truc à {{TAG:0011:0001:0000}}.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0027:}}Ça fait tellement longtemps que j'ai
honte de lui rendre maintenant.{{TAG:0007:0000:14000000}} Tu{{TAG:0007:0000:08000000}}
voudrais pas le faire à ma place ?{{TAG:0007:0000:14000000}}","Ho preso in prestito una cosa
da {{TAG:0011:0001:0000}} secoli fa.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0027:}}È passato così tanto tempo che
mi vergogno a riportargliela.{{TAG:0007:0000:14000000}} Non è{{TAG:0007:0000:08000000}}
che lo potresti fare tu al mio posto?{{TAG:0007:0000:14000000}}","{{TAG:0003:0006:}}Ich hab mir vor, äh,{{TAG:0007:0000:0A000000}} einiger Zeit was
von {{TAG:0011:0001:0000}} ausgeliehen.{{TAG:0000:0004:}}Kannst du's zurückbringen, um{{TAG:0003:0021:}} mir
eine Diskussion über die Definition
von „ein, zwei Tage“ zu ersparen?","Hah, {{TAG:0011:0001:0000}} tarafına uzun zamandır{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0027:}}
geri vermem gereken bir şey
var. Bu kadar {{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}gecikince {{TAG:0007:0000:08000000}}{{TAG:0003:0024:}}yüzüm
tutmuyor. Benim için götürür müsün?"
3,004,"When {{TAG:0011:0001:0000}} came to my place{{TAG:0007:0000:08000000}}
to hang out the other day,{{TAG:0007:0000:14000000}} it looks
like something got left behind.
{{TAG:0003:0017:}}Can you do me a solid and go take
it back to {{TAG:0011:0001:0000}} for me?{{TAG:0007:0000:14000000}}","Est{{TAG:000E:0008:00CD020065000200610002003000}} {{TAG:0011:0001:0000}} va a perder la 
cabeza un día de estos. Hace poco
vino a casa y se olvidó algo.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}¿Te importaría buscar a {{TAG:0011:0001:0000}}
y devolvérselo?{{TAG:0007:0000:14000000}}","{{TAG:0011:0001:0000}} est pass{{TAG:000E:0007:0200E9000400E9006500}} chez moi{{TAG:0007:0000:08000000}}
l'autre jour,{{TAG:0007:0000:14000000}} et je crois qu'{{TAG:000E:0007:040069006C00080065006C006C006500}} a
oublié quelque chose...{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Tu pourrais lui rapporter ça,{{TAG:0007:0000:14000000}} s'il te
plaît ?","Quando {{TAG:0011:0001:0000}} è venut{{TAG:000E:0007:02006F0002006100}}
a trovarmi l'altro giorno,{{TAG:0007:0000:08000000}} ha
dimenticato una cosa a casa mia.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0017:}}Mi fai un favore? Andresti tu
a riportargliela?{{TAG:0007:0000:14000000}} Eddai, per favore!","{{TAG:0003:0006:}}{{TAG:0011:0001:0000}} war dieser Tage bei mir
und hat {{TAG:000E:0008:00CD0C007300650069006E0065006E000A0069006800720065006E000C007300650069006E0065006E00}} Kram bei mir
liegen lassen.
{{TAG:0003:0000:}}Sei doch so gut und schaff das Zeug
zu {{TAG:0011:0001:0000}} zurück, ja?","Hah, {{TAG:0011:0001:0000}} geçen {{TAG:0007:0000:08000000}}gelişinde bende {{TAG:0007:0000:14000000}}bir
şey unutmuş. Sahibine{{TAG:0003:0017:}} geri
ulaştırır mısın? {{TAG:0011:0001:0000}} kesin
arıyordur.{{TAG:0007:0000:14000000}}"
4,005,"Listen,{{TAG:0007:0000:14000000}} something that was meant
to go to {{TAG:0011:0001:0000}} got sent to my
house by mistake.
{{TAG:0003:0024:}}What a nuisance, don't you think?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Well,{{TAG:0007:0000:08000000}} I wanted to ask you a favor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0017:}}Could you go deliver it to the right
person for me?","Fíjate cómo está el servicio postal.{{TAG:0007:0001:}}
Me han mandado a mí un paquete
que era para {{TAG:0011:0001:0000}}. {{TAG:0003:0024:}}
Seguro que {{TAG:000E:0008:00CD0400E9006C00080065006C006C00610002003000}} está esperando
impaciente ese paquete.{{TAG:0000:0004:}}{{TAG:0003:0000:}}¿Te importaría hacernos a los dos
un favor y entregárselo en mi lugar?","Hé,{{TAG:0007:0000:14000000}} je crois que j'ai reçu par erreur
un paquet qui était destiné à
{{TAG:0011:0001:0000}}.{{TAG:0003:0024:}}
Et faire le facteur, c'est pas
vraiment ma tasse de thé... C'est
ennuyeux, tu ne trouves pas ?{{TAG:0000:0004:}}{{TAG:0003:0000:}}J'aurais une faveur à te demander{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
Tu ne voudrais pas aller le lui
remettre à ma place ?","Senti,{{TAG:0007:0000:14000000}} una cosa che doveva arrivare
{{TAG:000E:0010:}} {{TAG:0011:0001:0000}} è stata spedita
a casa mia per sbaglio.
{{TAG:0003:0024:}}Che storia, eh?!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Beh,{{TAG:0007:0000:08000000}} a questo punto entri in scena
tu{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. Potresti portargliela?","Ich habe wohl aus Versehen ein
Paket für {{TAG:0011:0001:0000}} bekommen.{{TAG:0000:0004:}}{{TAG:0003:0007:}}Mann, Mann, Mann! {{TAG:0007:0000:14000000}}Und ich hab
jetzt die Scherereien!{{TAG:0000:0004:}}{{TAG:0003:000B:}}Es sei denn...{{TAG:0007:0001:}} {{TAG:0003:0021:}}Sag mal, magst du
nicht vielleicht ein Paket ausliefern?","{{TAG:0007:0000:14000000}}Hah, {{TAG:0011:0001:0000}} adına gelen bir {{TAG:0003:0024:}}paket
yanlışlıkla {{TAG:0000:0004:}}{{TAG:0003:0000:}}bana {{TAG:0007:0000:08000000}}teslim
edilmiş.{{TAG:0007:0000:08000000}} {{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0003:0017:}}Doğru kişiye ulaştırır mısın?"
5,006,"Actually,{{TAG:0007:0000:08000000}} there's something 
{{TAG:0011:0001:0000}} asked me to pass along,{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}but I'm too busy to deliver it!
It would be a huge help if you could
do it for me right now. {{TAG:0003:0017:}}So how's
your availability looking?","{{TAG:0011:0001:0000}} lleva siglos pidiéndome
una cosa, pero siempre me olvido
de cogerla cuando salgo de casa.{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}Es un poco plasta y no para de
echármelo en cara. {{TAG:0003:0017:}}¿Te importaría
llevársela para que se calle?","En fait,{{TAG:0007:0000:08000000}} il y a quelque chose
{{TAG:000E:000A:080071007500650020000600710075002700}}{{TAG:0011:0001:0000}} m'a demandé de lui
remettre,{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}mais je suis trop occupé !
{{TAG:0003:0017:}}Tu voudrais pas aller lui donner de
ma part ? {{TAG:0007:0000:0A000000}}Ce serait super sympa !","Sai,{{TAG:0007:0000:08000000}} c'è una cosa che {{TAG:0011:0001:0000}}
mi aveva chiesto di comprare...{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ora che ce l'ho, non ho tempo
di portargliela! {{TAG:0003:0017:}}Lo faresti tu?
Dai, non fare {{TAG:000E:0006:140069006C00200070006900670072006F006E00650014006C006100200070006900670072006F006E006100}}!","{{TAG:0011:0001:0000}} will heute was vorbeige-
bracht bekommen, aber ich habe
gerade sooo viel anderes zu tun!
{{TAG:0003:0006:}}Wie sieht's denn bei dir aus? {{TAG:0007:0000:14000000}}Du
hast doch bestimmt Zeit für einen
kleinen Botengang!","Hah{{TAG:0007:0000:08000000}}, {{TAG:0011:0001:0000}} benden bir şey {{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}istemişti.
Hazırladım ama götürmeye fırsat
bulamadım. Benim {{TAG:0003:0017:}}için teslim
eder misin?"
6,007,,,,,,
7,008,,,,,,
8,009,,,,,,
9,010,,,,,,
