entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0009:}}Do you have a minute, {{TAG:0005:0008:}}?{{TAG:0007:0001:}}
I need some help with my
catchphrase, {{TAG:0005:0007:}}.
{{TAG:0003:0017:}}Oh, you see? {{TAG:0007:0000:0A000000}}Can't you tell?{{TAG:0007:0000:0A000000}}
It feels weak, {{TAG:0005:0008:}}. I need a
new, powerful one, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}.
But what do YOU think?
Does ""{{TAG:0005:0007:}}"" still suit me?{{TAG:0008:0005:0400150003002800}}
Nah, change it!
I think it's fine.","{{TAG:0003:0009:}}¿Tienes un minuto, {{TAG:0005:0008:}}?{{TAG:0007:0001:}}
Necesito que me eches una mano
con mi muletilla, {{TAG:0005:0007:}}.
{{TAG:0003:0017:}}Oh, ¿lo ves? {{TAG:0007:0000:0A000000}}Suena gastada,{{TAG:0007:0000:0A000000}}
sin fuerza. Necesito una nueva
urgentemente, terroncín.{{TAG:0007:0000:0A000000}}
Pero antes quiero saber tu opinión.
¿Debo cambiar de muletilla?{{TAG:0008:0005:0400150003002800}}
¡Sí, hazlo!
No, a mí me gusta","{{TAG:0003:0009:}}Dis, {{TAG:0005:0008:}}, tu as une minute ?{{TAG:0007:0001:}}
J'ai besoin d'aide. C'est au sujet de
mon expression, {{TAG:0005:0007:}}.
{{TAG:0003:0017:}}Tiens, tu as entendu ?{{TAG:0007:0000:14000000}} Tu
comprends ce que je veux dire
maintenant ?{{TAG:0003:0000:}}
Mon expression est nulle. Il m'en
faut une autre, une qui soit plus...
« plus » quoi ! Tu ne crois pas ?
Qu'en dis-tu ? « {{TAG:000E:0003:}}{{TAG:0005:0007:}} »
me correspond-elle encore ?{{TAG:0008:0005:0400150003002800}}
Tu devrais changer.
Tu devrais la garder.","{{TAG:0003:0009:}}Hai un minutino, {{TAG:0005:0008:}}?{{TAG:0007:0001:}}
Ho bisogno del tuo aiuto. Si tratta
del mio intercalare, {{TAG:0005:0007:}}.
Beh, è un po' antiquato, {{TAG:0005:0008:}}.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0017:}}Come, {{TAG:0007:0000:0A000000}}non te ne sei accort{{TAG:000E:0006:02006F0002006100}}?{{TAG:0007:0000:0A000000}}
Ne vorrei uno nuovo, {{TAG:0005:0007:}}.
Tu cosa ne pensi? Credi che
""{{TAG:0005:0007:}}"" mi si addica ancora?{{TAG:0008:0005:0400150003002800}}
Meglio cambiare!
Va bene così!","{{TAG:0003:0009:}}Hast du kurz Zeit, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?{{TAG:0007:0001:}}
Ich benötige jemanden, der mir mit
meinem Motto hilft, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.
{{TAG:0003:0017:}}Du hast es schon gehört, {{TAG:0007:0000:08000000}}oder? {{TAG:0007:0000:28000000}}Ist
dir aufgefallen, dass es richtig fad
klingt, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?
Ich brauche ein fetzigeres Motto!
{{TAG:0007:0000:28000000}}Oder findest du,{{TAG:0007:0000:08000000}} „{{TAG:0005:0007:}}“
passt noch zu mir?{{TAG:0008:0005:0400280003001500}}
Lieber ändern!
Passt noch zu dir.","{{TAG:0003:0009:}}Bir dakikan var mı, {{TAG:0005:0008:}}?{{TAG:0007:0001:}}
Sürekli kullandığım söz konusunda biraz
yardıma ihtiyacım var, {{TAG:0005:0007:}}.
{{TAG:0003:0017:}}Ah, görmüyor musun? {{TAG:0007:0000:0A000000}}Belli değil mi?{{TAG:0007:0000:0A000000}}
Gücünü kaybetti, {{TAG:0005:0008:}}. Daha
etkileyici bir şeye ihtiyacım var, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}.
Ama SEN ne düşünüyorsun?
“{{TAG:0005:0007:}}” hâlâ bana yakışıyor mu?{{TAG:0008:0005:0400150003002800}}
Yok, değiştir!
Bence iyi."
1,002,"{{TAG:0003:0025:}}I need some advice, {{TAG:0005:0007:}}.{{TAG:0007:0000:14000000}}
It's about a little problem I have
with, {{TAG:0007:0000:05000000}}well, {{TAG:0007:0000:05000000}}{{TAG:0003:0009:}}my catchphrase.
You know, that little touch I throw
in once in a while, {{TAG:0005:0007:}}?{{TAG:0007:0000:0A000000}}
Yes, {{TAG:0007:0000:05000000}}that right there, {{TAG:0007:0000:05000000}}{{TAG:0005:0007:}}.
It's sounding bland, so I'm thinking
of changing it, {{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}}
What should I do?{{TAG:0008:0005:0400150003002800}}
Change it!
Keep it.","{{TAG:0003:0025:}}Sé que no es normal que yo
te pida consejo, {{TAG:0005:0007:}}, pero
necesito ayuda con un problema.{{TAG:0007:0000:14000000}}
Se trata {{TAG:0007:0000:05000000}}{{TAG:0003:0009:}}de mi muletilla, pastelito.
Esa palabra que repito cada dos
por tres, {{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}}
¡Sí, {{TAG:0007:0000:05000000}}esa, {{TAG:0007:0000:05000000}}{{TAG:0005:0007:}}!
La oigo tantas veces al día que
me canso a mí misma.
¿Crees que debería cambiarla
o solo son manías mías?{{TAG:0008:0005:0400150003002800}}
Tienes que cambiarla
No es para tanto","{{TAG:0003:0025:}}J'ai besoin d'un bon conseil,
{{TAG:0005:0007:}}.{{TAG:0007:0000:14000000}} C'est au sujet de,
{{TAG:0007:0000:14000000}}euh... {{TAG:0007:0000:0A000000}}{{TAG:0003:0009:}}de mon expression fétiche.
Tu sais, c'est cette petite phrase
que je dis parfois, {{TAG:0007:0000:0A000000}}ma petite
estampille verbale, {{TAG:0005:0007:}} ?
Là, {{TAG:0007:0000:0A000000}}tu entends, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}} ?
Pour tout te dire, je commence à
m'en lasser.
Tu crois que je devrais en changer ?{{TAG:0008:0005:0400150003002800}}
Change-la !
Garde-la !","{{TAG:0003:0025:}}Vorrei il tuo parere, {{TAG:0005:0007:}}.{{TAG:0007:0000:14000000}}
Ho un problemino. Si tratta{{TAG:0007:0000:05000000}} del mio
intercalare.{{TAG:0007:0000:05000000}} {{TAG:0003:0009:}}Hai capito bene!
È un'espressione personale che
uso di tanto in tanto, {{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}}
Sì, {{TAG:0007:0000:05000000}}l'ho appena usata, {{TAG:0007:0000:05000000}}{{TAG:0005:0007:}}!
Vorrei cambiarla, {{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}}
Cosa devo fare? Aiutami!{{TAG:0008:0005:0400150003002800}}
Cambiala!
Va bene così!","{{TAG:0003:0025:}}Ich brauche dringend deinen Rat,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.{{TAG:0007:0000:14000000}} Ich hab da ein kleines
Problem mit{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} meinem Motto.
Du weißt schon! {{TAG:0007:0000:14000000}}Mein Spruch, den
ich ab und an für die persönliche
Note dranhänge, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!
Genau den: {{TAG:0007:0000:28000000}}„{{TAG:0005:0007:}}“.{{TAG:0007:0000:14000000}}
Er langweilt mich, {{TAG:0007:0000:14000000}}also will ich
ihn ändern. {{TAG:0007:0000:28000000}}Was meinst du?{{TAG:0008:0005:0400150003002800}}
Ändere ihn.
Behalte ihn.","{{TAG:0003:0025:}}Biraz akla ihtiyacım var, {{TAG:0005:0007:}}.{{TAG:0007:0000:14000000}}
Şeyle ilgili küçük bir sorunum var,
{{TAG:0007:0000:05000000}}şey, {{TAG:0007:0000:05000000}}{{TAG:0003:0009:}}sürekli kullandığım sözle.
Hani arada cümlelerime serpiştirdiğim
şu küçük dokunuş var ya, {{TAG:0005:0007:}}?{{TAG:0007:0000:0A000000}}
Evet, {{TAG:0007:0000:05000000}}tam da o, {{TAG:0007:0000:05000000}}{{TAG:0005:0007:}}.
Biraz yavan gelmeye başladı; değiştirmeyi
düşünüyorum, {{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}}
Ne yapmalıyım?{{TAG:0008:0005:0400150003002800}}
Değiştir!
Böyle kalsın."
2,003,"{{TAG:0003:000F:}}Really? You think I should keep it?{{TAG:0007:0000:0A000000}}
{{TAG:0003:0025:}}Well, if you say so, I'll hang on to it
a little longer, {{TAG:0005:0007:}}.","{{TAG:0003:000F:}}O sea, ¿que no debo cambiarla?{{TAG:0007:0000:0A000000}}
{{TAG:0003:0025:}}Bueno, si tú lo dices será verdad,
{{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Je devrais continuer à l'utiliser... Tu
crois vraiment ?{{TAG:0007:0000:0A000000}} {{TAG:0003:0025:}}Hmm... D'accord !
Alors je la garde, {{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Davvero? Pensi che dovrei
continuare a usare lo stesso
intercalare?{{TAG:0007:0000:0A000000}}
{{TAG:0003:0025:}}Beh, mi fido di te, {{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Echt?{{TAG:0007:0000:28000000}} Ich soll mein Motto
behalten? {{TAG:0003:0025:}}Na, wenn du meinst{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Dann behalte ich es, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Gerçekten mi? Böyle kalsın mı diyorsun?{{TAG:0007:0000:0A000000}}
{{TAG:0003:0025:}}Peki, sen öyle diyorsan bir süre daha
tutarım, {{TAG:0005:0007:}}."
3,004,"{{TAG:0003:0025:}}I knew it! Well then, give me a new
one, {{TAG:0005:0008:}}!","{{TAG:0003:0025:}}¡Me alegra que estemos de acuerdo!
¿Por qué no me eliges tú 
la nueva, {{TAG:0005:0008:}}?","{{TAG:0003:0025:}}Tu as sans doute raison. Tu veux
bien m'aider à en trouver une autre,
{{TAG:0005:0008:}} ?","{{TAG:0003:0025:}}Lo sapevo! Avevo proprio bisogno
del parere di {{TAG:000E:0006:040075006E00060075006E006100}} giovane come te,
{{TAG:0005:0008:}}! Cosa potrei dire invece?","{{TAG:0003:0025:}}Wusste ich es doch!{{TAG:0007:0000:28000000}}
Was soll ich denn von
nun an sagen, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}?","{{TAG:0003:0025:}}Biliyordum! O zaman bana yenisini bul,
{{TAG:0005:0008:}}!"
4,005,"{{TAG:000D:0008:02CD}}{{TAG:0003:0025:}}So you think I should be saying
""{{TAG:0005:0007:}}""?{{TAG:0008:0005:0700150006002800}}
That's perfect.
No, wait...","{{TAG:000D:0008:02CD}}{{TAG:0003:0025:}}¿Así que ""{{TAG:0005:0007:}}""?{{TAG:0008:0005:0700150006002800}}
Suena genial
No, espera...","{{TAG:000D:0008:02CD}}{{TAG:0003:0025:}}« {{TAG:000E:0003:}}{{TAG:0005:0007:}} » ? Vraiment ?{{TAG:0008:0005:0700150006002800}}
Parfait !
Euh... En fait...","{{TAG:000D:0008:02CD}}{{TAG:0003:0025:}}Dunque, dici che dovrei usare
""{{TAG:0005:0007:}}""?{{TAG:0008:0005:0700150006002800}}
Sì, esatto.
No, aspetta!","{{TAG:000D:0008:02CD}}{{TAG:0003:0025:}}Du findest, ich soll von nun an
„{{TAG:0005:0007:}}“ sagen?{{TAG:0008:0005:0700150006002800}}
Ja, klingt gut!
Nein, Moment...","{{TAG:000D:0008:02CD}}{{TAG:0003:0025:}}Yani “{{TAG:0005:0007:}}” dememi öneriyorsun?{{TAG:0008:0005:0700150006002800}}
Mükemmel.
Dur, yok..."
5,006,"{{TAG:0003:000F:}}Oh? Well, it's got to be perfect,
so give it to me again!","{{TAG:0003:000F:}}¿Qué pasa? ¡Tiene que gustarte
a ti, si no, no la quiero!","{{TAG:0003:000F:}}Ah ? Bon. Il faut m'en trouver une
qui me corresponde vraiment.
{{TAG:0003:0025:}}Aurais-tu une autre idée ?","{{TAG:0003:000F:}}Ah, scusa. Devo aver sentito male.
Puoi ripetere?","{{TAG:0003:000F:}}Oh! {{TAG:0007:0000:28000000}}{{TAG:0003:001B:}}Das Motto sollte schon perfekt
sein. {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Versuche es doch noch einmal!","{{TAG:0003:000F:}}Aa? Kusursuz olması gerekiyor,
o yüzden bir daha söyle!"
6,007,{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}}
7,008,"{{TAG:0003:0027:}}Now, let's see, {{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}}
I think that's good, {{TAG:0005:0007:}}.","{{TAG:0003:0027:}}Vale, a ver, {{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}}
¡Me gusta, {{TAG:0005:0007:}}!","{{TAG:0003:0027:}}Alors voyons...{{TAG:0007:0000:0F000000}} Test expression.
Test, test...{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:0007:0000:1E000000}} Oui, ça
sonne bien. {{TAG:000E:0003:}}{{TAG:0005:0007:}}.","{{TAG:0003:0027:}}Fammi provare, {{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}}
Suona proprio bene, {{TAG:0005:0007:}}!","{{TAG:0003:0027:}}Mal überlegen, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:0007:0000:28000000}}
Ja, das ist gut, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0027:}}Şimdi bakalım, {{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}}
Bence gayet iyi, {{TAG:0005:0007:}}."
8,009,"OK, I'll give it a try, {{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0007:}}Waiter! {{TAG:0007:0000:05000000}}Come here, {{TAG:0005:0007:}}!{{TAG:0007:0000:0A000000}}
I think there's a fly in my
{{TAG:0005:0013:0000}}, {{TAG:0005:0007:}}!
{{TAG:0003:0004:}}Oh, {{TAG:0005:0008:}}! I love it. {{TAG:0007:0000:0A000000}}I just had
to make sure it works when I'm
being bossy too.","Venga, que lo pruebo, {{TAG:0005:0008:}}...{{TAG:0000:0004:}}{{TAG:0003:0007:}}¡Oiga! {{TAG:0007:0000:05000000}}¡Camarero, {{TAG:0005:0007:}}!{{TAG:0007:0000:0A000000}}
¡Creo que hay una mosca en mi
{{TAG:0005:0013:0000}}, {{TAG:0005:0007:}}!
{{TAG:0003:0004:}}¡Ay, corazoncito! ¡Es perfecta! {{TAG:0007:0000:0A000000}}
¡Incluso cuando me quejo suena
de maravilla!","D'accord, alors on l'essaie tout de
suite, {{TAG:0005:0008:}}...{{TAG:0000:0004:}}{{TAG:0003:0007:}}Garçon ! {{TAG:0007:0000:0A000000}}Au pied, {{TAG:0005:0007:}} !{{TAG:0007:0000:0A000000}}
Il y a une mouche dans ma soupe,
{{TAG:0005:0007:}} !
{{TAG:0003:0004:}}Waouh, {{TAG:0005:0008:}} ! J'adôôôôre !
{{TAG:0007:0000:0A000000}}Elle sonne vraiment bien. Même
quand je m'énerve. Elle est parfaite.","Bene, fammi provare, {{TAG:0005:0008:}}...{{TAG:0000:0004:}}{{TAG:0003:0007:}}Cameriere! {{TAG:0007:0000:05000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:0A000000}} Avevo
ordinato {{TAG:000E:0002:}}{{TAG:0005:0013:0000}}!
Aspetto da ore, {{TAG:0005:0007:}}!
{{TAG:0003:0004:}}Oh, {{TAG:0005:0008:}}! È perfetta. {{TAG:0007:0000:0A000000}}Sembra
funzionare anche quando devo
alzare la voce.","Danke, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}! {{TAG:0007:0000:28000000}}Ich probiere
es gleich mal aus.{{TAG:0000:0004:}}{{TAG:0003:0007:}}Herr Ober, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:14000000}} Da ist
eine Fliege auf meinem Teller mit
{{TAG:0005:0013:0000}}, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!
{{TAG:0003:0004:}}Oh ja,{{TAG:0007:0000:14000000}} das ist gut! {{TAG:0007:0000:28000000}}Eine gute Parole,{{TAG:0007:0000:08000000}}
die auch spitze klingt, wenn man
mal etwas resoluter sein muss!","Tamam, bir deneyeyim, {{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0007:}}Garson!
{{TAG:0007:0000:05000000}}Buraya gel, {{TAG:0005:0007:}}!{{TAG:0007:0000:0A000000}}
Sanırım {{TAG:0005:0013:0000}}'ımın içinde bir sinek
var, {{TAG:0005:0007:}}!
{{TAG:0003:0004:}}Aa, {{TAG:0005:0008:}}! Bayıldım. {{TAG:0007:0000:0A000000}}Emir verirken de
işe yarıyor mu diye denemem gerekiyordu."
9,010,{{TAG:0009:0001:0B000C000D00}},{{TAG:0009:0001:0B000C000D00}},{{TAG:0009:0001:0B000C000D00}},{{TAG:0009:0001:0B000C000D00}},{{TAG:0009:0001:0B000C000D00}},{{TAG:0009:0001:0B000C000D00}}
