entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0010:}}Nice!{{TAG:0007:0000:14000000}} You went and got her already!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}}
{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}Thanks, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0010:}}¡Anda la osa!{{TAG:0007:0000:14000000}} ¡Has ido a por ella!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}}
{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}¡Requetegracias, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0010:}}Oh !{{TAG:0007:0000:14000000}} T'as fait vite !{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}}{{TAG:000C:0001:}}{{TAG:000C:0003:}} {{TAG:0003:0001:}}Merci,
{{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}}{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0010:}}Ma dai!{{TAG:0007:0000:14000000}} Certo che hai fatto presto!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}}
Sei già qui insieme a lei.
{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}Ehm... grazie, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0010:}}Wow!{{TAG:0007:0000:14000000}} Das ging ja schnell!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}}
{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}Nicht schlecht, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0010:}}Harika!{{TAG:0007:0000:14000000}} Onu hemen bulup getirmişsin!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}{{TAG:0007:0000:14000000}}
{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:0003:0001:}}Sağ ol, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}"
1,002,{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0020:}}Oh! {{TAG:0007:0000:14000000}}Hey!{{TAG:0007:0000:14000000}} I've been waiting for ya!{{TAG:000C:0009:}},"{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0020:}}¡Ahí va! {{TAG:0007:0000:14000000}}¡Qué flipe!{{TAG:0007:0000:14000000}} ¡Justo
os estaba esperando!{{TAG:000C:0009:}}",{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0020:}}Oh !{{TAG:0007:0000:14000000}} Salut !{{TAG:0007:0000:14000000}} J'vous attendais !{{TAG:000C:0009:}},"{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0020:}}Oh! {{TAG:0007:0000:14000000}}Ehi!{{TAG:0007:0000:14000000}} Vi stavo aspettando, sì!{{TAG:000C:0009:}}",{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0020:}}Hey!{{TAG:0007:0000:14000000}} Hab schon auf euch gewartet!{{TAG:000C:0009:}},{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:0020:}}Aa! {{TAG:0007:0000:14000000}}Selam!{{TAG:0007:0000:14000000}} Seni bekliyordum!{{TAG:000C:0009:}}
2,003,"{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:14000000}} Awesome!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} {{TAG:000E:0003:}}{{TAG:0005:0008:}}, you
really brought her!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}¡Hala!{{TAG:0007:0000:14000000}} ¡Alucina pepinillos!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}
Así que al final fuiste a
buscarla, ¿eh, {{TAG:0005:0008:}}?{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Oh !{{TAG:0007:0000:14000000}} Mortel !{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} {{TAG:000E:0003:}}{{TAG:0005:0008:}}, t'as
assuré !{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:14000000}} Non male davvero!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} {{TAG:000E:0003:}}{{TAG:0005:0008:}},
l'hai davvero portata qui!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Boah, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}} Haste extra
'nen Zahn zugelegt, oder wie?{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Aa!{{TAG:0007:0000:14000000}} Harika!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} {{TAG:000E:0003:}}{{TAG:0005:0008:}}, onu gerçekten getirmişsin!{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Finally!{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}Man!{{TAG:0007:0000:14000000}} What took ya so long?{{TAG:0007:0000:14000000}}
I'd almost given up!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}{{TAG:0003:0000:}} Anyway{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}glad
you finally made it!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}¡Ya era hora!{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}¡Oye, qué mal!{{TAG:0007:0000:14000000}}
¿Cómo habéis tardado tanto?{{TAG:0007:0000:14000000}}
¡Estaba a punto de pirarme ya!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}{{TAG:0003:0000:}}{{TAG:0000:0004:}}En fin{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} ¡me alegro de veros!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Enfin !{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}C'est pas trop tôt !{{TAG:0007:0000:14000000}} J'y 
croyais plus...{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Mais bref{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Z'êtes là,
c'est le principal.{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Era ora!{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}Stavo per addormentarmi
dalla noia!{{TAG:0007:0000:14000000}} Ci voleva così tanto?{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}{{TAG:0003:0000:}}
Comunque sia{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} ora siete qui!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Endlich!{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}{{TAG:0007:0000:14000000}}Wo habt ihr zwei Gurken
euch denn rumgetrieben?{{TAG:0007:0000:14000000}} Ich hab ja
schon fast graue Haare bekommen!
{{TAG:0003:0009:}}Ich reg mich jetzt nicht mehr
auf{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:0025:}} Nun seid ihr ja da!{{TAG:000C:0009:}}","{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Sonunda!{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}Yahu!{{TAG:0007:0000:14000000}} Niye bu kadar geciktiniz?{{TAG:0007:0000:14000000}}
Neredeyse umudu kesecektim!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}{{TAG:0003:0000:}} Neyse{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
sonunda gelmenize sevindim!{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Hey there, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0000:}}What's the deal getting {{TAG:0005:0008:}}
to run your, like, errands for you?
{{TAG:0003:0017:}}Got some big news?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}¡Hola, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0000:}}¿Cómo es que tienes a {{TAG:0005:0008:}}
haciéndote recados?
{{TAG:0003:0017:}}¿Tienes alguna gran noticia
que darme?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Kikou, {{TAG:0011:0001:0000}} !{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Depuis quand
{{TAG:0005:0008:}} est {{TAG:000E:0006:0C0064006500760065006E0075000E0064006500760065006E0075006500}} ta bonniche,
lol ?
{{TAG:0003:0017:}}Et donc ? Tu as une grande nouvelle
à m'annoncer ? Dis-moi tout !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Ciaaao, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0000:}}Come mai
{{TAG:0005:0008:}} mi è venut{{TAG:000E:0006:02006F0002006100}} a chiamare
al posto tuo?{{TAG:0000:0004:}}{{TAG:0003:0017:}}Hai qualche notizia
stratosferica in serbo per me?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Huhu, {{TAG:0011:0001:0000}}!{{TAG:0003:0000:}} {{TAG:0007:0000:28000000}}Was ist denn
los, dass du extra {{TAG:0005:0008:}}
losschickst, um mich zu holen?
{{TAG:0003:0017:}}Ist irgendwas Superwichtiges
passiert?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Selam, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0000:}}{{TAG:0005:0008:}} kişisini ayak işine göndermen
de neyin nesi?
{{TAG:0003:0017:}}Yoksa bomba gibi bir haberin mi var?{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Hey, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}}
I heard you were looking for me.{{TAG:0000:0004:}}{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}} seemed totally serious
about it, so I came right away!
{{TAG:0003:0017:}}Some kinda big news?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}¿Qué tal, {{TAG:0011:0001:0000}}?{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0008:}} me ha dicho que
me estabas buscando.
{{TAG:0003:0015:}}¡Parecía algo serio así que
he venido superrápido!{{TAG:0000:0004:}}{{TAG:0003:0017:}}¿Tienes algo importante que
anunciar?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Coucou, {{TAG:0011:0001:0000}} !{{TAG:0007:0000:14000000}}
Tu voulais me voir ?{{TAG:0000:0004:}}{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}} faisait une tête de...
déterrement, alors j'ai fait au plus
vite !
Mais je t'écoute ! {{TAG:0003:0017:}}De quoi s'agit-il ?
Un ragot tout frais, peut-être ? Une
grande nouvelle ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Ciaaao, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}} Mi stavi
cercando, vero?{{TAG:0000:0004:}}{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}} aveva una faccia così
seria, che ho pensato di venire
subito! {{TAG:0003:0017:}}Che c'è? Dai, spara!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Hey, {{TAG:0011:0001:0000}}! {{TAG:0007:0000:14000000}}{{TAG:0005:0008:}} hat
mir gesagt, dass du mich unbedingt
sehen willst!
{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}} schien's voll ernst zu
sein, {{TAG:0007:0000:0A000000}}also bin ich direkt mitgekom-
men!
{{TAG:0003:0017:}}Gibt's wichtige Neuigkeiten, oder
so was?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Selam, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}}
Beni aradığını duydum.{{TAG:0000:0004:}}{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}} öyle
ciddi anlattı ki
hemen geldim!
{{TAG:0003:0017:}}Büyük bir haber falan mı var?{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Howdy!{{TAG:0007:0000:14000000}} Thanks for the invite!{{TAG:0000:0004:}}{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}} here was acting like it 
was something wayyy important{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Big news or something?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}¡Buenas!{{TAG:0007:0000:14000000}} ¡Gracias por invitarme!{{TAG:0007:0000:14000000}}
{{TAG:0003:0015:}}Por la cara de {{TAG:0005:0008:}} parecía
algo importante.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}¿Querías verme, no?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Kikou !{{TAG:0007:0000:14000000}} C'est gentil de m'avoir
invitée !{{TAG:0000:0004:}}{{TAG:0003:0015:}}J'ai rarement vu {{TAG:0005:0008:}} aussi
{{TAG:000E:0006:0E007300E9007200690065007500780010007300E900720069006500750073006500}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}tu as une grande nouvelle
à m'annoncer, peut-être ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Eccomi qua!{{TAG:0007:0000:14000000}} E grazie per avermi
invitata!{{TAG:0000:0004:}}{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}} mi ha fatto capire
che era una cosa proprio
importante{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}Sono tutta orecchi!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Heyho! {{TAG:0007:0000:14000000}}Danke für die Einladung!{{TAG:0000:0004:}}{{TAG:0003:0015:}}So wie {{TAG:0005:0008:}} sich benommen
hat, schien's was Wichtiges zu sein...
{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Gibt's was Neues?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0003:0020:}}Selamlar!{{TAG:0007:0000:14000000}} Davetin için sağ ol!{{TAG:0000:0004:}}{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}
öyle aşırı önemli bir şeymiş
gibi anlattı ki{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Büyük bir haber mi var?{{TAG:000C:0009:}}"
7,008,,,,,,
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}Umm, yeah, it's probably not as big
a deal as all that, {{TAG:0011:0001:0100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}

But I got this thing I borrowed from
someone, and I forgot who.{{TAG:0007:0000:28000000}} {{TAG:0003:0000:}}Is it
yours? {{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}Mmm, sí, bueno, la verdad es que
no es nada serio, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}Es que tengo aquí una cosilla que
alguien me prestó, ¡pero no sé
quién fue!{{TAG:0007:0000:28000000}} {{TAG:0003:0000:}}A ver, ¿esto es tuyo?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}Eeeuuuh, pas vraiment{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}J'essaie juste de retrouver à qui
j'avais emprunté ce truc, là.{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}} Ce
serait pas l'tien, à tout hasard ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0001:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}È vero, magari non c'era bisogno
di farti chiamare in tutta fretta,
{{TAG:0011:0001:0100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Però insomma, ho con me una cosa
che mi ha prestato qualcuno...{{TAG:0007:0000:28000000}}
{{TAG:0003:0000:}}Eri tu questo qualcuno?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}Nee, nicht wirklich, {{TAG:0011:0001:0100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Ich hab mir was von jemandem
ausgeliehen und weiß nicht mehr von
wem!{{TAG:0007:0000:28000000}} {{TAG:0003:0023:}}Sind das nicht tolle News? {{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:0003:001B:}}Şey, evet, aslında o kadar büyük
bir mesele değil, {{TAG:0011:0001:0100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}

Birinden ödünç aldığım bir şey var
ama kimden aldığımı unuttum.{{TAG:0007:0000:28000000}} {{TAG:0003:0000:}}Acaba senin mi? {{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}What?!{{TAG:0007:0000:14000000}} No way! That IS mine!{{TAG:0000:0004:}}{{TAG:0003:0002:}}I'm super surprised!{{TAG:0007:0000:14000000}} I couldn't find
it in my house, so I thought I'd lost
it forever! {{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}{{TAG:0003:0000:}}I totally owe you!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0003:000F:}}¡Qué fuerte!{{TAG:0007:0000:14000000}} ¡Claro que es mío!{{TAG:0000:0004:}}{{TAG:0003:0002:}}¡Busqué por toda la casa y al no
encontrarlo pensé que lo había
perdido! {{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}¡Qué chachi!{{TAG:0007:0000:08000000}} ¡Te debo una!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:000F:}}Hiiiiii !{{TAG:0007:0000:14000000}} Bah si ! C'est bien le
mien !{{TAG:0000:0004:}}{{TAG:0003:0002:}}C'est énorme !{{TAG:0007:0000:14000000}} J'avais tiré un trait
dessus vu qu'il était nulle part chez
moi !{{TAG:0007:0000:28000000}} {{TAG:0003:0025:}}Recharge de revanche...!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}} Come?!{{TAG:0007:0000:14000000}} Come è possibile?!
Che storia! Era una cosa
che ti avevo prestato io!
{{TAG:0003:0002:}}Che sorpresona!{{TAG:0007:0000:14000000}} A casa non riuscivo
a trovarla. La immaginavo persa
per sempre! {{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}{{TAG:0003:0000:}}Ti devo un favore!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Was?! {{TAG:0007:0000:14000000}}Gibt's ja nicht! {{TAG:0007:0000:14000000}}Das Ding
gehört mir!{{TAG:0007:0000:14000000}}
{{TAG:0003:0002:}}Was für eine coole Überraschung!
{{TAG:0007:0000:14000000}}Ich hab zu Hause überall danach
gesucht und dachte echt schon,
ich hätt's für immer verloren!
{{TAG:0003:0025:}}Du hast total was gut bei mir!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0002:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}Ne?!{{TAG:0007:0000:14000000}} Yok artık! Bu gerçekten
benim!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Çok şaşırdım!{{TAG:0007:0000:14000000}} Evde bulamayınca
sonsuza dek kaybettim sanmıştım!
{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}{{TAG:0003:0000:}}Sana borçlandım!"
