index,key,F,G,I,S,U,TR
0,MID_様子_ミリエル_前_敬さん,"En constituant un duo, nous augmenterions
nos chances de remporter la victoire.","Schließen wir uns zusammen? Gemeinsames
Kämpfen erhöht unsere Erfolgsaussichten.","Volete combattere con me? Le probabilità
di successo aumenterebbero notevolmente.","¿Nos asociamos en combate? Luchar en
equipo aumenta la probabilidad de éxito.","Would you pair up with me? Fighting in
teams increases our probability of success.","Benimle eşleşir misiniz? Takım hâlinde
savaşmak başarı şansımızı artırır."
1,MID_様子_ミリエル_前,"En constituant un duo, nous augmenterions
nos chances de remporter la victoire.","Schließen wir uns zusammen? Gemeinsames
Kämpfen erhöht unsere Erfolgsaussichten.","Volete combattere con me? Le probabilità
di successo aumenterebbero notevolmente.","¿Nos asociamos en combate? Luchar en
equipo aumenta la probabilidad de éxito.","Would you pair up with me? Fighting in
teams increases our probability of success.","Benimle eşleşir misin? Takım hâlinde
savaşmak başarı şansımızı artırır."
2,MID_様子_ミリエル_前_敬様,"En constituant un duo, nous augmenterions
nos chances de remporter la victoire.","Schließen wir uns zusammen? Gemeinsames
Kämpfen erhöht unsere Erfolgsaussichten.","Volete combattere con me? Le probabilità
di successo aumenterebbero notevolmente.","¿Nos asociamos en combate? Luchar en
equipo aumenta la probabilidad de éxito.","Would you pair up with me? Fighting in
teams increases our probability of success.","Benimle eşleşir misiniz? Takım hâlinde
savaşmak başarı şansımızı artırır."
3,MID_様子_ミリエル_後_敬さん,"Fort pertinent ! C'est notre devoir : former
un duo augmente la probabilité de victoire.","Wohl gesprochen! Gemeinsames Kämpfen
erhöht unsere Erfolgsaussichten.","Le probabilità di successo aumenterebbero!
Buona osservazione, contate su di me.","Acepto la proposición. Agruparse implica
un alto índice de probabilidad de éxito.","Aptly put! Teaming up ameliorates our
chances of success... Very well, I am yours.","Doğru! Takım olmak başarı şansımızı
artırır. Pekâlâ, emrindeyim."
4,MID_様子_ミリエル_後_敬様,"Fort pertinent ! C'est notre devoir : former
un duo augmente la probabilité de victoire.","Wohl gesprochen! Gemeinsames Kämpfen
erhöht unsere Erfolgsaussichten.","Le probabilità di successo aumenterebbero!
Che proposta allettante! Contate su di me.","Acepto la proposición. Agruparse implica
un alto índice de probabilidad de éxito.","Aptly put! Teaming up ameliorates our
chances of success... Very well, I am yours.","Doğru! Takım olmak başarı şansımızı
artırır. Pekâlâ, emrindeyim."
5,MID_様子_ミリエル_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_ミリエル_前_親子_子,"Parlez-moi du futur, $Np.
Quels étranges phénomènes recèle-t-il ?","Erzähle mir von der Zukunft, $Np.
Welch sonderbare Phänomene gibt es dort?","Raccontatemi del futuro, $Np.
Quali strani fenomeni avete esperito?","Cuéntame sobre el futuro, $Np.
¿Cuánto ha evolucionado la ciencia?","Tell me about the future, $Np.
What strange phenomena does it hold?","Bana gelecekten bahset, $Np.
Hangi tuhaf olguları barındırıyor?"
7,MID_様子_ミリエル_後_親子_子,"Ayant une légère tendance à l'obsession, je
passais bien du temps à ranger et à classer.$k$pLes Veilleurs sont d'excellents combattants,
mais leur sens de l'organisation m'inquiète.$k$pTout ce qui traîne doit être brûlé.
Vous voyez ? Le feu fait l'affaire.","Ich neige zu obsessivem Verhalten. Deshalb
sortierte und putzte ich die meiste Zeit.$k$pDie Hirten sind gute Kämpfer, aber ihr
Organisationstalent ist ärgerlich schlecht.$k$pWas liegen bleibt, muss verbrannt werden.
...Siehst du? Feuer erledigt den Rest.","Per liberarmi delle mie ossessioni
passavo il tempo a pulire e riordinare.$k$pI Pastori sono ottimi soldati, ma il loro
assetto organizzativo mi rendeva biliosa.$k$pQuello che è lasciato per terra incustodito
deve essere bruciato. Vedete? Così.","Pues soy un tanto obsesiva, así que me
dedico a limpiarlo y organizarlo todo.$k$pLos Custodios son excelentes guerreros,
mas sus dotes de organización son nulas.$k$pSi un objeto se halla fuera de lugar, ha de
quemarse. ¿Ves? El fuego lo resuelve todo.","I tend to be a bit obsessive, so I spent
most of my time cleaning and sorting.$k$pThe Shepherds excel at fighting, but their
organisation skills make me bilious.$k$pWhatever is left lying around must be
burned... See? Fire does the trick.","Biraz takıntılıyım; vaktimin çoğunu
temizlik ve düzenlemeye harcadım.$k$pÇobanlar savaşta ustalar ama düzen
becerileri midemi bulandırıyor.$k$pOrtalıkta ne kaldıysa
yakılmalı... Gördün mü? Ateş işe yarar."
8,MID_様子_ミリエル_前_恋人,"$Np, tout est une question de
modération. Ou je finirai veuve.","$Np, übe dich in Vernunft, sonst
wirst du mich als Witwe zurücklassen.","$Np, moderate i vostri sforzi
bellici o mi ritroverò vedova.","$Np, comienza a ser más
precavido o me dejarás viuda.","$Np, apply yourself in
moderation, or you shall leave me a widow.","$Np, ölçülü
davranın, yoksa beni dul bırakacaksınız."
9,MID_様子_ミリエル_後_恋人,"Je n'offre aucune garantie, mais je vais
m'appliquer à ne pas faire pleurer ces yeux.","Ich gebe keine Garantie, aber ich tue mein
Möglichstes, dir keinen Kummer zu bereiten.","Non posso offrirvi garanzie scritte, ma mi
premurerò di non cagionarvi afflizioni.","No te puedo dar una garantía, mas me
esmeraré para no causarte aflicción alguna.","I make no strict guarantees, but I shall
endeavour not to bring tears to your eyes.","Kesin bir garanti vermiyorum ama
gözlerinizi yaşlandırmamaya çalışacağım."
