index,key,F,G,I,S,U,TR
0,MID_様子_マリアベル_前,"Que me vaut cet air satisfait ? On a fait une
heureuse découverte ?","Warum das zufriedene Gesicht?
Ist da etwa jemand zu Geld gekommen?","Perché quell'espressione compiaciuta?
Siamo diventati ricchi all'improvviso?","¡Oh! Qué magnífico día tenemos hoy, ¿no
es cierto? Apetece tomar el té al aire libre.","Why the satisfied expression?
Did you suddenly come into money?","Bu memnun hâlin de ne?
Yoksa birden zengin mi oldun?"
1,MID_様子_マリアベル_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_マリアベル_前_敬さん,"Que me vaut cet air satisfait ? Quelqu'un
a fait une heureuse découverte ?","Warum das zufriedene Gesicht?
Ist da etwa jemand zu Geld gekommen?","Perché quell'espressione compiaciuta?
Siamo diventati ricchi all'improvviso?","¡Oh! Qué magnífico día tenemos hoy, ¿no
es cierto? Apetece tomar el té al aire libre.","Why the satisfied expression?
Did you suddenly come into money?","Bu memnun hâlin de ne?
Yoksa birden zengin mi oldun?"
3,MID_様子_マリアベル_前_敬様,"Que me vaut cet air satisfait ? Auriez-vous
fait une heureuse découverte ?","Warum das zufriedene Gesicht?
Ist da etwa jemand zu Geld gekommen?","Perché quell'espressione compiaciuta?
Siamo diventati ricchi all'improvviso?","¡Oh! Qué magnífico día tenemos hoy, ¿no
es cierto? Apetece tomar el té al aire libre.","Why the satisfied expression?
Did you suddenly come into money?","Bu memnun hâlin de ne?
Yoksa birden zengin mi oldunuz?"
4,MID_様子_マリアベル_後,"Certainement pas. C'est mon thé du matin
qui m'a mise de bonne humeur.","Oh, der morgendliche Tee war einfach so
erfrischend und hat meine Laune gehoben.","Assolutamente no. È il tè di prima
ad avermi messo di buon umore.","¡En efecto! Yo me voy a preparar un té, que
es el mejor modo de reconfortarse.","Certainly not. This morning's tea was
refreshing and put me in high spirits.","Hayır. Sabah çayı çok ferahlatıcıydı;
keyfim ondan yerinde."
5,MID_様子_マリアベル_後_敬さん,"Certainement pas. C'est mon thé du matin
qui m'a mise de bonne humeur.","Oh, der morgendliche Tee war einfach so
erfrischend und hat meine Laune gehoben.","Assolutamente no. È il tè di prima
ad avermi messo di buon umore.","¡En efecto! Yo me voy a preparar un té, que
es el mejor modo de reconfortarse.","Certainly not. This morning's tea was
refreshing and put me in high spirits.","Hayır. Sabah çayı çok ferahlatıcıydı;
keyfim ondan yerinde."
6,MID_様子_マリアベル_後_敬様,"Certainement pas. C'est mon thé du matin
qui m'a mise de bonne humeur.","Oh, der morgendliche Tee war einfach so
erfrischend und hat meine Laune gehoben.","Assolutamente no. È il tè di prima
ad avermi messo di buon umore.","¡En efecto! Yo me voy a preparar un té, que
es el mejor modo de reconfortarse.","Certainly not. This morning's tea was
refreshing and put me in high spirits.","Hayır. Sabah çayı çok ferahlatıcıydı;
keyfim ondan yerinde."
7,MID_様子_マリアベル_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
8,MID_様子_マリアベル_前_親子_子,"Je ne supporterai pas que mon enfant soit
dans le besoin. Avez-vous des désirs ?","Was brauchst du, $Np?
Meinem Kind soll es an nichts mangeln.","Se hai bisogno di qualcosa, dimmelo.
Non voglio che ti manchi nulla.","¿Qué puedo hacer por ti, $Np?
¡No quiero que te falte de nada!","Tell me what you need, $Np.
I'll not allow my child to go without.","Ne istediğini söyle,

$Np. Çocuğumun eksiği kalmayacak."
9,MID_様子_マリアベル_後_親子_子,"J'aimerais une belle robe de mousseline... Si
elle est laide, c'est VOUS qui la porterez !","Ich hätte gerne ein hübsches Kleid. Und
wenn es nicht modisch ist, ziehst DU es an!","Mi piacerebbe un bel vestito ricamato.
E guai a te se non è firmato!","Quiero un vestido con muchos adornos y
volantes. ¡Y que sea de alta costura!","I would like a nice, frilly dress. And if it
isn't haute couture, I'll make YOU wear it!","Güzel, fırfırlı bir elbise istiyorum. Ve
eğer haute couture değilse, onu sana
giydireceğim!"
10,MID_様子_マリアベル_前_恋人,"Vous avez perdu quelque chose,
$Np. Mais qu'est-ce donc ?","Dir ist etwas zu Boden gefallen,
$Np. Was ist das denn?","Che cos'è quell'oggetto che
ti è caduto, $Np?","¿Qué es esto, $Np?
Se te acaba de caer.","You dropped something, $Np.
What is it?","Bir şey düşürdün,
$Np. Nedir?"
11,MID_様子_マリアベル_後_恋人,"C'est un thé des plus délicats. ... Hé, mais
je n'ai jamais dit que c'était pour vous !","Dies sind die allerfeinsten Teeblätter.
...Wer sagt, ich habe sie für dich gekauft?!?","Queste sono foglie del tè più pregiato.
Ehi, chi ha detto che sono per te?","Es un té carísimo. ¡Aparta tus sucias manos!
¡¿Quién ha dicho que sea para ti?!","These are the finest of tea leaves.
...Hey, who said I got them for you?!","Bunlar çay yapraklarinin en güzelleridir.
...Hey, bunları sana aldığimi kim söyledi?"
