entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0025:}}It's {{TAG:0005:0000:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}Aren't you just a go-getter,
getting out in the rain like this!","{{TAG:0003:0025:}}¡Si eres {{TAG:0005:0000:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}¿A ti no se te riza el pelo con la
humedad? Qué suerte tienes.","{{TAG:0003:0025:}}Waouh, {{TAG:0005:0000:}} !
{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}C'est pas trois gouttes de pluie qui
t'arrêtent, toi ! {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0025:}}Sei tu, {{TAG:0005:0000:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}Sei {{TAG:000E:0006:060075006E006F00060075006E006100}} forte tu, eh? Chi altro
uscirebbe con tutta 'sta pioggia?","{{TAG:0003:0025:}}Hey, {{TAG:0005:0000:}}! {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Wow, du lässt dich
vom Regen echt nicht abschrecken,
{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}{{TAG:0005:0000:}} gelmiş!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}Böyle yağmurda dışarı çıktığına göre tam
bir iş bitiricisin!"
1,002,"{{TAG:0003:0005:}}Heya, {{TAG:0005:0000:}}!
I'm, like, so glad to see you,
{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¿Qué tal, {{TAG:0005:0000:}}?
Hoy está el día muy tonto,
{{TAG:0005:0007:}}.","{{TAG:0003:0005:}}Kikou, {{TAG:0005:0000:}} !
C'est gentil de venir mettre un peu
d'ambiance, {{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Evvai, ecco {{TAG:0005:0000:}}!
Cioè, dico, sono troppo contenta
di vederti, {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Hi, {{TAG:0005:0000:}}!
{{TAG:0007:0000:14000000}}Ich freu mich total, dich zu
sehen, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Selam, {{TAG:0005:0000:}}!
Seni gördüğüme çooook sevindim, {{TAG:0005:0007:}}!"
2,003,"{{TAG:0003:0010:}}Oh! {{TAG:000E:0003:}}{{TAG:0005:0000:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}You must have come to see how
my skin simply glistens in the rain!","{{TAG:0003:0010:}}¡Ah! ¡{{TAG:000E:0003:}}{{TAG:0005:0000:}}! ¿Qué hay?
{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}La lluvia me sienta divinamente.
¡Me hidrata la piel que no veas!","{{TAG:0003:0010:}}{{TAG:000E:0003:}}{{TAG:0005:0000:}} ! Tu tombes bien !
{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}Regarde ! Tu as vu ? Ma peau luit
sous la pluie, {{TAG:0005:0007:}} !","{{TAG:0003:0010:}}Oh, {{TAG:0005:0000:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}Sei venut{{TAG:000E:0006:02006F0002006100}} fin qui per vedermi
ballare sotto la pioggia!","{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0000:}}! {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Du bist sicher hier,
um zu sehen, wie toll meine Haut im
Regen glänzt, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Aa! {{TAG:000E:0003:}}{{TAG:0005:0000:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}Yağmurda cildimin nasıl ışıldadığını
görmeye geldin kesin!"
3,004,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Good morning{{TAG:0007:0007:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}I'm not going to let this cruddy
weather get me down, {{TAG:0005:0000:}}!","{{TAG:0003:0001:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Buenos días, {{TAG:0005:0000:}}{{TAG:0007:0007:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}No permitiré que el mal tiempo
me deprima. ¡No, no, no!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Salut toi{{TAG:0007:0007:}} !{{TAG:0000:0004:}}{{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}Non, non et non !
Cette pluie battante ne me minera
pas le moral, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Buongiorno{{TAG:0007:0007:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}Che tristezza 'sto tempaccio,
{{TAG:0005:0000:}}! Balliamo che ci passa!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Guten Morgen{{TAG:0007:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0024:}}{{TAG:000E:0003:}}{{TAG:0005:0000:}}, dieses miese Wetter
wird mir nicht den Tag verderben,
{{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Günaydın{{TAG:0007:0007:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}Bu berbat havanın moralimi bozmasına
izin vermeyeceğim, {{TAG:0005:0000:}}!"
4,005,"{{TAG:0003:0001:}}You came for a visit! Good day for
it too! {{TAG:000E:0003:}}{{TAG:0005:0005:}} is fabulous in
the rain, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}¿Vienes de visita? ¡Súper!
{{TAG:000E:0003:}}{{TAG:0005:0005:}} es lo más, incluso
cuando llueve, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Floc floc,{{TAG:0007:0000:0A000000}} youpi !{{TAG:0007:0000:14000000}} Vive la pluie !{{TAG:0007:0000:14000000}}
C'est pas crédible ?{{TAG:0007:0000:14000000}} On se motive
comme on peut, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Che bella giornata per una visita!
{{TAG:000E:0003:}}{{TAG:0005:0005:}} è da urlo sotto
la pioggia, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Hey, cool, dich hier zu sehen!
{{TAG:0007:0000:14000000}}Du hast dir einen guten Tag für
einen Besuch ausgesucht!
{{TAG:000E:0003:}}{{TAG:0005:0005:}} bei Regen ist einfach
nur klasse, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Ziyarete geldin! Üstelik gün de tam
uygun! {{TAG:000E:0003:}}{{TAG:0005:0005:}}
{{TAG:0005:0007:}} yağmurda muhteşem oluyor."
5,006,"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hello, hello, hello{{TAG:0007:0007:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:000B:}}So all this rain in the morning...?{{TAG:0007:0000:1E000000}}
{{TAG:0003:0003:}}I think it's AWESOME!","{{TAG:0003:0025:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola, hola, hola{{TAG:0007:0007:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:000B:}}¿Has visto la que está cayendo?{{TAG:0007:0000:0A000000}}
{{TAG:0003:0003:}}¡Qué{{TAG:0007:0000:08000000}} chulada!","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Coucou{{TAG:0007:0007:}} !
{{TAG:0007:0000:1E000000}}{{TAG:0003:000B:}}Tu as vu toute cette pluie ?{{TAG:0007:0000:1E000000}} {{TAG:0003:0003:}}Moi
j'adore ! Et toi, {{TAG:0005:0007:}} ?","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ciaaaaao{{TAG:0007:0007:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:000B:}}Che ne pensi di questa mattina
piovosa...?{{TAG:0007:0000:1E000000}}
{{TAG:0003:0003:}}Tutta 'sta pioggia spacca!","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, hey, hey{{TAG:0007:0007:}}!
{{TAG:0007:0000:14000000}}{{TAG:0003:000B:}}Es regnet echt schon den
ganzen Morgen... 
{{TAG:0003:0003:}}Das ist so was von cool,
{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Merhaba, merhaba, merhabaaa{{TAG:0007:0007:}}!
{{TAG:0007:0000:1E000000}}{{TAG:0003:000B:}}Sabah sabah bu kadar yağmur...?{{TAG:0007:0000:1E000000}}
{{TAG:0003:0003:}}Bence MÜTHİŞ!"
6,007,"{{TAG:0003:0001:}}Great to see you, {{TAG:0005:0000:}}!
Hey, if you hate the rain, stand
close to me!
{{TAG:0007:0000:0A000000}}{{TAG:0003:0003:}}I'm the sunniest one around here!","{{TAG:0003:0001:}}¡{{TAG:000E:0003:}}{{TAG:0005:0000:}}! Estás estupend{{TAG:000E:0006:02006F0002006100}}.
Oye, si te molesta la lluvia,
quédate a mi lado.
{{TAG:0007:0000:0A000000}}{{TAG:0003:0003:}}¡Todo el mundo sabe que
soy un sol!","{{TAG:0003:0001:}}Coucou, {{TAG:0005:0000:}} ! Si le soleil te
manque, {{TAG:0005:0007:}}... {{TAG:0007:0000:0A000000}}{{TAG:0003:0003:}}Tu n'as
qu'à me regarder !","{{TAG:0003:0001:}}Che storia, {{TAG:0005:0000:}}!
Senti, se la pioggia ti butta giù,
balla con me!
{{TAG:0007:0000:0A000000}}{{TAG:0003:0003:}}Ti tiro su io! Non lo sai che sono
stata Miss Simpatia tre anni fa?","{{TAG:0003:0001:}}Schön, dich zu sehen, {{TAG:0005:0000:}}!{{TAG:0000:0004:}}Hey, wenn du den Regen nicht
leiden kannst, {{TAG:0007:0000:14000000}}stell dich doch
einfach neben mich!
{{TAG:0003:0003:}}Niemand hier ist so strahlend und
sonnig wie ich, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Seni görmek harika, {{TAG:0005:0000:}}!
Hey, yağmurdan nefret ediyorsan yanıma gel!
{{TAG:0007:0000:0A000000}}{{TAG:0003:0003:}}Buraların en güneşli kişisi benim!"
7,008,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Woohoo{{TAG:0007:0007:}}!
Come for a visit, {{TAG:0005:0000:}}?{{TAG:0000:0004:}}{{TAG:0003:000D:}}Hey, wait! What are you looking at?
Did I dress totally wrong for
rainy weather, {{TAG:0005:0007:}}?","{{TAG:0003:0001:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Oyeee{{TAG:0007:0007:}}!
¿De visita, {{TAG:0005:0000:}}?{{TAG:0000:0004:}}{{TAG:0003:000D:}}¿Eh? ¿Por qué me miras así?
¿Mi conjunto no pega con la lluvia
o qué, {{TAG:0005:0007:}}?","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Yesssss{{TAG:0007:0007:}} !
Avis à la population : {{TAG:0005:0000:}} est
là ! La fête peut commencer !
{{TAG:0003:000D:}}J'ai dit quelque chose qu'il ne fallait
pas ? Ah oui, on me dit souvent que
je parle fort, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ciaaao{{TAG:0007:0007:}}!
Sei qui in visita, {{TAG:0005:0000:}}?{{TAG:0000:0004:}}{{TAG:0003:000D:}}Che c'è? Cos'hai da guardare?
Dici che sono vestita male per
questo tempaccio, {{TAG:0005:0007:}}?","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Heyho{{TAG:0007:0007:}}!
{{TAG:0007:0000:14000000}}Bist du zu Besuch, {{TAG:0005:0000:}}?{{TAG:0000:0004:}}{{TAG:0003:000D:}}Hey, {{TAG:0007:0000:0A000000}}warte mal! {{TAG:0007:0000:14000000}}Was guckst du so?
{{TAG:0007:0000:14000000}}Passen meine Klamotten nicht zum
Wetter oder was, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Vuhuu{{TAG:0007:0007:}}!
Ziyarete mi geldin, {{TAG:0005:0000:}}?{{TAG:0000:0004:}}{{TAG:0003:000D:}}
Hey, dur! Neye bakıyorsun?
Yağmura göre tamamen yanlış
mı giyindim, {{TAG:0005:0007:}}?"
8,009,"{{TAG:0003:000F:}}Ohmigosh! {{TAG:0007:0000:1E000000}}Tell me the truth!
{{TAG:0003:0003:}}This rain makes me look totally
slick, right, {{TAG:0005:0000:}}?","{{TAG:0003:000F:}}¡Eh, dime la verdad!
{{TAG:0003:0003:}}¿A que estoy requeteguapa
bajo la lluvia, {{TAG:0005:0000:}}?","{{TAG:0003:000F:}}Tu tombes bien !{{TAG:0007:0000:1E000000}}
J'ai une question pour toi. Je veux
que tu me répondes franchement.
Est-ce que j'ai l'air TROP
visqueuse ? {{TAG:0003:0003:}}Je crois bien que j'ai
abusé de la pluie, {{TAG:0005:0000:}} !","{{TAG:0003:000F:}}Urca! {{TAG:0007:0000:1E000000}}Dimmi la verità!
{{TAG:0003:0003:}}Questa pioggia mi fa sembrare
uno schianto, {{TAG:0005:0000:}}?","{{TAG:0003:000F:}}Oh Mann! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0000:}}, sei ehrlich!
{{TAG:0007:0000:14000000}}{{TAG:0003:0003:}}Im Regen seh ich total stylish aus,
oder, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","{{TAG:0003:000F:}}Aman Tanrım! {{TAG:0007:0000:1E000000}}Doğruyu söyle!
{{TAG:0003:0003:}}Bu yağmur beni acayip havalı gösteriyor,
değil mi, {{TAG:0005:0000:}}?"
9,010,"{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0000:}}!
Look at you, all out and about.
{{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}Sure is rainy, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¡{{TAG:000E:0003:}}{{TAG:0005:0000:}}!
¡Pero si estás empapad{{TAG:000E:0006:02006F0002006100}}! {{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}¡Hay que
ver cómo llueve, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0000:}} !
Regarde-toi ! La pluie te va si bien !
{{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}Je suis jalouse, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0000:}}!
Guarda un po' come sei zupp{{TAG:000E:0006:02006F0002006100}}.
{{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}Direi che piove, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Hey, {{TAG:0005:0000:}}! {{TAG:0007:0000:14000000}}Du bist ja ganz
schön unterwegs heute. {{TAG:0007:0000:14000000}}{{TAG:0003:0024:}}Ziemlich
verregnet, {{TAG:0007:0000:0A000000}}was, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?!?","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0000:}}!
Bak sana, dışarıda dolanıyorsun.
{{TAG:0007:0000:1E000000}}{{TAG:0003:0024:}}Bayağı yağmurlu, {{TAG:0005:0007:}}!"
