entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,,{{TAG:000E:0000:000103CD}}tuna casserole,{{TAG:000E:0000:010003CD}}atún con tomate,{{TAG:000E:0000:010703CD}}steak de thon,{{TAG:000E:0000:010F05CD}}risotto,{{TAG:000E:0000:010103CD}}Kartoffelbrei,{{TAG:000E:0000:000103CD}}ton balıklı fırın yemeği
1,,{{TAG:000E:0000:000103CD}}pasta salad,{{TAG:000E:0000:020204CD}}ensalada de pasta,{{TAG:000E:0000:020804CD}}tapenade,{{TAG:000E:0000:011108CD}}ossobuco,{{TAG:000E:0000:010103CD}}Nudelsalat,{{TAG:000E:0000:000103CD}}makarna salatası
2,,{{TAG:000E:0000:000103CD}}potato salad,{{TAG:000E:0000:010103CD}}falafel,{{TAG:000E:0000:010703CD}}pain pita,{{TAG:000E:0000:010C09CD}}pizzoccheri,{{TAG:000E:0000:030105CD}}Omelett,{{TAG:000E:0000:000103CD}}patates salatası
3,,{{TAG:000E:0000:000103CD}}mixed paella,{{TAG:000E:0000:020204CD}}paella,{{TAG:000E:0000:020804CD}}paella royale,{{TAG:000E:0000:021007CD}}peperonata,{{TAG:000E:0000:020204CD}}Paella,{{TAG:000E:0000:000103CD}}karışık paella
4,,{{TAG:000E:0000:000103CD}}cioppino,{{TAG:000E:0000:010103CD}}botillo,{{TAG:000E:0000:020804CD}}daube,{{TAG:000E:0000:010F05CD}}brasato,{{TAG:000E:0000:020204CD}}Fischsuppe,{{TAG:000E:0000:000103CD}}deniz ürünlü güveç
5,,{{TAG:000E:0000:000103CD}}bibimbap,{{TAG:000E:0000:010103CD}}arroz tres delicias,{{TAG:000E:0000:020804CD}}ratatouille,{{TAG:000E:0000:021007CD}}bagna cauda,{{TAG:000E:0000:010103CD}}Kaiserschmarrn,{{TAG:000E:0000:000103CD}}sebzeli Kore pilavı
6,,{{TAG:000E:0000:000103CD}}shrimp gumbo,{{TAG:000E:0000:020204CD}}fabada,{{TAG:000E:0000:010703CD}}cake aux crevettes,{{TAG:000E:0000:021007CD}}fonduta,{{TAG:000E:0000:010103CD}}Krabbensalat,{{TAG:000E:0000:000103CD}}karidesli gumbo
7,,{{TAG:000E:0000:000103CD}}ceviche,{{TAG:000E:0000:010003CD}}cebiche,{{TAG:000E:0000:020804CD}}brandade de morue,{{TAG:000E:0000:011108CD}}arrosto con patate,{{TAG:000E:0000:010103CD}}Backfisch,{{TAG:000E:0000:000103CD}}marine balık
8,,{{TAG:000E:0000:000103CD}}carbonara,{{TAG:000E:0000:010003CD}}queso feta,{{TAG:000E:0000:020804CD}}tarte à l'oignon,{{TAG:000E:0000:021007CD}}zuppa d'orzo,{{TAG:000E:0000:020204CD}}Lasagne,{{TAG:000E:0000:000103CD}}karbonara makarna
9,,{{TAG:000E:0000:000103CD}}green curry,{{TAG:000E:0000:010103CD}}pastel de verduras,{{TAG:000E:0000:020804CD}}marmite de lotte,{{TAG:000E:0000:010F05CD}}riso con i piselli,{{TAG:000E:0000:030105CD}}Gyros,{{TAG:000E:0000:000103CD}}yeşil köri
10,,{{TAG:000E:0000:000103CD}}shrimp tempura,{{TAG:000E:0000:010103CD}}bacalao al pilpil,{{TAG:000E:0000:010905CD}}accra de morue,{{TAG:000E:0000:010F05CD}}baccalà mantecato,{{TAG:000E:0000:010103CD}}Matjes,{{TAG:000E:0000:000103CD}}karides tempura
11,,{{TAG:000E:0000:000103CD}}tomato bisque,{{TAG:000E:0000:020204CD}}tosta de tomate,{{TAG:000E:0000:020804CD}}raclette,{{TAG:000E:0000:020D0BCD}}seppie alla griglia,{{TAG:000E:0000:020204CD}}Tomatensuppe,{{TAG:000E:0000:000103CD}}kremalı domates çorbası
12,,{{TAG:000E:0000:000103CD}}baked squash,{{TAG:000E:0000:010003CD}}guacamole,{{TAG:000E:0000:020804CD}}courge rôtie,{{TAG:000E:0000:010E0ACD}}gnocchi di ricotta,{{TAG:000E:0000:020204CD}}Kürbissuppe,{{TAG:000E:0000:000103CD}}fırınlanmış kabak
13,,{{TAG:000E:0000:000103CD}}grilled cheese,{{TAG:000E:0000:010003CD}}queso en aceite,{{TAG:000E:0000:010703CD}}croque-monsieur,{{TAG:000E:0000:021007CD}}polenta di patate,{{TAG:000E:0000:010103CD}}Käsetoast,{{TAG:000E:0000:000103CD}}peynirli tost
14,,{{TAG:000E:0000:000103CD}}tomato salad,{{TAG:000E:0000:020204CD}}ensalada mixta,{{TAG:000E:0000:020804CD}}salade de tomates,{{TAG:000E:0000:010C09CD}}canederli,{{TAG:000E:0000:010103CD}}Tomatensalat,{{TAG:000E:0000:000103CD}}domates salatası
15,,{{TAG:000E:0000:000103CD}}spanakopita,{{TAG:000E:0000:020204CD}}quiche,{{TAG:000E:0000:020804CD}}tourte aux légumes,{{TAG:000E:0000:021007CD}}polenta,{{TAG:000E:0000:020204CD}}Soljanka,{{TAG:000E:0000:000103CD}}ıspanaklı börek
