entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:000F:}}Well, {{TAG:0007:0000:05000000}}what's this?","{{TAG:0003:000F:}}¿Ah, sí? ¿Qué es?","{{TAG:0003:000F:}}Eh bien. {{TAG:0007:0000:0A000000}}Qu'est-ce que c'est que
ça ?","{{TAG:0003:000F:}}Bene bene, {{TAG:0007:0000:05000000}}cosa abbiamo qui?",{{TAG:0003:000F:}}Oh! {{TAG:0007:0000:28000000}}Was ist es denn?,"{{TAG:0003:000F:}}Peki,{{TAG:0007:0000:05000000}} bu da ne?"
1,002,"{{TAG:0003:0006:}}Hey, {{TAG:0007:0000:05000000}}that wasn't very nice!","{{TAG:0003:0006:}}¡Oye, no me engañes!",{{TAG:0003:0006:}}Mais à quoi joues-tu ?,"{{TAG:0003:0006:}}Ehi, {{TAG:0007:0000:05000000}}ma che modi sono?!","{{TAG:0003:0006:}}He! {{TAG:0007:0000:14000000}}Das war jetzt aber etwas
rüpelhaft!","{{TAG:0003:0006:}}Hey,{{TAG:0007:0000:05000000}} bu hiç hoş değildi!"
2,003,{{TAG:0003:0026:}}It's a gift from {{TAG:0011:0001:0100}}?,{{TAG:0003:0026:}}¿Es un regalo de {{TAG:0011:0001:0100}}?,"{{TAG:0003:0026:}}Un cadeau {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0100}}, dis-tu ?",{{TAG:0003:0026:}}È un regalo da parte di {{TAG:0011:0001:0100}}?,{{TAG:0003:0026:}}Ein Geschenk von {{TAG:0011:0001:0100}}?,{{TAG:0003:0026:}}{{TAG:0011:0001:0100}} bana hediye mi göndermiş?
3,004,"{{TAG:0003:0026:}}A present from {{TAG:0011:0001:0100}},
{{TAG:0005:0007:}}?","{{TAG:0003:0026:}}¿Un regalo de parte de {{TAG:0011:0001:0100}},
{{TAG:0005:0007:}}?","{{TAG:0003:0026:}}C'est un cadeau de la part
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0100}}, {{TAG:0005:0007:}} ?","{{TAG:0003:0026:}}Un regalo da parte di {{TAG:0011:0001:0100}},
{{TAG:0005:0007:}}?","{{TAG:0003:0026:}}Ein Geschenk von {{TAG:0011:0001:0100}},{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?","{{TAG:0003:0026:}}{{TAG:0011:0001:0100}} tarafından bir hediye mi, {{TAG:0005:0007:}}?"
4,005,"{{TAG:0003:0016:}}Hey! {{TAG:0007:0000:0A000000}}This is from {{TAG:0011:0001:0100}}! It's
the thing I lent out, right?","{{TAG:0003:0016:}}¡Ah! {{TAG:0007:0000:0A000000}}¡Si es de {{TAG:0011:0001:0100}}! Será
ese objeto que le presté hace
tiempo, ¿a que sí?","{{TAG:0003:0016:}}Mais ! {{TAG:0007:0000:0A000000}}Cela vient {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0100}} !
C'est ce que je lui avais prêté ?","{{TAG:0003:0016:}}Un momento! {{TAG:0007:0000:0A000000}}Da parte
di {{TAG:0011:0001:0100}}... È l'oggetto
che {{TAG:000E:0008:01CD060067006C00690004006C00650002003000}} avevo prestato, vero?","{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:14000000}}Das ist von {{TAG:0011:0001:0100}}!{{TAG:0007:0000:28000000}}
Das hatte ich {{TAG:000E:0008:01CD0600690068006D0006006900680072000600690068006D00}} geliehen!","{{TAG:0003:0016:}}Aa{{TAG:0007:0000:0A000000}}! Bu {{TAG:0011:0001:0100}} gelmiş! Ödünç verdiğim
şey, değil mi?"
5,006,"{{TAG:0003:000F:}}What, this is something I lost,
{{TAG:0005:0007:}}?","{{TAG:0003:000F:}}¿Dices que es algo que he perdido,
{{TAG:0005:0007:}}?","{{TAG:0003:000F:}}Mais j'ai cherché cet objet partout !
Je le croyais vraiment perdu,
{{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Come? È un oggetto che
avevo perso? {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Oh! {{TAG:0007:0000:28000000}}Habe ich das etwa verloren,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?","{{TAG:0003:000F:}}Ne, bunu ben mi kaybetmişim, {{TAG:0005:0007:}}?"
6,007,"{{TAG:0003:000F:}}What? {{TAG:0007:0000:0A000000}}My package was delivered
to {{TAG:0011:0001:0100}}?","{{TAG:0003:000F:}}¿Llevaron mi paquete a casa de
{{TAG:0011:0001:0100}}?{{TAG:0007:0000:14000000}}{{TAG:0003:001B:}} Hay que ver cómo
está el servicio de correos...","{{TAG:0003:000F:}}Tu dis que mon colis a été distribué
par erreur chez {{TAG:0011:0001:0100}} ?","{{TAG:0003:000F:}}Ohibò! {{TAG:0007:0000:0A000000}}Il mio pacco è
stato recapitato {{TAG:000E:0010:}} {{TAG:0011:0001:0100}}?","{{TAG:0003:000F:}}Nanu? {{TAG:0007:0000:14000000}}Mein Päckchen ist an
{{TAG:0011:0001:0100}} geliefert worden?","{{TAG:0003:000F:}}Ne?{{TAG:0007:0000:0A000000}} Benim paket {{TAG:0011:0001:0100}} adresine mi
teslim edilmiş?"
7,008,"{{TAG:0003:0025:}}This is what I wanted {{TAG:0011:0001:0100}} to
get me, right?","{{TAG:0003:0025:}}¡Ajá! Será esa cosa que le pedí
a {{TAG:0011:0001:0100}} que me consiguiera.","{{TAG:0003:0025:}}C'est ce que j'ai demandé à
{{TAG:0011:0001:0100}} de me procurer, n'est-ce
pas ?","{{TAG:0003:0025:}}È ciò che avevo chiesto
{{TAG:000E:0010:}} {{TAG:0011:0001:0100}}, no?","{{TAG:0003:0025:}}Oh ja!{{TAG:0007:0000:28000000}} Ich hatte {{TAG:0011:0001:0100}} gebeten,
mir das zu besorgen.","{{TAG:0003:0025:}}Bu, {{TAG:0011:0001:0100}} benim için almasını
istediğim şey, değil mi?"
8,009,"{{TAG:0003:0025:}}What could it be? {{TAG:0007:0000:0A000000}}I guess {{TAG:0007:0000:0A000000}}I'll open
it and see, {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}¡Qué nervios! {{TAG:0007:0000:0A000000}}¿Qué será?{{TAG:0007:0000:14000000}}
¡Voy a abrirlo, {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Je me demande ce que c'est... {{TAG:0007:0000:28000000}}La
meilleure façon de le savoir c'est
encore de l'ouvrir, {{TAG:0005:0007:}}...","{{TAG:0003:0025:}}Cosa potrà mai essere? {{TAG:0007:0000:0A000000}}
Mi sa che faccio prima
ad aprirlo, {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Was ist das wohl?{{TAG:0007:0000:0A000000}} Ich werde gleich
mal hineinsehen, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Acaba ne{{TAG:0007:0000:0A000000}} olabilir?{{TAG:0007:0000:0A000000}} Açıp bakalım,
{{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:0010:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Well, {{TAG:0007:0000:05000000}}isn't that nice, {{TAG:0005:0007:}}.","{{TAG:0003:0010:}}¿{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0025:}}¡Qué bonito detalle, {{TAG:0005:0007:}}!","{{TAG:0003:0010:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} ?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Ça alors... {{TAG:0007:0000:0F000000}}Pour une surprise,
{{TAG:0005:0007:}}...","{{TAG:0003:0010:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Toh, {{TAG:0007:0000:05000000}}che bell{{TAG:000E:0008:00CD02006F000200610002003000}}! {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Oh, wie nett, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0010:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}? Ne{{TAG:0007:0000:05000000}} hoş, {{TAG:0005:0007:}}."
