index,key,F,G,I,S,U,TR
0,MID_様子_ロラン_前,"Je ressens une énergie positive...
On a trouvé un livre à son goût ?","Du scheinst guter Laune zu sein. Hast du
ein Buch gefunden, das dir gefällt?","Sembrate gongolante. Avete trovato
una lettura di vostro gradimento?","La alta presión atmosférica nos permite
disfrutar de un día extraordinario, ¿verdad?","You seem to be in excellent spirits. Did you
discover a book to your liking?","Harika bir ruh halin var gibi görünüyor.
Hoşunuza giden bir kitap mı kesfettiniz?"
1,MID_様子_ロラン_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_ロラン_前_敬さん,"Je ressens une énergie positive...
On a trouvé un livre à son goût ?","Ihr scheint guter Lauen zu sein. Habt Ihr
ein Buch gefunden, das Euch gefällt?","Sembrate gongolante. Avete trovato
una lettura di vostro gradimento?","La alta presión atmosférica nos permite
disfrutar de un día extraordinario, ¿verdad?","You seem to be in excellent spirits. Did you
discover a book to your liking?","Harika bir ruh halin var gibi görünüyor.
Hoşunuza giden bir kitap mı kesfettiniz?"
3,MID_様子_ロラン_後,"Non... Pour une fois, nos étagères sont
parfaitement organisées ! Quel extase !","Nein. Ausnahmsweise sind unsere Regale
alle organisiert! Ich bin äußerst dankbar.","No. Finalmente i nostri scaffali sono
stati riordinati. Sono molto compiaciuto.","Desde luego. Además, por una vez, los
grimorios están ordenados. Magnífico.","No. For once our shelves are all organised!
I am most grateful.","Hayır. Bir kereligine raflarimizin hepsi
düzenlendi! Çok minnettarım."
4,MID_様子_ロラン_後_敬さん,"Non... Pour une fois, nos étagères sont
parfaitement organisées ! Quel extase !","Nein. Ausnahmsweise sind unsere Regale
alle organisiert! Ich bin äußerst dankbar.","No. Finalmente i nostri scaffali sono
stati riordinati. Sono molto compiaciuto.","Desde luego. Además, por una vez, los
grimorios están ordenados. Magnífico.","No. For once our shelves are all organised!
I am most grateful.","Hayır. Bir kereligine raflarimizin hepsi
düzenlendi! Çok minnettarım."
5,MID_様子_ロラン_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_ロラン_前_親子_子,"Linfan, te manque-t-il quoi que ce soit ?
Il est primordial de contrôler ses réserves.","Linfan, fehlt dir etwas? Als mein Sohn
solltest du deine Grenzen kennen.","È compito mio non farvi mancare
nulla. Vi serve qualcosa?","Linfan, ¿echas algo en falta? Mi hijo
debería llevar al día su inventario.","Morgan, do you lack for anything? Any son
of mine should be aware of his provisions.","Morgan, herhangi bir eksikligin var
mı? Her oğlum onun rizkini bilmelidir."
7,MID_様子_ロラン_後_親子_子,"Dis-moi d'abord quel est ton budget.
Mes envies sont hélas souvent ruineuses.","Zunächst: Wie steht es um deine Finanzen?
Ich bedarf oft exorbitant teurer Waren.","Posso sapere di quanto disponete? Le mie
necessità sono dell'ordine di 5 cifre.","¿De qué presupuesto dispones? Lo que
me interesa tiene un valor astronómico.","Might I inquire about your budget first? My
needs tend to run into the quintuple digits.","Öncelikle bütçenizi öğrenebilir miyim?
İhtiyaçlarim beş haneli rakamlara ulaşma
egiliminde."
8,MID_様子_ロラン_前_親子_母,"Mère, vous dissipez vos stocks à grands
pas. Puis-je vous aider à les reconstituer ?","Mutter, deine Ressourcen schwinden dahin!
Soll ich dich finanziell unterstützen?","Madre, state dilapidando i vostri averi.
Se volete potrei aiutarvi con un prestito.","Madre, tus bastimentos escasean. ¿Quieres
que te ayude con el aprovisionamiento?","Mother, you've been burning through your
possessions. Can I help pay for a restock?","Anne, tüm eşyalarını yakıyorsun. Yeniden
stok ödemesine yardımcı olabilir miyim?"
9,MID_様子_ロラン_後_親子_母,"Ah, merci. Peut-être pourriez-vous couvrir
mes frais de voyage dans le temps ?","Danke. Vielleicht fängst du damit an, mich
für meine Zeitreise zu entschädigen.","Grazie per l'offerta. Se volete potete
rimborsarmi le spese del viaggio temporale.","Quizá podrías empezar por rembolsarme
los gastos de mi viaje en el tiempo.","Thank you. Perhaps you could start by
reimbursing me for my time-travel expenses.","Teşekkür ederim. Belki zaman yolculuğu
masraflarimi bana geri ödeyerek
başlayabilirsin."
10,MID_様子_ロラン_前_親子_父,"Avez-vous besoin de quelque chose, père ?
Je ne vois pas d'autre moyen de vous servir.","Benötigst du etwas, Vater? Ich weiß nicht,
wie ich dir sonst ein guter Sohn sein kann.","Avete bisogno di qualcosa, padre?
Come figlio non saprei cos'altro offrire.","¿Puedo hacer algo por ti, padre? Como
hijo, es mi deber estar a tu disposición.","Is there anything you need, Father? I know
of no other way to be a good son to you.","İhtiyacınız olan bir şey var mı baba? Sana
iyi bir evlat olmanın başka yolunu
bilmiyorum."
11,MID_様子_ロラン_後_親子_父,"Vous souhaitez me faire un cadeau... ?
De quels fonds disposez-vous exactement ?","Du bietest mir an, etwas zu kaufen? Wieviel
Gold befindet sich in deinem Besitz?","State proponendo di comprarmi qualcosa?
Di quante monete disponete?","¿Quieres comprarme algo? Bien, pues...
¿cuánto estás dispuesto a invertir?","You're offering to buy me something?
...How much gold is in your possession?","Bana bir şey almayı mı teklif
ediyorsun? ...Elinizde ne kadar altın var?"
12,MID_様子_ロラン_前_恋人,"$Np, je vois que cette sacoche
va bientôt rompre ! Qu'y a-t-il dedans ?","$Np, deine Tasche quillt
regelrecht über! Was befindet sich darin?","$Np, la vostra borsa è stracolma.
Posso chiedere cosa contiene?","$Np, tu bolsa parece cargada
en exceso. ¿Qué llevas en ella?","$Np, your satchel is stuffed to
the brim. What have you got in there?","$Np, çantaniz ağzına
kadar dolu. Orada ne var?"
13,MID_様子_ロラン_後_恋人,"C'est une parure de cheveux... Il m'a fallu
du courage rien que pour l'acheter.","Es ist Haarschmuck. In den Laden zu gehen
verlangte Mut, aber ich hoffe, du magst ihn.","È un ornamento per i capelli. Però, ci è
voluto coraggio a entrare nel negozio!","Es un adorno para el pelo. Me costó mucho
entrar en la tienda. Espero que te guste.","It's a hair ornament. Just walking into the
shop took courage, but...I hope you like it.","Bu bir saç süsü. Sadece dükkana girmek
bile cesaret gerektiriyordu ama...umarım
begenirsiniz."
