entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,,Albania,Albania,Albanie,Albania,Albanien,Arnavutluk
1,,Tirana,Tirana,Tirana,Tirana,Tirana,Tiran
2,,Berat,Berat,Berat,Berat,Berat,Berat
3,,Dibër,Dibër,Dibër,Dibër,Dibra,Dibër
4,,Durrës,Durrës,Durrës,Durazzo,Durrës,Durrës
5,,Elbasan,Elbasan,Elbasan,Elbasan,Elbasan,Elbasan
6,,Fier,Fier,Fier,Fier,Fier,Fier
7,,Gjirokastër,Gjirokastra,Gjirokastër,Argirocastro,Gjirokastra,Gjirokastër
8,,Korçë,Korçë,Korçë,Coriza,Korça,Korçë
9,,Kukës,Kukës,Kukës,Kukës,Kukës,Kukës
10,,Lezhë,Lezhë,Lezhë,Alessio,Lezha,Lezhë
11,,Shkodër,Shkodër,Shkodër,Scutari,Shkodra,Shkodër
12,,Vlorë,Vlorë,Vlorë,Valona,Vlora,Vlorë
13,,Austria,Austria,Autriche,Austria,Österreich,Avusturya
14,,Vienna,Viena,Vienne,Vienna,Wien,Viyana
15,,Burgenland,Burgenland,Burgenland,Burgenland,Burgenland,Burgenland
16,,Carinthia,Carintia,Carinthie,Carinzia,Kärnten,Karintiya
17,,Lower Austria,Baja Austria,Basse-Autriche,Bassa Austria,Niederösterreich,Aşağı Avusturya
18,,Upper Austria,Alta Austria,Haute-Autriche,Alta Austria,Oberösterreich,Yukarı Avusturya
19,,Salzburg,Salzburgo,Salzbourg,Salisburghese,Salzburg,Salzburg
20,,Styria,Estiria,Styrie,Stiria,Steiermark,Steiermark
21,,Tyrol,Tirol,Tyrol,Tirolo,Tirol,Tirol
22,,Vorarlberg,Vorarlberg,Vorarlberg,Vorarlberg,Vorarlberg,Vorarlberg
23,,Belgium,Bélgica,Belgique,Belgio,Belgien,Belçika
24,,Brussels Region,Región de Bruselas-Capital,Région de Bruxelles-Capitale,Regione di Bruxelles,Region Brüssel-Hauptstadt,Brüksel Bölgesi
25,,Flanders,Región de Flandes,Région flamande,Fiandre,Flandern,Flanders
26,,Wallonia,Región de Valonia,Région wallonne,Vallonia,Wallonien,Wallonia
27,,Bosnia and Herzegovina,Bosnia-Herzegovina,Bosnie-Herzégovine,Bosnia-Erzegovina,Bosnien-Herzegowina,Bosna-Hersek
28,,Federation of Bosnia and Herzegovina,Federación de Bosnia-Herzegovina,Fédération de Bosnie-Herzégovine,Federazione di Bosnia-Erzegovina,Föderation Bosnien und Herzegowina,Federation of Bosnia and Herzegovina
29,,Republika Srpska,República Srpska,République serbe de Bosnie,Repubblica Serba di Bosnia-Erzegovina,Serbische Republik,Republika Srpska
30,,Brčko District,Distrito de Brčko,Brčko (district),Distretto di Brčko,Brčko-Distrikt,Brčko District
31,,Botswana,Botsuana,Botswana,Botswana,Botsuana,Botswana
32,,Bulgaria,Bulgaria,Bulgarie,Bulgaria,Bulgarien,Bulgaristan
33,,Sofia City,Ciudad de Sofía,Sofia (ville),Sofia,Sofia (Stadt),Sofia City
34,,Sofia Province,Provincia de Sofía,Sofia (oblast),Regione di Sofia,Sofia (Region),Sofia Province
35,,Blagoevgrad,Blagoevgrad,Blagoevgrad,Blagoevgrad,Blagoewgrad,Blagoevgrad
36,,Pleven,Pleven,Pleven,Pleven,Plewen,Pleven
37,,Vidin,Vidin,Vidin,Vidin,Widin,Vidin
38,,Varna,Varna,Varna,Varna,Warna,Varna
39,,Burgas,Burgas,Bourgas,Burgas,Burgas,Burgas
40,,Dobrich,Dobrich,Dobritch,Dobrich,Dobritsch,Dobrich
41,,Gabrovo,Gabrovo,Gabrovo,Gabrovo,Gabrowo,Gabrovo
42,,Haskovo,Haskovo,Khaskovo,Haskovo,Chaskowo,Haskovo
43,,Yambol,Yambol,Yambol,Jambol,Jambol,Yambol
44,,Kardzhali,Kardzhali,Kardjali,Kardzhali,Kardschali,Kardzhali
45,,Kyustendil,Kyustendil,Kyoustendil,Kjustendil,Kjustendil,Kyustendil
46,,Lovech,Lovech,Lovetch,Lovech,Lowetsch,Lovech
47,,Montana,Montana,Montana,Montana,Montana,Montana
48,,Pazardzhik,Pazardzhik,Pazardjik,Pazardzhik,Pasardschik,Pazardzhik
49,,Pernik,Pernik,Pernik,Pernik,Pernik,Pernik
50,,Plovdiv,Plovdiv,Plovdiv,Plovdiv,Plowdiw,Plovdiv
51,,Razgrad,Razgrad,Razgrad,Razgrad,Rasgrad,Razgrad
52,,Ruse,Ruse,Roussé,Ruse,Russe,Ruse
53,,Silistra,Silistra,Silistra,Silistra,Silistra,Silistra
54,,Sliven,Sliven,Sliven,Sliven,Sliwen,Sliven
55,,Smolyan,Smolyan,Smolyan,Smoljan,Smoljan,Smolyan
56,,Stara Zagora,Stara Zagora,Stara Zagora,Stara Zagora,Stara Sagora,Stara Zagora
57,,Shumen,Shumen,Choumen,Shumen,Schumen,Shumen
58,,Targovishte,Targovishte,Targovichte,Targovishte,Targowischte,Targovishte
59,,Veliko Tarnovo,Veliko Tarnovo,Veliko Tarnovo,Veliko Tarnovo,Weliko Tarnowo,Veliko Tarnovo
60,,Vratsa,Vratsa,Vratsa,Vratsa,Wraza,Vratsa
61,,Croatia,Croacia,Croatie,Croazia,Kroatien,Hırvatistan
62,,Zagreb,Ciudad de Zagreb,Zagreb (ville),Zagabria,Zagreb (Stadt),Zagreb
63,,Bjelovar-Bilogora County,Condado de Bjelovar-Bilogora,Bjelovar-Bilogora,Regione di Bjelovar e della Bilogora,Bjelovar-Bilogora,Bjelovar-Bilogora County
64,,Brod-Posavina County,Condado de Brod-Posavina,Brod-Posavina,Regione di Brod e della Posavina,Brod-Posavina,Brod-Posavina County
65,,Dubrovnik-Neretva County,Condado de Dubrovnik-Neretva,Dubrovnik-Neretva,Regione Raguseo-Narentana,Dubrovnik-Neretva,Dubrovnik-Neretva County
66,,Istria County,Condado de Istria,Istrie,Regione Istriana,Istrien,Istria County
67,,Karlovac County,Condado de Karlovac,Karlovac,Regione di Karlovac,Karlovac,Karlovac County
68,,Koprivnica-Križevci County,Condado de Koprivnica-Križevci,Koprivnica-Križevci,Regione di Koprivnica e Križevci,Koprivnica-Križevci,Koprivnica-Križevci County
69,,Krapina-Zagorje County,Condado de Krapina-Zagorje,Krapina-Zagorje,Regione di Krapina e dello Zagorje,Krapina-Zagorje,Krapina-Zagorje County
70,,Lika-Senj County,Condado de Lika-Senj,Lika-Senj,Regione della Lika e di Segna,Lika-Senj,Lika-Senj County
71,,Međimurje County,Condado de Medimurje,Međimurje,Regione del Medjimurje,Medimurje,Međimurje County
72,,Osijek-Baranja County,Condado de Osijek-Baranja,Osijek-Baranja,Regione di Osijek e della Baranja,Osijek-Baranja,Osijek-Baranja County
73,,Požega-Slavonia County,Condado de Požega-Eslavonia,Požega-Slavonie,Regione di Požega e della Slavonia,Požega-Slawonien,Požega-Slavonia County
74,,Primorje-Gorski Kotar County,Condado de Primorje-Gorski Kotar,Primorje-Gorski Kotar,Regione Litoraneo-Montana,Primorje-Gorski kotar,Primorje-Gorski Kotar County
75,,Sisak-Moslavina County,Condado de Sisak-Moslavina,Sisak-Moslavina,Regione di Sisak e della Moslavina,Sisak-Moslavina,Sisak-Moslavina County
76,,Split-Dalmatia County,Condado de Split-Dalmacia,Split-Dalmatie,Regione Spalatino-Dalmata,Split-Dalmatien,Split-Dalmatia County
77,,Šibenik-Knin County,Condado de Šibenik-Knin,Šibenik-Knin,Regione di Sebenico e Tenin,Šibenik-Knin,Šibenik-Knin County
78,,Varaždin County,Condado de Varaždin,Varaždin,Regione di Varasdino,Varaždin,Varaždin County
79,,Virovitica-Podravina County,Condado de Virovitica-Podravina,Virovitica-Podravina,Regione di Virovitica e della Podravina,Virovitica-Podravina,Virovitica-Podravina County
80,,Vukovar-Syrmia County,Condado de Vukovar-Srijem,Vukovar-Syrmie,Regione di Vukovar e della Sirmia,Vukovar-Srijem,Vukovar-Syrmia County
81,,Zadar County,Condado de Zadar,Zadar,Regione Zaratina,Zadar,Zadar County
82,,Zagreb County,Condado de Zagreb,Zagreb (comitat),Regione Zagabrese,Zagreb,Zagreb County
83,,Cyprus,Chipre,Chypre,Cipro,Zypern,Kıbrıs
84,,Czech Republic,República Checa,République tchèque,Repubblica Ceca,Tschechische Republik,Çek Cumhuriyeti
85,,Prague,Praga,Prague,Praga,Prag,Prag
86,,Central Bohemian Region,Región de Bohemia Central,Bohême centrale,Boemia Centrale,Mittelböhmische Region,Central Bohemian Region
87,,South Bohemian Region,Región de Bohemia Meridional,Bohême du Sud,Boemia Meridionale,Südböhmische Region,South Bohemian Region
88,,Plzeň Region,Región de Pilsen,Région de Pilsen,Regione di Plseň,Region Pilsen,Plzeň Region
89,,Karlovy Vary Region,Región de Karlovy Vary,Région de Karlovy Vary,Regione di Karlovy Vary,Region Karlsbad,Karlovy Vary Region
90,,Ústí nad Labem Region,Región de Ústí nad Labem,Région d'Ústí nad Labem,Regione di Ústí nad Labem,Region Ústí,Ústí nad Labem Region
91,,Liberec Region,Región de Liberec,Région de Liberec,Regione di Liberec,Region Liberec,Liberec Region
92,,Hradec Králové Region,Región de Hradec Králové,Région de Hradec Králové,Regione di Hradec Králové,Region Hradec Králové,Hradec Králové Region
93,,Pardubice Region,Región de Pardubice,Région de Pardubice,Regione di Pardubice,Region Pardubice,Pardubice Region
94,,Olomouc Region,Región de Olomouc,Région d'Olomouc,Regione di Olomouc,Region Olmütz,Olomouc Region
95,,Moravian-Silesian Region,Región de Moravia-Silesia,Moravie-Silésie,Regione di Moravia-Slesia,Region Mährisch-Schlesien,Moravian-Silesian Region
96,,South Moravian Region,Región de Moravia Meridional,Moravie du Sud,Moravia Meridionale,Südmährische Region,South Moravian Region
97,,Zlín Region,Región de Zlín,Région de Zlín,Regione di Zlín,Region Zlin,Zlín Region
98,,Vysočina Region,Región de Vysočina,Vysočina,Regione di Vysočina,Region Vysočina,Vysočina Region
99,,Denmark (Kingdom of),Dinamarca (Reino),Danemark (Royaume),Danimarca (Regno di),Dänemark (Königreich),Denmark (Kingdom of)
100,,Greenland,Groenlandia,Groenland,Groenlandia,Grönland,Grönland
101,,Capital Region of Denmark,Hovedstaden,Hovedstaden,Hovedstaden,Hauptstadtregion,Capital Region of Denmark
102,,Central Denmark Region,Jutlandia Central,Jutland-Central,Jutland Centrale,Mitteljütland,Central Denmark Region
103,,North Denmark Region,Jutlandia Septentrional,Jutland-du-Nord,Jutland Settentrionale,Nordjütland,North Denmark Region
104,,Region Zealand,Selandia,Zélande-du-Nord,Sjælland,Seeland,Region Zealand
105,,Region of Southern Denmark,Dinamarca Meridional,Danemark-du-Sud,Syddanmark,Süddänemark,Region of Southern Denmark
106,,Faroe Islands,Islas Feroe,Îles Féroé,Isole Fær Øer,Färöer,Faroe Adaları
107,,Estonia,Estonia,Estonie,Estonia,Estland,Estonya
108,,Finland,Finlandia,Finlande,Finlandia,Finnland,Finlandiya
109,,Uusimaa / Nyland,Uusimaa,Uusimaa,Uusimaa,Uusimaa,Uusimaa / Nyland
110,,Lappi / Lapland,Laponia finlandesa,Laponie,Lapponia,Lappland,Lappi / Lapland
111,,Pohjois-Pohjanmaa / Norra Österbotten,Ostrobothnia del Norte,Ostrobotnie du Nord,Ostrobotnia Settentrionale,Nordösterbotten,Pohjois-Pohjanmaa / Norra Österbotten
112,,Kainuu / Kajanaland,Kainuu,Kainuu,Kainuu,Kainuu,Kainuu / Kajanaland
113,,Pohjois-Karjala / Norra Karelen,Karelia del Norte,Carélie du Nord,Carelia Settentrionale,Nordkarelien,Pohjois-Karjala / Norra Karelen
