entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0010:}}Heya! {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}You came to visit again,
{{TAG:0005:0007:}}.","{{TAG:0003:0010:}}¡Anda! {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}¿Te has dejado algo,
{{TAG:0005:0007:}}?","{{TAG:0003:0010:}}Hé ! {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}Te revoilà, {{TAG:0005:0007:}} !
Fais comme chez toi ! {{TAG:0000:0003:0500}}(Oh là là, j'ai
de la visite !!! Ça va aller. Je gère.){{TAG:0000:0003:FFFF}}","{{TAG:0003:0010:}}Ehi! {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}Sei tornat{{TAG:000E:0006:02006F0002006100}} a trovarmi,
{{TAG:0005:0007:}}.","{{TAG:0003:0010:}}Tagchen! {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Du bist ja schon wieder
zu Besuch, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0010:}}Selam! {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}Yine ziyarete geldin, {{TAG:0005:0007:}}."
1,002,"{{TAG:0003:0001:}}You must really like my house,
{{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Es normal que te guste mi casa,
{{TAG:0005:0008:}}, es la ""más mejor"".","{{TAG:0003:0001:}}On dirait que tu l'aimes, ma
maison ! Elle est trop cool, hein,
{{TAG:0005:0008:}} ?! {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}La mia casa deve piacerti
davvero un sacco, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, du findest mein Haus
wohl richtig spitze, was,
{{TAG:0005:0007:}}?","{{TAG:0003:0001:}}Evimi gerçekten çok seviyor olmalısın, {{TAG:0005:0008:}}!"
2,003,"{{TAG:0003:0001:}}You must really love talking to me
or something. You're back again,
{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¿Tanto te gusta hablar conmigo?
¡Je, je, je! Venga, cuéntame,
{{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Tu peux plus te passer de moi, toi
non plus ? Trop lol, je fais souvent
cet effet aux gens, {{TAG:0005:0007:}} !
Enfin...{{TAG:0007:0000:0A000000}} je fais souvent aussi l'effet
inverse ! Donc ça compense !","{{TAG:0003:0001:}}Devo piacerti proprio da matti.
Sei tornat{{TAG:000E:0006:02006F0002006100}} da me, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Irgendwie findest du es total super,
mit mir zu quatschen, oder? {{TAG:0007:0000:14000000}}Du bist
ja schon wieder da, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Benimle konuşmaya falan bayılıyor
olmalısın. Yine geldin, {{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0010:}}Oh, hi! Thanks for coming by
again, {{TAG:0005:0008:}}!","{{TAG:0003:0010:}}¡Ah, hola! Gracias por venir
otra vez, {{TAG:0005:0008:}}.","{{TAG:0003:0010:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}} ! {{TAG:000E:0003:}}{{TAG:0005:0007:}} !
Je me disais aussi... On a à peine eu
le temps de parler tout à l'heure !","{{TAG:0003:0010:}}Oh, ciaaao! Troppo mitico
rivederti qui, {{TAG:0005:0008:}}!","{{TAG:0003:0010:}}Oh, hey, {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}Schön, dass du wieder
vorbeischaust, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Aa, selam! Yine uğradığın
için teşekkürler, {{TAG:0005:0008:}}!"
4,005,"{{TAG:0003:0025:}}Hiya, hiya, {{TAG:0005:0008:}}!
Are you, like, {{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}in love with my
house? You're back!","{{TAG:0003:0025:}}¡Hola, hola, {{TAG:0005:0008:}}!
{{TAG:0003:0017:}}No te habrás encaprichado de
mi casa, ¿no? {{TAG:0003:0007:}}¡Porque es mía!","{{TAG:0003:0001:}}Youhou, {{TAG:0005:0008:}} !{{TAG:0007:0000:08000000}}
{{TAG:0003:0025:}}Je peux te donner quelques conseils
déco si tu veux ? Tu veux, dis ?!","{{TAG:0003:0025:}}Ehilà, {{TAG:0005:0008:}}!
Cioè, dico, {{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}ma non ti sarai mica
innamorat{{TAG:000E:0006:02006F0002006100}} di casa mia?!","{{TAG:0003:0025:}}Hallihallo, {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}Sag mal, hast du dich irgendwie {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}in
mein Haus verguckt oder so?
{{TAG:0007:0000:14000000}}Du bist ja schon wieder hier,
{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Selam selam, {{TAG:0005:0008:}}! Evime, şey, {{TAG:0007:0000:08000000}}{{TAG:0003:0001:}}ÂŞIK
falan mısın? Yine geldin!"
5,006,"{{TAG:0003:0001:}}Woohoo! You're back! Can't get
enough of me, huh, {{TAG:0005:0008:}}?","{{TAG:0003:0001:}}¡Tú otra vez, {{TAG:0005:0008:}}!
Si tanto te gusta mi casa, puedo
darte algún consejo para la tuya.","{{TAG:0003:0001:}}C'est moi ou mon petit chez-moi qui
te plaît autant, {{TAG:0005:0008:}},{{TAG:0007:0000:0A000000}}
{{TAG:0005:0007:}} ?","{{TAG:0003:0001:}}Ciaaao! Sei tornat{{TAG:000E:0006:02006F0002006100}}! Non ti
stufi mai di me, eh, {{TAG:0005:0008:}}?","{{TAG:0003:0001:}}Huhu, {{TAG:0005:0008:}}! {{TAG:0007:0000:14000000}}Du bist ja zurück!
{{TAG:0007:0000:14000000}}Kannst wohl nicht genug von mir
bekommen, {{TAG:0007:0000:0A000000}}was, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0001:}}Vuhuu! Yine geldin! Benden doyamıyorsun,
ha, {{TAG:0005:0008:}}?"
6,007,"{{TAG:0003:0001:}}Oh! Back again!{{TAG:0007:0000:1E000000}} That's OK. I love
seeing you, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¡Ah, hola! 
¿Quieres quedarte a ver una peli?","{{TAG:0003:0001:}}Oh ! Je me doutais que tu
repasserais, {{TAG:0005:0007:}} ! Je
t'installe un lit de camp ?!","{{TAG:0003:0001:}}Oh! Rieccoti qui! Sono troppo
contenta di rivederti, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Hossa, du schon wieder!
Kein Problem, {{TAG:0007:0000:0A000000}}ich seh dich immer
gern, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Aa! Yine mi!{{TAG:0007:0000:1E000000}} Sorun yok. Seni görmeye
bayılıyorum, {{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:0025:}}Hello again, {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Make yourself at home,
{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}¡Hola de nuevo, {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Ponte cómod{{TAG:000E:0006:02006F0002006100}},{{TAG:0007:0000:08000000}} ¡pero no me
manches nada, {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Kikou, {{TAG:0005:0008:}} !
{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}C'est super que tu sois là ! À quoi tu
veux jouer, {{TAG:0005:0007:}} ?!","{{TAG:0003:0025:}}Chi si rivede, {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Mettiti comod{{TAG:000E:0006:02006F0002006100}},
{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Ah, hey, {{TAG:0005:0008:}}!
{{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Fühl dich wie zu Hause,
{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Yine merhaba, {{TAG:0005:0008:}}! {{TAG:0007:0000:14000000}}{{TAG:0003:0001:}}Rahatına bak, {{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:0001:}}Hello, hello, {{TAG:0005:0008:}}. Good to
see you again, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Hola, hola, {{TAG:0005:0008:}}. Vienes
un poco tarde. {{TAG:0003:0011:}}¿Es que no tienes
cama en casa, {{TAG:0005:0007:}}?","{{TAG:0003:0001:}}Hé, te voilà, {{TAG:0005:0008:}}. Toi aussi tu
as trop d'énergie pour dormir ?! On
s'est bien {{TAG:000E:0006:0E00740072006F0075007600E90073001000740072006F0075007600E90065007300}}, {{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Ciaaao, {{TAG:0005:0008:}}. Sono troooppo
contenta di rivederti, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Hallihallöchen, {{TAG:0005:0008:}}. {{TAG:0007:0000:14000000}}Da bist
du ja wieder, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!
{{TAG:0007:0000:14000000}}Juhuuu!","{{TAG:0003:0001:}}Merhaba merhaba, {{TAG:0005:0008:}}. Seni yeniden
görmek güzel, {{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:0010:}}Hey, you're back! {{TAG:0007:0000:14000000}}You're always
welcome here.","{{TAG:0003:0010:}}¡Has vuelto! {{TAG:0007:0000:14000000}}Siempre tengo
un hueco para ti.","{{TAG:0003:0010:}}Ah, te voilà ! {{TAG:0007:0000:14000000}}Tu es toujours {{TAG:000E:0006:04006C00650004006C006100}}
{{TAG:000E:0006:10006200690065006E00760065006E00750012006200690065006E00760065006E0075006500}}, et tu le sais !!! Délire,
MDR, {{TAG:0005:0007:}} !","{{TAG:0003:0010:}}Ehi, sei tornat{{TAG:000E:0006:02006F0002006100}}! {{TAG:0007:0000:14000000}}Sai che per te
casa mia è sempre aperta!","{{TAG:0003:0010:}}Hey, du bist ja zurück! {{TAG:0007:0000:14000000}}Du bist hier
immer willkommen, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Hey, yine geldin! {{TAG:0007:0000:14000000}}Burada sana kapı her zaman açık."
